epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,6.017071843147278,6.0484620332717896,3.1748178005218506,3.1929378509521484,-0.10463395342230797,0.0,0.0,18.723639488220215,0.0,1.0,0.0,0.0,0.0,0.0,0.11684782608695653,0.07608695652173914,0.11684782608695653,0.10326086956521739,0.11684782608695653,0.0,0.0,0.0,0.0,1.0536588281393051,1.085252359509468,0.37013373523950577,0.2636977806687355,1.7675187587738037,1.799123764038086,6.45859956741333,0.0,0.0,0.0,0.0,0.0,2.9484951496124268,0.15384615384615385,0.08333333333333333,0.3333333333333333,0.13095238095238096,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.933887243270874,0.11538461538461539,0.14619883040935672,0.08333333333333333,0.06298276886512182,0.019927536231884063,0.13095238095238096,-inf,3,False,0.0001,3e-05,0.3,21.770931243896484,28.18359375,3.4193716049194336,0.3928041458129883,0.4085702896118164,0.6102011203765869,4.831270933151245
2,4.041395783424377,4.1316657066345215,2.134366810321808,2.2192210853099823,-0.300899863243103,0.0,0.0,13.13043999671936,0.0,1.0,0.0,0.0,0.0,0.0,0.3070652173913043,0.32065217391304346,0.3070652173913043,0.27717391304347827,0.27717391304347827,0.0,0.0,0.0,0.0,1.1400226354599,1.076109230518341,0.370384119451046,0.2647136524319649,1.736197292804718,1.7952319383621216,4.528128802776337,0.0,0.0,0.0,0.0,0.0,2.5584564208984375,0.07692307692307693,0.015151515151515152,0.16666666666666666,0.02777777777777778,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.02777777777777778,-inf,3,False,0.0001,3e-05,0.3,21.771968841552734,28.18359375,2.865399122238159,0.39798521995544434,0.0,0.0,3.263688325881958
3,3.1707261204719543,3.3270784616470337,1.7031479179859161,1.8043673634529114,-0.521174430847168,0.0,0.0,10.526909589767456,0.0,1.0,0.0,0.0,0.0,0.0,0.42391304347826086,0.5,0.42391304347826086,0.4375,0.48641304347826086,0.0,0.0,0.0,0.0,1.1636642217636108,0.9704645127058029,0.3669367954134941,0.26453330367803574,1.6675484478473663,1.7536484599113464,3.5842787623405457,0.0,0.0,0.0,0.0,0.0,2.4894442558288574,0.11538461538461539,0.18000000000000002,0.20833333333333334,0.09135802469135802,0.11538461538461539,0.11538461538461539,0.11538461538461539,2.4318532943725586,0.19230769230769232,0.10694444444444444,,,,0.09135802469135802,0.02777777777777778,3,False,0.0001,3e-05,0.3,21.772159576416016,28.18359375,2.827143430709839,0.3959691524505615,0.40986013412475586,0.0,3.633212089538574
4,2.9620723724365234,2.850869357585907,1.5216054022312164,1.4769599437713623,-0.5459702461957932,0.2749941498041153,0.0,9.453136920928955,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.5815217391304348,0.5625,0.5815217391304348,0.5978260869565217,0.5978260869565217,0.0,0.0,0.0,0.2749941498041153,1.140054315328598,0.9066909700632095,0.3663085699081421,0.2641734927892685,1.6627174615859985,1.704587996006012,3.1032732129096985,0.0,0.00056608603335917,0.0035629658377729356,0.004870251286774874,0.2659948468208313,2.597200870513916,0.07692307692307693,0.015151515151515152,0.16666666666666666,0.02777777777777778,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.02777777777777778,0.02777777777777778,3,False,0.0001,3e-05,0.3,21.770793914794922,28.18359375,3.7586731910705566,0.4004240036010742,0.0,0.0,4.15943169593811
5,2.6857283115386963,2.3891250491142273,1.3046846389770508,1.2049337923526764,-0.520673468708992,0.45280536264181137,0.0,8.421477913856506,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.7092391304347826,0.6766304347826086,0.7092391304347826,0.7228260869565217,0.6521739130434783,0.0,0.0,0.0,0.45280536264181137,1.1106376349925995,0.8679977655410767,0.3632383644580841,0.26305343210697174,1.5976217985153198,1.6547181606292725,2.539690375328064,0.0,0.0011273718264419585,0.006846950389444828,0.009455532301217318,0.43537550419569016,2.650595188140869,0.07692307692307693,0.020833333333333332,0.16666666666666666,0.037037037037037035,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.6785995960235596,0.07692307692307693,0.041666666666666664,0.07291666666666667,0.03196347031963471,0.6499094202898551,0.037037037037037035,0.02777777777777778,3,False,0.0001,3e-05,0.3,21.771968841552734,28.18359375,3.3663489818573,0.3953118324279785,0.4024174213409424,0.5959179401397705,4.760265111923218
6,2.572794198989868,2.07904976606369,1.1440795361995697,1.0388558208942413,-0.441993348300457,0.6263425052165985,0.7937565743923187,8.451667428016663,1.634296476840973,1.0,0.0,2.0,0.06666666666666667,0.42857142857142855,0.779891304347826,0.75,0.779891304347826,0.7690217391304348,0.7364130434782609,0.7937565743923187,0.8034367263317108,0.7840763926506042,0.6263425052165985,1.1090126484632492,0.9123088121414185,0.3625248894095421,0.26267535984516144,1.5613131821155548,1.5993167161941528,2.326385021209717,0.0,0.0016886272933334112,0.010037013329565525,0.013708428479731083,0.598213329911232,2.518205165863037,0.11538461538461539,0.06388888888888888,0.20833333333333334,0.08088235294117647,0.11538461538461539,0.11538461538461539,0.11538461538461539,,,,,,,0.08088235294117647,0.02777777777777778,3,False,0.0001,3e-05,0.3,21.773098468780518,28.18359375,3.1977920532226562,0.3978395462036133,0.0,0.0,3.5958728790283203
7,2.4867218732833862,1.8721126914024353,1.0287894308567047,0.9370258450508118,-0.399096742272377,0.7343382239341736,0.7841422855854034,7.80308735370636,1.5824599862098694,1.0,0.0,2.0,0.13333333333333333,0.5714285714285714,0.8559782608695652,0.8097826086956522,0.8559782608695652,0.8070652173913043,0.8125,0.7841422855854034,0.7809599936008453,0.7873245477676392,0.7343382239341736,1.097248136997223,0.8564369231462479,0.36218850314617157,0.2629666104912758,1.5132356882095337,1.5451940894126892,2.0307128727436066,0.0,0.0022539994097314775,0.012970590963959694,0.017659361008554697,0.6962444484233856,2.418513059616089,0.23076923076923078,0.10714285714285714,0.3333333333333333,0.15277777777777776,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.426126480102539,0.23076923076923078,0.18095238095238098,,,,0.15277777777777776,0.037037037037037035,3,False,0.0001,3e-05,0.3,21.771732330322266,28.18359375,2.98386287689209,0.39807677268981934,0.40687012672424316,0.0,3.78903865814209
8,2.393729269504547,1.6977877616882324,0.8938377052545547,0.8932778984308243,-0.40834522247314453,0.818445011973381,0.7983027994632721,8.449892044067383,1.4977718591690063,1.0,0.0,2.0,0.2,0.7142857142857143,0.8641304347826086,0.8641304347826086,0.8641304347826086,0.8315217391304348,0.8586956521739131,0.7983027994632721,0.7675020694732666,0.8291035294532776,0.818445011973381,1.1731610000133514,0.8836650401353836,0.36207590252161026,0.26153457909822464,1.4665243327617645,1.4935175776481628,1.7975225746631622,0.0,0.0028021562611684203,0.015712761785835028,0.021335965488106012,0.7703668177127838,1.8423969745635986,0.3076923076923077,0.30185185185185187,0.35000000000000003,0.24423076923076922,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.8156853914260864,0.34615384615384615,0.27777777777777785,,,,0.24423076923076922,0.08088235294117647,3,False,0.0001,3e-05,0.3,21.772907733917236,28.18359375,3.2881760597229004,0.3968663215637207,0.40160036087036133,0.0,4.086923360824585
9,2.3896523118019104,1.5815620720386505,0.8810522556304932,0.7783442735671997,-0.35413170605897903,0.9143297523260117,0.7983369827270508,9.072532653808594,1.5144487619400024,1.0,0.0,2.0,0.26666666666666666,0.8571428571428571,0.8967391304347826,0.8668478260869565,0.8967391304347826,0.9130434782608695,0.8559782608695652,0.7983369827270508,0.7919812798500061,0.8046926856040955,0.9143297523260117,1.0445008277893066,0.9003484398126602,0.3601788580417633,0.2592822015285492,1.4336272478103638,1.4535400569438934,1.6669204533100128,0.0,0.003333628294058144,0.018432350363582373,0.024917828384786844,0.8572734296321869,1.811348557472229,0.34615384615384615,0.2777777777777778,0.43333333333333335,0.28373015873015867,0.34615384615384615,0.34615384615384615,0.34615384615384615,1.7917399406433105,0.34615384615384615,0.2873931623931623,,,,0.28373015873015867,0.15277777777777776,3,False,0.0001,3e-05,0.3,21.773098468780518,28.18359375,2.743652582168579,0.4009871482849121,0.41374874114990234,0.0,3.558675765991211
10,2.3675013184547424,1.4685141742229462,0.8172592371702194,0.7236166149377823,-0.3137613609433174,0.9931156039237976,0.7661970555782318,10.605592966079712,1.4975686073303223,1.0,0.0,2.0,0.3333333333333333,1.0,0.9456521739130435,0.9021739130434783,0.9456521739130435,0.9239130434782609,0.8885869565217391,0.7661970555782318,0.7683705687522888,0.7640235424041748,0.9931156039237976,1.1017278134822845,0.8799645006656647,0.3599660247564316,0.259331151843071,1.3798816800117493,1.393753558397293,1.545735090970993,0.0,0.0038899671635590494,0.020698225125670433,0.027875070460140705,0.9274410903453827,1.535106897354126,0.38461538461538464,0.2777777777777778,0.4666666666666666,0.3068783068783069,0.38461538461538464,0.38461538461538464,0.38461538461538464,1.505035638809204,0.38461538461538464,0.31054131054131057,0.5208333333333334,0.44344449638979794,0.4030797101449275,0.3068783068783069,0.24423076923076922,3,False,0.0001,3e-05,0.3,21.771732330322266,28.18359375,3.0846033096313477,0.4001314640045166,0.39856529235839844,0.6000156402587891,4.483618259429932
