epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.903564055760701,5.8408567905426025,3.232250928878784,3.2607572873433432,0.20902402636905512,0.0,0.0,16.70649528503418,0.0,1.0,0.0,0.0,0.0,0.0,0.10144927536231885,0.09420289855072464,0.10144927536231885,0.09601449275362318,0.10326086956521739,0.0,0.0,0.0,0.0,0.9301892817020416,0.3647467643022537,0.3664077470699946,0.2697774221499761,2.054993907610575,2.0954668521881104,6.527950366338094,0.0,0.0,0.0,0.0,0.0,2.9118353128433228,0.025,0.004261363636363636,0.03409090909090909,0.007575757575757576,0.025,0.025,0.025000000000000005,2.8209102153778076,0.05,0.016129032258064516,0.06666666666666667,0.02378725428027901,0.02934782608695652,0.007575757575757576,0.007575757575757576,1,False,7.5e-05,3e-05,0.4,21.770931243896484,28.18359375,4.594170808792114,0.5791134834289551,0.5909650325775146,0.8426940441131592,6.60723876953125
2,4.596005042394002,4.5169440905253095,2.539514104525248,2.471787412961324,0.26353636880715686,0.0,0.0,12.64522123336792,0.0,1.0,0.0,0.0,0.0,0.0,0.20652173913043478,0.20108695652173914,0.20652173913043478,0.20833333333333334,0.21557971014492755,0.0,0.0,0.0,0.0,1.0010400414466858,0.3372090111176173,0.3702820340792338,0.2723331352074941,2.0488231976826987,2.102186997731527,5.114663283030192,0.0,0.0,0.0,0.0,0.0,2.3016483783721924,0.2916666666666667,0.15025252525252525,0.21524194809255784,0.16093117408906882,0.2916666666666667,0.2916666666666667,0.2916666666666667,2.2688539028167725,0.2916666666666667,0.1768483709273183,,,,0.16093117408906882,0.16093117408906882,1,False,7.5e-05,3e-05,0.4,21.772159576416016,28.18359375,3.2700209617614746,0.5785398483276367,0.5855515003204346,0.0,4.4343791007995605
3,3.9526886542638144,3.8767336209615073,2.1732861399650574,2.1293093164761863,0.2531834344069163,0.0,0.0,10.887238502502441,0.0,1.0,0.0,0.0,0.0,0.0,0.322463768115942,0.33695652173913043,0.322463768115942,0.2916666666666667,0.33152173913043476,0.0,0.0,0.0,0.0,1.0176455676555634,0.36615989605585736,0.37225982050100964,0.273428812623024,2.022060434023539,2.0704909563064575,4.300914605458577,0.0,0.0,0.0,0.0,0.0,2.4430623054504395,0.08333333333333333,0.19788481141692152,0.20922256097560976,0.09185374731287864,0.08333333333333333,0.08333333333333333,0.08333333333333333,,,,,,,0.09185374731287864,0.09185374731287864,1,False,7.5e-05,3e-05,0.4,21.770931243896484,28.18359375,3.440941095352173,0.5832505226135254,0.0,0.0,4.024463891983032
4,3.773315707842509,3.410518487294515,1.8973026474316914,1.891519824663798,0.15935430924097696,0.31499092777570087,0.0,10.162893772125244,0.0,1.0,0.0,0.0,0.0,0.125,0.42028985507246375,0.4365942028985507,0.42028985507246375,0.3804347826086957,0.40217391304347827,0.0,0.0,0.0,0.31499092777570087,1.0090572834014893,0.37318753202756244,0.3715044955412547,0.27347103754679364,1.9623385866483052,2.018755078315735,3.9362833897272744,0.0,0.0011964358078936737,0.012264616166551908,0.006308609697346886,0.2952212641636531,2.781163811683655,0.058333333333333334,0.05893393393393393,0.1875,0.06540247678018576,0.058333333333333334,0.058333333333333334,0.058333333333333334,,,,,,,0.06540247678018576,0.06540247678018576,1,False,7.5e-05,3e-05,0.4,21.772159576416016,28.18359375,3.1902577877044678,0.5786850452423096,0.0,0.0,3.7691566944122314
5,3.55165958404541,2.970614711443583,1.6250340938568115,1.6819757223129272,0.07057696487754583,0.5598717828591665,0.0,9.915292421976725,0.0,1.0,0.0,0.0,0.0,0.25,0.5289855072463768,0.572463768115942,0.5289855072463768,0.5235507246376812,0.5072463768115942,0.0,0.0,0.0,0.5598717828591665,0.9245759050051371,0.37070082128047943,0.3704375425974528,0.2722584754228592,1.9187822739283245,1.9638117551803589,3.474872628847758,0.0,0.0023822616785764694,0.0239847789828976,0.012273823842406273,0.5212309261163076,2.249477982521057,0.15,0.38593380614657213,0.3060749662585559,0.22943766232090557,0.15,0.15,0.15,2.221609115600586,0.14166666666666666,0.19447482342219183,0.12903225806451613,0.17160508775783917,0.394518466573165,0.22943766232090557,0.22943766232090557,1,False,7.5e-05,3e-05,0.4,21.770931243896484,28.18359375,3.808178424835205,0.7284996509552002,0.5840766429901123,0.8305063247680664,5.951506614685059
6,3.403419772783915,2.6571315924326577,1.4927985270818074,1.4554163018862407,0.007593313852945964,0.7440102199713389,0.9456037481625875,10.043472131093344,1.8271243572235107,1.0,0.0,3.0,0.06666666666666667,0.375,0.6413043478260869,0.605072463768116,0.6413043478260869,0.5742753623188406,0.6068840579710145,0.9456037481625875,0.903040369351705,0.9881671269734701,0.7440102199713389,0.9544133245944977,0.35936981439590454,0.3677593618631363,0.26995566487312317,1.8522894382476807,1.9050174355506897,3.0455535650253296,0.0,0.0035431680347149572,0.03473042820890745,0.017859539637962978,0.685249517361323,1.7515310645103455,0.38333333333333336,0.5324763431013432,0.4552214653056381,0.36243835742595554,0.38333333333333336,0.38333333333333336,0.38333333333333336,1.7310057878494263,0.4166666666666667,0.3927515551976759,,,,0.36243835742595554,0.36243835742595554,1,False,7.5e-05,3e-05,0.4,21.773098468780518,28.18359375,3.667029619216919,0.572162389755249,0.5758142471313477,0.0,4.815278768539429
7,3.203265070915222,2.3337525129318237,1.3217980861663818,1.2649429837862651,-0.004427366269131501,0.8708407779534658,0.9621555010477701,9.534385045369467,1.7581158081690471,1.0,0.0,3.0,0.13333333333333333,0.5,0.7336956521739131,0.6956521739130435,0.7336956521739131,0.6702898550724637,0.6938405797101449,0.9621555010477701,0.921739379564921,1.0025715827941895,0.8708407779534658,0.9521865348021189,0.3665110766887665,0.36534935732682544,0.2682155023018519,1.77338312069575,1.818228503068288,2.646032452583313,0.0,0.004693771402041118,0.04433457863827547,0.022727856722970802,0.7938097814718882,1.4451711177825928,0.5833333333333334,0.6759848484848485,0.7328270880762926,0.5873696356454977,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.4366482496261597,0.5583333333333333,0.5931137810577352,,,,0.5873696356454977,0.5873696356454977,1,False,7.5e-05,3e-05,0.4,21.771870136260986,28.18359375,3.8644931316375732,0.5726315975189209,0.5841090679168701,0.0,5.021498441696167
8,3.2876776854197183,2.2453291416168213,1.2382521828015645,1.2588461836179097,-0.02186202413092057,1.0489071607589722,0.9579364856084188,10.386936982472738,1.6921153863271077,1.0,0.0,3.0,0.2,0.625,0.7373188405797102,0.7445652173913043,0.7373188405797102,0.7463768115942029,0.7192028985507246,0.9579364856084188,0.9469451308250427,0.9689278403917948,1.0489071607589722,0.9687414367993673,0.42893469830354053,0.3636358082294464,0.2679693400859833,1.742833395799001,1.7714705268541973,2.5400439500808716,0.0,0.0058618292678147554,0.05446354361871878,0.027679226982096832,0.952516496181488,1.5228251814842224,0.5083333333333333,0.674539021689757,0.7249085087764833,0.5676221522485884,0.5083333333333333,0.5083333333333333,0.5083333333333333,,,,,,,0.5676221522485884,0.5676221522485884,1,False,7.5e-05,3e-05,0.4,21.773098468780518,28.18359375,3.6914737224578857,0.570281982421875,0.0,0.0,4.262036561965942
9,3.29269806543986,2.103860338528951,1.191932459672292,1.1399098634719849,0.002434989127020041,1.188107152779897,0.9291113018989563,10.768189430236816,1.6329670747121174,1.0,0.0,3.0,0.26666666666666666,0.75,0.802536231884058,0.7789855072463768,0.802536231884058,0.7717391304347826,0.7608695652173914,0.9291113018989563,0.9405086040496826,0.9177140196164449,1.188107152779897,0.9909714957078298,0.4850352754195531,0.36185312271118164,0.26694827278455097,1.663850446542104,1.6864488919576008,2.389503081639608,0.0,0.007007392045731346,0.062394394228855767,0.031620917531351246,1.0752763748168945,1.294894278049469,0.6916666666666667,0.7088609307359308,0.8137407396421183,0.6899339594655842,0.6916666666666667,0.6916666666666667,0.6916666666666667,1.3069446086883545,0.6583333333333333,0.6614723796495342,,,,0.6899339594655842,0.6899339594655842,1,False,7.5e-05,3e-05,0.4,21.771870136260986,28.18359375,3.3794479370117188,0.5686216354370117,0.5857017040252686,0.0,4.533987998962402
10,3.23863685131073,1.9663985172907512,1.11749666929245,1.061127285162608,-0.005995205603539944,1.2740369240442913,0.9010769526163737,10.811090151468912,1.5096365213394165,1.0,0.0,3.0,0.3333333333333333,0.875,0.8061594202898551,0.7916666666666666,0.8061594202898551,0.842391304347826,0.7952898550724637,0.9010769526163737,0.8984869519869486,0.9036669333775839,1.2740369240442913,0.9527202844619751,0.45561863978703815,0.36118196447690326,0.2657177448272705,1.6228262186050415,1.6287976304690044,2.1813093423843384,0.0,0.0081376062395672,0.07099864756067593,0.03562994798024496,1.1451873381932576,1.2019622921943665,0.7333333333333333,0.7312522364331575,0.8361426484438149,0.7244181251849363,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.21465665102005,0.7166666666666667,0.7007721283884073,0.7290322580645161,0.7059154967096899,0.11335904628330995,0.7244181251849363,0.7244181251849363,1,False,7.5e-05,3e-05,0.4,21.773098468780518,28.18359375,3.7563509941101074,0.580955982208252,0.5847482681274414,0.8512828350067139,5.7736287117004395
