epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,6.008690714836121,5.9965291023254395,3.3847280740737915,3.2647512555122375,0.040538692846894264,0.0,0.0,16.112212419509888,0.0,1.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.08423913043478261,0.08695652173913043,0.09782608695652174,0.11413043478260869,0.0,0.0,0.0,0.0,0.8814794272184372,0.7972389459609985,0.35520369559526443,0.26717711985111237,2.1418992280960083,2.2128225564956665,6.707139015197754,0.0,0.0,0.0,0.0,0.0,2.7694711685180664,0.21621621621621623,0.0547008547008547,0.13425925925925927,0.07175925925925924,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.665048837661743,0.1891891891891892,0.06339254615116684,0.12878787878787878,0.043295019157088124,-0.03096179183135704,0.07175925925925924,-inf,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.770931243896484,28.18359375,3.653700590133667,0.49131202697753906,0.4769315719604492,0.7284555435180664,5.350710153579712
2,5.228877782821655,5.217941880226135,2.9793366193771362,2.7982563972473145,0.03645309526473284,0.0,0.0,13.614250898361206,0.0,1.0,0.0,0.0,0.0,0.0,0.14945652173913043,0.125,0.14945652173913043,0.15760869565217392,0.11956521739130435,0.0,0.0,0.0,0.0,0.8962041139602661,0.773551419377327,0.35752178728580475,0.2691951394081116,2.123157799243927,2.195693016052246,5.970470666885376,0.0,0.0,0.0,0.0,0.0,2.5471673011779785,0.24324324324324326,0.05628177196804648,0.13425925925925924,0.07915273132664438,0.24324324324324326,0.24324324324324326,0.24324324324324326,,,,,,,0.07915273132664438,-inf,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.771968841552734,28.18359375,3.4944307804107666,0.46988368034362793,0.0,0.0,3.9645402431488037
3,4.639532089233398,4.6201664209365845,2.6173635125160217,2.5035032629966736,0.06455229222774506,0.0,0.0,12.111610889434814,0.0,1.0,0.0,0.0,0.0,0.0,0.2391304347826087,0.1956521739130435,0.2391304347826087,0.22554347826086957,0.19293478260869565,0.0,0.0,0.0,0.0,0.8494430035352707,0.8546890616416931,0.3578908145427704,0.26911378651857376,2.1019784212112427,2.1762980222702026,5.299997091293335,0.0,0.0,0.0,0.0,0.0,2.353029489517212,0.1891891891891892,0.043634727845254156,0.10185185185185185,0.06107862248213124,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.2607834339141846,0.2702702702702703,0.24444444444444446,,,,0.06107862248213124,0.06107862248213124,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.772159576416016,28.18359375,3.4569897651672363,0.470264196395874,0.4769928455352783,0.0,4.404494524002075
4,4.2483978271484375,4.228248357772827,2.453718900680542,2.2181618213653564,0.06716487556695938,0.0,0.0,11.127016067504883,0.0,1.0,0.0,0.0,0.0,0.0,0.296195652173913,0.25815217391304346,0.296195652173913,0.2418478260869565,0.22282608695652173,0.0,0.0,0.0,0.0,0.919815257191658,0.7641166746616364,0.35873594135046005,0.26862818747758865,2.055529832839966,2.143849492073059,4.786405801773071,0.0,0.0,0.0,0.0,0.0,2.183357000350952,0.2972972972972973,0.3464387464387465,0.3009259259259259,0.2564454064454064,0.2972972972972973,0.2972972972972973,0.2972972972972973,,,,,,,0.2564454064454064,0.06107862248213124,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.770793914794922,28.18359375,3.5564918518066406,0.45309901237487793,0.0,0.0,4.009859800338745
5,4.034998834133148,4.0108776688575745,2.3256638050079346,2.106517344713211,0.08040386624634266,0.0,0.0,10.483567237854004,0.0,1.0,0.0,0.0,0.0,0.0,0.35597826086956524,0.2798913043478261,0.35597826086956524,0.3532608695652174,0.2798913043478261,0.0,0.0,0.0,0.0,0.8449026048183441,0.7159198075532913,0.3597063422203064,0.2676306739449501,2.0198066234588623,2.091519594192505,4.495515704154968,0.0,0.0,0.0,0.0,0.0,1.956441044807434,0.3783783783783784,0.4513888888888889,0.3935185185185185,0.40159932659932657,0.3783783783783784,0.3783783783783784,0.37837837837837834,1.8651996850967407,0.4594594594594595,0.4668593933299816,0.4621212121212121,0.49185855805870765,-0.1088603425559947,0.40159932659932657,0.06107862248213124,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.771968841552734,28.18359375,3.4843637943267822,0.4654405117034912,0.475522518157959,0.7274661064147949,5.153038740158081
6,3.707235276699066,3.5832419395446777,2.0605306029319763,1.903389185667038,0.0767917251214385,0.10095575451850891,0.0,9.967220544815063,0.0,1.0,0.0,0.0,0.0,0.1,0.4375,0.391304347826087,0.4375,0.41304347826086957,0.3451086956521739,0.0,0.0,0.0,0.10095575451850891,0.7988835573196411,0.6851244121789932,0.35841911286115646,0.2675953060388565,1.9553521573543549,2.0355865955352783,3.985832631587982,0.0,0.0012041788431815803,0.007821409031748772,0.012213519774377346,0.07971664890646935,1.654914140701294,0.5945945945945946,0.6619047619047619,0.5925925925925927,0.6029341029341029,0.5945945945945946,0.5945945945945946,0.5945945945945946,1.5801417827606201,0.6216216216216216,0.6078197945845005,,,,0.6029341029341029,0.2564454064454064,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.772159576416016,28.18359375,3.5034255981445312,0.4623279571533203,0.46637487411499023,0.0,4.4324119091033936
7,3.5846409797668457,3.365167021751404,1.9343343079090118,1.7885408699512482,0.07693289499729872,0.19639400392770767,0.0,9.233710050582886,0.0,1.0,0.0,0.0,0.0,0.2,0.5027173913043478,0.3967391304347826,0.5027173913043478,0.44021739130434784,0.4483695652173913,0.0,0.0,0.0,0.19639400392770767,0.8161130547523499,0.6524375379085541,0.35920586436986923,0.26630911231040955,1.9729287922382355,2.0204185843467712,3.8492191433906555,0.0,0.0023967819288372993,0.015783431008458138,0.024245023261755705,0.15396876633167267,1.428713083267212,0.7297297297297297,0.804320987654321,0.7870370370370371,0.7894420394420395,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.3646998405456543,0.8108108108108109,0.8601731601731601,,,,0.7894420394420395,0.40159932659932657,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.770793914794922,28.18359375,3.4438700675964355,0.47644758224487305,0.5283136367797852,0.0,4.448899745941162
8,3.748781383037567,3.416062295436859,2.0033823549747467,1.7658498585224152,0.12456461973488331,0.29534969478845596,0.8256990313529968,9.803262710571289,1.602850079536438,1.0,0.0,2.0,0.06666666666666667,0.3,0.47554347826086957,0.391304347826087,0.47554347826086957,0.5163043478260869,0.375,0.8256990313529968,0.8183890581130981,0.8330089449882507,0.29534969478845596,0.8787171393632889,0.6739894151687622,0.3593946024775505,0.2646239176392555,1.9779910445213318,2.0028094351291656,3.8233830332756042,0.0,0.0035724229528568685,0.023735892958939075,0.036050569266080856,0.22940297424793243,1.2774091958999634,0.8378378378378378,0.8888888888888888,0.8750000000000001,0.8765873015873016,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.227703332901001,0.8918918918918919,0.9202380952380954,,,,0.8765873015873016,0.6029341029341029,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.772907733917236,28.18359375,3.312809944152832,0.4655766487121582,0.4760558605194092,0.0,4.254716634750366
9,3.5858941674232483,3.177131414413452,1.8410364389419556,1.6701187491416931,0.09267306234687567,0.3809608817100525,0.8244867920875549,9.227537393569946,1.5981751084327698,1.0,0.0,2.0,0.13333333333333333,0.4,0.5815217391304348,0.4592391304347826,0.5815217391304348,0.5027173913043478,0.4429347826086957,0.8244867920875549,0.8325601816177368,0.816413402557373,0.3809608817100525,0.8284400552511215,0.6979334801435471,0.36037974059581757,0.2639395743608475,1.94162055850029,1.9776336252689362,3.6574114561080933,0.0,0.004750912077724934,0.031065930612385273,0.04746320657432079,0.2925929129123688,1.1806159019470215,0.8918918918918919,0.9222222222222223,0.9305555555555556,0.9172839506172841,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.1399505138397217,0.8918918918918919,0.9172839506172841,,,,0.9172839506172841,0.7894420394420395,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.773098468780518,28.18359375,3.607997417449951,0.47198486328125,0.4697725772857666,0.0,4.550079822540283
10,3.4766175150871277,3.004143536090851,1.780941128730774,1.5290029644966125,0.07279272750020027,0.450636126101017,0.8563458323478699,9.221604585647583,1.602988600730896,1.0,0.0,2.0,0.2,0.5,0.5978260869565217,0.5217391304347826,0.5978260869565217,0.5271739130434783,0.5434782608695652,0.8563458323478699,0.8662471175193787,0.8464445471763611,0.450636126101017,0.8698525428771973,0.6538909077644348,0.3589198812842369,0.26177147775888443,1.913577675819397,1.9510956704616547,3.4032313227653503,0.0,0.0058898585848510265,0.03827155288308859,0.058532869443297386,0.3403231352567673,1.1007888317108154,0.8918918918918919,0.9222222222222223,0.9305555555555556,0.9172839506172841,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.0709854364395142,0.8918918918918919,0.9172839506172841,0.9318181818181818,0.9447671754503991,-0.4046442687747035,0.9172839506172841,0.8765873015873016,3,False,5.5e-05,2.4e-05,0.43636363636363634,21.771732330322266,28.18359375,3.645172357559204,0.4673759937286377,0.47945594787597656,0.7262976169586182,5.318594932556152
