epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.59727668762207,5.684646129608154,3.0831390619277954,2.890563666820526,-0.29123177006840706,0.0,0.0,16.943398475646973,0.0,1.0,0.0,0.0,0.0,0.0,0.12771739130434784,0.09510869565217392,0.12771739130434784,0.14130434782608695,0.09239130434782608,0.0,0.0,0.0,0.0,0.530420608818531,1.1821309626102448,0.3524703234434128,0.2639557346701622,1.7689759731292725,1.794343650341034,6.031792879104614,0.0,0.0,0.0,0.0,0.0,2.6818456649780273,0.11538461538461539,0.18115942028985507,0.25,0.13777777777777778,0.11538461538461539,0.11538461538461539,0.11538461538461539,2.6796698570251465,0.11538461538461539,0.08333333333333333,0.09375,0.06255792400370713,0.047554347826086946,0.13777777777777778,-inf,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.770931243896484,28.18359375,3.6328020095825195,0.3947932720184326,0.3999335765838623,0.5877852439880371,5.015625953674316
2,4.440389394760132,4.484918415546417,2.381808280944824,2.336789071559906,-0.14843019843101501,0.0,0.0,13.705680131912231,0.0,1.0,0.0,0.0,0.0,0.0,0.26358695652173914,0.26902173913043476,0.26358695652173914,0.26902173913043476,0.23641304347826086,0.0,0.0,0.0,0.0,0.4712384045124054,1.0714209228754044,0.35146810859441757,0.2651044577360153,1.7414236962795258,1.7852806448936462,4.734326720237732,0.0,0.0,0.0,0.0,0.0,2.3808932304382324,0.23076923076923078,0.0787037037037037,0.3,0.12409812409812408,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.12409812409812408,-inf,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.771968841552734,28.18359375,2.796297311782837,0.3985714912414551,0.0,0.0,3.19510555267334
3,3.6499757170677185,3.6664085388183594,2.0101872384548187,1.840245932340622,-0.0547762755304575,0.0,0.0,11.661871194839478,0.0,1.0,0.0,0.0,0.0,0.0,0.4483695652173913,0.3804347826086957,0.4483695652173913,0.4157608695652174,0.38315217391304346,0.0,0.0,0.0,0.0,0.48212191462516785,0.9913282990455627,0.3522220775485039,0.26503095030784607,1.693857729434967,1.7603386640548706,4.071120202541351,0.0,0.0,0.0,0.0,0.0,2.4536092281341553,0.19230769230769232,0.036231884057971016,0.16666666666666666,0.059523809523809514,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.5966317653656006,0.2692307692307692,0.1346153846153846,,,,0.059523809523809514,0.059523809523809514,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.772159576416016,28.18359375,3.4249043464660645,0.4767494201660156,0.46027469635009766,0.0,4.362152099609375
4,3.265552818775177,3.30658096075058,1.8908651769161224,1.5730176270008087,-0.13676049700006843,0.0,0.0,10.67781949043274,0.0,1.0,0.0,0.0,0.0,0.0,0.5353260869565217,0.40217391304347827,0.5353260869565217,0.5407608695652174,0.46195652173913043,0.0,0.0,0.0,0.0,0.5412135273218155,0.9855644106864929,0.3544548973441124,0.2642569914460182,1.6860180497169495,1.7334220111370087,3.6111331582069397,0.0,0.0,0.0,0.0,0.0,2.6226909160614014,0.19230769230769232,0.032051282051282055,0.16666666666666666,0.05376344086021506,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.05376344086021506,0.05376344086021506,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.770793914794922,28.18359375,2.8384997844696045,0.39481496810913086,0.0,0.0,3.2335965633392334
5,2.941029191017151,2.7432615756988525,1.5091539919376373,1.3712307810783386,-0.15875898487865925,0.24539531022310257,0.0,9.148910284042358,0.0,1.0,0.0,0.0,0.0,0.125,0.6494565217391305,0.5788043478260869,0.6494565217391305,0.6114130434782609,0.4891304347826087,0.0,0.0,0.0,0.24539531022310257,0.5328967198729515,0.9007423669099808,0.3542557433247566,0.263761043548584,1.6521968841552734,1.691579669713974,3.0476657152175903,0.0053138359216973186,0.0,0.005163115449249744,0.0063434235053136945,0.2285749390721321,2.5185656547546387,0.19230769230769232,0.03333333333333333,0.16666666666666666,0.05555555555555556,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.6549484729766846,0.23076923076923078,0.11965811965811964,0.23958333333333334,0.1444954128440367,0.3718297101449275,0.05555555555555556,0.05376344086021506,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.771968841552734,28.18359375,3.016108751296997,0.394805908203125,0.4084815979003906,0.6102750301361084,4.4299163818359375
6,2.998087227344513,2.594117283821106,1.4585726857185364,1.2617162466049194,-0.17763233184814453,0.4572596400976181,0.0,9.053717613220215,0.0,1.0,0.0,0.0,0.0,0.25,0.7309782608695652,0.6385869565217391,0.7309782608695652,0.75,0.6005434782608695,0.0,0.0,0.0,0.4572596400976181,0.5594747513532639,0.8929522186517715,0.35186706483364105,0.2616996765136719,1.6224502921104431,1.6529733538627625,2.8277732133865356,0.010556011693552136,0.0,0.010140314465388656,0.012397299986332655,0.4241660013794899,2.356456756591797,0.19230769230769232,0.036231884057971016,0.16666666666666666,0.059523809523809514,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.059523809523809514,0.05376344086021506,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.772159576416016,28.18359375,3.1373722553253174,0.3956146240234375,0.0,0.0,3.5332071781158447
7,3.0301786065101624,2.4326024651527405,1.361067146062851,1.1905947625637054,-0.1017848402261734,0.6281114965677261,0.8111468553543091,9.18990182876587,1.5350109934806824,1.0,0.0,2.0,0.06666666666666667,0.375,0.717391304347826,0.6847826086956522,0.717391304347826,0.7391304347826086,0.6711956521739131,0.8111468553543091,0.8153692185878754,0.8069245219230652,0.6281114965677261,0.594942569732666,0.7741153985261917,0.3486151248216629,0.26066889613866806,1.5852099061012268,1.6175774335861206,2.56684148311615,0.01568768103606999,0.0,0.014861343428492546,0.018197746481746435,0.5775393098592758,1.8499970436096191,0.38461538461538464,0.18055555555555555,0.4166666666666667,0.25,0.38461538461538464,0.38461538461538464,0.38461538461538464,,,,,,,0.25,0.05555555555555556,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.771076679229736,28.18359375,2.9496843814849854,0.3977351188659668,0.0,0.0,3.347654104232788
8,3.010336697101593,2.2215582132339478,1.2590256035327911,1.0694806575775146,-0.034057353623211384,0.7989956587553024,0.8127766847610474,8.984849691390991,1.532318651676178,1.0,0.0,2.0,0.13333333333333333,0.5,0.7934782608695652,0.7228260869565217,0.7934782608695652,0.8097826086956522,0.7228260869565217,0.8127766847610474,0.830982893705368,0.7945705354213715,0.7989956587553024,0.5702245682477951,0.8642734438180923,0.34589605033397675,0.2593778148293495,1.5366940796375275,1.5655331015586853,2.4390829205513,0.020753762684762478,0.0,0.019208676647394896,0.023482995573431253,0.7317249029874802,2.181075096130371,0.38461538461538464,0.29901960784313725,0.4166666666666667,0.29797979797979796,0.38461538461538464,0.38461538461538464,0.38461538461538464,,,,,,,0.29797979797979796,0.059523809523809514,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.772907733917236,28.18359375,2.7570483684539795,0.4011268615722656,0.0,0.0,3.1584112644195557
9,2.938458204269409,2.0542634427547455,1.159089595079422,0.9946376383304596,-0.09786979015916586,0.913555696606636,0.794954776763916,8.874623537063599,1.4958735704421997,1.0,0.0,2.0,0.2,0.625,0.8396739130434783,0.7853260869565217,0.8396739130434783,0.8505434782608695,0.7418478260869565,0.794954776763916,0.771236777305603,0.818672776222229,0.913555696606636,0.5488801449537277,0.8985287249088287,0.3440459966659546,0.2562691569328308,1.480069875717163,1.5061722695827484,2.214922070503235,0.02580345096066594,0.0,0.023126091808080673,0.028240731451660395,0.8305957764387131,1.9142491817474365,0.46153846153846156,0.4633838383838384,0.5333333333333333,0.40915032679738567,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.924864411354065,0.46153846153846156,0.3819444444444444,,,,0.40915032679738567,0.25,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.773098468780518,28.18359375,3.235008478164673,0.3949570655822754,0.4040405750274658,0.0,4.034249544143677
10,2.8379300832748413,1.8865366280078888,1.088512808084488,0.8866931349039078,-0.1087189856916666,0.9840091168880463,0.792295515537262,9.051337003707886,1.4072189927101135,1.0,0.0,2.0,0.26666666666666666,0.75,0.9184782608695652,0.8179347826086957,0.9184782608695652,0.9239130434782609,0.842391304347826,0.792295515537262,0.835756927728653,0.7488341331481934,0.9840091168880463,0.5635399669408798,0.9381773769855499,0.3386855125427246,0.2552696466445923,1.413228690624237,1.4443262219429016,1.970050871372223,0.030481697525829077,0.0,0.026498038787394762,0.03249734174460173,0.8865228742361069,1.866041660308838,0.4230769230769231,0.46875,0.45,0.35714285714285715,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.822697401046753,0.4230769230769231,0.3333333333333333,0.4895833333333333,0.5205096073517126,0.43432971014492755,0.35714285714285715,0.29797979797979796,3,False,8.5e-05,2.75e-05,0.32352941176470584,21.771732330322266,28.18359375,2.7594242095947266,0.39504265785217285,0.4018828868865967,0.5984461307525635,4.1551032066345215
