run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_generator_total,best_train_dual_d_adv_auxiliary,best_train_acc_source_like,best_train_dual_d_classification_feedback,best_train_acc_target_like,best_train_dual_d_prototype_contrastive,best_train_dual_d_adv_primary,best_train_dual_d_contrastive,best_train_dual_d_identity,best_train_dual_d_cycle
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712,module_c_full_逆光_20260830_023712/metrics_iter01,full,逆光,1,45,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/metrics_iter01.csv,40,28.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/result_summary_iter01.json,0.5206517411602868,0.721062547630734,0.8611111111111112,2.078640659650167,0.8263888888888888,1.5250693294737074,0.7078333364592658,1.3073299063576593,0.2145588000615438,0.2452980031569799
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712,module_c_full_逆光_20260830_023712/metrics_iter02,full,逆光,2,46,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/metrics_iter02.csv,39,27.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/result_summary_iter02.json,0.5168946716520522,0.9889975057707893,0.8333333333333334,1.9995892312791612,0.8055555555555556,1.5185468461778429,0.7351375288433499,1.2994045813878377,0.22620637052588993,0.2539560596148173
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712,module_c_full_逆光_20260830_023712/metrics_iter03,full,逆光,3,47,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/metrics_iter03.csv,46,34.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_逆光_20260830_023712/result_summary_iter03.json,0.437470942735672,0.5034234192636278,0.9305555555555556,1.7293708589341905,0.9097222222222222,1.251588225364685,0.5848643051253425,1.1579965750376384,0.21459709604581198,0.23995861576663124
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712,module_c_full_雨天_20260830_023712/metrics_iter01,full,雨天,1,48,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/metrics_iter01.csv,54,42.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/result_summary_iter01.json,0.9804913798967997,0.7551038563251495,0.9791666666666666,1.431984305381775,0.9583333333333334,0.947837769985199,0.9240444997946421,0.7865483164787292,0.22714397311210632,0.2828362633784612
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712,module_c_full_雨天_20260830_023712/metrics_iter02,full,雨天,2,49,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/metrics_iter02.csv,46,34.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/result_summary_iter02.json,1.0181272228558857,0.8580959935983022,1.0,1.4924547870953877,0.9479166666666666,0.9890964031219482,0.578973392645518,0.9319212039311727,0.23290968189636865,0.2926604449748993
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712,module_c_full_雨天_20260830_023712/metrics_iter03,full,雨天,3,50,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/metrics_iter03.csv,44,32.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_雨天_20260830_023712/result_summary_iter03.json,1.015184799830119,0.5697922060887018,0.96875,1.477935532728831,0.9583333333333334,1.1076749960581462,0.799690177043279,1.0746379693349202,0.23052048434813818,0.29312173028786975
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712,module_c_full_黑天_20260830_023712/metrics_iter01,full,黑天,1,42,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/metrics_iter01.csv,50,34.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/result_summary_iter01.json,0.6059256633122762,0.43101614316304526,0.9958333333333333,0.8235812505086263,1.0,0.35651619036992394,0.43310741484165194,0.3235775798559189,0.14758174518744152,0.15496310740709304
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712,module_c_full_黑天_20260830_023712/metrics_iter02,full,黑天,2,43,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/metrics_iter02.csv,50,32.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/result_summary_iter02.json,0.6191985865434011,0.3666972368955612,0.9979166666666667,0.8355561792850494,0.9958333333333333,0.41008478701114653,0.4776932189861933,0.39488318661848704,0.15878399163484574,0.1586420014500618
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712,module_c_full_黑天_20260830_023712/metrics_iter03,full,黑天,3,44,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/metrics_iter03.csv,53,38.0,0.9916666666666667,0.9953703703703703,0.9886363636363636,0.9916891284815813,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_full_黑天_20260830_023712/result_summary_iter03.json,0.6092960973580678,0.5281032204627991,0.9979166666666667,0.8251588424046834,1.0,0.3381333351135254,0.5324518611033757,0.3129777212937673,0.14820501705010733,0.14213963697353998
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021,module_c_no_classification_feedback_逆光_20260830_042021/metrics_iter01,no_classification_feedback,逆光,1,45,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/metrics_iter01.csv,47,35.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,1.0,0.027027027027026973,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/result_summary_iter01.json,0.16441503994994694,0.4416409664683872,0.9583333333333334,1.6708727545208402,0.9444444444444444,1.279682093196445,0.46321118209097123,1.1162711381912231,0.2803887625535329,0.14609715508090126
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021,module_c_no_classification_feedback_逆光_20260830_042021/metrics_iter02,no_classification_feedback,逆光,2,46,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/metrics_iter02.csv,51,39.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/result_summary_iter02.json,0.16532507869932386,0.5356003145376841,0.9166666666666666,1.715574688381619,0.875,1.3044093979729547,0.3950645691818661,1.0844644374317594,0.3007748458120558,0.14011996156639522
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021,module_c_no_classification_feedback_逆光_20260830_042021/metrics_iter03,no_classification_feedback,逆光,3,47,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/metrics_iter03.csv,49,37.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_逆光_20260830_042021/result_summary_iter03.json,0.15473599400785235,0.3420545111099879,0.9652777777777778,1.7140845987531874,0.8541666666666666,1.1894968880547419,0.456637614303165,1.0597102377149794,0.2650468183888329,0.15298013389110565
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_雨天_20260830_042021,module_c_no_classification_feedback_雨天_20260830_042021/metrics_iter01,no_classification_feedback,雨天,1,48,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_雨天_20260830_042021/metrics_iter01.csv,60,55.0,1.0,1.0,1.0,1.0,1.0,0.0,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_雨天_20260830_042021/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_雨天_20260830_042021/result_summary_iter01.json,0.08580006907383601,0.4049432923396428,0.9895833333333334,1.559919536113739,0.8854166666666666,0.9052846332391103,0.5209546287854513,0.755714346965154,0.32737400631109875,0.10871968294183414
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_雨天_20260830_042021,module_c_no_classification_feedback_雨天_20260830_042021/metrics_iter02,no_classification_feedback,雨天,2,49,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_雨天_20260830_042021/metrics_iter02.csv,56,44.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_雨天_20260830_042021/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_classification_feedback_雨天_20260830_042021/result_summary_iter02.json,0.08510174602270126,0.42031622926394147,0.96875,1.4740614692370098,0.90625,0.8804377714792887,0.3451688140630722,0.8512280484040579,0.2983310967683792,0.12199945747852325
