epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.589081954956055,4.572180612881978,2.46229837735494,2.4822142362594604,0.056337938209374744,0.0,0.0,27.39597250620524,0.0,1.0,0.0,0.0,0.0,0.0,0.24583333333333332,0.23333333333333334,0.24583333333333332,0.20416666666666666,0.22083333333333333,0.0,0.0,0.0,0.0,1.0390117208162943,0.33735077530145646,0.36854276061058044,0.27048724790414175,1.7648274064064027,2.0737024625142415,5.149076819419861,0.0,0.0,0.0,0.0,0.0,2.0059656351804733,0.15,0.26274447278911567,0.3384045302523564,0.15407390468148982,0.15,0.15,0.15,2.0651280879974365,0.15833333333333333,0.16984859711757141,0.13763440860215054,0.14746965888472793,0.06653225806451613,0.15407390468148982,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,3.1425716876983643,0.4292478561401367,0.4179084300994873,0.6990301609039307,4.689049005508423
2,3.030677382151286,3.095323117574056,1.6837724884351095,1.6606477757294973,-0.2154858022928238,0.0,0.0,21.591771507263182,0.0,1.0,0.0,0.0,0.0,0.0,0.48125,0.47708333333333336,0.48125,0.47291666666666665,0.4166666666666667,0.0,0.0,0.0,0.0,0.9670108755429586,0.31949172566334405,0.3712983598311742,0.2703046609958013,1.706301208337148,1.9736737410227458,3.4961698691050214,0.0,0.0,0.0,0.0,0.0,1.8413084000349045,0.26666666666666666,0.5304403011204482,0.4480287905360811,0.2860842136150235,0.26666666666666666,0.26666666666666666,0.26666666666666666,,,,,,,0.2860842136150235,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.089285850524902,5.125,2.477536678314209,0.4186522960662842,0.0,0.0,2.8964016437530518
3,2.478098154067993,2.4913942257563275,1.4069091121355692,1.2758648018042247,-0.04432026129215956,0.0,0.0,20.746946589152017,0.0,1.0,0.0,0.0,0.0,0.0,0.6479166666666667,0.58125,0.6479166666666667,0.6145833333333334,0.58125,0.0,0.0,0.0,0.0,0.8955990235010783,0.36266631335020066,0.37209815680980685,0.27222265005111695,1.6377601186434427,1.891168475151062,2.805836216608683,0.0,0.0,0.0,0.0,0.0,1.2838701717555523,0.5916666666666667,0.6837526964808912,0.7784095543904663,0.6402698309297592,0.5916666666666667,0.5916666666666667,0.5916666666666667,1.2957572489976883,0.5666666666666667,0.6207647905129757,,,,0.6402698309297592,0.15407390468148982,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,2.5156614780426025,0.42820167541503906,0.4279203414916992,0.0,3.37200665473938
4,2.1716463724772135,1.943375015258789,1.0963671108086903,0.996479860941569,0.09400493036955596,0.20006986757119496,0.0,18.81995350519816,0.0,1.0,0.0,0.0,0.0,0.125,0.7791666666666667,0.71875,0.7791666666666667,0.7354166666666667,0.7229166666666667,0.0,0.0,0.0,0.20006986757119496,0.8695850014686585,0.3787770802776019,0.3592124631007512,0.2670156349738439,1.5768588582674663,1.7872756560643515,2.1939144174257916,0.0053881868564834194,0.0,0.010840904557456572,0.005585236490393678,0.1782555401325226,0.9725374206900597,0.7916666666666666,0.7864803217937893,0.871100731188218,0.7790904835472023,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.9363421872258186,0.7833333333333333,0.7486849225336067,,,,0.7790904835472023,0.2860842136150235,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.497854709625244,0.4277362823486328,0.4194624423980713,0.0,3.3453235626220703
5,1.929405148824056,1.5863171974817911,0.8822004954020183,0.8283725718657176,0.07132336205492416,0.321690966685613,0.0,16.41990893681844,0.0,1.0,0.0,0.0,0.0,0.25,0.8166666666666667,0.8291666666666667,0.8166666666666667,0.84375,0.8229166666666666,0.0,0.0,0.0,0.321690966685613,0.8818024635314942,0.3360932225982348,0.3403270075718562,0.2594555566708247,1.5089970548947653,1.6437234958012898,1.7259026765823364,0.010209810050825278,0.0,0.020748709328472614,0.010273272078484297,0.2804591730237007,0.8672731928527355,0.7833333333333333,0.7342557003862151,0.8817408731247544,0.7658528199573726,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.8586932644248009,0.8083333333333333,0.7650396093487788,0.8408602150537634,0.7910148797973062,0.0028897849462365954,0.7658528199573726,0.6402698309297592,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.614502191543579,0.42115044593811035,0.4210782051086426,0.6934964656829834,4.150540828704834
6,1.8170379002888997,1.3518723169962565,0.7582474827766419,0.6983821421861649,0.14972402403752008,0.4202483822902044,0.9361685474713644,15.373699474334718,2.081590986251831,1.0,0.0,15.0,0.06666666666666667,0.375,0.8895833333333333,0.8854166666666666,0.8895833333333333,0.8916666666666667,0.8583333333333333,0.9361685474713644,0.8490604360898336,1.0232766628265382,0.4202483822902044,0.970884629090627,0.36844579378763836,0.32422116299470266,0.2529791722695033,1.3984857281049092,1.511242643992106,1.4786237120628356,0.014589952894796927,0.0,0.028843769120673338,0.014167900352428356,0.36041453878084817,0.9229078032076359,0.8,0.790683621933622,0.8707290191250956,0.795843502820247,0.8,0.8,0.8000000000000002,0.8748105093836784,0.8416666666666667,0.8448070607553365,,,,0.795843502820247,0.7658528199573726,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.5850765705108643,0.4305441379547119,0.4250962734222412,0.0,3.4409995079040527
7,1.7803738633791606,1.23488592505455,0.7107782741387685,0.6165972153345743,0.10389611391971508,0.5143190870682398,0.8754799803098042,14.677711804707846,1.966810949643453,1.0,0.0,15.0,0.13333333333333333,0.5,0.925,0.8895833333333333,0.925,0.925,0.90625,0.8754799803098042,0.828612232208252,0.9223477323849996,0.5143190870682398,0.9021641651789347,0.4295727550983429,0.3065170447031657,0.2459406793117523,1.2683371305465698,1.38918377161026,1.3515227595965067,0.018391022396584352,0.0,0.03487927100310723,0.017364797337601583,0.4392448792854945,0.874279797077179,0.8,0.7502185314685313,0.8777646664046452,0.7694944296717403,0.8,0.8,0.8000000000000002,,,,,,,0.7694944296717403,0.7658528199573726,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.5708975791931152,0.42422032356262207,0.0,0.0,2.995374917984009
8,1.7363685607910155,1.159209285179774,0.6364758471647899,0.6149804870287577,-0.029746354122956595,0.5860831966002782,0.8790393670399984,14.670928366978963,1.9248427073160808,1.0,0.0,15.0,0.2,0.625,0.9270833333333334,0.9125,0.9270833333333334,0.9270833333333334,0.9229166666666667,0.8790393670399984,0.8258519808451334,0.9322267611821492,0.5860831966002782,0.8482942879199982,0.48975083231925964,0.28998379011948905,0.24152386238177617,1.1941549996534984,1.3231735944747924,1.2207274258136749,0.02174878492951393,0.0,0.04104907910029094,0.020674587413668632,0.4959205160538355,0.7521791905164719,0.8666666666666667,0.8025333914053425,0.903791463043849,0.8292058477083967,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7529796734452248,0.8583333333333333,0.813367818848996,,,,0.8292058477083967,0.7694944296717403,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.67395281791687,0.42124390602111816,0.42079854011535645,0.0,3.516206979751587
9,1.7481144030888875,1.079358180363973,0.5891850809256236,0.5766742140054703,-0.03742455784231424,0.6799836019674937,0.9215147654215495,13.66808819770813,1.9421846866607666,1.0,0.0,15.0,0.26666666666666666,0.75,0.94375,0.9458333333333333,0.94375,0.9541666666666667,0.9520833333333333,0.9215147654215495,0.8795320272445679,0.9634974996248881,0.6799836019674937,0.8798494040966034,0.41003021399180095,0.2811319092909495,0.2393020217617353,1.098421980937322,1.2214996933937072,1.185373338063558,0.02530187281469504,0.0,0.04530990868806839,0.02290311995893717,0.5778695116440455,0.6537777222692966,0.8916666666666667,0.8645833333333333,0.9426293483822646,0.8813299663299663,0.8916666666666667,0.8916666666666667,0.8916666666666667,,,,,,,0.8813299663299663,0.7694944296717403,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.7217564582824707,0.4266011714935303,0.0,0.0,3.148625373840332
10,1.7115226149559022,0.9937549809614817,0.5338342090447744,0.5410832424958547,0.03647967154781024,0.7068237245082856,0.8478416522343953,11.080696058273315,1.831063453356425,1.0,0.0,15.0,0.3333333333333333,0.875,0.9666666666666667,0.975,0.9666666666666667,0.96875,0.975,0.8478416522343953,0.8365645130475362,0.8591187914212545,0.7068237245082856,0.8617847621440887,0.48790202140808103,0.27377732992172243,0.2360213746627172,1.0207056125005087,1.0959035217761994,1.0439302603403726,0.028746618578831356,0.0,0.04912145659327507,0.023972889160116514,0.5937353610992432,0.6390638835728168,0.925,0.8720274390243902,0.9399536704017086,0.8897497151818168,0.925,0.925,0.925,0.6494844146072865,0.9333333333333333,0.9144893483709274,0.9526881720430107,0.9349245593666304,0.016061827956989294,0.8897497151818168,0.8292058477083967,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.617316484451294,0.4247756004333496,0.4273083209991455,0.6868927478790283,4.156526565551758
11,1.7319810112317404,0.9611918350060781,0.5205340584119161,0.5184208969275157,-0.04052946002533039,0.7829479992389679,0.8195663173993428,10.86507203578949,1.7893861055374145,0.9666666666666667,0.0,15.0,0.4,1.0,0.975,0.9645833333333333,0.975,0.96875,0.9791666666666666,0.8195663173993428,0.8288060744603475,0.8103265682856242,0.7829479992389679,0.8853091478347779,0.5180281321207683,0.2671229710181554,0.23128293752670287,0.9600221395492554,0.9997012933095296,1.0139479021231332,0.032054755836725235,0.0,0.05280121775964896,0.024992532469332217,0.659066116809845,0.5507951453328133,0.9416666666666667,0.9494318181818182,0.9591631194892064,0.9519329322638147,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.5371862202882767,0.9416666666666667,0.9519329322638147,,,,0.9519329322638147,0.8813299663299663,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.5791687965393066,0.42285585403442383,0.4254014492034912,0.0,3.4276976585388184
