epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.7176441351572675,5.787143230438232,2.9044762452443442,3.2029634714126587,-0.2316635251045227,0.0,0.0,32.525916735331215,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.08333333333333333,0.125,0.11458333333333333,0.0,0.0,0.0,0.0,0.6164650619029999,1.2782915631930034,0.3499344090620677,0.26311494410037994,1.625191907087962,1.771532913049062,6.02100412050883,0.0,0.0,0.0,0.0,0.0,2.4994693994522095,0.23076923076923078,0.2196078431372549,0.35000000000000003,0.2077067669172932,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.5254909992218018,0.15384615384615385,0.13247863247863248,0.14583333333333334,0.11827956989247311,-0.020833333333333343,0.2077067669172932,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087515830993652,5.125,1.0949947834014893,0.382307767868042,0.3863828182220459,0.4438185691833496,2.307826519012451
2,4.69051726659139,4.745811303456624,2.5419411261876426,2.4487444957097373,-0.18431349595387778,0.0,0.0,28.11999448140462,0.0,1.0,0.0,0.0,0.0,0.0,0.23958333333333334,0.15625,0.23958333333333334,0.21875,0.2604166666666667,0.0,0.0,0.0,0.0,0.48686737815539044,1.1492953201134999,0.3493592441082001,0.2640550782283147,1.5837912360827129,1.7895294825236003,4.891437292098999,0.0,0.0,0.0,0.0,0.0,2.28718638420105,0.2692307692307692,0.10416666666666667,0.3333333333333333,0.14814814814814814,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.14814814814814814,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087332725524902,5.125,0.6902904510498047,0.37881040573120117,0.0,0.0,1.0693318843841553
3,4.215549786885579,4.20160973072052,2.3177555799484253,2.0931714375813804,0.04646684229373932,0.0,0.0,24.591869672139484,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.28125,0.375,0.3125,0.2604166666666667,0.0,0.0,0.0,0.0,0.6266871690750122,1.1010500590006511,0.34950511157512665,0.26321592926979065,1.6795612772305806,1.7697089513142903,4.202256997426351,0.0,0.0,0.0,0.0,0.0,2.1527035236358643,0.23076923076923078,0.06874999999999999,0.25,0.10714285714285714,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.2185532450675964,0.2692307692307692,0.13970588235294118,,,,0.10714285714285714,0.10714285714285714,3,False,9e-05,2.75e-05,0.3055555555555555,4.086325645446777,5.125,0.7593998908996582,0.3826305866241455,0.38486456871032715,0.0,1.5271272659301758
4,3.6672960122426352,3.6349957386652627,2.0217631459236145,1.792480727036794,0.1076677031815052,0.0,0.0,23.027339617411297,0.0,1.0,0.0,0.0,0.0,0.125,0.4270833333333333,0.3229166666666667,0.4270833333333333,0.4166666666666667,0.3541666666666667,0.0,0.0,0.0,0.0,0.6313391725222269,0.989160031080246,0.3491385479768117,0.26370970408121747,1.612539033095042,1.7654775778452556,3.96358060836792,0.0,0.0,0.0,0.0,0.0,2.1847214698791504,0.19230769230769232,0.03968253968253968,0.16666666666666666,0.0641025641025641,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.0641025641025641,0.0641025641025641,3,False,9e-05,2.75e-05,0.3055555555555555,4.088278770446777,5.125,0.8456244468688965,0.38408756256103516,0.0,0.0,1.2299821376800537
5,3.5355732838312783,3.5242580572764077,1.9076349536577861,1.7962478796641033,0.03771737093726794,0.0,0.0,21.4201176961263,0.0,1.0,0.0,0.0,0.0,0.25,0.5104166666666666,0.3958333333333333,0.5104166666666666,0.4791666666666667,0.3854166666666667,0.0,0.0,0.0,0.0,0.5474651555220286,1.0139651894569397,0.35135070482889813,0.2642153203487396,1.5892592469851177,1.7512903412183125,3.855460206667582,0.0,0.0,0.0,0.0,0.0,1.9472292065620422,0.34615384615384615,0.2660818713450292,0.30833333333333335,0.24206349206349206,0.34615384615384615,0.34615384615384615,0.34615384615384615,2.0152360796928406,0.4230769230769231,0.3637566137566138,0.3541666666666667,0.3008363013044661,0.125,0.24206349206349206,0.0641025641025641,3,False,9e-05,2.75e-05,0.3055555555555555,4.087119102478027,5.125,0.7881579399108887,0.3862879276275635,0.3848280906677246,0.43389034271240234,1.9934272766113281
6,3.141220966974894,3.1088228623072305,1.662535826365153,1.606985608736674,0.10799357543389003,0.0,0.0,21.218427975972492,0.0,1.0,0.0,0.0,0.0,0.375,0.5208333333333334,0.5520833333333334,0.5208333333333334,0.5,0.4583333333333333,0.0,0.0,0.0,0.0,0.5958079099655151,1.0242494543393452,0.34967658917109173,0.2622545709212621,1.5625119010607402,1.7367574373881023,3.6090803941090903,0.0,0.0,0.0,0.0,0.0,1.8182573318481445,0.4230769230769231,0.4568452380952381,0.4916666666666667,0.3924963924963925,0.4230769230769231,0.4230769230769231,0.4230769230769231,,,,,,,0.3924963924963925,0.0641025641025641,3,False,9e-05,2.75e-05,0.3055555555555555,4.088217735290527,5.125,0.7819106578826904,0.3854532241821289,0.0,0.0,1.1675944328308105
7,2.8394737243652344,2.8362401326497397,1.5512076218922932,1.4278139273325603,0.0036430582404136658,0.0021406769519671798,0.8096869389216105,19.685675303141277,2.1068070332209268,1.0,0.0,3.0,0.06666666666666667,0.5,0.625,0.5104166666666666,0.625,0.5833333333333334,0.4583333333333333,0.8096869389216105,0.751810888449351,0.86756298939387,0.0021406769519671798,0.6843981842199961,0.921109527349472,0.3504812866449356,0.26172736783822376,1.48294464747111,1.6920445760091145,3.2454682985941568,0.0,0.0,0.0,0.0,0.0,1.5829830169677734,0.5384615384615384,0.47685185185185186,0.6,0.49226998491704377,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.6467136144638062,0.5,0.41269841269841273,,,,0.49226998491704377,0.24206349206349206,3,False,9e-05,2.75e-05,0.3055555555555555,4.090224742889404,5.125,0.9947621822357178,0.38218212127685547,0.38564062118530273,0.0,1.7628021240234375
8,2.9954118728637695,2.971604307492574,1.5936215718587239,1.5310919880867004,0.06639208334187667,0.003889960120432079,0.848456879456838,20.153972625732422,2.104268471399943,1.0,0.0,3.0,0.13333333333333333,0.625,0.625,0.59375,0.625,0.6979166666666666,0.4895833333333333,0.848456879456838,0.7641294002532959,0.93278435866038,0.003889960120432079,0.6795071264108022,0.7792279620965322,0.35345325867335003,0.26228591799736023,1.4871762990951538,1.6717155575752258,2.907428503036499,0.0,0.0,0.0,0.0,0.0,1.4097912013530731,0.5769230769230769,0.6018518518518517,0.6833333333333332,0.583119658119658,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.4869114458560944,0.5,0.4142857142857143,,,,0.583119658119658,0.3924963924963925,3,False,9e-05,2.75e-05,0.3055555555555555,4.088759899139404,5.125,0.6947388648986816,0.3815159797668457,0.4552164077758789,0.0,1.5317530632019043
9,2.592958450317383,2.5891189575195312,1.4475972453753154,1.2683574954668682,-0.005917095268766086,0.005614615045487881,0.8150219718615214,18.702126502990723,1.9286872148513794,1.0,0.0,3.0,0.2,0.75,0.7083333333333334,0.6354166666666666,0.7083333333333334,0.7604166666666666,0.5416666666666666,0.8150219718615214,0.7241767644882202,0.9058671792348226,0.005614615045487881,0.5341668277978897,0.8694868683815002,0.3587319801251094,0.2646377633015315,1.498818278312683,1.6449954509735107,2.8320117791493735,0.0,0.0,0.0,0.0,0.0,1.4532927870750427,0.5769230769230769,0.6018518518518517,0.6833333333333332,0.583119658119658,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.5157917141914368,0.5769230769230769,0.5688339438339438,,,,0.583119658119658,0.49226998491704377,3,False,9e-05,2.75e-05,0.3055555555555555,4.088271617889404,5.125,0.9635009765625,0.3780226707458496,0.3867931365966797,0.0,1.7286133766174316
10,2.4304298559824624,2.4064162572224936,1.3706804513931274,1.150817592938741,0.059284698218107224,0.006228210482125481,0.9078327417373657,17.574665705362957,2.158101956049601,1.0,0.0,3.0,0.26666666666666666,0.875,0.7395833333333334,0.6666666666666666,0.7395833333333334,0.6875,0.65625,0.9078327417373657,0.9000656604766846,0.9155998627344767,0.006228210482125481,0.5362498462200165,0.631539652744929,0.363809938232104,0.2650786489248276,1.4592446287473042,1.6075633764266968,2.50331703821818,0.0,0.0,0.0,0.0,0.0,1.294449508190155,0.7307692307692307,0.861111111111111,0.7791666666666667,0.7612794612794612,0.7307692307692307,0.7307692307692307,0.7307692307692306,1.3227320313453674,0.6538461538461539,0.6851851851851851,0.7083333333333334,0.7596169311509051,-0.02083333333333337,0.7612794612794612,0.583119658119658,3,False,9e-05,2.75e-05,0.3055555555555555,4.087172508239746,5.125,0.8854851722717285,0.38317275047302246,0.3896470069885254,0.43320560455322266,2.091813325881958
