epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.568171834945678,4.537647827466329,2.476150321960449,2.425291121006012,0.10174677148461342,0.0,0.0,28.394633293151855,0.0,1.0,0.0,0.0,0.0,0.0,0.26458333333333334,0.24166666666666667,0.26458333333333334,0.24166666666666667,0.24583333333333332,0.0,0.0,0.0,0.0,0.41060919463634493,0.5250645905733109,0.36081493099530537,0.26690124968687695,1.7996034383773805,2.0577097058296205,4.835145362218221,0.0,0.0,0.0,0.0,0.0,1.9673853367567062,0.21666666666666667,0.22411269286269286,0.34631495227995757,0.21076765339923234,0.21666666666666667,0.21666666666666667,0.21666666666666667,2.04206620156765,0.13333333333333333,0.1401862026862027,0.2172043010752688,0.19673274872893665,0.02446236559139786,0.21076765339923234,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.087332725524902,5.123046875,3.6003527641296387,0.4215424060821533,0.40543198585510254,0.6956794261932373,5.123307704925537
2,2.996177307764689,3.0178444623947143,1.6177566488583883,1.647162095705668,-0.0722238356868426,0.0,0.0,21.837769762674967,0.0,1.0,0.0,0.0,0.0,0.0,0.5354166666666667,0.4895833333333333,0.5354166666666667,0.49166666666666664,0.5333333333333333,0.0,0.0,0.0,0.0,0.4435031861066818,0.5717320054769516,0.3600068032741547,0.2641926358143489,1.715178672472636,1.9522361834843953,3.329231031735738,0.0,0.0,0.0,0.0,0.0,1.4229226596653461,0.475,0.565899647737883,0.6966540661530057,0.5250126939525024,0.475,0.475,0.47500000000000003,,,,,,,0.5250126939525024,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.123046875,2.574589967727661,0.4015226364135742,0.0,0.0,2.976341485977173
3,2.3400651613871255,2.351568174362183,1.3093214948972067,1.2261725584665935,-0.038343442728122075,0.0,0.0,19.938459841410317,0.0,1.0,0.0,0.0,0.0,0.0,0.675,0.6333333333333333,0.675,0.6479166666666667,0.6604166666666667,0.0,0.0,0.0,0.0,0.4886599570512772,0.5509564717610677,0.3589428961277008,0.26256508032480874,1.663341498374939,1.8532427231470743,2.610632661978404,0.0,0.0,0.0,0.0,0.0,1.1000189632177353,0.725,0.7366908390234962,0.8147458762517088,0.7114336146944843,0.725,0.725,0.7250000000000001,1.1464141122996807,0.6583333333333333,0.7021234377162473,,,,0.7114336146944843,0.21076765339923234,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.123046875,2.529137372970581,0.4071695804595947,0.4006083011627197,0.0,3.337141752243042
4,1.8065842191378276,1.8041931549708048,0.9628368814786276,0.9898308893044789,0.00797021264831225,0.0,0.0,17.44540122350057,0.0,1.0,0.0,0.0,0.0,0.125,0.775,0.7875,0.775,0.7729166666666667,0.7958333333333333,0.0,0.0,0.0,0.0,0.42516661683718365,0.5421016742785771,0.35865822732448577,0.2621471603711446,1.5541374683380127,1.7340349594751994,2.0498560468355813,0.0,0.0,0.0,0.0,0.0,0.837237611413002,0.8083333333333333,0.7717643467643467,0.8695105265889995,0.8051476140138931,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.8797152452170849,0.825,0.8192892156862744,,,,0.8051476140138931,0.5250126939525024,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.123046875,2.494318723678589,0.4033393859863281,0.40276670455932617,0.0,3.300696849822998
5,1.6467695951461792,1.637318698565165,0.8908877352873484,0.8781540711720784,0.03150299663345019,0.0,0.0,16.346775023142495,0.0,1.0,0.0,0.0,0.0,0.25,0.8041666666666667,0.8145833333333333,0.8041666666666667,0.7645833333333333,0.8,0.0,0.0,0.0,0.0,0.42258969446023303,0.5689475198586782,0.3580050657192866,0.2637553890546163,1.453991913795471,1.6699606657028199,1.904996112982432,0.0,0.0,0.0,0.0,0.0,0.7134597077965736,0.85,0.8236607142857143,0.90362275582318,0.8450090495762314,0.85,0.85,0.85,0.7472616918385029,0.8333333333333334,0.8155448464137488,0.9032258064516129,0.9026386631090135,-0.1386424731182796,0.8450090495762314,0.7114336146944843,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.123046875,2.5647904872894287,0.4024198055267334,0.41628122329711914,0.6928768157958984,4.076664686203003
6,1.3901942412058512,1.370548911889394,0.7255803167819976,0.7587865690390269,0.06161816070477168,0.0011598894062141577,1.0967897057533265,14.72766539255778,2.4202676455179852,1.0,0.0,15.0,0.06666666666666667,0.375,0.8604166666666667,0.8979166666666667,0.8604166666666667,0.8458333333333333,0.8583333333333333,1.0967897057533265,1.0760741432507832,1.1175053040186564,0.0011598894062141577,0.3174671659866969,0.3784664606054624,0.36663041412830355,0.269907412926356,1.4130423267682393,1.583142642180125,1.635909084479014,0.0,0.0,0.0,0.0,0.0,0.8566486090421677,0.7833333333333333,0.7641354116897595,0.8763167505876944,0.7605415406575916,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.9249363839626312,0.7583333333333333,0.7488563182547796,,,,0.7605415406575916,0.7605415406575916,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6457526683807373,0.40662193298339844,0.416567325592041,0.0,3.469209909439087
7,1.277384841442108,1.2715910911560058,0.704525762796402,0.6671356618404388,0.014621506445109844,0.0014072918468931068,1.3759772618611654,13.434468857447307,2.639608383178711,1.0,0.0,15.0,0.13333333333333333,0.5,0.9145833333333333,0.8979166666666667,0.9145833333333333,0.9104166666666667,0.9,1.3759772618611654,1.252384114265442,1.4995703856150309,0.0014072918468931068,0.21074275101224582,0.21144479662179946,0.3984643409649531,0.29447426795959475,1.341280206044515,1.5027781923611958,1.4600337147712708,0.0,0.0,0.0,0.0,0.0,0.6009680852293968,0.9333333333333333,0.8988126698882514,0.94779948312557,0.9172032828282828,0.9333333333333333,0.9333333333333333,0.9333333333333333,,,,,,,0.9172032828282828,0.7605415406575916,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6489346027374268,0.42968010902404785,0.0,0.0,3.0788843631744385
8,1.1620152056217194,1.1613992949326832,0.62436237235864,0.6318081319332123,-0.0034319497024019557,0.001645508233923465,1.4121545155843098,12.376704518000285,2.60736091931661,1.0,0.0,15.0,0.2,0.625,0.9270833333333334,0.9229166666666667,0.9270833333333334,0.9125,0.9083333333333333,1.4121545155843098,1.2690237601598104,1.5552853107452393,0.001645508233923465,0.15787296344836552,0.17122869044542313,0.42785316705703735,0.32386063734690346,1.2693520585695903,1.4431233525276184,1.3738779226938884,0.0,0.0,0.0,0.0,0.0,0.7922050394117832,0.8333333333333334,0.7629349816849816,0.890586878656868,0.7833234126984127,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,,,,,0.7833234126984127,0.7605415406575916,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.5754265785217285,0.4296550750732422,0.0,0.0,3.005293607711792
9,1.1242788394292196,1.124930606285731,0.6361108124256134,0.5750820994377136,-0.010005779222895701,0.002349971355094264,1.4404861768086752,11.673851982752483,2.559737046559652,0.9666666666666667,0.0,15.0,0.26666666666666666,0.75,0.95,0.925,0.95,0.9229166666666667,0.9125,1.4404861768086752,1.3204818407694499,1.5604905207951865,0.002349971355094264,0.17510099510351818,0.17739469756682713,0.4508873502413432,0.3487131694952647,1.2293097337086996,1.3865896224975587,1.2873499830563864,0.0,0.0,0.0,0.0,0.0,0.598830621689558,0.9,0.8482142857142858,0.9327136278355791,0.8781949877431804,0.9,0.9,0.9,0.5761128813028336,0.9333333333333333,0.9029091635955261,,,,0.8781949877431804,0.7833234126984127,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6116485595703125,0.42932844161987305,0.42473745346069336,0.0,3.4659364223480225
10,1.0913076996803284,1.098463805516561,0.6078031281630198,0.5772478520870209,-0.03322382550686598,0.002811050465485702,1.4740311940511068,11.807074530919392,2.591771364212036,0.9666666666666667,0.0,15.0,0.3333333333333333,0.875,0.9395833333333333,0.9291666666666667,0.9395833333333333,0.9270833333333334,0.9333333333333333,1.4740311940511068,1.3883923451105753,1.559670050938924,0.002811050465485702,0.16649783949057262,0.1708281969030698,0.4728710651397705,0.3742585450410843,1.2399501780668893,1.363542910416921,1.2997485240300497,0.0,0.0,0.0,0.0,0.0,0.5676282532513142,0.9333333333333333,0.8833333333333334,0.9359220313090939,0.9001661918328585,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.5427253879606724,0.95,0.9269083222514595,0.9720430107526882,0.9513728230833494,-0.044959677419354804,0.9001661918328585,0.7833234126984127,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6691982746124268,0.42342329025268555,0.4283578395843506,0.7079389095306396,4.229209661483765
