epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.623344421386719,5.628230518764919,3.3167560630374484,3.0819658703274198,-0.016286943521764543,0.0,0.0,31.954171498616535,0.0,1.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.06944444444444445,0.05555555555555555,0.08333333333333333,0.0763888888888889,0.0,0.0,0.0,0.0,0.9790310925907559,1.7794194486406114,0.3550427390469445,0.2706618573930528,1.9541478554407756,2.197100771798028,6.523551517062717,0.0,0.0,0.0,0.0,0.0,2.5579026540120444,0.21621621621621623,0.0905349794238683,0.2222222222222222,0.11756272401433693,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.5872490406036377,0.1891891891891892,0.08730158730158731,0.17424242424242425,0.09433364988920544,-0.09090909090909093,0.11756272401433693,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.087515830993652,5.125,1.411755084991455,0.4284951686859131,0.4212775230407715,0.4756171703338623,2.737452983856201
2,4.658593866560194,4.593545436859131,2.73337623808119,2.4802255630493164,0.21682801677121055,0.0,0.0,26.875882466634113,0.0,1.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.1597222222222222,0.2708333333333333,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.9623438980844286,1.725168572531806,0.35533105002509224,0.27069294452667236,1.8822761244244046,2.1520900196499295,5.4821427133348255,0.0,0.0,0.0,0.0,0.0,2.0441997051239014,0.1891891891891892,0.10957950431634642,0.19444444444444442,0.1288888888888889,0.1891891891891892,0.1891891891891892,0.18918918918918917,,,,,,,0.1288888888888889,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.086325645446777,5.125,1.242262601852417,0.4219188690185547,0.0,0.0,1.6644082069396973
3,4.291028367148505,4.2414424949222145,2.4753593073950872,2.354777521557278,0.16528635223706564,0.0,0.0,24.8628175523546,0.0,1.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.2708333333333333,0.2708333333333333,0.2847222222222222,0.25,0.0,0.0,0.0,0.0,0.87765504916509,1.754484944873386,0.35436443156666225,0.2705303529898326,1.8356628550423517,2.1333958307902017,4.858385668860541,0.0,0.0,0.0,0.0,0.0,1.6906648874282837,0.40540540540540543,0.4791005291005291,0.5462962962962963,0.43452380952380953,0.40540540540540543,0.40540540540540543,0.40540540540540543,1.677899440129598,0.4864864864864865,0.5075517075517076,,,,0.43452380952380953,0.11756272401433693,3,False,7e-05,2.75e-05,0.3928571428571429,4.088278770446777,5.125,1.042754888534546,0.4299633502960205,0.4333181381225586,0.0,1.9062716960906982
4,3.988667541080051,3.914822048611111,2.2657728460099964,2.1987322171529136,0.24615184631612566,0.0,0.0,23.468232684665256,0.0,1.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.2916666666666667,0.3472222222222222,0.3055555555555556,0.25,0.0,0.0,0.0,0.0,0.9047063125504388,1.622860312461853,0.35422678457366097,0.26801933182610405,1.8239512708452013,2.0884136623806424,4.477260881000095,0.0,0.0,0.0,0.0,0.0,1.4513638814290364,0.6486486486486487,0.6964726631393298,0.7314814814814814,0.6550332383665718,0.6486486486486487,0.6486486486486487,0.6486486486486487,1.4605695009231567,0.5945945945945946,0.5814296088805893,,,,0.6550332383665718,0.1288888888888889,3,False,7e-05,2.75e-05,0.3928571428571429,4.088217735290527,5.125,1.033492088317871,0.43651580810546875,0.42141199111938477,0.0,1.891706943511963
5,3.6386151048872204,3.4801783561706543,2.086408403184679,1.8583599593904283,0.26379336499505573,0.07929877522918913,0.0,21.84030384487576,0.0,1.0,0.0,0.0,0.0,0.1,0.4236111111111111,0.3611111111111111,0.4236111111111111,0.3541666666666667,0.375,0.0,0.0,0.0,0.07929877522918913,0.9136638641357422,1.6367301013734605,0.35090044803089565,0.26551342672771877,1.8551796542273626,2.0665111541748047,4.126157628165351,0.004210805468675163,0.0007965402845810684,0.0,0.012399066963957416,0.06189236334628529,1.2888949314753215,0.7837837837837838,0.8328924162257496,0.8194444444444443,0.7914733414733415,0.7837837837837838,0.7837837837837838,0.7837837837837838,1.2623223861058552,0.7297297297297297,0.7271876271876271,0.7424242424242424,0.7500285027347364,-0.38825757575757575,0.7914733414733415,0.43452380952380953,3,False,7e-05,2.75e-05,0.3928571428571429,4.089285850524902,5.125,1.0391912460327148,0.42798328399658203,0.42648839950561523,0.46614551544189453,2.3601019382476807
6,3.4233507580227323,3.2476489543914795,1.9082373115751479,1.7858821551005046,0.07531933714118269,0.15310604208045536,0.0,21.83589765760634,0.0,1.0,0.0,0.0,0.0,0.2,0.4652777777777778,0.4166666666666667,0.4652777777777778,0.4722222222222222,0.3194444444444444,0.0,0.0,0.0,0.15310604208045536,0.7836192713843452,1.634706285264757,0.34287918938530815,0.2632935146490733,1.7317471371756659,2.02506521013048,3.966546482510037,0.008229100662801001,0.0015797611041408447,0.0,0.024300782423880365,0.1189963933494356,1.2665538390477498,0.8378378378378378,0.8637566137566137,0.8935185185185185,0.8388278388278388,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.238625407218933,0.8108108108108109,0.8108669108669108,,,,0.8388278388278388,0.6550332383665718,3,False,7e-05,2.75e-05,0.3928571428571429,4.087821006774902,5.125,1.1725375652313232,0.42870354652404785,0.43513059616088867,0.0,2.0366461277008057
7,3.466110600365533,3.2284662458631725,2.0621212191051908,1.5551266802681818,0.05732102567950884,0.2204481048716439,0.8961656838655472,21.617753558688694,2.339334011077881,1.0,0.0,4.0,0.07142857142857142,0.3,0.5694444444444444,0.3541666666666667,0.5694444444444444,0.5277777777777778,0.4097222222222222,0.8961656838655472,0.8694399148225784,0.9228914380073547,0.2204481048716439,0.8246790501806471,1.5236410564846463,0.33376580145623946,0.2592715819676717,1.7217495308982,2.0027499861187406,3.6856924957699246,0.012015568299425973,0.0023334441292617056,0.0,0.036049498038159475,0.16585616601838005,1.10639488697052,0.8378378378378378,0.8444444444444444,0.8796296296296297,0.8386243386243385,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.0760078032811482,0.8918918918918919,0.884398317731651,,,,0.8386243386243385,0.7914733414733415,3,False,7e-05,2.75e-05,0.3928571428571429,4.089217662811279,5.125,1.1567637920379639,0.4199635982513428,0.4227111339569092,0.0,1.9997119903564453
8,3.3103871080610485,2.9773310555352106,1.8181070221794977,1.5456319782469008,0.20133520911137262,0.2726554340786404,0.781693309545517,20.54313087463379,2.0835333168506622,1.0,0.0,4.0,0.14285714285714285,0.4,0.6111111111111112,0.4583333333333333,0.6111111111111112,0.5694444444444444,0.5069444444444444,0.781693309545517,0.8259394019842148,0.737447202205658,0.2726554340786404,0.8350000977516174,1.5008226897981432,0.3252683248784807,0.25559576021300423,1.6852240562438965,1.967667235268487,3.3068195978800454,0.015612879871494241,0.0030671491598089537,0.0,0.04722401458356115,0.19840916991233826,1.0927973985671997,0.8378378378378378,0.8452380952380953,0.8842592592592592,0.8295204795204795,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.0588762362798054,0.8378378378378378,0.8257218090551424,,,,0.8295204795204795,0.8295204795204795,3,False,7e-05,2.75e-05,0.3928571428571429,4.089086532592773,5.125,1.1158690452575684,0.43416762351989746,0.42777585983276367,0.0,1.9780962467193604
9,3.2209561665852866,2.8352511988745794,1.6608396503660414,1.5658821132447984,0.14802913698885176,0.3412961761156718,0.8141168355941772,20.408581203884548,2.137887954711914,1.0,0.0,4.0,0.21428571428571427,0.5,0.6041666666666666,0.5555555555555556,0.6041666666666666,0.6041666666666666,0.5,0.8141168355941772,0.8583324104547501,0.7699012160301208,0.3412961761156718,0.9881944523917304,1.6345453792148166,0.31585455271932816,0.25150001380178666,1.6524829732047186,1.9574013021257188,3.277332862218221,0.018951272798909083,0.003772500152182248,0.0,0.058722037408086986,0.2457999719513787,1.0128950277964275,0.8378378378378378,0.8388888888888889,0.8981481481481483,0.8301988135321471,0.8378378378378378,0.8378378378378378,0.8378378378378378,,,,,,,0.8301988135321471,0.8295204795204795,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0547125339508057,0.4235067367553711,0.0,0.0,1.4785034656524658
10,3.370048999786377,2.9127506415049234,1.6718108918931749,1.6545863151550293,0.16610510357552105,0.4074668553140428,0.7426453977823257,21.950900183783638,2.0527319610118866,1.0,0.0,4.0,0.2857142857142857,0.6,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5902777777777778,0.4652777777777778,0.7426453977823257,0.8268638998270035,0.6584268510341644,0.4074668553140428,0.9895200000868903,1.6134930584165785,0.3093641731474135,0.249978083703253,1.6352448728349473,1.944936924510532,3.2453593942854138,0.022274219534463353,0.004499605235954125,0.0,0.0700177252292633,0.2920823593934377,0.9253410299619039,0.8918918918918919,0.8822751322751323,0.9305555555555556,0.8785103785103785,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9039972225824991,0.918918918918919,0.914122914122914,0.9090909090909091,0.9018204615237414,-0.31881313131313127,0.8785103785103785,0.8295204795204795,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.055311918258667,0.4249887466430664,0.42621803283691406,0.47299647331237793,2.379775285720825
11,3.0604715082380505,2.556359052658081,1.5720094442367554,1.3124662107891507,0.21378913438982433,0.43997568885485333,0.8304946571588516,19.603208118014866,2.1943176984786987,1.0,0.0,4.0,0.35714285714285715,0.7,0.7638888888888888,0.5833333333333334,0.7638888888888888,0.6666666666666666,0.5763888888888888,0.8304946571588516,0.8359593749046326,0.8250299543142319,0.43997568885485333,0.8837004833751254,1.5558240546120539,0.3035416371292538,0.24762574666076237,1.6763457589679294,1.9188312027189467,2.922911220126682,0.025497497162885137,0.005200140540384584,0.0,0.08059091038174099,0.3069056702984704,0.9793318510055542,0.8918918918918919,0.9092592592592593,0.9212962962962964,0.911063011063011,0.8918918918918919,0.8918918918918919,0.8918918918918919,,,,,,,0.911063011063011,0.8301988135321471,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.2142446041107178,0.4271073341369629,0.0,0.0,1.6415741443634033
12,3.0750880506303577,2.5061451858944364,1.4840201536814372,1.362833407190111,0.23307120634449852,0.4990214639239841,0.8261238783597946,19.766926765441895,2.137091279029846,1.0,0.0,4.0,0.42857142857142855,0.8,0.6944444444444444,0.6180555555555556,0.6944444444444444,0.6597222222222222,0.6388888888888888,0.8261238783597946,0.8627228289842606,0.7895249426364899,0.4990214639239841,0.7723742193645902,1.5816008779737685,0.2970132927099864,0.24477939473258126,1.6714827749464247,1.8993199401431613,2.902041408750746,0.028513276535603736,0.005874705500900745,0.0,0.09116735806067784,0.34824496507644653,0.9220734039942423,0.918918918918919,0.9407407407407408,0.9444444444444444,0.9331088664421999,0.918918918918919,0.918918918918919,0.918918918918919,0.936632513999939,0.918918918918919,0.9358024691358025,,,,0.9331088664421999,0.8785103785103785,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0252127647399902,0.4197051525115967,0.4319493770599365,0.0,1.8771519660949707
