epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.615797662734986,4.560464398066203,2.4029916683832804,2.5382031838099164,0.18444422160585722,0.0,0.0,25.52227217356364,0.0,1.0,0.0,0.0,0.0,0.0,0.225,0.2520833333333333,0.225,0.2,0.2833333333333333,0.0,0.0,0.0,0.0,0.5729749917984008,0.5082433501879374,0.36238944828510283,0.2700609743595123,1.7856587131818136,2.0636466344197593,5.002002906799317,0.0,0.0,0.0,0.0,0.0,2.172758474946022,0.16666666666666666,0.21798941798941798,0.4371503496503496,0.22846584309998944,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.039593681693077,0.19166666666666668,0.2728230103230104,0.17419354838709677,0.1914908271000708,0.025806451612903236,0.22846584309998944,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,2.840890884399414,0.42583465576171875,0.4251112937927246,0.696925163269043,4.389062404632568
2,3.20359099706014,3.1266649961471558,1.7223299702008565,1.6521588166554768,0.25642003615697223,0.0,0.0,20.448390452067056,0.0,1.0,0.0,0.0,0.0,0.0,0.48125,0.44583333333333336,0.48125,0.5125,0.4583333333333333,0.0,0.0,0.0,0.0,0.622624009847641,0.5785659700632095,0.3643028140068054,0.2689761022726695,1.7180861870447794,1.941504454612732,3.369666584332784,0.0,0.0,0.0,0.0,0.0,1.3122655935585499,0.6833333333333333,0.6497486735078647,0.8083309850276977,0.6531945670191729,0.6833333333333333,0.6833333333333333,0.6833333333333333,,,,,,,0.6531945670191729,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.089285850524902,5.125,2.6767373085021973,0.42378950119018555,0.0,0.0,3.1007497310638428
3,2.4977513551712036,2.4445037126541136,1.33809228738149,1.3016604781150818,0.17749215761820475,0.0,0.0,18.632580502827963,0.0,1.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.6416666666666667,0.6333333333333333,0.6416666666666667,0.6416666666666667,0.0,0.0,0.0,0.0,0.6363421122233073,0.6172916124264399,0.3657497266928355,0.2704920341571172,1.6168863813082377,1.833087941010793,2.6324098745981854,0.0,0.0,0.0,0.0,0.0,1.391656056046486,0.525,0.7174379160266257,0.6927858892168276,0.594547643618851,0.525,0.525,0.525,1.302246943116188,0.5333333333333333,0.5337594551990836,,,,0.594547643618851,0.22846584309998944,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,2.6275136470794678,0.42379093170166016,0.4560537338256836,0.0,3.5075783729553223
4,2.1653027892112733,1.9455631415049235,1.0819085995356241,1.0160641392072043,0.09157107807695866,0.192268335322539,0.0,18.106206544240315,0.0,1.0,0.0,0.0,0.0,0.125,0.7666666666666667,0.7520833333333333,0.7666666666666667,0.73125,0.7479166666666667,0.0,0.0,0.0,0.192268335322539,0.6962627798318863,0.6447644551595052,0.3581579069296519,0.2648439238468806,1.4837779800097148,1.7286490440368651,2.223585335413615,0.005372368497774005,0.0008276372740510851,0.0,0.005402028343329827,0.18066630264123282,0.9881847091019154,0.825,0.752997757073844,0.8910559218088381,0.77738308366825,0.825,0.825,0.825,0.9639252126216888,0.8083333333333333,0.7644975509192213,,,,0.77738308366825,0.594547643618851,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.616244077682495,0.42835474014282227,0.42427921295166016,0.0,3.469149112701416
5,2.028828811645508,1.7117380340894064,0.9391761481761932,0.9088963011900584,-0.0158800699437658,0.32185477366050086,0.0,16.869841702779134,0.0,1.0,0.0,0.0,0.0,0.25,0.8104166666666667,0.7958333333333333,0.8104166666666667,0.8208333333333333,0.7979166666666667,0.0,0.0,0.0,0.32185477366050086,0.680056498448054,0.6566479136546453,0.339018510778745,0.254532394806544,1.4548776427904764,1.6375394105911254,1.8452848116556804,0.010170555083702008,0.0015908274877195557,0.0,0.01023462147762378,0.2998587702711423,0.7881748341023922,0.8583333333333333,0.8030797101449276,0.8960930373973853,0.8239522039040884,0.8583333333333333,0.8583333333333333,0.8583333333333333,0.7826248854398727,0.85,0.8165176253265298,0.8881720430107527,0.8745636752024821,-0.0673387096774194,0.8239522039040884,0.594547643618851,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.689802408218384,0.4196784496307373,0.4204404354095459,0.6967179775238037,4.2269346714019775
6,1.7560630838076274,1.3600040197372436,0.7879907727241516,0.6729567597309748,-0.016845646873116495,0.40111275513966876,0.9106000105539958,13.944340785344442,1.988000480333964,1.0,0.0,15.0,0.06666666666666667,0.375,0.9270833333333334,0.8604166666666667,0.9270833333333334,0.9145833333333333,0.8666666666666667,0.9106000105539958,0.8124490022659302,1.0087510148684184,0.40111275513966876,0.6656681676705678,0.6590434779723485,0.32190413773059845,0.24726078957319259,1.3469435413678488,1.4799670616785685,1.5106726010640463,0.014485686800132196,0.002318069982963304,0.0,0.01387469166268905,0.3682264556487401,0.7482545226812363,0.8583333333333333,0.7921875,0.9026489814533293,0.8175363168523224,0.8583333333333333,0.8583333333333333,0.8583333333333333,0.7395515479147434,0.8666666666666667,0.8347412899268234,,,,0.8175363168523224,0.77738308366825,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.65696120262146,0.42708921432495117,0.4308755397796631,0.0,3.5151572227478027
7,1.7797337373097737,1.288473657766978,0.7655540982882182,0.6151994625727336,-0.0028716317067543668,0.49212156732877094,0.8232757210731506,15.554496415456136,1.8201656103134156,1.0,0.0,15.0,0.13333333333333333,0.5,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9104166666666667,0.9020833333333333,0.8232757210731506,0.7622867345809936,0.8842646916707356,0.49212156732877094,0.7426245013872782,0.7110175619522731,0.3065750449895859,0.23911808282136918,1.2492247621218364,1.4223029216130574,1.3788118441899617,0.018394502252340315,0.0029889760771766305,0.0,0.01777878701686859,0.44811383287111917,0.5924884751439095,0.9333333333333333,0.8830551156160913,0.9501854852464608,0.9070702671312428,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.5908333212137222,0.9416666666666667,0.9124889239556747,,,,0.9070702671312428,0.8175363168523224,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.7147669792175293,0.41642093658447266,0.4222984313964844,0.0,3.5537784099578857
8,1.7924315532048543,1.2054272611935934,0.6721560080846151,0.6273779233296712,0.0815216979632775,0.5625477800766627,0.8235678752263387,13.714466762542724,1.8170815547307333,0.9666666666666667,0.0,15.0,0.2,0.625,0.93125,0.9104166666666667,0.93125,0.9291666666666667,0.9083333333333333,0.8235678752263387,0.7953628381093343,0.8517728885014851,0.5625477800766627,0.7463174184163411,0.7865564107894898,0.29428485631942747,0.23281715909639994,1.1973015944163004,1.3584071795145671,1.2503363927205404,0.02207136495659749,0.003637768110881249,0.0,0.02122511217991511,0.507949165503184,0.5745655074715614,0.925,0.8907634274640089,0.9436188811188811,0.9090554013773255,0.925,0.925,0.925,,,,,,,0.9090554013773255,0.8175363168523224,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6132407188415527,0.40993762016296387,0.0,0.0,3.023437261581421
9,1.6347116629282634,1.0336751858393352,0.5553202976783117,0.5627704441547394,0.010042513099809488,0.598023729523023,0.7787440061569214,11.54688549041748,1.7358728965123496,1.0,0.0,15.0,0.26666666666666666,0.75,0.95,0.9520833333333333,0.95,0.9625,0.95,0.7787440061569214,0.76991206407547,0.7875759402910868,0.598023729523023,0.7190702438354493,0.7626826981703441,0.28076362013816836,0.22287323375542958,1.146876190106074,1.2393316825230916,1.0983800788720448,0.02526872685799996,0.004178873309865594,0.0,0.02323746997863054,0.535460302233696,0.5386681035161018,0.9666666666666667,0.9304166666666667,0.9676573426573427,0.9455691367456074,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.5395034998655319,0.9666666666666667,0.9455691367456074,,,,0.9455691367456074,0.9070702671312428,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6459944248199463,0.42582130432128906,0.4217653274536133,0.0,3.493807077407837
10,1.73090314467748,1.023303790887197,0.5726379503806432,0.5301950931549072,0.06487069216867287,0.6881381511688233,0.7831850528717041,12.015250714619954,1.7275971094767253,0.9333333333333333,0.0,15.0,0.3333333333333333,0.875,0.9645833333333333,0.95625,0.9645833333333333,0.9708333333333333,0.9458333333333333,0.7831850528717041,0.7451087554295858,0.8212613622347514,0.6881381511688233,0.7317796329657237,0.8204227487246195,0.26816286444664,0.21569044540325802,1.023710737625758,1.1607921163241068,1.084721670548121,0.0281570998330911,0.004718228429555893,0.0,0.025392327333490054,0.6169354716936747,0.617971520870924,0.9333333333333333,0.8818993506493507,0.9549825174825175,0.9082325354384178,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.6199378818273544,0.9333333333333333,0.9190990559596698,0.9634408602150538,0.9474907155918841,0.007392473118279508,0.9082325354384178,0.9082325354384178,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.592581272125244,0.42451024055480957,0.42881178855895996,0.698228120803833,4.1444501876831055
