epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.864044295416938,5.934763696458605,3.376886897616916,3.410502460267809,-0.23573128051227993,0.0,0.0,32.710062450832794,0.0,1.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.09722222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,1.3239734835094876,1.2901588678359985,0.3768376674917009,0.27703991532325745,1.9352424674563937,2.2103202078077526,6.5643187628851996,0.0,0.0,0.0,0.0,0.0,2.7764951388041177,0.02702702702702703,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.02702702702702703,0.02702702702702703,0.02702702702702703,2.842411677042643,0.0,0.0,0.007575757575757576,0.011111111111111112,0.08964646464646464,0.027777777777777776,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.087515830993652,5.125,1.2757697105407715,0.4210681915283203,0.40584301948547363,0.4590952396392822,2.5620903968811035
2,4.830744584401448,4.908719115787083,2.822953356636895,2.7810210386912027,-0.2599150927530395,0.0,0.0,26.751615948147244,0.0,1.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.11805555555555555,0.19444444444444445,0.1388888888888889,0.1597222222222222,0.0,0.0,0.0,0.0,1.346848381890191,1.033860358926985,0.3769066333770752,0.2764659457736545,2.006773829460144,2.2619568506876626,5.522404935624865,0.0,0.0,0.0,0.0,0.0,2.341404358545939,0.2972972972972973,0.4194444444444445,0.28703703703703703,0.27645502645502645,0.2972972972972973,0.2972972972972973,0.2972972972972973,,,,,,,0.27645502645502645,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.086325645446777,5.125,1.1118032932281494,0.41013264656066895,0.0,0.0,1.5221776962280273
3,4.340644809934828,4.409611993365818,2.511098755730523,2.5313510364956326,-0.2298907082941797,0.0,0.0,24.143679724799263,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.24305555555555555,0.2222222222222222,0.25,0.2152777777777778,0.0,0.0,0.0,0.0,1.516983601782057,0.914998021390703,0.3776344325807359,0.2762711015012529,1.871955672899882,2.219508515463935,4.94113630718655,0.0,0.0,0.0,0.0,0.0,1.9299066066741943,0.3783783783783784,0.42995522995522995,0.4722222222222222,0.38324797932641075,0.3783783783783784,0.3783783783783784,0.37837837837837834,1.9656116167704265,0.40540540540540543,0.4107583774250441,,,,0.38324797932641075,0.027777777777777776,3,False,7e-05,2.75e-05,0.3928571428571429,4.088278770446777,5.125,1.0298967361450195,0.407961368560791,0.4071941375732422,0.0,1.8453028202056885
4,4.02997546725803,4.084886047575209,2.340479400422838,2.32587554719713,-0.18303512119584614,0.0,0.0,23.252431445651585,0.0,1.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.2569444444444444,0.2638888888888889,0.25,0.2986111111111111,0.0,0.0,0.0,0.0,1.5612518125110202,0.996320386727651,0.3789960311518775,0.2772108217080434,1.8932099872165256,2.220451275507609,4.488725874159071,0.0,0.0,0.0,0.0,0.0,1.6504336992899578,0.4594594594594595,0.6857142857142856,0.6064814814814814,0.5435946769280103,0.4594594594594595,0.4594594594594595,0.4594594594594595,1.6667279402414958,0.4864864864864865,0.5310886644219978,,,,0.5435946769280103,0.27645502645502645,3,False,7e-05,2.75e-05,0.3928571428571429,4.088217735290527,5.125,0.9330503940582275,0.41365838050842285,0.4226956367492676,0.0,1.7697207927703857
5,3.6810624599456787,3.6919859515296087,2.181453241242303,2.014043649037679,-0.28080182936456466,0.07331701947583093,0.0,22.894862280951607,0.0,1.0,0.0,0.0,0.0,0.1,0.3680555555555556,0.3194444444444444,0.3680555555555556,0.2986111111111111,0.3611111111111111,0.0,0.0,0.0,0.07331701947583093,1.6477986309263442,1.007365259859297,0.3744446337223053,0.2763752043247223,1.8528983328077528,2.1738909350501165,4.100627687242296,0.0044933356758621,0.0008291256251848406,0.006485144400762187,0.0,0.061509413437710866,1.4137064218521118,0.6216216216216216,0.6593915343915344,0.7037037037037037,0.6261664261664263,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.4566491444905598,0.6756756756756757,0.6650250983584317,0.696969696969697,0.6912050415708952,-0.3983585858585859,0.6261664261664263,0.38324797932641075,3,False,7e-05,2.75e-05,0.3928571428571429,4.089285850524902,5.125,1.087153673171997,0.4126598834991455,0.4160134792327881,0.4697906970977783,2.385927438735962
6,3.4787687990400524,3.413340542051527,2.0289618968963623,1.8458381758795843,-0.2644137011633979,0.14475237992074755,0.0,21.112694634331596,0.0,1.0,0.0,0.0,0.0,0.2,0.4513888888888889,0.3888888888888889,0.4513888888888889,0.4375,0.5069444444444444,0.0,0.0,0.0,0.14475237992074755,1.4980301062266033,0.9622641735606723,0.36528272761238945,0.2702561186419593,1.8445594310760498,2.1239115397135415,4.048404773076375,0.00876678547097577,0.0016215367423784402,0.0129119162965152,0.0,0.1214521403114001,1.30638853708903,0.7297297297297297,0.7731481481481483,0.7916666666666666,0.7399711399711401,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.345316767692566,0.7027027027027027,0.7045855379188714,,,,0.7399711399711401,0.5435946769280103,3,False,7e-05,2.75e-05,0.3928571428571429,4.087821006774902,5.125,1.0842795372009277,0.4135146141052246,0.4185497760772705,0.0,1.9166312217712402
7,3.372819423675537,3.2238647672865124,1.8400254646937053,1.8451190921995375,-0.2164709609415796,0.21389591859446633,0.7871312648057938,21.415314568413628,2.2241920828819275,1.0,0.0,4.0,0.07142857142857142,0.3,0.4861111111111111,0.4236111111111111,0.4861111111111111,0.4236111111111111,0.4375,0.7871312648057938,0.7009419351816177,0.873320609331131,0.21389591859446633,1.5238732761806912,0.9844144052929349,0.35542437103059554,0.2653026315901015,1.7252228260040283,2.0775383843315973,3.9137552049424915,0.01279527683638864,0.002387723626775874,0.01811483957701259,0.0,0.17611899309688145,1.2903060515721638,0.7297297297297297,0.7592592592592593,0.7962962962962963,0.7375661375661376,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.3404781023661296,0.7567567567567568,0.7595441595441597,,,,0.7375661375661376,0.6261664261664263,3,False,7e-05,2.75e-05,0.3928571428571429,4.089217662811279,5.125,1.1388404369354248,0.4122354984283447,0.41966724395751953,0.0,1.9710149765014648
8,3.1949815485212536,2.9843541781107583,1.6809407340155706,1.7378846009572346,-0.17719088660346138,0.26378461056285435,0.735799178481102,19.63993199666341,2.083955764770508,1.0,0.0,4.0,0.14285714285714285,0.4,0.5069444444444444,0.5763888888888888,0.5069444444444444,0.5486111111111112,0.5208333333333334,0.735799178481102,0.7340335100889206,0.7375648617744446,0.26378461056285435,1.4391024907430012,1.0227042966418796,0.3461987641122606,0.26128705342610675,1.7417534059948392,2.024807254473368,3.5142485565609403,0.01661754089097182,0.0031354446998900836,0.024384548059768148,0.0,0.21085490783055624,1.2746994892756145,0.6216216216216216,0.7268959435626102,0.7268518518518517,0.6254510921177588,0.6216216216216216,0.6216216216216216,0.6216216216216216,,,,,,,0.6254510921177588,0.6254510921177588,3,False,7e-05,2.75e-05,0.3928571428571429,4.089086532592773,5.125,1.056868314743042,0.40953683853149414,0.0,0.0,1.4666647911071777
9,2.975459019343058,2.7402385075887046,1.6084674331876967,1.5090280771255493,-0.24923408859305912,0.3099907835324605,0.7624616026878357,19.22189278072781,2.0273237824440002,1.0,0.0,4.0,0.21428571428571427,0.5,0.6319444444444444,0.5486111111111112,0.6319444444444444,0.5694444444444444,0.5486111111111112,0.7624616026878357,0.7535974830389023,0.7713256776332855,0.3099907835324605,1.4323814312616985,1.0395033293300204,0.3368058039082421,0.2562445667054918,1.7214256392584906,1.9877734581629436,3.2342874738905163,0.020208347795738116,0.003843668382614851,0.03012494846350617,0.0,0.24257157246271768,1.1858552694320679,0.7567567567567568,0.7838624338624337,0.8425925925925926,0.767404200737534,0.7567567567567568,0.7567567567567568,0.7567567567567567,,,,,,,0.767404200737534,0.6254510921177588,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,0.9930226802825928,0.40570688247680664,0.0,0.0,1.3989498615264893
10,3.1123545169830322,2.8298961056603327,1.6660215324825711,1.551832742161221,-0.233829195300738,0.35260716411802506,0.7448202818632126,20.203617731730144,2.0232492983341217,1.0,0.0,4.0,0.2857142857142857,0.6,0.6041666666666666,0.5763888888888888,0.6041666666666666,0.5347222222222222,0.6041666666666666,0.7448202818632126,0.7345218658447266,0.7551186978816986,0.35260716411802506,1.394535607761807,0.9867937763532003,0.32699201504389447,0.25179905196030933,1.657885988553365,1.9751006364822388,3.0300694041781955,0.02354342407650418,0.004532382720046573,0.0348156053158972,0.0,0.272706260283788,1.1369223197301228,0.7567567567567568,0.7764550264550265,0.8287037037037037,0.7615162615162616,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.1880303223927815,0.7837837837837838,0.7757335257335257,0.8636363636363636,0.8620669333165243,-0.32891414141414144,0.7615162615162616,0.6254510921177588,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.1315114498138428,0.4136497974395752,0.4170501232147217,0.473130464553833,2.435586452484131
11,2.791563537385729,2.4484305381774902,1.4229097498787775,1.3673610157436795,-0.2275392727719413,0.4113947980933719,0.697324275970459,18.604761547512478,1.8926154375076294,1.0,0.0,4.0,0.35714285714285715,0.7,0.6597222222222222,0.6319444444444444,0.6597222222222222,0.6180555555555556,0.6458333333333334,0.697324275970459,0.7053250372409821,0.6893235296010971,0.4113947980933719,1.4272088607152302,0.9590789013438754,0.3193095160855187,0.24935146338409847,1.6703677574793498,1.909811536471049,3.020059823989868,0.026821999086274043,0.005236380630069309,0.040924008935689926,0.0,0.3171062668164571,1.133997619152069,0.8378378378378378,0.8801587301587301,0.8611111111111112,0.8590909090909091,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.17577197154363,0.7837837837837838,0.77999037999038,,,,0.8590909090909091,0.7615162615162616,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,0.9649791717529297,0.4097435474395752,0.41364574432373047,0.0,1.7885918617248535
12,2.839724620183309,2.4830365445878773,1.4585748645994399,1.365948928727044,-0.3127279554804166,0.45050641232066685,0.7523117363452911,18.924019283718533,2.015699654817581,1.0,0.0,4.0,0.42857142857142855,0.8,0.6180555555555556,0.6597222222222222,0.6180555555555556,0.5625,0.6597222222222222,0.7523117363452911,0.7072677910327911,0.7973556965589523,0.45050641232066685,1.215687049759759,0.9722069104512533,0.3088777826892005,0.24416365060541365,1.5702876249949138,1.8821833266152277,2.896537091996935,0.029652267487512693,0.005859927688207891,0.04396805456942982,0.0,0.34758443964852226,1.181649923324585,0.7837837837837838,0.8746031746031746,0.8379629629629629,0.8166105499438834,0.7837837837837838,0.7837837837837838,0.7837837837837838,,,,,,,0.8166105499438834,0.7615162615162616,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0268149375915527,0.4069089889526367,0.0,0.0,1.4339888095855713
13,2.7187546359168158,2.3217969205644398,1.3440221415625677,1.303699705335829,-0.2653002705838945,0.47654779420958626,0.8062809407711029,18.224919001261394,1.9862595200538635,1.0,0.0,4.0,0.5,0.9,0.6944444444444444,0.6875,0.6944444444444444,0.6875,0.7222222222222222,0.8062809407711029,0.7928144484758377,0.8197474628686905,0.47654779420958626,1.245988302760654,0.9397754139370389,0.3023320900069343,0.2426717480023702,1.6116506788465712,1.843906044960022,2.661146190431383,0.032651866475741066,0.006552137382742431,0.05076699745323923,0.0,0.35925475094053483,1.0115292469660442,0.918918918918919,0.9407407407407408,0.9259259259259258,0.9252525252525251,0.918918918918919,0.918918918918919,0.918918918918919,1.055414080619812,0.918918918918919,0.9252525252525251,,,,0.9252525252525251,0.8166105499438834,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.225059986114502,0.40611958503723145,0.4150726795196533,0.0,2.046478271484375
14,2.8083539274003773,2.3461150195863514,1.374583085378011,1.2953759564293756,-0.2308795311384731,0.5315027170711093,0.8410276025533676,19.327435069613987,2.054419994354248,1.0,0.0,4.0,0.5714285714285714,1.0,0.7013888888888888,0.6875,0.7013888888888888,0.7013888888888888,0.6666666666666666,0.8410276025533676,0.8852378129959106,0.7968173772096634,0.5315027170711093,1.1802355580859714,1.0523952311939664,0.29336290227042305,0.23937874866856468,1.526389069027371,1.8148443036609225,2.6919963359832764,0.03520354752739271,0.007181362248957157,0.053423617862992816,0.0,0.40379946099387276,1.0189157724380493,0.8378378378378378,0.8597883597883597,0.898148148148148,0.85012025012025,0.8378378378378378,0.8378378378378378,0.8378378378378378,,,,,,,0.85012025012025,0.8166105499438834,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,0.9704887866973877,0.4231264591217041,0.0,0.0,1.393932819366455
