epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,6.132413784662883,6.160553932189941,3.1905906597773233,3.299959421157837,-0.0938004453976949,0.0,0.0,36.69179153442383,0.0,1.0,0.0,0.0,0.0,0.0,0.03125,0.052083333333333336,0.03125,0.125,0.15625,0.0,0.0,0.0,0.0,1.8955605030059814,1.1382758418718975,0.34577764570713043,0.25943616529305774,1.7020779649416606,1.8420526186625164,6.3113125165303545,0.0,0.0,0.0,0.0,0.0,2.7934157848358154,0.038461538461538464,0.011904761904761904,0.03333333333333333,0.017543859649122803,0.038461538461538464,0.038461538461538464,0.038461538461538464,2.7476917505264282,0.07692307692307693,0.0392156862745098,0.13541666666666666,0.08497652582159625,-0.010416666666666657,0.017543859649122803,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087515830993652,5.125,1.1835129261016846,0.36928725242614746,0.3660764694213867,0.4068436622619629,2.3260276317596436
2,4.597850958506267,4.660250584284465,2.5371612707773843,2.3589881658554077,-0.2079989624520143,0.0,0.0,29.655136744181316,0.0,1.0,0.0,0.0,0.0,0.0,0.21875,0.23958333333333334,0.21875,0.20833333333333334,0.23958333333333334,0.0,0.0,0.0,0.0,1.7964131832122803,0.8801794449488322,0.343792383869489,0.2603207280238469,1.630954345067342,1.820156216621399,5.069997787475586,0.0,0.0,0.0,0.0,0.0,2.4822129011154175,0.11538461538461539,0.023809523809523808,0.09999999999999999,0.03846153846153846,0.11538461538461539,0.11538461538461539,0.11538461538461539,,,,,,,0.03846153846153846,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087332725524902,5.125,0.8841552734375,0.3619661331176758,0.0,0.0,1.2463483810424805
3,4.063837885856628,4.072147647539775,2.2078223824501038,2.0714725255966187,-0.027699268112579983,0.0,0.0,25.8164701461792,0.0,1.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.28125,0.3541666666666667,0.2916666666666667,0.3020833333333333,0.0,0.0,0.0,0.0,1.6329506039619446,1.0266592005888622,0.3441587785879771,0.26233074565728504,1.6121867895126343,1.7979329625765483,4.360121091206868,0.0,0.0,0.0,0.0,0.0,2.343492865562439,0.19230769230769232,0.16269841269841268,0.26666666666666666,0.18846153846153846,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.284121036529541,0.3076923076923077,0.32,,,,0.18846153846153846,0.017543859649122803,3,False,9e-05,2.75e-05,0.3055555555555555,4.086325645446777,5.125,0.9042558670043945,0.3610353469848633,0.3708620071411133,0.0,1.6363909244537354
4,4.175003210703532,3.854701360066732,2.033961812655131,2.023043950398763,-0.019173675527175266,0.3260539521773656,0.0,25.840209007263184,0.0,1.0,0.0,0.0,0.0,0.125,0.3645833333333333,0.375,0.3645833333333333,0.3645833333333333,0.3333333333333333,0.0,0.0,0.0,0.3260539521773656,1.642347276210785,1.0465677777926128,0.343626211086909,0.26355819900830585,1.5494754711786907,1.7874679962793987,4.203117569287618,0.005154393070066969,0.0008236193874229988,0.004842110987131794,0.0,0.31523382663726807,2.1512370109558105,0.2692307692307692,0.24603174603174602,0.39999999999999997,0.2850877192982456,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.0693206191062927,0.34615384615384615,0.35866013071895425,,,,0.2850877192982456,0.03846153846153846,3,False,9e-05,2.75e-05,0.3055555555555555,4.088278770446777,5.125,0.6409504413604736,0.35895419120788574,0.37131714820861816,0.0,1.371504306793213
5,4.121386607487996,3.5260636806488037,1.959938903649648,1.7401387294133503,0.027124233543872833,0.5871856510639191,0.0,23.540137608846027,0.0,1.0,0.0,0.0,0.0,0.25,0.4791666666666667,0.3541666666666667,0.4791666666666667,0.4375,0.4895833333333333,0.0,0.0,0.0,0.5871856510639191,1.612317681312561,1.0575571556886036,0.3439369450012843,0.26189202070236206,1.494053840637207,1.7492091655731201,3.772619048754374,0.010318108058224121,0.0016368251332702737,0.009337836721291145,0.0,0.5658928801616033,1.9501984119415283,0.34615384615384615,0.24722222222222223,0.48333333333333334,0.31318681318681324,0.34615384615384615,0.34615384615384615,0.34615384615384615,1.8131511807441711,0.34615384615384615,0.3222222222222222,0.2708333333333333,0.2913250148544266,0.16666666666666669,0.31318681318681324,0.18846153846153846,3,False,9e-05,2.75e-05,0.3055555555555555,4.087119102478027,5.125,0.8163633346557617,0.36424899101257324,0.3692474365234375,0.4141228199005127,1.964294195175171
6,3.991276423136393,3.1710356871287027,1.7118520140647888,1.6213152805964153,0.0069750699525078135,0.8181481858094534,0.0,22.40291404724121,0.0,1.0,0.0,0.0,0.0,0.375,0.5625,0.5,0.5625,0.6458333333333334,0.4895833333333333,0.0,0.0,0.0,0.8181481858094534,1.4723531603813171,0.9983456134796143,0.3424896349509557,0.26263007521629333,1.5192095041275024,1.712945242722829,3.4934730927149453,0.01541203415642182,0.0024621570482850075,0.014242589939385653,0.0,0.7860314150651296,2.1682421565055847,0.23076923076923078,0.09393939393939395,0.3333333333333333,0.14444444444444446,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.14444444444444446,0.14444444444444446,3,False,9e-05,2.75e-05,0.3055555555555555,4.088217735290527,5.125,0.8647704124450684,0.3663215637207031,0.0,0.0,1.2313745021820068
7,4.0264536539713545,3.013674259185791,1.626743455727895,1.541034201780955,0.025088051334023476,1.0052529672781627,0.9039896130561829,23.554052988688152,2.4510199228922525,1.0,0.0,3.0,0.06666666666666667,0.5,0.6145833333333334,0.5,0.6145833333333334,0.5520833333333334,0.5,0.9039896130561829,0.9818354646364847,0.826143761475881,1.0052529672781627,1.6746653318405151,1.0228792826334636,0.3405253738164902,0.2604694664478302,1.4496612747510274,1.6770182251930237,3.199493487675985,0.02043152165909608,0.003255868408208092,0.01812076661735773,0.0,0.9598480860392252,2.1317707896232605,0.2692307692307692,0.2740740740740741,0.4166666666666667,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.2692307692307692,0.14444444444444446,3,False,9e-05,2.75e-05,0.3055555555555555,4.090224742889404,5.125,0.7855985164642334,0.36230921745300293,0.0,0.0,1.1481349468231201
8,4.095056931177775,2.8594053188959756,1.6807225346565247,1.309647540251414,0.09625304055710633,1.2067756255467732,0.8871925075848898,23.20889123280843,2.39602263768514,1.0,0.0,3.0,0.13333333333333333,0.625,0.7291666666666666,0.4791666666666667,0.7291666666666666,0.6666666666666666,0.5625,0.8871925075848898,0.9246649344762167,0.8497200409571329,1.2067756255467732,1.7651263078053792,1.1432165106137593,0.335479199886322,0.26089011629422504,1.427636206150055,1.6997471849123638,3.059935688972473,0.025160941295325756,0.004076408067097266,0.02230681572109461,0.0,1.1474758783976238,2.0029401183128357,0.2692307692307692,0.27037037037037037,0.4166666666666667,0.266955266955267,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.266955266955267,0.14444444444444446,3,False,9e-05,2.75e-05,0.3055555555555555,4.088759899139404,5.125,0.9824028015136719,0.3619801998138428,0.0,0.0,1.3446033000946045
9,4.020060221354167,2.6878229777018228,1.4519902467727661,1.373147467772166,0.020032076785961788,1.3262275854746501,0.880442480246226,23.424873034159344,2.355947971343994,1.0,0.0,3.0,0.2,0.75,0.6041666666666666,0.59375,0.6041666666666666,0.7083333333333334,0.59375,0.880442480246226,0.8934872150421143,0.8673977255821228,1.3262275854746501,1.6389847596486409,1.0595707992712657,0.3343920906384786,0.259442741672198,1.410846213499705,1.6394667824109395,2.786711494127909,0.030095289461314678,0.004864551592618227,0.026453367434442043,0.0,1.2540201544761658,1.7012174129486084,0.46153846153846156,0.3351851851851852,0.6333333333333333,0.43589743589743585,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.5626593232154846,0.4230769230769231,0.4007326007326008,,,,0.43589743589743585,0.266955266955267,3,False,9e-05,2.75e-05,0.3055555555555555,4.088271617889404,5.125,0.7231266498565674,0.3621976375579834,0.3780357837677002,0.0,1.4636015892028809
10,3.7639331022898355,2.306753993034363,1.3386441071828206,1.0756776730219524,0.035073659693201385,1.4466570218404133,0.9716447194417318,20.18864377339681,2.5170278549194336,1.0,0.0,3.0,0.26666666666666666,0.875,0.8333333333333334,0.6979166666666666,0.8333333333333334,0.8020833333333334,0.6041666666666666,0.9716447194417318,0.963791012763977,0.9794984261194865,1.4466570218404133,1.7989030281702678,1.1344579060872395,0.33374672134717304,0.2576281080643336,1.4723092714945476,1.5929540395736694,2.586907943089803,0.035043404127160706,0.005635614739730954,0.03220676506559054,0.0,1.3581266204516094,1.570470243692398,0.46153846153846156,0.5507936507936508,0.5708333333333333,0.4430297371473842,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.4331955909729004,0.6153846153846154,0.6454064454064454,0.5,0.5567028756683929,0.30208333333333337,0.4430297371473842,0.266955266955267,3,False,9e-05,2.75e-05,0.3055555555555555,4.087172508239746,5.125,0.6411173343658447,0.3615736961364746,0.36600780487060547,0.4117143154144287,1.780714750289917
