epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.550500710805257,5.550575839148627,3.3612272474500866,3.127640856636895,-0.000250073770682017,0.0,0.0,28.447404437594944,0.0,1.0,0.0,0.0,0.0,0.0,0.0763888888888889,0.1111111111111111,0.0763888888888889,0.125,0.10416666666666667,0.0,0.0,0.0,0.0,0.9143070777257284,0.7087069915400611,0.3570631775591109,0.26838548315895927,1.922265397177802,2.183337582482232,6.724209838443333,0.0,0.0,0.0,0.0,0.0,2.412327527999878,0.21621621621621623,0.054330065359477125,0.125,0.07528180354267311,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.298725684483846,0.1891891891891892,0.06267806267806268,0.09848484848484848,0.0367359229147847,0.02651515151515152,0.07528180354267311,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.087515830993652,5.125,1.4217774868011475,0.37606143951416016,0.3979458808898926,0.4498786926269531,2.6459879875183105
2,4.596892515818278,4.5876402325100365,2.722168445587158,2.6649598280588784,0.030841251214345295,0.0,0.0,24.939401202731663,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.13194444444444445,0.16666666666666666,0.1736111111111111,0.18055555555555555,0.0,0.0,0.0,0.0,0.9429631895489163,0.7087114519543118,0.3576553265253703,0.27005649937523735,1.8797377480400934,2.148073434829712,5.457528061336941,0.0,0.0,0.0,0.0,0.0,2.142662684122721,0.2702702702702703,0.2108262108262108,0.18055555555555555,0.16364381162245387,0.2702702702702703,0.2702702702702703,0.2702702702702703,,,,,,,0.16364381162245387,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.086325645446777,5.125,1.0598816871643066,0.3819131851196289,0.0,0.0,1.442046880722046
3,4.088087267345852,4.068213754230076,2.428256564670139,2.342796007792155,0.06624503516488606,0.0,0.0,22.70726267496745,0.0,1.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.24305555555555555,0.2638888888888889,0.3541666666666667,0.25,0.0,0.0,0.0,0.0,0.8342801332473755,0.5771850248177847,0.3585965931415558,0.26963115069601273,1.7999612755245633,2.116801129447089,4.700899653964573,0.0,0.0,0.0,0.0,0.0,1.7928533951441448,0.5135135135135135,0.5115984405458089,0.5740740740740741,0.4902062957618514,0.5135135135135135,0.5135135135135135,0.5135135135135135,1.7669086456298828,0.5405405405405406,0.5512051734273956,,,,0.4902062957618514,0.07528180354267311,3,False,7e-05,2.75e-05,0.3928571428571429,4.088278770446777,5.125,1.1965444087982178,0.3804306983947754,0.393296480178833,0.0,1.9705491065979004
4,3.8175974686940513,3.808955669403076,2.2155625025431314,2.2762759261661105,0.028805943826834362,0.0,0.0,21.316811031765408,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2638888888888889,0.3333333333333333,0.3333333333333333,0.3055555555555556,0.0,0.0,0.0,0.0,0.8830834229787191,0.6631338000297546,0.35994937353663975,0.2700753973590003,1.8356336090299818,2.0851656330956354,4.335494465298122,0.0,0.0,0.0,0.0,0.0,1.720216989517212,0.6486486486486487,0.6194444444444445,0.7175925925925926,0.6072751322751323,0.6486486486486487,0.6486486486486487,0.6486486486486487,1.6992649634679158,0.6486486486486487,0.625012968150223,,,,0.6072751322751323,0.16364381162245387,3,False,7e-05,2.75e-05,0.3928571428571429,4.088217735290527,5.125,1.0949413776397705,0.3847835063934326,0.36746716499328613,0.0,1.847461223602295
5,3.7084653907352023,3.633936060799493,2.2072474559148154,2.0381266408496432,-0.029237583693530824,0.0833005772696601,0.0,20.85120455423991,0.0,1.0,0.0,0.0,0.0,0.1,0.3680555555555556,0.3194444444444444,0.3680555555555556,0.4791666666666667,0.3194444444444444,0.0,0.0,0.0,0.0833005772696601,0.8799781931771172,0.5747391449080573,0.3576940529876285,0.26790135105450946,1.6673883994420369,2.0590085983276367,4.167714516321818,0.004292328686763843,0.0008037040630976359,0.0033347769381685387,0.012354051694273949,0.06251571699976921,1.5667719443639119,0.6216216216216216,0.6405982905982905,0.7037037037037037,0.6322751322751323,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.5689837137858074,0.6756756756756757,0.6763125763125762,0.6590909090909091,0.6519594426197405,-0.17992424242424238,0.6322751322751323,0.4902062957618514,3,False,7e-05,2.75e-05,0.3928571428571429,4.089285850524902,5.125,1.1311111450195312,0.3743627071380615,0.3887355327606201,0.4471123218536377,2.34162974357605
6,3.419822719362047,3.286618630091349,1.9557307296329074,1.9012684689627752,-0.09047417756583956,0.16034632093376583,0.0,20.15916124979655,0.0,1.0,0.0,0.0,0.0,0.2,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.3888888888888889,0.0,0.0,0.0,0.16034632093376583,0.7801203396585252,0.5066483583715227,0.34887898299429154,0.2625971304045783,1.7442504167556763,2.0248958004845514,3.9707297219170465,0.008373095757431455,0.0015755828030200468,0.006977001981188853,0.024298749657140836,0.11912189010116789,1.3698457479476929,0.8108108108108109,0.8708994708994708,0.8518518518518519,0.8423921757255092,0.8108108108108109,0.8108108108108109,0.8108108108108109,1.3607804775238037,0.7837837837837838,0.7903007667713551,,,,0.8423921757255092,0.6072751322751323,3,False,7e-05,2.75e-05,0.3928571428571429,4.087821006774902,5.125,1.1183700561523438,0.36729907989501953,0.39148712158203125,0.0,1.8774323463439941
7,3.3236322932773166,3.106181886461046,1.9359419345855713,1.671771420372857,-0.0608235928747389,0.23569748633437687,0.9404187798500061,19.449684143066406,2.3363913893699646,1.0,0.0,4.0,0.07142857142857142,0.3,0.5,0.3611111111111111,0.5,0.4791666666666667,0.4652777777777778,0.9404187798500061,0.8994119167327881,0.9814256280660629,0.23569748633437687,0.8829974465899997,0.5483652220831977,0.3413876427544488,0.2576397392484877,1.7796573638916016,1.9795766274134319,3.82716531223721,0.012289954763319757,0.002318757560311092,0.010677944247921308,0.03563237769736184,0.1722224470641878,1.189243753751119,0.8918918918918919,0.8944444444444445,0.9074074074074076,0.8955427288760622,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.1958795388539631,0.8648648648648649,0.8758217091550425,,,,0.8955427288760622,0.6322751322751323,3,False,7e-05,2.75e-05,0.3928571428571429,4.089217662811279,5.125,1.0663750171661377,0.37754225730895996,0.3809654712677002,0.0,1.825164556503296
8,3.3689675596025257,3.0921958022647433,1.941668536927965,1.6436103449927435,-0.07484391414456898,0.29922494292259216,0.8697224408388138,20.29345088534885,2.2944304943084717,1.0,0.0,4.0,0.14285714285714285,0.4,0.5277777777777778,0.3888888888888889,0.5277777777777778,0.5625,0.4305555555555556,0.8697224408388138,0.9104588329792023,0.8289860486984253,0.29922494292259216,0.8489663932058547,0.6318373945024278,0.33377280500200057,0.25344085527790916,1.681555536058214,1.9668870369593303,3.570270644293891,0.016021095009313688,0.0030412903159028953,0.0134524449499117,0.04720528961883651,0.21421623395548928,1.0951412121454875,0.8918918918918919,0.9470899470899471,0.9305555555555556,0.9277167277167275,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.0978035926818848,0.8648648648648649,0.905399538732872,,,,0.9277167277167275,0.8423921757255092,3,False,7e-05,2.75e-05,0.3928571428571429,4.089086532592773,5.125,1.249553918838501,0.3834538459777832,0.3808577060699463,0.0,2.014147996902466
9,3.2701904508802624,2.9100848038991294,1.8161485989888508,1.562766022152371,-0.01929371514254146,0.36589378780788845,0.7894713282585144,20.118595547146267,2.084364265203476,1.0,0.0,4.0,0.21428571428571427,0.5,0.6180555555555556,0.4791666666666667,0.6180555555555556,0.5694444444444444,0.5347222222222222,0.7894713282585144,0.8445587158203125,0.7343839406967163,0.36589378780788845,0.8613497283723619,0.7131733496983846,0.32500196827782524,0.25115405519803363,1.643542832798428,1.9277252223756578,3.465656280517578,0.019500117955936327,0.0037673107710563475,0.01643542769468493,0.05783175594276852,0.2599242313040627,1.0719814697901409,0.8918918918918919,0.8878306878306879,0.925925925925926,0.8918057251390584,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.0839365720748901,0.8918918918918919,0.8871572871572873,,,,0.8918057251390584,0.8918057251390584,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0768122673034668,0.375715970993042,0.39123988151550293,0.0,1.844090461730957
10,3.170026275846693,2.760610130098131,1.6219609843360052,1.6266416443718805,-0.01101489985982577,0.4127205577161577,0.8244590610265732,19.645184834798176,2.088034003973007,1.0,0.0,4.0,0.2857142857142857,0.6,0.5416666666666666,0.5694444444444444,0.5416666666666666,0.6111111111111112,0.6319444444444444,0.8244590610265732,0.7274468392133713,0.9214712977409363,0.4127205577161577,0.8990999393992953,0.696478267510732,0.31924744115935433,0.24756227102544573,1.6141432258817885,1.8560134039984808,3.196615907880995,0.02298581496708923,0.004456120698402326,0.019369718722171254,0.0668164806233512,0.2876954393254386,1.0746095776557922,0.8378378378378378,0.8518518518518517,0.8842592592592592,0.8454748954748954,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.0735137859980266,0.8918918918918919,0.8990022323355658,0.8333333333333334,0.841801499399171,-0.2222222222222222,0.8454748954748954,0.8454748954748954,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.1177937984466553,0.3835771083831787,0.36724114418029785,0.4285736083984375,2.2974956035614014
