epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.732681194941203,5.809530576070149,3.166621685028076,3.109304348627726,-0.2561643123626709,0.0,0.0,33.19188658396403,0.0,1.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.08333333333333333,0.10416666666666667,0.11458333333333333,0.11458333333333333,0.0,0.0,0.0,0.0,1.039381782213847,1.1628698408603668,0.37133435408274335,0.2639809002478917,1.632365385691325,1.8104805548985798,6.277698119481404,0.0,0.0,0.0,0.0,0.0,3.0506136417388916,0.11538461538461539,0.04419191919191919,0.25,0.07509157509157509,0.11538461538461539,0.11538461538461539,0.11538461538461539,3.0130064487457275,0.11538461538461539,0.09841269841269841,0.09375,0.06521739130434782,0.02083333333333333,0.07509157509157509,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087515830993652,5.125,1.134368658065796,0.36861181259155273,0.36200737953186035,0.3724677562713623,2.237771511077881
2,4.119375665982564,4.2765196561813354,2.3469736178716025,2.2700540026028952,-0.5238131483395895,0.0,0.0,26.728221257527668,0.0,1.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.2604166666666667,0.2916666666666667,0.2604166666666667,0.3333333333333333,0.0,0.0,0.0,0.0,1.078221748272578,0.930004338423411,0.3671973447004954,0.2639442632595698,1.6223541299502056,1.7979028224945068,4.905118703842163,0.0,0.0,0.0,0.0,0.0,2.9167600870132446,0.07692307692307693,0.012820512820512822,0.16666666666666666,0.02380952380952381,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.02380952380952381,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087332725524902,5.125,0.7794365882873535,0.32228970527648926,0.0,0.0,1.1019556522369385
3,3.539746642112732,3.700701038042704,2.043299933274587,1.9498835404713948,-0.5365145107110342,0.0,0.0,23.101181348164875,0.0,1.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.3020833333333333,0.4166666666666667,0.4166666666666667,0.3125,0.0,0.0,0.0,0.0,1.1693487167358398,0.9507429103056589,0.3662908325592677,0.26292118430137634,1.587363064289093,1.7680301864941914,4.327225049336751,0.0,0.0,0.0,0.0,0.0,2.462568998336792,0.15384615384615385,0.0984848484848485,0.3333333333333333,0.13888888888888887,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.3070619702339172,0.2692307692307692,0.255050505050505,,,,0.13888888888888887,0.02380952380952381,3,False,9e-05,2.75e-05,0.3055555555555555,4.086325645446777,5.125,0.8037021160125732,0.32376790046691895,0.3188631534576416,0.0,1.446552038192749
4,3.3861066897710166,3.228731354077657,1.6198905507723491,1.892753819624583,-0.5176105052232742,0.312658429145813,0.0,20.993487040201824,0.0,1.0,0.0,0.0,0.0,0.125,0.3958333333333333,0.5104166666666666,0.3958333333333333,0.4166666666666667,0.3541666666666667,0.0,0.0,0.0,0.312658429145813,1.2092705567677815,0.8118388255437216,0.36340416967868805,0.26322561502456665,1.58968718846639,1.737160583337148,3.975464344024658,0.005451062383751075,0.0008225800605335584,0.004967772479479511,0.0032571760239079595,0.2981598377227783,2.0316665172576904,0.34615384615384615,0.35714285714285715,0.5333333333333333,0.36706349206349204,0.34615384615384615,0.34615384615384615,0.34615384615384615,,,,,,,0.36706349206349204,0.02380952380952381,3,False,9e-05,2.75e-05,0.3055555555555555,4.088278770446777,5.125,0.8709204196929932,0.31432151794433594,0.0,0.0,1.1855077743530273
5,3.8514970938364663,3.4101473093032837,1.9928148190180461,1.667449911435445,-0.4271278828382492,0.5694881776968638,0.0,21.93770694732666,0.0,1.0,0.0,0.0,0.0,0.25,0.5520833333333334,0.3854166666666667,0.5520833333333334,0.5,0.3125,0.0,0.0,0.0,0.5694881776968638,1.0509639879067738,0.7914203902085623,0.3598569333553314,0.261297345161438,1.478127658367157,1.7037988503774006,3.6095453103383384,0.010795707969615856,0.0016331084189005196,0.009238298051059246,0.006389245468502243,0.5414318193991979,1.7950324416160583,0.4230769230769231,0.36984126984126986,0.6,0.42407407407407405,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.7347663044929504,0.46153846153846156,0.45634920634920634,0.28125,0.2801810093572634,0.21875,0.42407407407407405,0.13888888888888887,3,False,9e-05,2.75e-05,0.3055555555555555,4.087119102478027,5.125,0.7829670906066895,0.32467007637023926,0.32665085792541504,0.36767101287841797,1.8022222518920898
6,3.61385186513265,2.927490234375,1.5885722239812214,1.5751975377400715,-0.2749745299418767,0.7688540120919546,0.0,20.495261192321777,0.0,1.0,0.0,0.0,0.0,0.375,0.5208333333333334,0.5729166666666666,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.0,0.0,0.0,0.7688540120919546,1.086012880007426,0.7965603669484457,0.35829566419124603,0.2601051479578018,1.4011270999908447,1.6701666116714478,3.2344976663589478,0.016123305385311443,0.0024384858940417566,0.0131355671522518,0.009394687445213398,0.727761964003245,1.6087473630905151,0.4230769230769231,0.37023809523809526,0.5499999999999999,0.3841269841269841,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.5458205938339233,0.46153846153846156,0.4142857142857143,,,,0.3841269841269841,0.36706349206349204,3,False,9e-05,2.75e-05,0.3055555555555555,4.088217735290527,5.125,0.8057498931884766,0.3122098445892334,0.3215963840484619,0.0,1.4398322105407715
7,3.8381110032399497,2.893298586209615,1.6710351506869,1.437956988811493,-0.2937491734822591,1.0329371690750122,0.7450103362401327,21.44411563873291,2.173705736796061,1.0,0.0,3.0,0.06666666666666667,0.5,0.6458333333333334,0.5,0.6458333333333334,0.5729166666666666,0.4791666666666667,0.7450103362401327,0.7505659461021423,0.7394547462463379,1.0329371690750122,1.192170262336731,0.8859838346640269,0.3565513839324315,0.25892357031504315,1.4197598099708557,1.6716613570849101,3.2508405844370523,0.021393082415064175,0.0032365446677431464,0.017746997997164726,0.012537459998081127,0.9752522110939026,1.5379439890384674,0.4230769230769231,0.3666666666666667,0.5499999999999999,0.3904761904761905,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.5336501598358154,0.4230769230769231,0.39999999999999997,,,,0.3904761904761905,0.3841269841269841,3,False,9e-05,2.75e-05,0.3055555555555555,4.090224742889404,5.125,1.0671138763427734,0.31958770751953125,0.3254220485687256,0.0,1.7123956680297852
8,3.6522114674250283,2.5750379959742227,1.4496028820673625,1.3240412473678589,-0.2503931348522504,1.152291476726532,0.7438562711079916,20.408045132954914,2.129168709119161,1.0,0.0,3.0,0.13333333333333333,0.625,0.6875,0.5833333333333334,0.6875,0.6041666666666666,0.5104166666666666,0.7438562711079916,0.7239099939664205,0.7638025482495626,1.152291476726532,1.2127751111984253,0.9165438016255697,0.3541199912627538,0.2584891269604365,1.5135575731595357,1.6656349698702495,2.87133526802063,0.026559000213940937,0.004038892608756821,0.023649337080617745,0.015615328525503477,1.0767507056395214,1.4998294115066528,0.38461538461538464,0.34722222222222215,0.5666666666666667,0.3907407407407408,0.38461538461538464,0.38461538461538464,0.38461538461538464,,,,,,,0.3907407407407408,0.3841269841269841,3,False,9e-05,2.75e-05,0.3055555555555555,4.088759899139404,5.125,0.8056252002716064,0.3246464729309082,0.0,0.0,1.1305665969848633
9,3.9640419483184814,2.7054772774378457,1.4715386629104614,1.4516924619674683,-0.2898753335078557,1.3455272515614827,0.7809882561365763,22.276763916015625,2.1316939989725747,1.0,0.0,3.0,0.2,0.75,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6458333333333334,0.625,0.7809882561365763,0.8453549941380819,0.7166215578715006,1.3455272515614827,1.2328736186027527,0.8832192917664846,0.349922572573026,0.2557954490184784,1.4605090419451396,1.6269201238950093,2.7890806992848716,0.03149303235113621,0.004796164808794856,0.027384545964499313,0.018302852287888527,1.2550862828890483,1.3498367071151733,0.5384615384615384,0.7490740740740741,0.6375000000000001,0.545950345950346,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.2967647314071655,0.6538461538461539,0.6840909090909091,,,,0.545950345950346,0.3904761904761905,3,False,9e-05,2.75e-05,0.3055555555555555,4.088271617889404,5.125,0.7078163623809814,0.3156404495239258,0.32800793647766113,0.0,1.3516836166381836
10,3.4246280988057456,2.1453987757364907,1.2205345431963603,1.088075578212738,-0.265772079428037,1.3589609861373901,0.7737811406453451,18.313391367594402,2.2093611558278403,1.0,0.0,3.0,0.26666666666666666,0.875,0.8229166666666666,0.6979166666666666,0.8229166666666666,0.78125,0.7395833333333334,0.7737811406453451,0.7219422459602356,0.8256199955940247,1.3589609861373901,1.239734450976054,0.8907977839310964,0.3480540066957474,0.2541684955358505,1.457357664903005,1.585997482140859,2.3862794041633606,0.03654566903909048,0.005559935777758558,0.03187969885766506,0.020816216245293617,1.2527966300646465,1.2466980516910553,0.5769230769230769,0.5857142857142857,0.7333333333333334,0.5912698412698413,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.2037397027015686,0.6538461538461539,0.6673789173789174,0.6041666666666666,0.6532312970429213,0.17708333333333337,0.5912698412698413,0.3907407407407408,3,False,9e-05,2.75e-05,0.3055555555555555,4.087172508239746,5.125,0.7089605331420898,0.3175477981567383,0.3270993232727051,0.37591004371643066,1.7298026084899902
