epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.469699647691515,5.4801716804504395,3.315297153260973,3.0926778846316867,-0.03490672467483415,0.0,0.0,31.22944556342231,0.0,1.0,0.0,0.0,0.0,0.0,0.0625,0.06944444444444445,0.0625,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.979125354025099,1.7706746657689412,0.3549250132507748,0.2706412242518531,1.9533937639660306,2.1980436642964682,6.530755148993598,0.0,0.0,0.0,0.0,0.0,2.5674018065134683,0.21621621621621623,0.0905349794238683,0.2222222222222222,0.11756272401433693,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.6013954480489097,0.1891891891891892,0.08730158730158731,0.17424242424242425,0.094579253583085,-0.09090909090909093,0.11756272401433693,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.087515830993652,5.125,1.444063663482666,0.4501645565032959,0.4551396369934082,0.5247304439544678,2.8743858337402344
2,4.543294376797146,4.488381915622288,2.7259944809807672,2.5176962746514215,0.18304170047243437,0.0,0.0,26.362920973036026,0.0,1.0,0.0,0.0,0.0,0.0,0.2569444444444444,0.14583333333333334,0.2569444444444444,0.22916666666666666,0.1527777777777778,0.0,0.0,0.0,0.0,0.9614880018764072,1.6947773959901598,0.3555060625076294,0.27054165800412494,1.8809828493330214,2.1509750949011908,5.507765769958496,0.0,0.0,0.0,0.0,0.0,2.104861934979757,0.1891891891891892,0.10957950431634642,0.19444444444444442,0.1288888888888889,0.1891891891891892,0.1891891891891892,0.18918918918918917,,,,,,,0.1288888888888889,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.086325645446777,5.125,1.235123872756958,0.45327138900756836,0.0,0.0,1.6886751651763916
3,4.138979911804199,4.1031760639614525,2.454239845275879,2.3556231922573514,0.11934617492887709,0.0,0.0,24.164098527696396,0.0,1.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.2638888888888889,0.2777777777777778,0.2777777777777778,0.25,0.0,0.0,0.0,0.0,0.8857104049788581,1.7279875410927668,0.3542572458585103,0.27031311723921037,1.83362705177731,2.132899761199951,4.891277101304796,0.0,0.0,0.0,0.0,0.0,1.7148176829020183,0.40540540540540543,0.49882154882154883,0.537037037037037,0.4479779117034019,0.40540540540540543,0.40540540540540543,0.40540540540540543,1.690937081972758,0.5135135135135135,0.5403318903318902,,,,0.4479779117034019,0.11756272401433693,3,False,7e-05,2.75e-05,0.3928571428571429,4.088278770446777,5.125,1.0856835842132568,0.4538431167602539,0.45301246643066406,0.0,1.9927668571472168
4,3.8126083744896784,3.7560444937811956,2.22045279873742,2.193702459335327,0.188546328081025,0.0,0.0,22.70820320977105,0.0,1.0,0.0,0.0,0.0,0.0,0.3611111111111111,0.3055555555555556,0.3611111111111111,0.3333333333333333,0.2916666666666667,0.0,0.0,0.0,0.0,0.9565579758750068,1.582588381237454,0.3553158740202586,0.26853164699342513,1.8170323504341974,2.080145253075494,4.492304695977105,0.0,0.0,0.0,0.0,0.0,1.4580341974894206,0.6216216216216216,0.7141975308641976,0.712962962962963,0.6326278659611994,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.4544873634974163,0.6216216216216216,0.6239858906525574,,,,0.6326278659611994,0.1288888888888889,3,False,7e-05,2.75e-05,0.3928571428571429,4.088217735290527,5.125,1.0519142150878906,0.44049501419067383,0.4448509216308594,0.0,1.9375429153442383
5,3.4366320504082575,3.3606320752037897,2.0740573936038547,1.8379637665218778,0.18370571566952598,0.020888227969408035,0.0,21.185289594862198,0.0,1.0,0.0,0.0,0.0,0.1,0.4791666666666667,0.3541666666666667,0.4791666666666667,0.3680555555555556,0.3263888888888889,0.0,0.0,0.0,0.020888227969408035,0.9821249379052056,1.6128087706036038,0.3407863411638472,0.2631298270490434,1.840644849671258,2.0546854072146945,4.095316754447089,0.004089436183373134,0.0007893894863728848,0.003681289885813991,0.012328112601406045,0.0,1.29443363348643,0.7297297297297297,0.7716931216931217,0.7731481481481481,0.7294261294261294,0.7297297297297297,0.7297297297297297,0.7297297297297297,1.2656917572021484,0.7027027027027027,0.6990065490065489,0.7272727272727273,0.7415129139237798,-0.3592171717171717,0.7294261294261294,0.4479779117034019,3,False,7e-05,2.75e-05,0.3928571428571429,4.089285850524902,5.125,1.0927491188049316,0.44423484802246094,0.43960094451904297,0.4979119300842285,2.4747977256774902
6,3.2169078720940485,3.17158481809828,1.902234845691257,1.8133571942647297,0.0187322236597538,0.039703321953614555,0.0,21.341333601209854,0.0,1.0,0.0,0.0,0.0,0.2,0.4861111111111111,0.4236111111111111,0.4861111111111111,0.5347222222222222,0.3333333333333333,0.0,0.0,0.0,0.039703321953614555,0.8785719076792399,1.6332902510960896,0.30251575178570217,0.2537519567542606,1.7167165411843195,2.004463897811042,3.985540681415134,0.007260378087974257,0.0015225117612216207,0.006866866515742408,0.024053566571738984,0.0,1.2173093159993489,0.8108108108108109,0.8185185185185185,0.8564814814814815,0.7989140489140488,0.8108108108108109,0.8108108108108109,0.8108108108108109,1.1910107135772705,0.8648648648648649,0.8466009299342632,,,,0.7989140489140488,0.6326278659611994,3,False,7e-05,2.75e-05,0.3928571428571429,4.087821006774902,5.125,1.1447474956512451,0.48220014572143555,0.5151634216308594,0.0,2.14239501953125
7,3.262719896104601,3.1864974763658314,2.089727375242445,1.5668144226074219,0.04701582259602017,0.06211768380469746,0.8749708086252213,21.063666661580402,2.319474220275879,1.0,0.0,4.0,0.07142857142857142,0.3,0.5763888888888888,0.3611111111111111,0.5763888888888888,0.5208333333333334,0.3958333333333333,0.8749708086252213,0.8618170469999313,0.8881245702505112,0.06211768380469746,0.9017520811822679,1.5468393166859944,0.27035077412923175,0.24505239725112915,1.6931142144733005,1.9804674916797214,3.688775142033895,0.009732627413339086,0.0022054714823348653,0.010158685449924734,0.03564841424425443,0.0,1.0606157382329304,0.8918918918918919,0.8822751322751323,0.9120370370370371,0.884839234839235,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.024380882581075,0.918918918918919,0.9067155067155066,,,,0.884839234839235,0.7294261294261294,3,False,7e-05,2.75e-05,0.3928571428571429,4.089217662811279,5.125,1.1955351829528809,0.4437558650970459,0.46283602714538574,0.0,2.1024668216705322
8,3.0495393806033664,2.9142803880903454,1.822696367899577,1.5594057771894667,0.1762392417424255,0.08238723874092102,0.782478004693985,20.132479349772137,2.0992361307144165,1.0,0.0,4.0,0.14285714285714285,0.4,0.5833333333333334,0.4444444444444444,0.5833333333333334,0.5763888888888888,0.4791666666666667,0.782478004693985,0.8424288183450699,0.7225272059440613,0.08238723874092102,0.8746407694286771,1.4539954662322998,0.24608601960870954,0.24108178085751003,1.6449483633041382,1.9252492189407349,3.361019876268175,0.011812128954463534,0.002892981386846966,0.01315958746191528,0.046205981738037534,0.0,1.0803381999333699,0.8108108108108109,0.8396825396825398,0.8703703703703703,0.8107170607170606,0.8108108108108109,0.8108108108108109,0.8108108108108109,1.0539802114168804,0.8918918918918919,0.884350217683551,,,,0.8107170607170606,0.7989140489140488,3,False,7e-05,2.75e-05,0.3928571428571429,4.089086532592773,5.125,1.149641752243042,0.45171666145324707,0.4589245319366455,0.0,2.0605838298797607
9,2.8569240040249295,2.7014744546678333,1.6079592969682481,1.5621645583046808,0.17333376738760206,0.10344942824708091,0.8261707872152328,19.296640184190537,2.1511809825897217,1.0,0.0,4.0,0.21428571428571427,0.5,0.6388888888888888,0.5763888888888888,0.6388888888888888,0.5972222222222222,0.4791666666666667,0.8261707872152328,0.8641129434108734,0.7882286310195923,0.10344942824708091,0.9368949929873148,1.4870627456241183,0.23121285769674513,0.23812000453472137,1.5959637827343411,1.9019910494486492,3.258062389161852,0.013872771316932308,0.0035718000080022546,0.015959637550016243,0.057059730092684426,0.0,1.021830677986145,0.8378378378378378,0.8388888888888889,0.8981481481481483,0.8301988135321471,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.9989277720451355,0.918918918918919,0.9029982363315696,,,,0.8301988135321471,0.8107170607170606,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0612261295318604,0.4512319564819336,0.4496922492980957,0.0,1.9624252319335938
10,2.9992134835984974,2.811417897542318,1.639350175857544,1.6743824084599812,0.21455530491140154,0.12342899044354756,0.7478657066822052,20.998943752712673,2.0695109963417053,1.0,0.0,4.0,0.2857142857142857,0.6,0.5347222222222222,0.5486111111111112,0.5347222222222222,0.5694444444444444,0.4375,0.7478657066822052,0.8113000094890594,0.6844314187765121,0.12342899044354756,0.914811372756958,1.3933407730526395,0.22213666306601632,0.23964409033457437,1.5748163594139948,1.8815822733773127,3.2436995241377087,0.015993839026325278,0.004313593419889609,0.018897796670595806,0.06773695846398671,0.0,0.9615536332130432,0.8648648648648649,0.8666666666666667,0.9212962962962964,0.8640334973668308,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.9347261190414429,0.8378378378378378,0.840218423551757,0.9090909090909091,0.9017144032631444,-0.33964646464646464,0.8640334973668308,0.8107170607170606,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0459682941436768,0.44355297088623047,0.45444726943969727,0.5054824352264404,2.4497549533843994
