epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.560574849446614,5.630014022191365,2.9027822812398276,3.2085078954696655,-0.23146372040112814,0.0,0.0,31.69861888885498,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.13541666666666666,0.08333333333333333,0.125,0.11458333333333333,0.0,0.0,0.0,0.0,0.6143281857172648,1.2797630627950032,0.34981927275657654,0.2630586971839269,1.6245546539624531,1.7714570959409077,6.021188735961914,0.0,0.0,0.0,0.0,0.0,2.5009407997131348,0.23076923076923078,0.22685185185185186,0.35000000000000003,0.21388888888888888,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.525966763496399,0.15384615384615385,0.13247863247863248,0.14583333333333334,0.11827956989247311,-0.020833333333333343,0.21388888888888888,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087515830993652,5.125,1.1930291652679443,0.3933713436126709,0.41165995597839355,0.45806217193603516,2.4564311504364014
2,4.598786354064941,4.651617606480916,2.5411188999811807,2.4829394022623696,-0.17610380798578262,0.0,0.0,27.439993222554524,0.0,1.0,0.0,0.0,0.0,0.0,0.22916666666666666,0.13541666666666666,0.22916666666666666,0.20833333333333334,0.2708333333333333,0.0,0.0,0.0,0.0,0.48428110778331757,1.1656593879063923,0.34898341695467633,0.2641283869743347,1.5824725429217021,1.789044737815857,4.891707976659139,0.0,0.0,0.0,0.0,0.0,2.2920001745224,0.2692307692307692,0.10416666666666667,0.3333333333333333,0.14814814814814814,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.14814814814814814,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087332725524902,5.125,0.7065246105194092,0.3975863456726074,0.0,0.0,1.104337215423584
3,4.156001845995585,4.131689111391704,2.309214770793915,2.1440873742103577,0.08104218915104866,0.0,0.0,24.017460823059082,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.28125,0.3333333333333333,0.2708333333333333,0.25,0.0,0.0,0.0,0.0,0.6253145337104797,1.1196765700976055,0.3484019935131073,0.26327086985111237,1.6786093314488728,1.7685197989145915,4.239915688832601,0.0,0.0,0.0,0.0,0.0,2.2575207948684692,0.23076923076923078,0.06753812636165578,0.25,0.10606060606060606,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.3150285482406616,0.2692307692307692,0.1433823529411765,,,,0.10606060606060606,0.10606060606060606,3,False,9e-05,2.75e-05,0.3055555555555555,4.086325645446777,5.125,0.7651200294494629,0.3969576358795166,0.4079580307006836,0.0,1.5702648162841797
4,3.6300443013509116,3.577634890874227,2.0239259004592896,1.8278928399085999,0.12717257936795553,0.014257607360680899,0.0,22.453340530395508,0.0,1.0,0.0,0.0,0.0,0.125,0.4479166666666667,0.3020833333333333,0.4479166666666667,0.4270833333333333,0.375,0.0,0.0,0.0,0.014257607360680899,0.6554341614246368,1.0156779885292053,0.3393746614456177,0.2605580935875575,1.6137923796971638,1.7651424606641133,3.948900024096171,0.005090619825447599,0.0008142440444013724,0.005043101264163852,0.0033096420423438153,0.0,2.294399619102478,0.19230769230769232,0.036231884057971016,0.16666666666666666,0.059523809523809514,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.059523809523809514,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.088278770446777,5.125,0.8611960411071777,0.40124082565307617,0.0,0.0,1.2627136707305908
5,3.460448225339254,3.4190386533737183,1.8812537789344788,1.8091586232185364,0.04668985276172558,0.027402682850758236,0.0,20.957515716552734,0.0,1.0,0.0,0.0,0.0,0.25,0.46875,0.4270833333333333,0.46875,0.5,0.3645833333333333,0.0,0.0,0.0,0.027402682850758236,0.5680308292309443,1.0464256306489308,0.31400829553604126,0.2543079952398936,1.5801325837771099,1.73791499932607,3.8535918394724527,0.009420248369375864,0.0015894249663688242,0.009875828865915537,0.006517181095356743,0.0,1.8792347311973572,0.38461538461538464,0.3796296296296296,0.39999999999999997,0.32960662525879925,0.38461538461538464,0.38461538461538464,0.38461538461538464,1.9177176356315613,0.46153846153846156,0.3581402257872846,0.3125,0.21535711682062927,0.1875,0.32960662525879925,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.087119102478027,5.125,0.801807165145874,0.40202832221984863,0.4119300842285156,0.4545426368713379,2.070571184158325
6,3.030717412630717,3.016570806503296,1.633709728717804,1.6268953680992126,-0.08416664227843285,0.039396596451600395,0.0,20.78145472208659,0.0,1.0,0.0,0.0,0.0,0.375,0.46875,0.5208333333333334,0.46875,0.5104166666666666,0.46875,0.0,0.0,0.0,0.039396596451600395,0.5710895309845606,1.0107832849025726,0.28359278043111164,0.2462722659111023,1.5577518741289775,1.7283899784088135,3.5984028577804565,0.012761675597478947,0.0023088026015708842,0.014603924316664537,0.00972219401349624,0.0,2.0560368299484253,0.34615384615384615,0.3379084967320261,0.3666666666666667,0.27205387205387205,0.34615384615384615,0.34615384615384615,0.34615384615384615,,,,,,,0.27205387205387205,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.088217735290527,5.125,0.7876043319702148,0.4006040096282959,0.0,0.0,1.1884300708770752
7,2.7974530458450317,2.7452587683995566,1.5068066716194153,1.4570024410883586,-3.175375362237295e-05,0.052203779419263206,0.7144420544306437,18.905176480611164,1.922163685162862,1.0,0.0,3.0,0.06666666666666667,0.5,0.59375,0.5520833333333334,0.59375,0.5416666666666666,0.53125,0.7144420544306437,0.656476100285848,0.7724080284436544,0.052203779419263206,0.7083124915758768,0.9595745007197062,0.2606728971004486,0.2395499348640442,1.4907201131184895,1.6948241194089253,3.176018238067627,0.015640373652180035,0.0029943742556497455,0.018634001569201548,0.012711180529246727,0.0,1.5996863842010498,0.5769230769230769,0.6018518518518517,0.6833333333333332,0.583119658119658,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.6557175815105438,0.5384615384615384,0.5317460317460317,,,,0.583119658119658,0.27205387205387205,3,False,9e-05,2.75e-05,0.3055555555555555,4.090224742889404,5.125,1.006845235824585,0.4035930633544922,0.40615177154541016,0.0,1.8168158531188965
8,2.959068457285563,2.8746583461761475,1.604747752348582,1.4940123955408733,0.06398991929988067,0.06521317611138026,0.7729784846305847,19.211413701375324,1.9972100257873535,1.0,0.0,3.0,0.13333333333333333,0.625,0.6354166666666666,0.5833333333333334,0.6354166666666666,0.6458333333333334,0.4791666666666667,0.7729784846305847,0.7249320149421692,0.8210249741872152,0.06521317611138026,0.7582199970881144,0.8751287360986074,0.24324815223614374,0.23686156421899796,1.4878638982772827,1.6709472338358562,2.925077517827352,0.01824361241112153,0.003700961940921843,0.023247873410582542,0.015665131000181038,0.0,1.5344985723495483,0.5384615384615384,0.42760942760942755,0.6,0.4650641025641025,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,,,,,0.4650641025641025,0.27205387205387205,3,False,9e-05,2.75e-05,0.3055555555555555,4.088759899139404,5.125,0.715517520904541,0.3998606204986572,0.0,0.0,1.1156516075134277
9,2.614485422770182,2.5399697621663413,1.432211458683014,1.3032450278600056,-0.009396197274327278,0.07733450457453728,0.7227913737297058,18.130202770233154,1.7867400248845418,1.0,0.0,3.0,0.2,0.75,0.6979166666666666,0.6458333333333334,0.6979166666666666,0.7291666666666666,0.5729166666666666,0.7227913737297058,0.6704654693603516,0.7751172582308451,0.07733450457453728,0.61644047498703,1.0271490613619487,0.229110486805439,0.23547067741552988,1.4670910040537517,1.6193039615948994,2.810316721598307,0.020619944669306278,0.004415075294673443,0.02750795738150676,0.01821716967970133,0.0,1.5113800764083862,0.5384615384615384,0.42760942760942755,0.6,0.4650641025641025,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.5253434777259827,0.5,0.41269841269841273,,,,0.4650641025641025,0.4650641025641025,3,False,9e-05,2.75e-05,0.3055555555555555,4.088271617889404,5.125,0.992633581161499,0.4029266834259033,0.408064603805542,0.0,1.8038547039031982
10,2.452828566233317,2.3531044324239097,1.3676236867904663,1.1593890984853108,0.040502634520332016,0.08757339417934418,0.7822385827700297,16.928664207458496,1.9245004256566365,1.0,0.0,3.0,0.26666666666666666,0.875,0.7291666666666666,0.6770833333333334,0.7291666666666666,0.7291666666666666,0.6770833333333334,0.7822385827700297,0.8003606001536051,0.7641165653864542,0.08757339417934418,0.6754910349845886,0.8330358664194742,0.2167073686917623,0.23323017110427222,1.416719098885854,1.575695514678955,2.4933323860168457,0.022754273066918056,0.005101909938578804,0.03099073003977537,0.020681003108620644,0.0,1.3241108655929565,0.6923076923076923,0.8694444444444445,0.7458333333333332,0.7398742325212914,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.3358721733093262,0.6923076923076923,0.7126683501683502,0.65625,0.6909526297457332,0.07291666666666663,0.7398742325212914,0.4650641025641025,3,False,9e-05,2.75e-05,0.3055555555555555,4.087172508239746,5.125,0.9024100303649902,0.40397191047668457,0.4099297523498535,0.45403194427490234,2.1706690788269043
