epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.5103389342625935,4.447584406534831,2.406969404220581,2.5507687171300253,0.2091818019747734,0.0,0.0,24.925905227661133,0.0,1.0,0.0,0.0,0.0,0.0,0.22291666666666668,0.2520833333333333,0.22291666666666668,0.22291666666666668,0.2875,0.0,0.0,0.0,0.0,0.5783056606849034,0.5068693260351816,0.3624172995487849,0.27084686458110807,1.791386115550995,2.0705613176027935,5.000385173161825,0.0,0.0,0.0,0.0,0.0,2.080701321363449,0.20833333333333334,0.36208489974937347,0.4659858434248678,0.2557018705289982,0.20833333333333334,0.20833333333333334,0.20833333333333334,1.9481382369995117,0.23333333333333334,0.3134511263830838,0.1913978494623656,0.19906929075609422,0.03151881720430108,0.2557018705289982,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,2.9223132133483887,0.4624674320220947,0.46478724479675293,0.7229435443878174,4.572808742523193
2,3.0655369679133098,3.020606207847595,1.6822395205497742,1.6729583263397216,0.14976917716364066,0.0,0.0,19.676732317606607,0.0,1.0,0.0,0.0,0.0,0.0,0.4895833333333333,0.4666666666666667,0.4895833333333333,0.5083333333333333,0.4666666666666667,0.0,0.0,0.0,0.0,0.6253702938556671,0.621291043361028,0.36568919916947684,0.26952827672163643,1.7318950692812602,1.9572996695836384,3.3424854119618734,0.0,0.0,0.0,0.0,0.0,1.344417504966259,0.65,0.620864898989899,0.7854350050797559,0.6191642677839686,0.65,0.65,0.65,,,,,,,0.6191642677839686,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.089285850524902,5.125,2.6403467655181885,0.456453800201416,0.0,0.0,3.097017526626587
3,2.385878626505534,2.363239534695943,1.3300401786963145,1.291499173641205,0.07546367508669695,0.0,0.0,18.479536724090575,0.0,1.0,0.0,0.0,0.0,0.0,0.6604166666666667,0.6333333333333333,0.6604166666666667,0.6458333333333334,0.6520833333333333,0.0,0.0,0.0,0.0,0.6187957972288132,0.6873120923837026,0.36605336169401803,0.26989908615748087,1.6130447030067443,1.8375948468844097,2.636684799194336,0.0,0.0,0.0,0.0,0.0,1.4745317846536636,0.48333333333333334,0.7167410714285714,0.6746262254447567,0.5791807392813585,0.48333333333333334,0.48333333333333334,0.48333333333333334,1.4219139069318771,0.5,0.575115455488792,,,,0.5791807392813585,0.2557018705289982,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,2.5864713191986084,0.45709824562072754,0.47391319274902344,0.0,3.5177001953125
4,1.9440070311228435,1.9221171816190084,1.0913748800754548,1.0384278575579324,0.004740420791010062,0.02046771937360366,0.0,17.380640856424968,0.0,1.0,0.0,0.0,0.0,0.125,0.7666666666666667,0.73125,0.7666666666666667,0.7270833333333333,0.7458333333333333,0.0,0.0,0.0,0.02046771937360366,0.6372264971335729,0.6678653518358867,0.2805100157856941,0.24595846782128017,1.4749218225479126,1.7124356190363565,2.2487353324890136,0.004207650106400252,0.0007686202239710838,0.010140087502077223,0.005351361415038506,0.0,0.9744589440524578,0.7666666666666667,0.7123702686202686,0.8550160735341011,0.7215274856722225,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.9273295998573303,0.7833333333333333,0.7368751616448984,,,,0.7215274856722225,0.5791807392813585,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.6382522583007812,0.46042847633361816,0.4682478904724121,0.0,3.567208766937256
5,1.6427529493967692,1.6206905444463093,0.8836986164251963,0.9212398966153462,-0.04951912083973487,0.03691815336545309,0.0,15.027791786193848,0.0,1.0,0.0,0.0,0.0,0.25,0.8125,0.8125,0.8125,0.80625,0.8166666666666667,0.0,0.0,0.0,0.03691815336545309,0.5935553034146627,0.6753490914901098,0.20286355366309483,0.23364958117405574,1.4146625836690268,1.5872522592544556,1.830397375424703,0.0060859064882000284,0.0014603099164863427,0.019451610464602708,0.009920326806604863,0.0,0.7729307562112808,0.8833333333333333,0.8341360028860028,0.9111432046214655,0.8525799502243169,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.7646893709897995,0.875,0.8477961189297498,0.886021505376344,0.8534281854852271,-0.07977150537634403,0.8525799502243169,0.5791807392813585,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.6790971755981445,0.4552426338195801,0.45883893966674805,0.7389929294586182,4.332462549209595
6,1.3614591042200723,1.3196009755134583,0.7573733150959014,0.7027845551570256,-0.03638317401831349,0.05277308796842893,0.9263753016789754,12.844257227579753,2.004401214917501,1.0,0.0,15.0,0.06666666666666667,0.375,0.9104166666666667,0.8708333333333333,0.9104166666666667,0.8729166666666667,0.8708333333333333,0.9263753016789754,0.855024802684784,0.9977257966995239,0.05277308796842893,0.5681944400072098,0.6379587451616923,0.17705515970786412,0.23487001607815425,1.3147830764452617,1.4374443888664246,1.5209354996681212,0.00796748250722885,0.002201906506282588,0.027117402044435343,0.013476041704416275,0.0,0.7468209713697433,0.8583333333333333,0.7873737373737373,0.9061668050931042,0.8194873440512975,0.8583333333333333,0.8583333333333333,0.8583333333333333,0.7107006646692753,0.8583333333333333,0.8120543302779223,,,,0.8194873440512975,0.7215274856722225,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.7270843982696533,0.46214890480041504,0.46309566497802734,0.0,3.6525588035583496
7,1.3310628374417623,1.2994318326314291,0.7785999437173208,0.6510398596525192,-0.11676310421898961,0.0666599458704392,0.9052507082621256,13.574275541305543,1.9404053211212158,1.0,0.0,15.0,0.13333333333333333,0.5,0.91875,0.8729166666666667,0.91875,0.89375,0.88125,0.9052507082621256,0.8751281420389811,0.9353732943534852,0.0666599458704392,0.567844228943189,0.5738558451334635,0.16535640706618626,0.23159664223591486,1.19997398853302,1.3630920688311259,1.4557923555374146,0.00992138423025608,0.00289495806209743,0.03299928437918424,0.017038651183247565,0.0,0.720488902181387,0.8916666666666667,0.8475281425891181,0.9195910796520553,0.8545734121060828,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.6958044953644276,0.9,0.8595145006877463,,,,0.8545734121060828,0.8194873440512975,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6714985370635986,0.46006345748901367,0.465423583984375,0.0,3.5972683429718018
8,1.2730985263983408,1.1995209376017253,0.6746140549580256,0.6561335921287537,-0.019525447177390257,0.07943521986405054,0.9190830111503601,11.84380612373352,1.9304040590922038,1.0,0.0,15.0,0.2,0.625,0.9208333333333333,0.9041666666666667,0.9208333333333333,0.9270833333333334,0.8958333333333334,0.9190830111503601,0.9100328286488851,0.928133201599121,0.07943521986405054,0.5168942679961522,0.5693661193052928,0.15635343343019487,0.2296501780549685,1.1275807718435924,1.2754262804985046,1.308422291278839,0.011726507886002461,0.003588284032108883,0.03876058993240197,0.019928535632789134,0.0,0.5664096958935261,0.9416666666666667,0.9257669413919414,0.9597902097902098,0.9385269039684574,0.9416666666666667,0.9416666666666667,0.9416666666666667,,,,,,,0.9385269039684574,0.8194873440512975,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.636843681335449,0.453580379486084,0.0,0.0,3.0906927585601807
9,1.1246110677719117,1.0515957295894622,0.5752156883478164,0.5954750428597132,-0.05580405220389366,0.08975654443105062,0.9477006236712138,9.696832911173503,1.9232934236526489,1.0,0.0,15.0,0.26666666666666666,0.75,0.94375,0.95625,0.94375,0.9520833333333333,0.9354166666666667,0.9477006236712138,0.9233534653981527,0.972047766049703,0.08975654443105062,0.4840844412644704,0.5529558380444844,0.1512156849106153,0.229328520099322,1.0640607833862306,1.12219251592954,1.1581590930620829,0.013609412281463543,0.0042999099474400285,0.043892508993546166,0.021041110592583814,0.0,0.5786082521080971,0.9416666666666667,0.8993947628458498,0.9591631194892064,0.9208732843243713,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.5531441606581211,0.9416666666666667,0.912613981762918,,,,0.9208732843243713,0.8545734121060828,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6505239009857178,0.453021764755249,0.46502017974853516,0.0,3.5687832832336426
10,1.082388699054718,1.008904888232549,0.5773059676090876,0.5394986311594645,-0.07394789109627406,0.09566817358136177,0.9728474855422974,9.541486461957296,1.9206297000249226,0.9,0.0,15.0,0.3333333333333333,0.875,0.9604166666666667,0.9458333333333333,0.9604166666666667,0.9666666666666667,0.9333333333333333,0.9728474855422974,0.937468393643697,1.0082265814145406,0.09566817358136177,0.505454084277153,0.5104082365830739,0.14698979506889978,0.2295112207531929,0.9219579458236694,1.0230374217033387,1.1360990444819132,0.015433927966902653,0.005020557918275396,0.044369225203990934,0.022378943115472793,0.0,0.6033441014587879,0.925,0.8682390768146583,0.9501748251748252,0.8957128864043757,0.925,0.925,0.925,0.5839022174477577,0.9333333333333333,0.9150426579400296,0.9526881720430107,0.9353683498746578,0.013978494623655968,0.8957128864043757,0.8957128864043757,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.607337236404419,0.4603419303894043,0.47497129440307617,0.7461788654327393,4.289144992828369
