epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.732681194941203,5.809530576070149,3.166621685028076,3.109304348627726,-0.2561643123626709,0.0,0.0,33.19188658396403,0.0,1.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.08333333333333333,0.10416666666666667,0.11458333333333333,0.11458333333333333,0.0,0.0,0.0,0.0,1.039381782213847,1.1628698408603668,0.37133435408274335,0.2639809002478917,1.632365385691325,1.8104805548985798,6.277698119481404,0.0,0.0,0.0,0.0,0.0,3.0506136417388916,0.11538461538461539,0.04419191919191919,0.25,0.07509157509157509,0.11538461538461539,0.11538461538461539,0.11538461538461539,3.0130064487457275,0.11538461538461539,0.09841269841269841,0.09375,0.06521739130434782,0.02083333333333333,0.07509157509157509,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087515830993652,5.125,1.1457006931304932,0.3479142189025879,0.3648552894592285,0.3964211940765381,2.255209445953369
2,4.119375665982564,4.2765196561813354,2.3469736178716025,2.2700540026028952,-0.5238131483395895,0.0,0.0,26.728221257527668,0.0,1.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.2604166666666667,0.2916666666666667,0.2604166666666667,0.3333333333333333,0.0,0.0,0.0,0.0,1.078221748272578,0.930004338423411,0.3671973447004954,0.2639442632595698,1.6223541299502056,1.7979028224945068,4.905118703842163,0.0,0.0,0.0,0.0,0.0,2.9167600870132446,0.07692307692307693,0.012820512820512822,0.16666666666666666,0.02380952380952381,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.02380952380952381,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087332725524902,5.125,0.7818875312805176,0.35082411766052246,0.0,0.0,1.132941722869873
3,3.539746642112732,3.700701038042704,2.043299933274587,1.9498835404713948,-0.5365145107110342,0.0,0.0,23.101181348164875,0.0,1.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.3020833333333333,0.4166666666666667,0.4166666666666667,0.3125,0.0,0.0,0.0,0.0,1.1693487167358398,0.9507429103056589,0.3662908325592677,0.26292118430137634,1.587363064289093,1.7680301864941914,4.327225049336751,0.0,0.0,0.0,0.0,0.0,2.462568998336792,0.15384615384615385,0.0984848484848485,0.3333333333333333,0.13888888888888887,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.3070619702339172,0.2692307692307692,0.255050505050505,,,,0.13888888888888887,0.02380952380952381,3,False,9e-05,2.75e-05,0.3055555555555555,4.086325645446777,5.125,0.8060829639434814,0.3488335609436035,0.3633463382720947,0.0,1.5184965133666992
4,3.380646586418152,3.22871728738149,1.61989692846934,1.8927297989527385,-0.5176085631052653,0.30721189578374225,0.0,20.99474048614502,0.0,1.0,0.0,0.0,0.0,0.125,0.3958333333333333,0.5104166666666666,0.3958333333333333,0.4166666666666667,0.3541666666666667,0.0,0.0,0.0,0.30721189578374225,1.209338406721751,0.8119758168856303,0.3639884442090988,0.2633769263823827,1.5897022287050884,1.7371703783671062,3.9755175511042276,0.0,0.0008230529201682657,0.0049678195888797445,0.003257194378723701,0.29816382626692456,2.0316709876060486,0.34615384615384615,0.35714285714285715,0.5333333333333333,0.36706349206349204,0.34615384615384615,0.34615384615384615,0.34615384615384615,,,,,,,0.36706349206349204,0.02380952380952381,3,False,9e-05,2.75e-05,0.3055555555555555,4.088278770446777,5.125,0.8728368282318115,0.3533906936645508,0.0,0.0,1.2265026569366455
5,3.8408650159835815,3.4102951288223267,1.992909014225006,1.6675130128860474,-0.4271637598673503,0.5587189892927805,0.0,21.94915771484375,0.0,1.0,0.0,0.0,0.0,0.25,0.5520833333333334,0.3854166666666667,0.5520833333333334,0.5,0.3125,0.0,0.0,0.0,0.5587189892927805,1.0517734090487163,0.7920850118001302,0.3623565634091695,0.26195531090100604,1.4780606627464294,1.7037507096926372,3.60969873269399,0.0,0.0016372207125338416,0.009237879421561956,0.006389065024753411,0.5414548317591349,1.7951874732971191,0.4230769230769231,0.36984126984126986,0.6,0.42407407407407405,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.734374761581421,0.46153846153846156,0.45634920634920634,0.2916666666666667,0.2902059241225401,0.20833333333333331,0.42407407407407405,0.13888888888888887,3,False,9e-05,2.75e-05,0.3055555555555555,4.087119102478027,5.125,0.7915616035461426,0.3528575897216797,0.35738301277160645,0.39926958084106445,1.9013378620147705
6,3.5960871378580728,2.9259578386942544,1.5880041519800823,1.5740631421407063,-0.27509887516498566,0.7526588439941406,0.0,20.501365502675373,0.0,1.0,0.0,0.0,0.0,0.375,0.5208333333333334,0.5729166666666666,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.0,0.0,0.0,0.7526588439941406,1.086409072081248,0.7983078559239706,0.36295534173647565,0.26145381728808087,1.4006972511609395,1.6699220935503643,3.2341461181640625,0.0,0.002451129645730058,0.01313153731947144,0.00939331203699112,0.7276828587055206,1.6077632308006287,0.4230769230769231,0.37023809523809526,0.5499999999999999,0.3841269841269841,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.5436635613441467,0.46153846153846156,0.4142857142857143,,,,0.3841269841269841,0.36706349206349204,3,False,9e-05,2.75e-05,0.3055555555555555,4.088217735290527,5.125,0.7999861240386963,0.3601047992706299,0.35405683517456055,0.0,1.514427661895752
7,3.8181220293045044,2.8938910563786826,1.6720243493715923,1.4374901453653972,-0.2937973141670227,1.0123702585697174,0.7451338966687521,21.4046417872111,2.182835102081299,1.0,0.0,3.0,0.06666666666666667,0.5,0.6458333333333334,0.4895833333333333,0.6458333333333334,0.5729166666666666,0.46875,0.7451338966687521,0.7515182097752889,0.7387496034304301,1.0123702585697174,1.1918982863426208,0.8894721666971842,0.3637900948524475,0.2609825034936269,1.4185388485590618,1.6709047357241313,3.253564159075419,0.0,0.003262281340236465,0.017731735793252785,0.012531785294413567,0.9760692715644836,1.5367366075515747,0.4230769230769231,0.3666666666666667,0.5499999999999999,0.3904761904761905,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.5313989520072937,0.4230769230769231,0.39999999999999997,,,,0.3904761904761905,0.3841269841269841,3,False,9e-05,2.75e-05,0.3055555555555555,4.090224742889404,5.125,1.0527708530426025,0.3530240058898926,0.3662421703338623,0.0,1.772325038909912
8,3.62135644753774,2.5752747853597007,1.4501364628473918,1.3236920833587646,-0.26023948440949124,1.1241535743077595,0.7459356983502706,20.507319768269856,2.134986639022827,1.0,0.0,3.0,0.13333333333333333,0.625,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.6145833333333334,0.5104166666666666,0.7459356983502706,0.7481167117754618,0.7437546849250793,1.1241535743077595,1.208711326122284,0.9203804532686869,0.3638494809468587,0.2611584762732188,1.510688046614329,1.6615427533785503,2.867237091064453,0.0,0.004080601191769044,0.023604500728348892,0.015576963778585196,1.0752139190832775,1.4738816618919373,0.38461538461538464,0.3476430976430976,0.5666666666666667,0.39023569023569027,0.38461538461538464,0.38461538461538464,0.38461538461538464,,,,,,,0.39023569023569027,0.3841269841269841,3,False,9e-05,2.75e-05,0.3055555555555555,4.088759899139404,5.125,0.8027136325836182,0.35525083541870117,0.0,0.0,1.1582484245300293
9,3.8333934942881265,2.6441081762313843,1.47601314385732,1.374229331811269,-0.296792467435201,1.2783230344454448,0.7908616860707601,21.595922470092773,2.1297911008199057,1.0,0.0,3.0,0.2,0.75,0.6666666666666666,0.6145833333333334,0.6666666666666666,0.6354166666666666,0.6458333333333334,0.7908616860707601,0.8531567056973776,0.7285667260487875,1.2783230344454448,1.213055709997813,0.8749255836009979,0.3621776948372523,0.2589184095462163,1.4583420753479004,1.6231133937835693,2.7100277741750083,0.0,0.004854720473910372,0.027343914844095707,0.01826002635061741,1.2195124626159668,1.3053055703639984,0.6153846153846154,0.75,0.7416666666666667,0.6442279942279941,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.2429290115833282,0.6153846153846154,0.6442279942279941,,,,0.6442279942279941,0.39023569023569027,3,False,9e-05,2.75e-05,0.3055555555555555,4.088271617889404,5.125,0.7044129371643066,0.35155487060546875,0.3568723201751709,0.0,1.4130775928497314
10,3.408039410909017,2.1495037277539573,1.222663938999176,1.090399702390035,-0.27308321992556256,1.3404605388641357,0.7839671770731608,18.19729455312093,2.2063422997792563,1.0,0.0,3.0,0.26666666666666666,0.875,0.8125,0.7083333333333334,0.8125,0.78125,0.7395833333333334,0.7839671770731608,0.7270424167315165,0.8408919374148051,1.3404605388641357,1.2322267591953278,0.8944639563560486,0.3630078236262004,0.2586834530035655,1.4569881757100422,1.5841147502263386,2.4205646912256875,0.0,0.005658700441320737,0.031871615909039974,0.020791505463421345,1.2707963983217876,1.2875150442123413,0.5769230769230769,0.5944444444444444,0.7333333333333334,0.5919913419913421,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.245944321155548,0.6153846153846154,0.6283577533577533,0.6458333333333334,0.6855024667524666,0.13541666666666663,0.5919913419913421,0.39023569023569027,3,False,9e-05,2.75e-05,0.3055555555555555,4.087172508239746,5.125,0.7078752517700195,0.35140395164489746,0.3564128875732422,0.4042198657989502,1.8202402591705322
