epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.732681194941203,5.809530576070149,3.166621685028076,3.109304348627726,-0.2561643123626709,0.0,0.0,33.19188658396403,0.0,1.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.08333333333333333,0.10416666666666667,0.11458333333333333,0.11458333333333333,0.0,0.0,0.0,0.0,1.039381782213847,1.1628698408603668,0.37133435408274335,0.2639809002478917,1.632365385691325,1.8104805548985798,6.277698119481404,0.0,0.0,0.0,0.0,0.0,3.0506136417388916,0.11538461538461539,0.04419191919191919,0.25,0.07509157509157509,0.11538461538461539,0.11538461538461539,0.11538461538461539,3.0130064487457275,0.11538461538461539,0.09841269841269841,0.09375,0.06521739130434782,0.02083333333333333,0.07509157509157509,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087515830993652,5.125,1.1549413204193115,0.3670182228088379,0.3622286319732666,0.4170989990234375,2.301586627960205
2,4.119375665982564,4.2765196561813354,2.3469736178716025,2.2700540026028952,-0.5238131483395895,0.0,0.0,26.728221257527668,0.0,1.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.2604166666666667,0.2916666666666667,0.2604166666666667,0.3333333333333333,0.0,0.0,0.0,0.0,1.078221748272578,0.930004338423411,0.3671973447004954,0.2639442632595698,1.6223541299502056,1.7979028224945068,4.905118703842163,0.0,0.0,0.0,0.0,0.0,2.9167600870132446,0.07692307692307693,0.012820512820512822,0.16666666666666666,0.02380952380952381,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,0.02380952380952381,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087332725524902,5.125,0.7975857257843018,0.42406606674194336,0.0,0.0,1.2219059467315674
3,3.539746642112732,3.700701038042704,2.043299933274587,1.9498835404713948,-0.5365145107110342,0.0,0.0,23.101181348164875,0.0,1.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.3020833333333333,0.4166666666666667,0.4166666666666667,0.3125,0.0,0.0,0.0,0.0,1.1693487167358398,0.9507429103056589,0.3662908325592677,0.26292118430137634,1.587363064289093,1.7680301864941914,4.327225049336751,0.0,0.0,0.0,0.0,0.0,2.462568998336792,0.15384615384615385,0.0984848484848485,0.3333333333333333,0.13888888888888887,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.3070619702339172,0.2692307692307692,0.255050505050505,,,,0.13888888888888887,0.02380952380952381,3,False,9e-05,2.75e-05,0.3055555555555555,4.086325645446777,5.125,0.7918295860290527,0.3600130081176758,0.3621964454650879,0.0,1.514272689819336
4,3.3852883179982505,3.2287278970082602,1.619911293188731,1.8927253087361653,-0.5176095068454742,0.31184321145216626,0.0,20.995548566182453,0.0,1.0,0.0,0.0,0.0,0.125,0.3958333333333333,0.5104166666666666,0.3958333333333333,0.4166666666666667,0.3541666666666667,0.0,0.0,0.0,0.31184321145216626,1.2092917164166768,0.8118491371472677,0.36344052851200104,0.26330744723478955,1.589696725209554,1.7371659676233928,3.975554585456848,0.005451607750728726,0.0,0.004967802437022328,0.0032571861520409584,0.29816660781701404,2.031580924987793,0.34615384615384615,0.35714285714285715,0.5333333333333333,0.36706349206349204,0.34615384615384615,0.34615384615384615,0.34615384615384615,,,,,,,0.36706349206349204,0.02380952380952381,3,False,9e-05,2.75e-05,0.3055555555555555,4.088278770446777,5.125,0.8680312633514404,0.359011173248291,0.0,0.0,1.2273259162902832
5,3.8499995867411294,3.4102772076924643,1.9927714268366497,1.6676537990570068,-0.42715776960055035,0.5678697625796,0.0,21.939704259236652,0.0,1.0,0.0,0.0,0.0,0.25,0.5520833333333334,0.3854166666666667,0.5520833333333334,0.5,0.3125,0.0,0.0,0.0,0.5678697625796,1.0513276159763336,0.7911694049835205,0.3599996318419774,0.2616110295057297,1.4779556393623352,1.7037023504575093,3.609624187151591,0.010799988638609648,0.0,0.009237222839146852,0.00638888372729222,0.5414436558882395,1.794947862625122,0.4230769230769231,0.36984126984126986,0.6,0.42407407407407405,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.7344350814819336,0.46153846153846156,0.45634920634920634,0.28125,0.2801810093572634,0.21875,0.42407407407407405,0.13888888888888887,3,False,9e-05,2.75e-05,0.3055555555555555,4.087119102478027,5.125,0.7747929096221924,0.36383628845214844,0.36627769470214844,0.4088633060455322,1.9140126705169678
6,3.6106247901916504,2.9268638690312705,1.588473876317342,1.5745764176050823,-0.2750464677810669,0.766274889310201,0.0,20.47908608118693,0.0,1.0,0.0,0.0,0.0,0.375,0.5208333333333334,0.5729166666666666,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.0,0.0,0.0,0.766274889310201,1.0866801738739014,0.7957813243071238,0.3585878511269887,0.2606830795605977,1.4004048705101013,1.6696763237317402,3.2338565587997437,0.016136453797419865,0.0,0.013128796126693487,0.009391929643849531,0.7276177108287811,1.6084251999855042,0.4230769230769231,0.37023809523809526,0.5499999999999999,0.3841269841269841,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.5438277125358582,0.46153846153846156,0.4142857142857143,,,,0.3841269841269841,0.36706349206349204,3,False,9e-05,2.75e-05,0.3055555555555555,4.088217735290527,5.125,0.7941703796386719,0.3596770763397217,0.3723742961883545,0.0,1.526559829711914
7,3.8468981981277466,2.9035027424494424,1.6712055206298828,1.4497613906860352,-0.2859230786561966,1.0291723906993866,0.7668730417887369,21.474223136901855,2.219697952270508,1.0,0.0,3.0,0.06666666666666667,0.5,0.6145833333333334,0.4895833333333333,0.6145833333333334,0.5520833333333334,0.46875,0.7668730417887369,0.7696928977966309,0.7640531857808431,1.0291723906993866,1.2000055611133575,0.8872223993142446,0.35671376685301465,0.25975604355335236,1.4183299938837688,1.670343240102132,3.249099612236023,0.021402825290958088,0.0,0.017729125296076138,0.012527574164172014,0.9747299154599508,1.5395603775978088,0.5384615384615384,0.5661375661375662,0.6749999999999999,0.5311836311836312,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.4838730096817017,0.5,0.47081807081807076,,,,0.5311836311836312,0.3841269841269841,3,False,9e-05,2.75e-05,0.3055555555555555,4.090224742889404,5.125,1.0660932064056396,0.35991907119750977,0.36885929107666016,0.0,1.7951531410217285
8,3.6609376271565757,2.590924024581909,1.4509109059969585,1.3411918878555298,-0.26272409160931903,1.1488307913144429,0.7467319567998251,20.50552749633789,2.1404786507288613,1.0,0.0,3.0,0.13333333333333333,0.625,0.6979166666666666,0.5729166666666666,0.6979166666666666,0.6145833333333334,0.5208333333333334,0.7467319567998251,0.7394022544225057,0.7540616591771444,1.1488307913144429,1.2412369847297668,0.9191481471061707,0.3547327518463135,0.2594870875279109,1.510249376296997,1.663504719734192,2.8727248112360635,0.026604957568148773,0.0,0.02359764650464058,0.015595357399433851,1.0772717992464702,1.5058124661445618,0.4230769230769231,0.5203703703703704,0.5875,0.43362193362193363,0.4230769230769231,0.4230769230769231,0.4230769230769231,,,,,,,0.43362193362193363,0.3841269841269841,3,False,9e-05,2.75e-05,0.3055555555555555,4.088759899139404,5.125,0.8095271587371826,0.3676419258117676,0.0,0.0,1.177452802658081
9,3.864615718523661,2.659192442893982,1.4687469204266865,1.400524119536082,-0.3222326760490735,1.3020930687586467,0.7787560423215231,21.634944915771484,2.1155921618143716,1.0,0.0,3.0,0.2,0.75,0.625,0.625,0.625,0.6354166666666666,0.625,0.7787560423215231,0.846259613831838,0.7112524708112081,1.3020930687586467,1.2116673787434895,0.8881040116151174,0.35079390307267505,0.2566572427749634,1.46218474706014,1.623594601949056,2.7032025257746377,0.031571452195445694,0.0,0.027415965373317402,0.01826543981830279,1.2164411147435505,1.369599461555481,0.5769230769230769,0.7583333333333333,0.6583333333333333,0.5841269841269842,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.307675540447235,0.6153846153846154,0.6442279942279941,,,,0.5841269841269842,0.43362193362193363,3,False,9e-05,2.75e-05,0.3055555555555555,4.088271617889404,5.125,0.7180349826812744,0.359619140625,0.3644700050354004,0.0,1.442368984222412
10,3.421496589978536,2.157517194747925,1.2196525136629741,1.103370229403178,-0.290929635365804,1.3512582381566365,0.795499861240387,18.32372760772705,2.241400877634684,1.0,0.0,3.0,0.26666666666666666,0.875,0.8020833333333334,0.7395833333333334,0.8020833333333334,0.7708333333333334,0.7291666666666666,0.795499861240387,0.7386800845464071,0.8523196379343668,1.3512582381566365,1.221427043279012,0.8976101179917654,0.34814795355002087,0.25535382330417633,1.4579557180404663,1.5862318674723308,2.382265051205953,0.03655553422868252,0.0,0.031892780835429825,0.02081929271419843,1.2506890892982483,1.2580481171607971,0.5769230769230769,0.5857142857142857,0.7333333333333334,0.5912698412698413,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.210428148508072,0.6538461538461539,0.6673789173789174,0.6145833333333334,0.6607639405511746,0.15625,0.5912698412698413,0.43362193362193363,3,False,9e-05,2.75e-05,0.3055555555555555,4.087172508239746,5.125,0.7149665355682373,0.35620546340942383,0.3636488914489746,0.4141702651977539,1.849315881729126
