epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.5103389342625935,4.447584406534831,2.406969404220581,2.5507687171300253,0.2091818019747734,0.0,0.0,24.925905227661133,0.0,1.0,0.0,0.0,0.0,0.0,0.22291666666666668,0.2520833333333333,0.22291666666666668,0.22291666666666668,0.2875,0.0,0.0,0.0,0.0,0.5783056606849034,0.5068693260351816,0.3624172995487849,0.27084686458110807,1.791386115550995,2.0705613176027935,5.000385173161825,0.0,0.0,0.0,0.0,0.0,2.080701321363449,0.20833333333333334,0.36208489974937347,0.4659858434248678,0.2557018705289982,0.20833333333333334,0.20833333333333334,0.20833333333333334,1.9481382369995117,0.23333333333333334,0.3134511263830838,0.1913978494623656,0.19906929075609422,0.03151881720430108,0.2557018705289982,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,2.8646795749664307,0.412369966506958,0.4288804531097412,0.6968679428100586,4.403083086013794
2,3.0655369679133098,3.020606207847595,1.6822395205497742,1.6729583263397216,0.14976917716364066,0.0,0.0,19.676732317606607,0.0,1.0,0.0,0.0,0.0,0.0,0.4895833333333333,0.4666666666666667,0.4895833333333333,0.5083333333333333,0.4666666666666667,0.0,0.0,0.0,0.0,0.6253702938556671,0.621291043361028,0.36568919916947684,0.26952827672163643,1.7318950692812602,1.9572996695836384,3.3424854119618734,0.0,0.0,0.0,0.0,0.0,1.344417504966259,0.65,0.620864898989899,0.7854350050797559,0.6191642677839686,0.65,0.65,0.65,,,,,,,0.6191642677839686,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.089285850524902,5.125,2.594214677810669,0.47137451171875,0.0,0.0,3.0658133029937744
3,2.385878626505534,2.363239534695943,1.3300401786963145,1.291499173641205,0.07546367508669695,0.0,0.0,18.479536724090575,0.0,1.0,0.0,0.0,0.0,0.0,0.6604166666666667,0.6333333333333333,0.6604166666666667,0.6458333333333334,0.6520833333333333,0.0,0.0,0.0,0.0,0.6187957972288132,0.6873120923837026,0.36605336169401803,0.26989908615748087,1.6130447030067443,1.8375948468844097,2.636684799194336,0.0,0.0,0.0,0.0,0.0,1.4745317846536636,0.48333333333333334,0.7167410714285714,0.6746262254447567,0.5791807392813585,0.48333333333333334,0.48333333333333334,0.48333333333333334,1.4219139069318771,0.5,0.575115455488792,,,,0.5791807392813585,0.2557018705289982,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,2.6093361377716064,0.41544079780578613,0.42505383491516113,0.0,3.4500515460968018
4,2.1137285033861795,1.911603844165802,1.086547734340032,1.0313201149304707,-0.0009997404801348846,0.20242458929618198,0.0,17.718213653564455,0.0,1.0,0.0,0.0,0.0,0.125,0.7708333333333334,0.7291666666666666,0.7708333333333334,0.7354166666666667,0.75,0.0,0.0,0.0,0.20242458929618198,0.6570612639188766,0.6860560059547425,0.35515717168649036,0.26308700243632,1.4824543913205466,1.725551442305247,2.2340063373247783,0.005327357475956281,0.0,0.010191873911147316,0.005392348347231746,0.18151300996541977,0.981986939907074,0.7916666666666666,0.7197382272382271,0.8676802386372907,0.7432587763102468,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.9484905526041985,0.7833333333333333,0.7368751616448984,,,,0.7432587763102468,0.5791807392813585,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.6667871475219727,0.41809844970703125,0.4080073833465576,0.0,3.4931585788726807
5,1.918072775999705,1.6081536531448364,0.8711150268713633,0.9212982654571533,-0.07161886307100455,0.3314047873020172,0.0,15.741429742177328,0.0,1.0,0.0,0.0,0.0,0.25,0.8166666666666667,0.8083333333333333,0.8166666666666667,0.8125,0.8291666666666667,0.0,0.0,0.0,0.3314047873020172,0.6294483006000519,0.6810393869876862,0.3376207878192266,0.2541473443309466,1.4541710098584493,1.631668456395467,1.7912824471791586,0.01012862337132295,0.0,0.01999485141908129,0.010197927958021562,0.29108338604370754,0.7899909131228924,0.875,0.8226375598086124,0.912264366068714,0.8420156531604891,0.875,0.875,0.875,0.7908868864178658,0.8833333333333333,0.8466224747474748,0.8795698924731182,0.8572015879001174,-0.06706989247311823,0.8420156531604891,0.5791807392813585,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.6487181186676025,0.42260217666625977,0.4390721321105957,0.6856229305267334,4.19631552696228
6,1.7005410114924113,1.3048814753691356,0.7512613872687022,0.6920250952243805,-0.07664475478231907,0.41865296562512716,0.8868950049082438,13.757523091634114,1.9501403331756593,1.0,0.0,15.0,0.06666666666666667,0.375,0.9229166666666667,0.875,0.9229166666666667,0.8875,0.88125,0.8868950049082438,0.8045337955156963,0.9692562103271485,0.41865296562512716,0.6468182464440664,0.6704602201779684,0.32099277476469673,0.2487872024377187,1.3566081166267394,1.4965181589126586,1.476935040950775,0.014444675451765457,0.0,0.027980043614904086,0.014029858261346817,0.3600029230117798,0.717942051589489,0.8416666666666667,0.7967319471308834,0.8930335968379447,0.8171807359307359,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.7166825495660305,0.8416666666666667,0.8022801259820105,,,,0.8171807359307359,0.7432587763102468,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.663404941558838,0.4205515384674072,0.42375874519348145,0.0,3.507948398590088
7,1.7956379413604737,1.2891724149386088,0.7824714283148447,0.6333762317895889,-0.09362421544889608,0.5345528076092402,0.817766543229421,16.09975283940633,1.8391207615534464,1.0,0.0,15.0,0.13333333333333333,0.5,0.9229166666666667,0.8666666666666667,0.9229166666666667,0.8916666666666667,0.8833333333333333,0.817766543229421,0.7567701697349548,0.8787629127502441,0.5345528076092402,0.7179319600264231,0.6921623001495997,0.3071368008852005,0.24237842361132303,1.2542193293571473,1.428710142771403,1.4125365932782492,0.018428207685550053,0.0,0.034491031306485335,0.017858877157171566,0.45907437801361084,0.6384615302085876,0.9,0.8518463244073,0.9243987719597476,0.8642447577408836,0.9,0.9,0.9,0.6293229460716248,0.9083333333333333,0.866882296290836,,,,0.8642447577408836,0.8171807359307359,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.5791847705841064,0.41167402267456055,0.4270286560058594,0.0,3.4181649684906006
8,1.8038586616516112,1.2031702717145285,0.6945887972911199,0.6357268333435059,-0.051319194088379545,0.6160841584205627,0.8450036684672038,14.0312668800354,1.8893079519271851,1.0,0.0,15.0,0.2,0.625,0.93125,0.9,0.93125,0.9354166666666667,0.9041666666666667,0.8450036684672038,0.8266712625821432,0.8633360703786214,0.6160841584205627,0.715839143594106,0.7761478622754415,0.29687386055787407,0.23752553413311642,1.2073049664497375,1.37197349468867,1.2884196639060974,0.02226554018755754,0.0,0.04150110917786757,0.021437085854510467,0.5234204878409704,0.5920143388211727,0.9416666666666667,0.910885989010989,0.9597902097902098,0.9294759410553298,0.9416666666666667,0.9416666666666667,0.9416666666666667,,,,,,,0.9294759410553298,0.8171807359307359,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.582920789718628,0.4183790683746338,0.0,0.0,3.001572608947754
9,1.6506069342295329,1.0285444458325703,0.5694433699051539,0.5738763491312663,-0.09972100046773752,0.6519787808259329,0.7783579309781392,11.65948845545451,1.7440653244654338,1.0,0.0,15.0,0.26666666666666666,0.75,0.9479166666666666,0.9458333333333333,0.9479166666666666,0.9625,0.9354166666666667,0.7783579309781392,0.7817145069440206,0.775001339117686,0.6519787808259329,0.6749551256497701,0.7845355848471324,0.28682329257329303,0.23285303016503653,1.1401337782541912,1.23805060784022,1.1203912854194642,0.025814097498854,0.0,0.04703052006661892,0.023213449927667777,0.5461907714605332,0.5227721929550171,0.9666666666666667,0.9390331890331891,0.9742132867132868,0.95279702790207,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.5235248804092407,0.975,0.9739304812834225,,,,0.95279702790207,0.8642447577408836,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6769776344299316,0.41415905952453613,0.42821764945983887,0.0,3.5195837020874023
10,1.7310303926467896,0.9968734820683797,0.566473725438118,0.5379996687173844,-0.03512715380638838,0.7446950634320577,0.7946748574574788,12.528549480438233,1.7576778888702393,1.0,0.0,15.0,0.3333333333333333,0.875,0.9666666666666667,0.9479166666666666,0.9666666666666667,0.9729166666666667,0.9458333333333333,0.7946748574574788,0.7630349318186442,0.8263147910435994,0.7446950634320577,0.7329551537831624,0.78974147439003,0.277099072933197,0.2282873178521792,1.0017188986142476,1.134611330429713,1.1074868579705557,0.029095401676992576,0.0,0.04820772061745326,0.02481962237507105,0.6298831820487976,0.6349106878042221,0.9083333333333333,0.8569444444444445,0.9333764062024932,0.8773994834015354,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.6279316022992134,0.9166666666666666,0.8985394545415066,0.9634408602150538,0.9481741734002934,0.009475806451612834,0.8773994834015354,0.8773994834015354,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.567714214324951,0.4193108081817627,0.42144107818603516,0.6726365089416504,4.081432819366455
