epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.469699647691515,5.4801716804504395,3.315297153260973,3.0926778846316867,-0.03490672467483415,0.0,0.0,31.22944556342231,0.0,1.0,0.0,0.0,0.0,0.0,0.0625,0.06944444444444445,0.0625,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.979125354025099,1.7706746657689412,0.3549250132507748,0.2706412242518531,1.9533937639660306,2.1980436642964682,6.530755148993598,0.0,0.0,0.0,0.0,0.0,2.5674018065134683,0.21621621621621623,0.0905349794238683,0.2222222222222222,0.11756272401433693,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.6013954480489097,0.1891891891891892,0.08730158730158731,0.17424242424242425,0.094579253583085,-0.09090909090909093,0.11756272401433693,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.087515830993652,5.125,1.3980777263641357,0.4125242233276367,0.41495180130004883,0.47916340827941895,2.7050249576568604
2,4.543294376797146,4.488381915622288,2.7259944809807672,2.5176962746514215,0.18304170047243437,0.0,0.0,26.362920973036026,0.0,1.0,0.0,0.0,0.0,0.0,0.2569444444444444,0.14583333333333334,0.2569444444444444,0.22916666666666666,0.1527777777777778,0.0,0.0,0.0,0.0,0.9614880018764072,1.6947773959901598,0.3555060625076294,0.27054165800412494,1.8809828493330214,2.1509750949011908,5.507765769958496,0.0,0.0,0.0,0.0,0.0,2.104861934979757,0.1891891891891892,0.10957950431634642,0.19444444444444442,0.1288888888888889,0.1891891891891892,0.1891891891891892,0.18918918918918917,,,,,,,0.1288888888888889,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.086325645446777,5.125,1.2237954139709473,0.4317951202392578,0.0,0.0,1.655884027481079
3,4.138979911804199,4.1031760639614525,2.454239845275879,2.3556231922573514,0.11934617492887709,0.0,0.0,24.164098527696396,0.0,1.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.2638888888888889,0.2777777777777778,0.2777777777777778,0.25,0.0,0.0,0.0,0.0,0.8857104049788581,1.7279875410927668,0.3542572458585103,0.27031311723921037,1.83362705177731,2.132899761199951,4.891277101304796,0.0,0.0,0.0,0.0,0.0,1.7148176829020183,0.40540540540540543,0.49882154882154883,0.537037037037037,0.4479779117034019,0.40540540540540543,0.40540540540540543,0.40540540540540543,1.690937081972758,0.5135135135135135,0.5403318903318902,,,,0.4479779117034019,0.11756272401433693,3,False,7e-05,2.75e-05,0.3928571428571429,4.088278770446777,5.125,1.066117286682129,0.42090797424316406,0.4229319095611572,0.0,1.9101810455322266
4,3.8126083744896784,3.7560444937811956,2.22045279873742,2.193702459335327,0.188546328081025,0.0,0.0,22.70820320977105,0.0,1.0,0.0,0.0,0.0,0.0,0.3611111111111111,0.3055555555555556,0.3611111111111111,0.3333333333333333,0.2916666666666667,0.0,0.0,0.0,0.0,0.9565579758750068,1.582588381237454,0.3553158740202586,0.26853164699342513,1.8170323504341974,2.080145253075494,4.492304695977105,0.0,0.0,0.0,0.0,0.0,1.4580341974894206,0.6216216216216216,0.7141975308641976,0.712962962962963,0.6326278659611994,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.4544873634974163,0.6216216216216216,0.6239858906525574,,,,0.6326278659611994,0.1288888888888889,3,False,7e-05,2.75e-05,0.3928571428571429,4.088217735290527,5.125,1.0602998733520508,0.4131941795349121,0.42074131965637207,0.0,1.894561529159546
5,3.4160841835869684,3.3609737555185952,2.0743012295828924,1.838103559282091,0.1837015450000763,0.0,0.0,21.185583750406902,0.0,1.0,0.0,0.0,0.0,0.1,0.4791666666666667,0.3541666666666667,0.4791666666666667,0.3541666666666667,0.3263888888888889,0.0,0.0,0.0,0.0,0.9777993162473043,1.6126656929651897,0.3549839523103502,0.26722044746081036,1.8430833948983087,2.0572794808281794,4.099546458986071,0.0,0.0,0.0,0.0,0.0,1.2920634349187214,0.7567567567567568,0.7943121693121693,0.7916666666666665,0.7496743996743996,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.2654681205749512,0.7027027027027027,0.6990065490065489,0.7424242424242424,0.7528192136358766,-0.38825757575757575,0.7496743996743996,0.4479779117034019,3,False,7e-05,2.75e-05,0.3928571428571429,4.089285850524902,5.125,1.0711917877197266,0.417832612991333,0.425614595413208,0.48186326026916504,2.3967959880828857
6,3.1793301105499268,3.172476636038886,1.9025447633531358,1.8141884406407673,0.02284505135483212,0.0,0.0,21.364962259928387,0.0,1.0,0.0,0.0,0.0,0.2,0.4930555555555556,0.4236111111111111,0.4930555555555556,0.5277777777777778,0.3333333333333333,0.0,0.0,0.0,0.0,0.8573268254597982,1.628799597422282,0.3553665743933784,0.26804105440775555,1.7255718840493097,2.0154573255115085,3.9883483515845404,0.0,0.0,0.0,0.0,0.0,1.228649338086446,0.7837837837837838,0.8211640211640212,0.8287037037037037,0.7766585266585266,0.7837837837837838,0.7837837837837838,0.7837837837837838,1.1965540250142415,0.8648648648648649,0.8466009299342632,,,,0.7766585266585266,0.6326278659611994,3,False,7e-05,2.75e-05,0.3928571428571429,4.087821006774902,5.125,1.1261694431304932,0.42046380043029785,0.4277181625366211,0.0,1.9746315479278564
7,3.203547583685981,3.1870865556928845,2.089594430393643,1.5678458611170452,0.04075052754746543,0.00423590546577341,0.8864727914333344,21.04077974955241,2.3386324644088745,1.0,0.0,4.0,0.07142857142857142,0.3,0.5763888888888888,0.3541666666666667,0.5763888888888888,0.5277777777777778,0.3958333333333333,0.8864727914333344,0.8796652108430862,0.8932803571224213,0.00423590546577341,0.8598801030053033,1.5122269656923082,0.3561073905891842,0.2682153483231862,1.7094736629062228,1.997038271692064,3.695242484410604,0.0,0.0,0.0,0.0,0.0,1.0708670218785603,0.8648648648648649,0.8703703703703705,0.8842592592592593,0.8616402116402117,0.8648648648648649,0.8648648648648649,0.8648648648648649,1.0282786289850872,0.918918918918919,0.9067155067155066,,,,0.8616402116402117,0.7496743996743996,3,False,7e-05,2.75e-05,0.3928571428571429,4.089217662811279,5.125,1.1639909744262695,0.42336249351501465,0.4308485984802246,0.0,2.0184879302978516
8,2.975880914264255,2.9152197572920056,1.8219311634699504,1.5618408256106906,0.17692715384893948,0.007583030085596774,0.8101610839366913,20.107089360555012,2.1330495476722717,1.0,0.0,4.0,0.14285714285714285,0.4,0.5902777777777778,0.4375,0.5902777777777778,0.5763888888888888,0.5069444444444444,0.8101610839366913,0.879128485918045,0.7411936670541763,0.007583030085596774,0.7712197634908888,1.3520286745495267,0.36015764209959245,0.2700588305791219,1.6703665521409776,1.9539650281270344,3.3682937622070312,0.0,0.0,0.0,0.0,0.0,1.091678778330485,0.8918918918918919,0.873015873015873,0.925925925925926,0.8847911347911348,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.0597467223803203,0.8918918918918919,0.884350217683551,,,,0.8847911347911348,0.7766585266585266,3,False,7e-05,2.75e-05,0.3928571428571429,4.089086532592773,5.125,1.1123709678649902,0.4234299659729004,0.4110984802246094,0.0,1.9471852779388428
9,2.7578755484686956,2.7009539074367948,1.6075915098190308,1.561946325831943,0.15174279361963272,0.011398811203738054,0.8678974807262421,19.201955371432835,2.1885481476783752,1.0,0.0,4.0,0.21428571428571427,0.5,0.6458333333333334,0.5694444444444444,0.6458333333333334,0.5694444444444444,0.4930555555555556,0.8678974807262421,0.9144980162382126,0.8212969452142715,0.011398811203738054,0.7831210361586677,1.3446569707658556,0.36427650849024457,0.2718294991387261,1.6310549444622464,1.938807076878018,3.291140768263075,0.0,0.0,0.0,0.0,0.0,1.0363235076268513,0.8918918918918919,0.8666666666666667,0.925925925925926,0.8809924643257978,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9983245134353638,0.918918918918919,0.9029982363315696,,,,0.8809924643257978,0.8616402116402117,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0373916625976562,0.4187347888946533,0.422177791595459,0.0,1.8785817623138428
10,2.877798663245307,2.811203294330173,1.6435414685143366,1.6680883434083726,0.17443328350782394,0.01426540118538671,0.8045754134654999,21.10991880628798,2.1604079604148865,1.0,0.0,4.0,0.2857142857142857,0.6,0.5555555555555556,0.5347222222222222,0.5555555555555556,0.5486111111111112,0.4791666666666667,0.8045754134654999,0.885553315281868,0.7235974818468094,0.01426540118538671,0.7648514906565348,1.2323047121365864,0.3725690245628357,0.276503066221873,1.61264701684316,1.9231697850757175,3.2854418754577637,0.0,0.0,0.0,0.0,0.0,0.9662294387817383,0.8918918918918919,0.8851851851851852,0.9351851851851853,0.8923200256533589,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9376041889190674,0.8378378378378378,0.839777506444173,0.9242424242424242,0.9171893186950659,-0.37563131313131304,0.8923200256533589,0.8809924643257978,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0855367183685303,0.4214627742767334,0.4272115230560303,0.48139119148254395,2.415907144546509
