epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.560574849446614,5.630014022191365,2.9027822812398276,3.2085078954696655,-0.23146372040112814,0.0,0.0,31.69861888885498,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.13541666666666666,0.08333333333333333,0.125,0.11458333333333333,0.0,0.0,0.0,0.0,0.6143281857172648,1.2797630627950032,0.34981927275657654,0.2630586971839269,1.6245546539624531,1.7714570959409077,6.021188735961914,0.0,0.0,0.0,0.0,0.0,2.5009407997131348,0.23076923076923078,0.22685185185185186,0.35000000000000003,0.21388888888888888,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.525966763496399,0.15384615384615385,0.13247863247863248,0.14583333333333334,0.11827956989247311,-0.020833333333333343,0.21388888888888888,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087515830993652,5.125,1.0792231559753418,0.3713078498840332,0.3782386779785156,0.4253232479095459,2.2544047832489014
2,4.598786354064941,4.651617606480916,2.5411188999811807,2.4829394022623696,-0.17610380798578262,0.0,0.0,27.439993222554524,0.0,1.0,0.0,0.0,0.0,0.0,0.22916666666666666,0.13541666666666666,0.22916666666666666,0.20833333333333334,0.2708333333333333,0.0,0.0,0.0,0.0,0.48428110778331757,1.1656593879063923,0.34898341695467633,0.2641283869743347,1.5824725429217021,1.789044737815857,4.891707976659139,0.0,0.0,0.0,0.0,0.0,2.2920001745224,0.2692307692307692,0.10416666666666667,0.3333333333333333,0.14814814814814814,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.14814814814814814,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087332725524902,5.125,0.6745216846466064,0.3679237365722656,0.0,0.0,1.0426793098449707
3,4.156001845995585,4.131689111391704,2.309214770793915,2.1440873742103577,0.08104218915104866,0.0,0.0,24.017460823059082,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.28125,0.3333333333333333,0.2708333333333333,0.25,0.0,0.0,0.0,0.0,0.6253145337104797,1.1196765700976055,0.3484019935131073,0.26327086985111237,1.6786093314488728,1.7685197989145915,4.239915688832601,0.0,0.0,0.0,0.0,0.0,2.2575207948684692,0.23076923076923078,0.06753812636165578,0.25,0.10606060606060606,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.3150285482406616,0.2692307692307692,0.1433823529411765,,,,0.10606060606060606,0.10606060606060606,3,False,9e-05,2.75e-05,0.3055555555555555,4.086325645446777,5.125,0.7547941207885742,0.36934494972229004,0.3774135112762451,0.0,1.5018200874328613
4,3.615946968396505,3.5777932008107505,2.0239376624425254,1.8280652364095051,0.12717924018700918,0.0,0.0,22.457880973815918,0.0,1.0,0.0,0.0,0.0,0.125,0.4479166666666667,0.3020833333333333,0.4479166666666667,0.4270833333333333,0.3645833333333333,0.0,0.0,0.0,0.0,0.6551530659198761,1.0147491892178853,0.34825514753659564,0.26310541729132336,1.6142486929893494,1.765907307465871,3.947594324747721,0.0,0.0,0.0,0.0,0.0,2.2869189381599426,0.19230769230769232,0.036231884057971016,0.16666666666666666,0.059523809523809514,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.059523809523809514,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.088278770446777,5.125,0.8515946865081787,0.36961936950683594,0.0,0.0,1.221489667892456
5,3.399678945541382,3.3868817885716758,1.8815900683403015,1.770931323369344,0.04265712139507135,0.0,0.0,20.70440451304118,0.0,1.0,0.0,0.0,0.0,0.25,0.4479166666666667,0.4166666666666667,0.4479166666666667,0.5104166666666666,0.375,0.0,0.0,0.0,0.0,0.5721995284159979,1.0374722083409627,0.3505413333574931,0.26392888526121777,1.578085203965505,1.7414097785949707,3.8474820852279663,0.0,0.0,0.0,0.0,0.0,1.9425716996192932,0.34615384615384615,0.31746031746031744,0.31666666666666665,0.2545787545787546,0.34615384615384615,0.34615384615384615,0.34615384615384615,1.9844802618026733,0.34615384615384615,0.26825396825396824,0.3333333333333333,0.23849607182940516,0.17708333333333331,0.2545787545787546,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.087119102478027,5.125,0.7861213684082031,0.3697936534881592,0.3724982738494873,0.425215482711792,1.9538846015930176
6,2.999147335688273,3.025177756945292,1.6340012749036152,1.6366780996322632,-0.08676803298294544,0.0,0.0,20.48714828491211,0.0,1.0,0.0,0.0,0.0,0.375,0.5,0.5416666666666666,0.5,0.4375,0.4583333333333333,0.0,0.0,0.0,0.0,0.623406728108724,1.0051638980706532,0.34839119017124176,0.26223763823509216,1.5643619894981384,1.7325894633928935,3.6206089655558267,0.0,0.0,0.0,0.0,0.0,1.957574486732483,0.38461538461538464,0.36874999999999997,0.45,0.32010582010582006,0.38461538461538464,0.38461538461538464,0.38461538461538464,,,,,,,0.32010582010582006,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.088217735290527,5.125,0.769411563873291,0.3687441349029541,0.0,0.0,1.1383838653564453
7,2.719250718752543,2.73254132270813,1.5132675568262737,1.434439738591512,-0.05143938399851322,0.002141216032517453,0.741100033124288,18.8181053797404,1.9475682973861694,1.0,0.0,3.0,0.06666666666666667,0.5,0.6458333333333334,0.5833333333333334,0.6458333333333334,0.5520833333333334,0.4791666666666667,0.741100033124288,0.6837001244227091,0.7984999418258667,0.002141216032517453,0.6960195600986481,0.9098924795786539,0.3488502949476242,0.26196134587128955,1.4942866762479146,1.6992174585660298,3.198551058769226,0.0,0.0,0.0,0.0,0.0,1.5912296175956726,0.5769230769230769,0.4861111111111111,0.6333333333333333,0.5239651416122004,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.676161676645279,0.5,0.4130799755799756,,,,0.5239651416122004,0.2545787545787546,3,False,9e-05,2.75e-05,0.3055555555555555,4.090224742889404,5.125,1.0142090320587158,0.36725473403930664,0.37723636627197266,0.0,1.7589309215545654
8,2.9001131852467856,2.886563777923584,1.6058588027954102,1.506711761156718,0.03172379483779272,0.004032307188026607,0.8121189077695211,19.18745009104411,2.0195080439249673,1.0,0.0,3.0,0.13333333333333333,0.625,0.6666666666666666,0.59375,0.6666666666666666,0.6354166666666666,0.4895833333333333,0.8121189077695211,0.7261185248692831,0.898119310537974,0.004032307188026607,0.7366315424442291,0.7754837075869242,0.35174224774042767,0.262395312388738,1.4933666586875916,1.6800809701283772,2.8946471214294434,0.0,0.0,0.0,0.0,0.0,1.52632474899292,0.5769230769230769,0.43686868686868685,0.6333333333333333,0.4967592592592593,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.619397759437561,0.5769230769230769,0.47354497354497355,,,,0.4967592592592593,0.32010582010582006,3,False,9e-05,2.75e-05,0.3055555555555555,4.088759899139404,5.125,0.6993288993835449,0.36972522735595703,0.38502001762390137,0.0,1.4544293880462646
9,2.544641653696696,2.5602656602859497,1.4462781349817913,1.3105735977490742,-0.07123759078482787,0.005747250048443675,0.770102063814799,18.12407159805298,1.8580799500147502,1.0,0.0,3.0,0.2,0.75,0.6979166666666666,0.625,0.6979166666666666,0.7083333333333334,0.5625,0.770102063814799,0.7091915408770243,0.8310125867525736,0.005747250048443675,0.5473437706629435,0.8894686698913574,0.35687359670797986,0.2644647608200709,1.478094478448232,1.6395294070243835,2.826715668042501,0.0,0.0,0.0,0.0,0.0,1.4373413026332855,0.6153846153846154,0.6574074074074074,0.7166666666666667,0.6396011396011395,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.5119643807411194,0.5384615384615384,0.5317460317460317,,,,0.6396011396011395,0.4967592592592593,3,False,9e-05,2.75e-05,0.3055555555555555,4.088271617889404,5.125,0.9678738117218018,0.37281155586242676,0.37499141693115234,0.0,1.715961217880249
10,2.3594338099161782,2.3502703507741294,1.371384898821513,1.1516299645105998,0.009025733607510725,0.006455734682579835,0.8898093700408936,16.79809824625651,2.074636777242025,1.0,0.0,3.0,0.26666666666666666,0.875,0.7604166666666666,0.6875,0.7604166666666666,0.7291666666666666,0.6770833333333334,0.8898093700408936,0.8904170393943787,0.8892016609509786,0.006455734682579835,0.5403311053911845,0.6701191564400991,0.3620959122975667,0.2655503849188487,1.458024024963379,1.6059670448303223,2.5143587589263916,0.0,0.0,0.0,0.0,0.0,1.306331992149353,0.7692307692307693,0.8833333333333333,0.8125,0.7946127946127947,0.7692307692307693,0.7692307692307693,0.7692307692307693,1.3462457954883575,0.6538461538461539,0.6541486291486291,0.7604166666666666,0.7903297341228376,-0.03125,0.7946127946127947,0.4967592592592593,3,False,9e-05,2.75e-05,0.3055555555555555,4.087172508239746,5.125,0.9116783142089844,0.36663055419921875,0.36902475357055664,0.423755407333374,2.071397304534912
