epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.49547979036967,4.455004247029622,2.4945926586786906,2.450514467557271,0.13491832750538985,0.0,0.0,27.560443051656087,0.0,1.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.22916666666666666,0.26666666666666666,0.23958333333333334,0.22916666666666666,0.0,0.0,0.0,0.0,0.38669141530990603,0.5212323814630508,0.3602602402369181,0.265874316294988,1.8041122078895568,2.0628100713094075,4.8748941342035925,0.0,0.0,0.0,0.0,0.0,1.9849122166633606,0.2,0.16118360805860804,0.3063361611876988,0.17301631405549162,0.2,0.2,0.20000000000000004,2.054283171892166,0.13333333333333333,0.13959170013386882,0.2021505376344086,0.16956370160785975,0.03743279569892474,0.17301631405549162,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.087332725524902,5.123046875,3.5871472358703613,0.41881370544433594,0.40318870544433594,0.6840798854827881,5.093516111373901
2,2.970274647076925,2.956187192598979,1.6199384490648905,1.6703108946482341,0.04695822695891062,0.0,0.0,20.907148933410646,0.0,1.0,0.0,0.0,0.0,0.0,0.5229166666666667,0.50625,0.5229166666666667,0.48125,0.5,0.0,0.0,0.0,0.0,0.4016892229517301,0.5606190810600916,0.3598025341828664,0.26443442702293396,1.7227628906567891,1.9595372875531514,3.378626481691996,0.0,0.0,0.0,0.0,0.0,1.3815970048308372,0.5166666666666667,0.6019345238095237,0.6878930631051522,0.5623124098124098,0.5166666666666667,0.5166666666666667,0.5166666666666667,,,,,,,0.5623124098124098,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.123046875,2.5425543785095215,0.4055650234222412,0.0,0.0,2.9483492374420166
3,2.3644480307896933,2.3410550077756245,1.3328491508960725,1.2602572600046793,0.07797676026821136,0.0,0.0,19.479503377278647,0.0,1.0,0.0,0.0,0.0,0.0,0.6729166666666667,0.6458333333333334,0.6729166666666667,0.64375,0.6375,0.0,0.0,0.0,0.0,0.44125058452288307,0.5889648685852686,0.3594835678736369,0.26305392682552337,1.660618507862091,1.8496461629867553,2.644337765375773,0.0,0.0,0.0,0.0,0.0,1.068859737366438,0.725,0.7028692093347266,0.7505115598434793,0.6904868964203622,0.725,0.725,0.7250000000000001,1.1093736924231052,0.7166666666666667,0.7275700298928962,,,,0.6904868964203622,0.17301631405549162,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.123046875,2.5380356311798096,0.4000370502471924,0.39946627616882324,0.0,3.337773561477661
4,1.8195876200993857,1.7907902558644613,0.9738068580627441,1.0212292492389679,0.09599118580420812,0.0,0.0,17.148654842376708,0.0,1.0,0.0,0.0,0.0,0.125,0.75,0.7854166666666667,0.75,0.7645833333333333,0.7770833333333333,0.0,0.0,0.0,0.0,0.38735689570506415,0.576317639152209,0.35872275233268736,0.26279657979806265,1.5587477803230285,1.7296947995821634,2.07388737599055,0.0,0.0,0.0,0.0,0.0,0.8406360298395157,0.8416666666666667,0.7901053807303807,0.8935383280558254,0.824058820444729,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.896673072129488,0.8,0.7711195481549046,,,,0.824058820444729,0.5623124098124098,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.123046875,2.5759129524230957,0.39722442626953125,0.4024057388305664,0.0,3.3758225440979004
5,1.678548280398051,1.6319743633270263,0.8929983278115591,0.9237200200557709,0.15524636240055165,0.0,0.0,16.41672929128011,0.0,1.0,0.0,0.0,0.0,0.25,0.8104166666666667,0.8104166666666667,0.8104166666666667,0.74375,0.7895833333333333,0.0,0.0,0.0,0.0,0.4086063598593076,0.5552014529705047,0.35912489195664726,0.2642855912446976,1.4791423042615255,1.696564257144928,1.9486226518948873,0.0,0.0,0.0,0.0,0.0,0.8142613507807255,0.8,0.7988452150686194,0.8705093289531254,0.8023889157532775,0.8,0.8,0.8000000000000002,0.8456458337605,0.7916666666666666,0.794416341475165,0.843010752688172,0.8590061786710139,-0.09926075268817203,0.8023889157532775,0.6904868964203622,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.123046875,2.472755193710327,0.40699195861816406,0.40013885498046875,0.6743950843811035,3.954582929611206
6,1.3827590107917787,1.3508334596951803,0.7189799825350444,0.789816814661026,0.10260266019031405,0.001144759190113594,1.11049431959788,14.445735295613607,2.4138144334157308,1.0,0.0,15.0,0.06666666666666667,0.375,0.8625,0.8875,0.8625,0.8270833333333333,0.8645833333333334,1.11049431959788,1.0849413315455119,1.13604732354482,0.001144759190113594,0.31481618533531824,0.37203930964072546,0.36814470688501993,0.2690669377644857,1.428193485736847,1.6001519004503886,1.64748824040095,0.0,0.0,0.0,0.0,0.0,0.7377362139523029,0.8666666666666667,0.7871527777777778,0.9198914155833562,0.8206035510383336,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8067430183291435,0.8166666666666667,0.7752821047759116,,,,0.8206035510383336,0.8023889157532775,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6765100955963135,0.40483736991882324,0.4093630313873291,0.0,3.4909722805023193
7,1.2817471047242484,1.261369768778483,0.7089679658412933,0.6905022442340851,0.06307042439778646,0.0014562040683813392,1.3566917657852173,13.287733999888102,2.5945083141326903,1.0,0.0,15.0,0.13333333333333333,0.5,0.8979166666666667,0.8875,0.8979166666666667,0.8979166666666667,0.9,1.3566917657852173,1.2582687298456827,1.4551148096720377,0.0014562040683813392,0.20707794378201166,0.22978326628605525,0.40058757960796354,0.296565047899882,1.3561166326204936,1.5179169694582622,1.4764015237490336,0.0,0.0,0.0,0.0,0.0,0.6014924198389053,0.925,0.8793505709266579,0.9447507026377652,0.9010983062160598,0.925,0.925,0.925,,,,,,,0.9010983062160598,0.8023889157532775,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6442782878875732,0.41940927505493164,0.0,0.0,3.063953161239624
8,1.179795072476069,1.1526153226693472,0.6362966189781825,0.6453983743985494,0.08514275951310993,0.0016369309625588358,1.4301146030426026,12.549459536870321,2.589193820953369,0.9666666666666667,0.0,15.0,0.2,0.625,0.9166666666666666,0.9208333333333333,0.9166666666666666,0.9125,0.9125,1.4301146030426026,1.307538096110026,1.552691109975179,0.0016369309625588358,0.14972218622763953,0.17766401345531146,0.4351032644510269,0.3273649533589681,1.293181796868642,1.477452520529429,1.4362908244132995,0.0,0.0,0.0,0.0,0.0,0.7086570374667645,0.8833333333333333,0.8098110465116279,0.9195804195804196,0.8253246753246752,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.6995341926813126,0.8833333333333333,0.8277462081458555,,,,0.8253246753246752,0.8206035510383336,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.5876808166503906,0.41977739334106445,0.41788482666015625,0.0,3.425557851791382
9,1.1021569172541301,1.1025053282578787,0.6234640032052994,0.5988016406695048,-0.008983386556307475,0.002346607216168195,1.4587575674057007,11.408080705006917,2.56071195602417,1.0,0.0,15.0,0.26666666666666666,0.75,0.9375,0.93125,0.9375,0.9166666666666666,0.9166666666666666,1.4587575674057007,1.3409691492716471,1.5765459696451822,0.002346607216168195,0.169001500805219,0.18298956900835037,0.46329253613948823,0.3540143370628357,1.231302907069524,1.3833211978276572,1.3325410763422647,0.0,0.0,0.0,0.0,0.0,0.6395518258213997,0.925,0.8697916666666667,0.9519337369947126,0.8995270161936827,0.925,0.925,0.925,0.5808076523244381,0.925,0.8879368177662157,,,,0.8995270161936827,0.8253246753246752,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6776435375213623,0.4135432243347168,0.41379356384277344,0.0,3.5052363872528076
10,1.0649881879488627,1.0740377108256023,0.6112784961859385,0.5784490029017131,-0.039513453282415865,0.0028045082154373327,1.4929396629333496,11.663648621241252,2.594390789667765,0.9666666666666667,0.0,15.0,0.3333333333333333,0.875,0.9458333333333333,0.9333333333333333,0.9458333333333333,0.9208333333333333,0.9416666666666667,1.4929396629333496,1.406368581453959,1.579510768254598,0.0028045082154373327,0.1604990318417549,0.17604193488756817,0.4843437820672989,0.37981723845005033,1.2484457890192668,1.3719509919484456,1.3090715169906617,0.0,0.0,0.0,0.0,0.0,0.5716795772314072,0.95,0.8878205128205129,0.9663568139177895,0.9201288680455346,0.95,0.95,0.9500000000000001,0.5366481095552444,0.9666666666666667,0.9350152316818983,0.967741935483871,0.9580577141962591,-0.046908602150537715,0.9201288680455346,0.8253246753246752,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.7290520668029785,0.42685580253601074,0.429821252822876,0.7006521224975586,4.286681175231934
