epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.560574849446614,5.630014022191365,2.9027822812398276,3.2085078954696655,-0.23146372040112814,0.0,0.0,31.69861888885498,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.13541666666666666,0.08333333333333333,0.125,0.11458333333333333,0.0,0.0,0.0,0.0,0.6143281857172648,1.2797630627950032,0.34981927275657654,0.2630586971839269,1.6245546539624531,1.7714570959409077,6.021188735961914,0.0,0.0,0.0,0.0,0.0,2.5009407997131348,0.23076923076923078,0.22685185185185186,0.35000000000000003,0.21388888888888888,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.525966763496399,0.15384615384615385,0.13247863247863248,0.14583333333333334,0.11827956989247311,-0.020833333333333343,0.21388888888888888,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087515830993652,5.125,1.0922150611877441,0.3836953639984131,0.3883953094482422,0.4306142330169678,2.295232057571411
2,4.598786354064941,4.651617606480916,2.5411188999811807,2.4829394022623696,-0.17610380798578262,0.0,0.0,27.439993222554524,0.0,1.0,0.0,0.0,0.0,0.0,0.22916666666666666,0.13541666666666666,0.22916666666666666,0.20833333333333334,0.2708333333333333,0.0,0.0,0.0,0.0,0.48428110778331757,1.1656593879063923,0.34898341695467633,0.2641283869743347,1.5824725429217021,1.789044737815857,4.891707976659139,0.0,0.0,0.0,0.0,0.0,2.2920001745224,0.2692307692307692,0.10416666666666667,0.3333333333333333,0.14814814814814814,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.14814814814814814,-inf,3,False,9e-05,2.75e-05,0.3055555555555555,4.087332725524902,5.125,0.6982128620147705,0.38051724433898926,0.0,0.0,1.0789647102355957
3,4.156001845995585,4.131689111391704,2.309214770793915,2.1440873742103577,0.08104218915104866,0.0,0.0,24.017460823059082,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.28125,0.3333333333333333,0.2708333333333333,0.25,0.0,0.0,0.0,0.0,0.6253145337104797,1.1196765700976055,0.3484019935131073,0.26327086985111237,1.6786093314488728,1.7685197989145915,4.239915688832601,0.0,0.0,0.0,0.0,0.0,2.2575207948684692,0.23076923076923078,0.06753812636165578,0.25,0.10606060606060606,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.3150285482406616,0.2692307692307692,0.1433823529411765,,,,0.10606060606060606,0.10606060606060606,3,False,9e-05,2.75e-05,0.3055555555555555,4.086325645446777,5.125,0.7724416255950928,0.3799750804901123,0.3858306407928467,0.0,1.5384812355041504
4,3.901244600613912,3.5647263129552207,2.0240229964256287,1.8125921090443928,0.10063105076551437,0.3063290019830068,0.0,22.86203956604004,0.0,1.0,0.0,0.0,0.0,0.125,0.4583333333333333,0.3020833333333333,0.4583333333333333,0.4375,0.3645833333333333,0.0,0.0,0.0,0.3063290019830068,0.6387390494346619,1.014714906613032,0.3473968754212062,0.262912983695666,1.6145392855008442,1.7671875357627869,3.959772825241089,0.005210952910905083,0.000821603083750233,0.0,0.003313476530214151,0.2969829738140106,2.270815849304199,0.19230769230769232,0.036231884057971016,0.16666666666666666,0.059523809523809514,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.059523809523809514,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.088278770446777,5.125,0.8686106204986572,0.38109278678894043,0.0,0.0,1.2499644756317139
5,4.041856567064921,3.420527935028076,1.8769783576329548,1.8159406582514446,0.09589161723852158,0.5925612250963846,0.0,21.683841705322266,0.0,1.0,0.0,0.0,0.0,0.25,0.46875,0.40625,0.46875,0.5208333333333334,0.3645833333333333,0.0,0.0,0.0,0.5925612250963846,0.5558095375696818,1.0407645503679912,0.34656984607378644,0.2614683558543523,1.579162359237671,1.739030400911967,3.8267237742741904,0.010397095077981552,0.0016341772473727663,0.0,0.0065213638202597695,0.5740085939566294,1.9362079501152039,0.4230769230769231,0.3990196078431372,0.44166666666666665,0.36544011544011545,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.9789775013923645,0.46153846153846156,0.3541666666666667,0.3125,0.21535711682062927,0.20833333333333337,0.36544011544011545,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.087119102478027,5.125,0.7952110767364502,0.38205790519714355,0.3832411766052246,0.43738603591918945,1.998145580291748
6,3.808950742085775,3.0039318402608237,1.6253997286160786,1.6218024293581645,-0.08908295941849549,0.8317437966664633,0.0,21.946789423624676,0.0,1.0,0.0,0.0,0.0,0.375,0.4895833333333333,0.5520833333333334,0.4895833333333333,0.53125,0.5,0.0,0.0,0.0,0.8317437966664633,0.6143101354440054,1.0055572390556335,0.3424194008111954,0.25916342933972675,1.5623726844787598,1.7333136200904846,3.574024041493734,0.015408873713264862,0.0024296572664752603,0.0,0.009749889528999725,0.8041553795337677,2.074497699737549,0.38461538461538464,0.36874999999999997,0.45,0.32010582010582006,0.38461538461538464,0.38461538461538464,0.38461538461538464,,,,,,,0.32010582010582006,0.059523809523809514,3,False,9e-05,2.75e-05,0.3055555555555555,4.088217735290527,5.125,0.7599096298217773,0.3828542232513428,0.0,0.0,1.1429831981658936
7,3.633130192756653,2.69197670618693,1.4824395775794983,1.4229848782221477,-0.06517553143203259,0.9607060750325521,0.7683823903401693,20.423290570576984,2.011910915374756,1.0,0.0,3.0,0.06666666666666667,0.5,0.6354166666666666,0.5833333333333334,0.6354166666666666,0.53125,0.5520833333333334,0.7683823903401693,0.7119277914365133,0.8248370091120402,0.9607060750325521,0.6935113966464996,0.9369741578896841,0.34055136640866596,0.25812222560246784,1.4803187648455303,1.6894287864367168,3.0740058024724326,0.020433081624408562,0.0032265278665969768,0.0,0.01267071564992269,0.9222017725308737,1.6643101572990417,0.5384615384615384,0.42760942760942755,0.6,0.4650641025641025,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.7531384825706482,0.5,0.4047619047619048,,,,0.4650641025641025,0.32010582010582006,3,False,9e-05,2.75e-05,0.3055555555555555,4.090224742889404,5.125,0.9699931144714355,0.38319873809814453,0.38780975341796875,0.0,1.7412869930267334
8,3.966002861658732,2.841569105784098,1.5872132778167725,1.4757126967112224,0.026584472507238388,1.116458495457967,0.7875275611877441,21.614245732625324,1.983757456143697,1.0,0.0,3.0,0.13333333333333333,0.625,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.4895833333333333,0.7875275611877441,0.7164882024129232,0.8585669000943502,1.116458495457967,0.7710482676823934,0.8722842832406362,0.3395569274822871,0.25698516766230267,1.4695571462313335,1.658358911673228,2.8454586267471313,0.02546677024414142,0.004015393244723479,0.0,0.015547115510950485,1.067046989997228,1.4955520927906036,0.5769230769230769,0.6018518518518517,0.6833333333333332,0.583119658119658,0.5769230769230769,0.5769230769230769,0.5769230769230769,,,,,,,0.583119658119658,0.32010582010582006,3,False,9e-05,2.75e-05,0.3055555555555555,4.088759899139404,5.125,0.7125978469848633,0.3812851905822754,0.0,0.0,1.094158411026001
9,3.7009780406951904,2.4572669665018716,1.402055521806081,1.2414251863956451,-0.08771803975105286,1.2700265844662983,0.7132835785547892,20.624244054158527,1.7645126183827717,1.0,0.0,3.0,0.2,0.75,0.7395833333333334,0.65625,0.7395833333333334,0.75,0.6145833333333334,0.7132835785547892,0.6707271337509155,0.755839983622233,1.2700265844662983,0.6376512249310812,1.065763036410014,0.33812976876894635,0.25614698727925617,1.4384859005610149,1.5967110395431519,2.688923398653666,0.030431680381298065,0.004802756244316697,0.0,0.01796299995233615,1.210015485684077,1.499868094921112,0.5769230769230769,0.6498316498316499,0.6833333333333332,0.609508547008547,0.5769230769230769,0.5769230769230769,0.5769230769230769,1.5380176901817322,0.5384615384615384,0.546031746031746,,,,0.609508547008547,0.4650641025641025,3,False,9e-05,2.75e-05,0.3055555555555555,4.088271617889404,5.125,0.9877982139587402,0.3787086009979248,0.39291834831237793,0.0,1.7596561908721924
10,3.5608364741007485,2.2737011909484863,1.3251692652702332,1.115919868151347,-0.06624720245599747,1.3070094585418701,0.7727415362993876,19.739990552266438,1.908307154973348,1.0,0.0,3.0,0.26666666666666666,0.875,0.7916666666666666,0.6979166666666666,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7727415362993876,0.7849423289299011,0.7605407436688741,1.3070094585418701,0.6688202718893687,0.8829880754152933,0.3377663791179657,0.2542814612388611,1.4142016371091206,1.560944378376007,2.3566055297851562,0.035465468342105545,0.005562406886989872,0.0,0.02048739418387413,1.237217863400777,1.4288977980613708,0.6153846153846154,0.6752136752136751,0.6416666666666667,0.5842592592592593,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.4392783045768738,0.5384615384615384,0.4953703703703704,0.65625,0.7128123038173069,0.13541666666666663,0.5842592592592593,0.583119658119658,3,False,9e-05,2.75e-05,0.3055555555555555,4.087172508239746,5.125,0.8664073944091797,0.38373398780822754,0.3908085823059082,0.43508338928222656,2.076341390609741
