epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.550500710805257,5.550575839148627,3.3612272474500866,3.127640856636895,-0.000250073770682017,0.0,0.0,28.447404437594944,0.0,1.0,0.0,0.0,0.0,0.0,0.0763888888888889,0.1111111111111111,0.0763888888888889,0.125,0.10416666666666667,0.0,0.0,0.0,0.0,0.9143070777257284,0.7087069915400611,0.3570631775591109,0.26838548315895927,1.922265397177802,2.183337582482232,6.724209838443333,0.0,0.0,0.0,0.0,0.0,2.412327527999878,0.21621621621621623,0.054330065359477125,0.125,0.07528180354267311,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.298725684483846,0.1891891891891892,0.06267806267806268,0.09848484848484848,0.0367359229147847,0.02651515151515152,0.07528180354267311,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.087515830993652,5.125,1.441908597946167,0.4262869358062744,0.4317457675933838,0.48420023918151855,2.784454345703125
2,4.596892515818278,4.5876402325100365,2.722168445587158,2.6649598280588784,0.030841251214345295,0.0,0.0,24.939401202731663,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.13194444444444445,0.16666666666666666,0.1736111111111111,0.18055555555555555,0.0,0.0,0.0,0.0,0.9429631895489163,0.7087114519543118,0.3576553265253703,0.27005649937523735,1.8797377480400934,2.148073434829712,5.457528061336941,0.0,0.0,0.0,0.0,0.0,2.142662684122721,0.2702702702702703,0.2108262108262108,0.18055555555555555,0.16364381162245387,0.2702702702702703,0.2702702702702703,0.2702702702702703,,,,,,,0.16364381162245387,-inf,3,False,7e-05,2.75e-05,0.3928571428571429,4.086325645446777,5.125,1.0565688610076904,0.42092394828796387,0.0,0.0,1.4777703285217285
3,4.088087267345852,4.068213754230076,2.428256564670139,2.342796007792155,0.06624503516488606,0.0,0.0,22.70726267496745,0.0,1.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.24305555555555555,0.2638888888888889,0.3541666666666667,0.25,0.0,0.0,0.0,0.0,0.8342801332473755,0.5771850248177847,0.3585965931415558,0.26963115069601273,1.7999612755245633,2.116801129447089,4.700899653964573,0.0,0.0,0.0,0.0,0.0,1.7928533951441448,0.5135135135135135,0.5115984405458089,0.5740740740740741,0.4902062957618514,0.5135135135135135,0.5135135135135135,0.5135135135135135,1.7669086456298828,0.5405405405405406,0.5512051734273956,,,,0.4902062957618514,0.07528180354267311,3,False,7e-05,2.75e-05,0.3928571428571429,4.088278770446777,5.125,1.1952989101409912,0.42115306854248047,0.42789220809936523,0.0,2.044583320617676
4,3.8175974686940513,3.808955669403076,2.2155625025431314,2.2762759261661105,0.028805943826834362,0.0,0.0,21.316811031765408,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2638888888888889,0.3333333333333333,0.3333333333333333,0.3055555555555556,0.0,0.0,0.0,0.0,0.8830834229787191,0.6631338000297546,0.35994937353663975,0.2700753973590003,1.8356336090299818,2.0851656330956354,4.335494465298122,0.0,0.0,0.0,0.0,0.0,1.720216989517212,0.6486486486486487,0.6194444444444445,0.7175925925925926,0.6072751322751323,0.6486486486486487,0.6486486486486487,0.6486486486486487,1.6992649634679158,0.6486486486486487,0.625012968150223,,,,0.6072751322751323,0.16364381162245387,3,False,7e-05,2.75e-05,0.3928571428571429,4.088217735290527,5.125,1.1023871898651123,0.4249439239501953,0.43679380416870117,0.0,1.9644174575805664
5,3.696140421761407,3.633964697519938,2.2072803179423013,2.03812046845754,-0.02924362300998635,0.07094883090919918,0.0,20.850177341037327,0.0,1.0,0.0,0.0,0.0,0.1,0.3680555555555556,0.3194444444444444,0.3680555555555556,0.4791666666666667,0.3194444444444444,0.0,0.0,0.0,0.07094883090919918,0.8798706067932976,0.574709908829795,0.35768592688772416,0.26789720190895927,1.6676861180199518,2.0593304104275174,4.167835712432861,0.004292231208334367,0.0008036916131257183,0.0033353724154747194,0.0,0.06251753494143486,1.566906213760376,0.6216216216216216,0.6405982905982905,0.7037037037037037,0.6322751322751323,0.6216216216216216,0.6216216216216216,0.6216216216216216,1.568958044052124,0.6756756756756757,0.6763125763125762,0.6590909090909091,0.6519594426197405,-0.17992424242424238,0.6322751322751323,0.4902062957618514,3,False,7e-05,2.75e-05,0.3928571428571429,4.089285850524902,5.125,1.128936767578125,0.42910337448120117,0.43237948417663574,0.4932224750518799,2.4839439392089844
6,3.3941739400227866,3.286532375547621,1.955183161629571,1.9019274976518419,-0.09474847217400868,0.13606614453925026,0.0,20.130276362101238,0.0,1.0,0.0,0.0,0.0,0.2,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.3888888888888889,0.0,0.0,0.0,0.13606614453925026,0.7806313766373528,0.5064625276459588,0.3488498131434123,0.26259179910024005,1.7460006872812908,2.0266367064581976,3.9711399343278675,0.00837239550633563,0.0015755508276116517,0.006984003095163239,0.0,0.11913419432110256,1.3709507783253987,0.7837837837837838,0.8128747795414462,0.837962962962963,0.7980929745635629,0.7837837837837838,0.7837837837837838,0.7837837837837838,1.3615689277648926,0.7837837837837838,0.7903007667713551,,,,0.7980929745635629,0.6072751322751323,3,False,7e-05,2.75e-05,0.3928571428571429,4.087821006774902,5.125,1.1120719909667969,0.4307522773742676,0.41988563537597656,0.0,1.9629950523376465
7,3.304424603780111,3.129220883051554,1.9505356152852376,1.68383612897661,-0.08639529057674938,0.2011223468515608,0.9521426558494568,19.627500110202366,2.3650327920913696,1.0,0.0,4.0,0.07142857142857142,0.3,0.5,0.3541666666666667,0.5,0.4722222222222222,0.4513888888888889,0.9521426558494568,0.8985274136066437,1.0057578831911087,0.2011223468515608,0.9133315417501662,0.5457269615597196,0.34161678618854946,0.2578820023271773,1.7963359620836046,1.9858605066935222,3.847104867299398,0.012298203694323698,0.0023209379416786963,0.010778015789886316,0.0,0.17311972710821363,1.2301734288533528,0.8648648648648649,0.8759259259259259,0.8888888888888888,0.8738816738816739,0.8648648648648649,0.8648648648648649,0.8648648648648649,1.247416893641154,0.8918918918918919,0.9024210357543692,,,,0.8738816738816739,0.6322751322751323,3,False,7e-05,2.75e-05,0.3928571428571429,4.089217662811279,5.125,1.0696899890899658,0.4124479293823242,0.43673038482666016,0.0,1.9191572666168213
8,3.325215869479709,3.096360868877835,1.9315224885940552,1.6640548838509455,-0.07440648972988129,0.25117693344751996,0.8629839867353439,20.351620144314236,2.3059399127960205,1.0,0.0,4.0,0.14285714285714285,0.4,0.4930555555555556,0.3819444444444444,0.4930555555555556,0.5347222222222222,0.4444444444444444,0.8629839867353439,0.8917107284069061,0.8342572301626205,0.25117693344751996,0.8606181608306037,0.6370620859993829,0.3342760139041477,0.25408963362375897,1.6819703181584675,1.9660604397455852,3.5546331670549183,0.016045248963766627,0.003049075629355179,0.01345576335572534,0.0,0.2132779856522878,1.134105126063029,0.918918918918919,0.9500000000000001,0.9537037037037037,0.9458072791406124,0.918918918918919,0.918918918918919,0.918918918918919,1.1398751338322957,0.918918918918919,0.9396011396011397,,,,0.9458072791406124,0.7980929745635629,3,False,7e-05,2.75e-05,0.3928571428571429,4.089086532592773,5.125,1.248805046081543,0.42940330505371094,0.43125081062316895,0.0,2.109741687774658
9,3.1865392790900335,2.8858035140567355,1.8160877227783203,1.5281654331419203,-0.01696674070424504,0.3058258162604438,0.7918328940868378,19.9219421810574,2.1074724197387695,1.0,0.0,4.0,0.21428571428571427,0.5,0.6180555555555556,0.4722222222222222,0.6180555555555556,0.5902777777777778,0.5,0.7918328940868378,0.8224813789129257,0.7611844092607498,0.3058258162604438,0.8641304439968533,0.7113006909688314,0.32512785659896004,0.2512522836526235,1.641635126537747,1.9257283740573459,3.4359091652764215,0.01950767098201646,0.0037687842009796035,0.01641635089698765,0.0,0.25769319633642834,1.025522788365682,0.9459459459459459,0.9285714285714286,0.9583333333333334,0.9311355311355312,0.9459459459459459,0.9459459459459459,0.9459459459459459,1.0405410925547283,0.9459459459459459,0.9311355311355312,,,,0.9311355311355312,0.8738816738816739,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.0575597286224365,0.4332132339477539,0.43500852584838867,0.0,1.9260845184326172
10,3.1039326985677085,2.764251814948188,1.6340633233388264,1.61455504099528,-0.01796426706843906,0.34507018989986843,0.8300612717866898,19.440809461805557,2.1522088646888733,1.0,0.0,4.0,0.2857142857142857,0.6,0.5138888888888888,0.5625,0.5138888888888888,0.6111111111111112,0.625,0.8300612717866898,0.7508397102355957,0.9092828184366226,0.34507018989986843,0.9023923277854919,0.6717027425765991,0.31789236929681564,0.24807877507474688,1.6381308899985418,1.8760518630345662,3.186837832132975,0.022888249821133085,0.0044654178329639966,0.019657570868730545,0.0,0.28681541482607525,1.0653618375460308,0.8378378378378378,0.8907407407407406,0.8703703703703703,0.8592111592111592,0.8378378378378378,0.8378378378378378,0.8378378378378378,1.06270964940389,0.918918918918919,0.9383998717332049,0.8560606060606061,0.8591658341658341,-0.24494949494949492,0.8592111592111592,0.8592111592111592,3,False,7e-05,2.75e-05,0.3928571428571429,4.086349010467529,5.125,1.05509352684021,0.41468119621276855,0.45974230766296387,0.5640161037445068,2.4938480854034424
