epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.515526652336121,4.4978596846262615,2.4781085729598997,2.5246888200441995,0.058889967699845634,0.0,0.0,26.88984769185384,0.0,1.0,0.0,0.0,0.0,0.0,0.22083333333333333,0.225,0.22083333333333333,0.21041666666666667,0.22083333333333333,0.0,0.0,0.0,0.0,1.086417136589686,0.3315632839997609,0.3679179350535075,0.271086656053861,1.758754022916158,2.0658158659934998,5.165640060106913,0.0,0.0,0.0,0.0,0.0,1.9950093403458595,0.13333333333333333,0.22010630498533723,0.30204089388871996,0.11782818532818534,0.13333333333333333,0.13333333333333333,0.13333333333333333,2.06044190376997,0.15,0.14242493191557534,0.15913978494623657,0.16141256311784236,0.0512768817204301,0.11782818532818534,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,3.2210137844085693,0.42938828468322754,0.4485814571380615,0.6989850997924805,4.798259258270264
2,2.997747850418091,3.0519946336746218,1.7108126680056255,1.6764774401982625,-0.18082260464628538,0.0,0.0,21.091567357381184,0.0,1.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.44583333333333336,0.4666666666666667,0.4354166666666667,0.4041666666666667,0.0,0.0,0.0,0.0,1.0573541859785716,0.34536909461021426,0.3707138280073802,0.2716421316067378,1.6980546236038208,1.961458154519399,3.538879402478536,0.0,0.0,0.0,0.0,0.0,1.700001034885645,0.325,0.5185267857142857,0.524806604671398,0.3540536677761799,0.325,0.325,0.325,,,,,,,0.3540536677761799,-inf,3,False,0.0001,3.2e-05,0.31999999999999995,4.089285850524902,5.125,2.496299982070923,0.42459607124328613,0.0,0.0,2.921119451522827
3,2.426308353741964,2.453417408466339,1.4088831981023153,1.3056677281856537,-0.09036357440054417,0.0,0.0,20.038905334472656,0.0,1.0,0.0,0.0,0.0,0.0,0.6125,0.60625,0.6125,0.625,0.5895833333333333,0.0,0.0,0.0,0.0,0.9513145784536997,0.3720868741472562,0.3710935145616531,0.2732919842004776,1.6063278635342917,1.860593609015147,2.8111903349558514,0.0,0.0,0.0,0.0,0.0,1.2391157038509846,0.6333333333333333,0.6781748405103668,0.7995572825901565,0.6515550692245607,0.6333333333333333,0.6333333333333333,0.6333333333333333,1.2167304307222366,0.6583333333333333,0.6669849410257144,,,,0.6515550692245607,0.11782818532818534,3,False,0.0001,3.2e-05,0.31999999999999995,4.088278770446777,5.125,2.6007375717163086,0.4357938766479492,0.4471158981323242,0.0,3.4838569164276123
4,2.161040425300598,1.9631442785263062,1.1220441480477652,1.051375146706899,-0.007607736128071944,0.20017846276362736,0.0,18.491724840799968,0.0,1.0,0.0,0.0,0.0,0.125,0.7458333333333333,0.70625,0.7458333333333333,0.7333333333333333,0.6833333333333333,0.0,0.0,0.0,0.20017846276362736,0.8745434244473775,0.3986097306013107,0.3610404262940089,0.2690724045038223,1.5481241583824157,1.7468936522801717,2.255737332503001,0.005415606312453747,0.0008408512784323345,0.010643353499472142,0.0,0.183278651535511,1.00010434538126,0.8,0.7901785714285714,0.8581271459187684,0.7780967127845488,0.8,0.8,0.8000000000000002,0.9183835461735725,0.825,0.8079734464707868,,,,0.7780967127845488,0.3540536677761799,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.5061917304992676,0.4367330074310303,0.4361248016357422,0.0,3.3793118000030518
5,1.9212806781133016,1.5973081231117248,0.9167006154855092,0.8507593433062236,0.004607442145546277,0.322590297460556,0.0,16.500344689687093,0.0,1.0,0.0,0.0,0.0,0.25,0.8208333333333333,0.8166666666666667,0.8208333333333333,0.8520833333333333,0.8229166666666666,0.0,0.0,0.0,0.322590297460556,0.911669808626175,0.3612546851237615,0.3408491939306259,0.26012671887874605,1.487929360071818,1.6133971174558004,1.7863385240236918,0.01022547564158837,0.0016257920147230227,0.02045902864386638,0.0,0.29027999738852184,0.8494133166968822,0.7916666666666666,0.7302083333333332,0.880644739671781,0.7636186912502703,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8301197476685047,0.8166666666666667,0.7800611940758819,0.864516129032258,0.8182358680012365,-0.012432795698924748,0.7636186912502703,0.6515550692245607,3,False,0.0001,3.2e-05,0.31999999999999995,4.085410118103027,5.125,2.6124346256256104,0.4311332702636719,0.4432990550994873,0.7139205932617188,4.20108962059021
6,1.763671378294627,1.3326568603515625,0.7575486779212952,0.718885205189387,0.08233241178095341,0.40631478528181714,0.9522223790486654,14.846404139200846,2.0726261138916016,1.0,0.0,15.0,0.06666666666666667,0.375,0.8875,0.8770833333333333,0.8875,0.8791666666666667,0.8708333333333333,0.9522223790486654,0.861223566532135,1.0432211955388386,0.40631478528181714,0.9267509897549947,0.3744949425260226,0.3242339869340261,0.253891962269942,1.386864924430847,1.4940986076990763,1.4710612257321676,0.014590529973308246,0.002380237231651942,0.028604090151687463,0.0,0.3585711826880773,0.981013186275959,0.7916666666666666,0.7184136662795199,0.867557879554168,0.7542958768873402,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8894978202879429,0.8083333333333333,0.7718183448545716,,,,0.7542958768873402,0.7542958768873402,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6236350536346436,0.43489694595336914,0.45262932777404785,0.0,3.511436700820923
7,1.7949389934539794,1.2289120376110076,0.7118222018082937,0.6463622868061065,0.1896800788740317,0.5091229349374771,0.8663320422172547,14.87521333694458,1.9488197088241577,1.0,0.0,15.0,0.13333333333333333,0.5,0.91875,0.8875,0.91875,0.93125,0.8979166666666667,0.8663320422172547,0.8230312585830688,0.9096328258514405,0.5091229349374771,0.9470950623353322,0.4384876559178034,0.30958964228630065,0.2473614101608594,1.2778067409992218,1.3852031310399373,1.3775300363699594,0.018575378259023032,0.003092017668920259,0.03513968549668789,0.0,0.447697244087855,0.7775331251323223,0.8583333333333333,0.8400819757727653,0.9210125770306047,0.8610620077562537,0.8583333333333333,0.8583333333333333,0.8583333333333333,,,,,,,0.8610620077562537,0.7542958768873402,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.5689845085144043,0.4487581253051758,0.0,0.0,3.0180158615112305
8,1.7419116139411925,1.1349011460940044,0.6289936423301696,0.6323843757311504,0.08037901309629282,0.582896755139033,0.8389928499857585,13.843713283538818,1.8410686254501343,1.0,0.0,15.0,0.2,0.625,0.9104166666666667,0.9333333333333333,0.9104166666666667,0.9291666666666667,0.9270833333333334,0.8389928499857585,0.815237295627594,0.862748380502065,0.582896755139033,0.8325223942597707,0.5096175342798233,0.29617099165916444,0.24066328306992849,1.1864220321178436,1.3208143353462218,1.2539805829524995,0.02221282503257195,0.0037603637979676326,0.04078325865169366,0.0,0.5094296117623647,0.6618781499564648,0.9,0.8701650652870165,0.924276412876625,0.8783595826529554,0.9,0.9,0.9,,,,,,,0.8783595826529554,0.7542958768873402,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.6720669269561768,0.43924927711486816,0.0,0.0,3.111549139022827
9,1.7285970330238343,1.05091499487559,0.5825229376554489,0.5854900568723679,0.022330926669140657,0.6709827582041422,0.8666109045346578,13.308726565043132,1.8520952224731446,1.0,0.0,15.0,0.26666666666666666,0.75,0.9479166666666666,0.94375,0.9479166666666666,0.9270833333333334,0.9416666666666667,0.8666109045346578,0.853337554136912,0.8798842549324035,0.6709827582041422,0.8652159651120503,0.42890069882074994,0.2864057073990504,0.23755136479934055,1.086491310596466,1.2111159960428874,1.2047321597735088,0.02577651496976614,0.004454088257625699,0.0448177677889665,0.0,0.5873069395621617,0.6418602652847767,0.8916666666666667,0.8317269536019536,0.9360734043263206,0.8646280529755762,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.6225456930696964,0.9166666666666666,0.8927006422638768,,,,0.8646280529755762,0.8610620077562537,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.8285067081451416,0.4400935173034668,0.4418148994445801,0.0,3.7106406688690186
10,1.6710513512293497,0.9511599083741505,0.52134364147981,0.537270321448644,0.09114500436310967,0.6925479392210643,0.8529658516248068,10.454201968510946,1.818554162979126,0.9666666666666667,0.0,15.0,0.3333333333333333,0.875,0.9541666666666667,0.9770833333333333,0.9541666666666667,0.9625,0.96875,0.8529658516248068,0.8479294657707215,0.8580022335052491,0.6925479392210643,0.8675728718439738,0.4783128569523493,0.2767525206009547,0.23102399359146755,1.0242457807064056,1.1038653035958608,1.0513014713923137,0.029059013786415257,0.00505364976512889,0.049291827032963434,0.0,0.5979277352492015,0.6555761359632015,0.9333333333333333,0.8893123306233062,0.9430024508895135,0.8999067877043843,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.6667949743568897,0.9166666666666666,0.8825176955426969,0.9698924731182795,0.9543130470261116,-0.007392473118279508,0.8999067877043843,0.8646280529755762,3,False,0.0001,3.2e-05,0.31999999999999995,4.086349010467529,5.125,2.666731595993042,0.4458773136138916,0.43111205101013184,0.7102410793304443,4.254246711730957
