run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_val_correct,best_val_total,best_val_errors,best_val_acc_wilson_low,best_val_acc_wilson_high,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_prototype_contrastive,best_train_dual_d_contrastive,best_train_acc_target_like,best_train_dual_d_cycle,best_train_dual_d_classification_feedback,best_train_dual_d_adv_primary,best_train_dual_d_generator_total,best_train_dual_d_identity,best_train_dual_d_adv_auxiliary,best_train_acc_source_like
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929,module_c_full_逆光_20260830_193929/metrics_iter01,full,逆光,1,45,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/metrics_iter01.csv,60,52.0,1.0,1.0,1.0,1.0,37.0,37.0,0.0,0.9059390425448564,1.0,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/feature_embeddings_iter01.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/result_summary_iter01.json,1.2422160572475858,1.0234475533167522,0.9583333333333334,0.21736800339486864,1.9097487794028387,0.6772778961393568,0.4457527134153578,0.20500184098879495,0.604892243941625,0.9513888888888888
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929,module_c_full_逆光_20260830_193929/metrics_iter02,full,逆光,2,46,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/metrics_iter02.csv,56,41.0,1.0,1.0,1.0,1.0,37.0,37.0,0.0,0.9059390425448564,1.0,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/feature_embeddings_iter02.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/result_summary_iter02.json,1.3248825735516019,1.185531497001648,0.875,0.23908425370852152,1.8993669748306274,0.548234310415056,0.46170299583011204,0.2222270882791943,0.9812630150053236,0.9652777777777778
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929,module_c_full_逆光_20260830_193929/metrics_iter03,full,逆光,3,47,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/metrics_iter03.csv,58,43.0,1.0,1.0,1.0,1.0,37.0,37.0,0.0,0.9059390425448564,1.0,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/feature_embeddings_iter03.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929/result_summary_iter03.json,1.2421547439363267,1.030892875459459,0.9305555555555556,0.23206401533550686,1.887854880756802,0.541547934214274,0.43722519609663224,0.21003465188874137,0.44849564962916905,0.9444444444444444
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929,module_c_full_雨天_20260830_193929/metrics_iter01,full,雨天,1,51,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/metrics_iter01.csv,60,52.0,0.9615384615384616,0.9444444444444443,0.9791666666666666,0.9555555555555556,25.0,26.0,1.0,0.811068230080416,0.9931781910230102,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/feature_embeddings_iter01.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/result_summary_iter01.json,0.9537345369656881,0.9304107228914896,0.9479166666666666,0.27635176479816437,1.7664479613304138,0.8510353863239288,1.1614217559496562,0.2303775226076444,0.4022155851125717,0.9791666666666666
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929,module_c_full_雨天_20260830_193929/metrics_iter02,full,雨天,2,52,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/metrics_iter02.csv,60,50.0,1.0,1.0,1.0,1.0,26.0,26.0,0.0,0.8712669561953784,1.0,0.9895833333333334,-0.01041666666666663,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/feature_embeddings_iter02.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/result_summary_iter02.json,1.0960633059342701,1.00365615884463,0.9479166666666666,0.27698931594689685,1.863293429215749,0.42435339093208313,1.2217281460762024,0.23796143879493079,0.7272442082564036,0.9479166666666666
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929,module_c_full_雨天_20260830_193929/metrics_iter03,full,雨天,3,53,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/metrics_iter03.csv,60,51.0,1.0,1.0,1.0,1.0,26.0,26.0,0.0,0.8712669561953784,1.0,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/feature_embeddings_iter03.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雨天_20260830_193929/result_summary_iter03.json,0.9795049826304117,0.9418074687321981,0.9479166666666666,0.2928057511647542,1.8005234797795613,0.9412324031194051,1.1979416410128276,0.2355854610602061,0.9769371946652731,1.0
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929,module_c_full_雾天_20260830_193929/metrics_iter01,full,雾天,1,48,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/metrics_iter01.csv,60,46.0,0.9772727272727273,0.972934472934473,0.9764550264550265,0.9730040957159601,129.0,132.0,3.0,0.9353097558813885,0.9922411563575722,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/feature_embeddings_iter01.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/result_summary_iter01.json,1.0905576546986897,1.2123013337453206,0.9692028985507246,0.23266162474950156,1.8656741380691528,0.7628738979498545,1.1788922349611919,0.22141041109959284,0.5687672992547353,0.9601449275362319
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929,module_c_full_雾天_20260830_193929/metrics_iter02,full,雾天,2,49,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/metrics_iter02.csv,60,51.0,0.9696969696969697,0.9767724867724866,0.967908017908018,0.9709529722362653,128.0,132.0,4.0,0.9246737507380807,0.9881541311478805,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/feature_embeddings_iter02.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/result_summary_iter02.json,1.0417697032292683,1.2128829956054688,0.9637681159420289,0.22290133188168207,1.8759169777234395,0.4671758512655894,1.1652216116587322,0.21555829793214798,0.5081173380215963,0.9619565217391305
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929,module_c_full_雾天_20260830_193929/metrics_iter03,full,雾天,3,50,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/metrics_iter03.csv,60,48.0,0.9696969696969697,0.9648677248677247,0.9542328042328043,0.9576737822904087,128.0,132.0,4.0,0.9246737507380807,0.9881541311478805,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/feature_embeddings_iter03.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_雾天_20260830_193929/result_summary_iter03.json,1.0739148457845051,1.186926821867625,0.9692028985507246,0.21993984282016754,1.8887657324473064,0.6285739143689474,1.1751591563224792,0.20816749582688013,0.4592895756165187,0.967391304347826
runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_黑天_20260830_193929,module_c_full_黑天_20260830_193929/metrics_iter01,full,黑天,1,42,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_黑天_20260830_193929/metrics_iter01.csv,58,43.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,119.0,120.0,1.0,0.9543025846256777,0.9985274821693252,,,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_黑天_20260830_193929/feature_embeddings_iter01.npz,runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_黑天_20260830_193929/result_summary_iter01.json,0.322749537229538,0.3057599107424418,0.9958333333333333,0.16834746102492015,1.2537320892016093,0.42516960004965465,0.8856257557868957,0.15899986724058787,0.4403387020031611,0.99375
