epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.812674310472277,5.892759058210585,3.4355388747321234,3.5103146764967175,-0.26694915692011517,0.0,0.0,32.20325067308214,0.0,1.0,0.0,0.0,0.0,0.0,0.0625,0.0763888888888889,0.0625,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0,0.0,1.2672585778766208,1.3191691637039185,0.37647171484099495,0.2759400142563714,1.935641672876146,2.2179141839345298,6.6704320377773705,0.0,0.0,0.0,0.0,0.0,2.803324063618978,0.02702702702702703,0.022222222222222223,0.027777777777777776,0.02469135802469136,0.02702702702702703,0.02702702702702703,0.02702702702702703,2.8902271588643393,0.0,0.0,0.015151515151515152,0.014389968136499127,0.09595959595959595,0.02469135802469136,-inf,4,False,40,False,6e-05,2.4e-05,0.4,4.087515830993652,5.126953125,1.189371109008789,0.38514065742492676,0.3772904872894287,0.4272482395172119,2.3793482780456543
2,4.896421962314182,4.995722982618544,2.9671648343404136,2.897940238316854,-0.33100330581267673,0.0,0.0,26.96910137600369,0.0,1.0,0.0,0.0,0.0,0.0,0.1527777777777778,0.11805555555555555,0.1527777777777778,0.125,0.18055555555555555,0.0,0.0,0.0,0.0,1.3276518252160814,1.117924650510152,0.3767675889862908,0.2754420406288571,2.0120142698287964,2.2716466585795083,5.702289740244548,0.0,0.0,0.0,0.0,0.0,2.443523724873861,0.16216216216216217,0.1898148148148148,0.17592592592592593,0.14599104599104598,0.16216216216216217,0.16216216216216217,0.16216216216216217,,,,,,,0.14599104599104598,-inf,4,False,40,False,6e-05,2.4e-05,0.4,4.086325645446777,5.126953125,1.1071836948394775,0.3661684989929199,0.0,0.0,1.4736227989196777
3,4.369482649697198,4.462579515245226,2.592647817399767,2.671331034766303,-0.3103228343857659,0.0,0.0,24.24536069234212,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.22916666666666666,0.2222222222222222,0.2222222222222222,0.2569444444444444,0.0,0.0,0.0,0.0,1.4944958289464314,1.0102821985880535,0.37732403145896065,0.2742997772163815,1.8575004206763372,2.2189168665144177,5.219941933949788,0.0,0.0,0.0,0.0,0.0,2.120002826054891,0.35135135135135137,0.39537037037037037,0.45370370370370366,0.36054023948760794,0.35135135135135137,0.35135135135135137,0.35135135135135137,,,,,,,0.36054023948760794,-inf,4,False,40,False,6e-05,2.4e-05,0.4,4.088278770446777,5.126953125,1.026329755783081,0.3746185302734375,0.0,0.0,1.4011719226837158
4,4.192712359958225,4.279030111100939,2.4910055796305337,2.5543209181891546,-0.2877257979578442,0.0,0.0,23.134856965806748,0.0,1.0,0.0,0.0,0.0,0.0,0.24305555555555555,0.2708333333333333,0.24305555555555555,0.1875,0.2708333333333333,0.0,0.0,0.0,0.0,1.5057579543855455,1.1306343343522813,0.3776771393087175,0.27586310770776534,1.8829788102044,2.2091361151801214,4.834301047854954,0.0,0.0,0.0,0.0,0.0,1.8728984991709392,0.40540540540540543,0.5148148148148147,0.574074074074074,0.5073192239858907,0.40540540540540543,0.40540540540540543,0.40540540540540543,,,,,,,0.5073192239858907,0.02469135802469136,4,False,40,False,6e-05,2.4e-05,0.4,4.088217735290527,5.126953125,0.9972484111785889,0.3694496154785156,0.0,0.0,1.366969108581543
5,3.855196131600274,3.9130391014946833,2.3364736239115396,2.252236485481262,-0.19280988391902712,0.0,0.0,22.464006212022568,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.2708333333333333,0.25,0.22916666666666666,0.3194444444444444,0.0,0.0,0.0,0.0,1.6465850273768108,1.1464671558803983,0.3762727843390571,0.27609338694148594,1.8789774179458618,2.1872632768419056,4.573399888144599,0.0,0.0,0.0,0.0,0.0,1.6412492990493774,0.4864864864864865,0.5,0.6111111111111112,0.5,0.4864864864864865,0.4864864864864865,0.4864864864864865,1.6757557392120361,0.5405405405405406,0.512025012025012,0.6060606060606061,0.618261216327064,-0.37689393939393945,0.5,0.14599104599104598,4,False,40,False,6e-05,2.4e-05,0.4,4.089285850524902,5.126953125,1.1017367839813232,0.3708622455596924,0.3800339698791504,0.43460822105407715,2.2875096797943115
6,3.5698932541741266,3.63057549794515,2.1932944589191012,2.0532587236828275,-0.20227395163642037,0.0,0.0,21.222875383165146,0.0,1.0,0.0,0.0,0.0,0.0,0.4027777777777778,0.2986111111111111,0.4027777777777778,0.3263888888888889,0.3680555555555556,0.0,0.0,0.0,0.0,1.4815190235773723,1.064152631494734,0.3767373992337121,0.274041043387519,1.881217360496521,2.1601004600524902,4.420232084062365,0.0,0.0,0.0,0.0,0.0,1.5298186143239338,0.5945945945945946,0.6012345679012345,0.7129629629629629,0.6127764211097544,0.5945945945945946,0.5945945945945946,0.5945945945945946,,,,,,,0.6127764211097544,0.36054023948760794,4,False,40,False,6e-05,2.4e-05,0.4,4.087821006774902,5.126953125,1.0906636714935303,0.36417603492736816,0.0,0.0,1.4550707340240479
7,3.466520494884915,3.468680646684435,1.9949943092134264,2.105266253153483,-0.21030858986907536,0.060932391633590065,0.0,20.937353558010525,0.0,1.0,0.0,0.0,0.0,0.07142857142857142,0.3819444444444444,0.4861111111111111,0.3819444444444444,0.3819444444444444,0.4027777777777778,0.0,0.0,0.0,0.060932391633590065,1.5349273549185858,1.108713275856442,0.3740995426972707,0.2731778621673584,1.7696519162919786,2.121210972468058,4.248670048183865,0.003206567398996817,0.0005853811162523925,0.002528074119860927,0.00909090404295259,0.04552146585451232,1.4242063363393147,0.7567567567567568,0.794973544973545,0.8194444444444444,0.76998556998557,0.7567567567567568,0.7567567567567568,0.7567567567567567,,,,,,,0.76998556998557,0.5,4,False,40,False,6e-05,2.4e-05,0.4,4.088278770446777,5.126953125,1.1660711765289307,0.3712422847747803,0.0,0.0,1.5375289916992188
8,3.343225452635023,3.2809757126702204,1.9368656211429172,1.9201572471194797,-0.17273846599790785,0.11407128141985999,0.0,20.58943091498481,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.4722222222222222,0.4444444444444444,0.4722222222222222,0.4305555555555556,0.3819444444444444,0.0,0.0,0.0,0.11407128141985999,1.5122995111677382,1.17195639345381,0.36569979124599034,0.2685532867908478,1.8039004272884793,2.083948665195041,3.9029564592573376,0.006269139030741321,0.0011509426015739639,0.005154001216093699,0.017862416182955105,0.08363478299644259,1.484856128692627,0.6756756756756757,0.6407407407407407,0.787037037037037,0.6748116081449416,0.6756756756756757,0.6756756756756757,0.6756756756756757,,,,,,,0.6748116081449416,0.5,4,False,40,False,6e-05,2.4e-05,0.4,4.08814811706543,5.126953125,1.039031744003296,0.3658742904663086,0.0,0.0,1.4051265716552734
9,3.1237428188323975,3.0250595145755343,1.7659345732794867,1.7987498839696248,-0.21917280968692568,0.16443509525722927,0.741622805595398,19.372588051689995,2.029579848051071,1.0,0.0,4.0,0.05,0.21428571428571427,0.4236111111111111,0.5208333333333334,0.4236111111111111,0.5208333333333334,0.4513888888888889,0.741622805595398,0.730813130736351,0.7524324804544449,0.16443509525722927,1.5467367304695978,1.0825648572709825,0.3554462128215366,0.2649977438979679,1.7760206593407526,2.044618103239271,3.621501180860731,0.00914004548556275,0.0017035569245409635,0.007611516811367538,0.026287946850061417,0.11640540344847573,1.4850542942682903,0.5405405405405406,0.5698412698412698,0.6851851851851851,0.5723905723905722,0.5405405405405406,0.5405405405405406,0.5405405405405406,,,,,,,0.5723905723905722,0.5723905723905722,4,False,40,False,6e-05,2.4e-05,0.4,4.086349010467529,5.126953125,0.9766919612884521,0.3552088737487793,0.0,0.0,1.332179307937622
10,3.2420817481146917,3.0868789090050592,1.8844983842637804,1.7176864941914876,-0.21648728681935203,0.22014904684490627,0.7319634407758713,20.301954481336807,1.9591361582279205,1.0,0.0,4.0,0.1,0.2857142857142857,0.5138888888888888,0.4722222222222222,0.5138888888888888,0.4722222222222222,0.5347222222222222,0.7319634407758713,0.7488690614700317,0.7150578498840332,0.22014904684490627,1.4428737825817533,1.0289096898502774,0.3451692859331767,0.2622087962097592,1.6973416805267334,2.015953646765815,3.631352848476834,0.011834375146362517,0.002247503855162197,0.00969909524752034,0.03455920476052496,0.15562940968407524,1.3516065677007039,0.7027027027027027,0.7857142857142857,0.8148148148148149,0.7244107744107746,0.7027027027027027,0.7027027027027027,0.7027027027027027,1.4024246136347454,0.6756756756756757,0.697250280583614,0.7348484848484849,0.7557657068278627,-0.26262626262626265,0.7244107744107746,0.5723905723905722,4,False,40,False,6e-05,2.4e-05,0.4,4.086349010467529,5.126953125,1.1296756267547607,0.3828768730163574,0.37821483612060547,0.4282097816467285,2.3192341327667236
