2026-08-30 19:52:34 | Starting Dual_D standalone training
2026-08-30 19:52:34 | Run directory: runs/module_c_v12_strong_full_gate/module_c_20260830_193928/module_c_full_逆光_20260830_193929
2026-08-30 19:52:34 | Device: cuda
2026-08-30 19:52:34 | Source train samples: 992
2026-08-30 19:52:34 | Target train samples: 132
2026-08-30 19:52:34 | Target val samples: 37
2026-08-30 19:52:34 | Classes: 14
2026-08-30 19:52:34 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=157/0
2026-08-30 19:52:34 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 19:52:34 | target_train classes: present 9/14 | absent 5 | counts [0:20, 2:12, 4:12, 5:2, 9:16, 10:16, 11:29, 12:4, 13:21]
2026-08-30 19:52:34 | target_val classes: present 9/14 | absent 5 | counts [0:6, 2:3, 4:4, 5:1, 9:4, 10:4, 11:8, 12:1, 13:6]
2026-08-30 19:52:34 | Paired training classes: 9/14 | class ids [0, 2, 4, 5, 9, 10, 11, 12, 13]
2026-08-30 19:52:34 | Runtime profile: batch=16 | paired_steps=9 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
2026-08-30 19:52:34 | Augmentation profile: base=0.720 | visible=0.780 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
2026-08-30 19:52:34 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/1 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 19:52:34 | Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.15, "contrastive": 0.02, "cycle": 0.12, "identity": 0.03, "prototype_contrastive": 0.06}
2026-08-30 19:52:34 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 19:52:37 | Epoch 001/060 | loss 5.6886 | cls 5.6694 | tal 0.0637 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1042 | train_full 0.1515 | val_acc 0.2162 | val_f1 0.0743 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.038/0.000 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.4/0.4/0.4/0.4s | 2.6s
2026-08-30 19:52:38 | Epoch 002/060 | loss 4.7425 | cls 4.7444 | tal -0.0066 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1597 | train_full n/a | val_acc 0.2703 | val_f1 0.1533 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.558/0.000 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 19:52:40 | Epoch 003/060 | loss 4.2961 | cls 4.2915 | tal 0.0154 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2014 | train_full n/a | val_acc 0.4595 | val_f1 0.4417 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.236/0.000 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
2026-08-30 19:52:41 | Epoch 004/060 | loss 4.0495 | cls 4.0468 | tal 0.0088 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2500 | train_full n/a | val_acc 0.5405 | val_f1 0.4787 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 22.146/0.000 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 19:52:43 | Epoch 005/060 | loss 3.8925 | cls 3.8870 | tal 0.0185 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3542 | train_full 0.6212 | val_acc 0.6486 | val_f1 0.6290 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 21.387/0.000 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.4s | 2.3s
2026-08-30 19:52:45 | Epoch 006/060 | loss 3.5324 | cls 3.5306 | tal 0.0061 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4028 | train_full n/a | val_acc 0.6757 | val_f1 0.6840 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 20.201/0.000 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 19:52:46 | Epoch 007/060 | loss 3.3413 | cls 3.2924 | tal -0.0327 | dual_g 0.0587 | dual_d 0.0000 | train_acc 0.3750 | train_full n/a | val_acc 0.8649 | val_f1 0.8661 | adv/moduleC 0.00/0.07 | disc_steps 0 | grad(main/disc) 19.483/0.000 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 19:52:48 | Epoch 008/060 | loss 3.3372 | cls 3.2422 | tal -0.0542 | dual_g 0.1112 | dual_d 0.0000 | train_acc 0.4653 | train_full n/a | val_acc 0.8378 | val_f1 0.8656 | adv/moduleC 0.00/0.14 | disc_steps 0 | grad(main/disc) 19.715/0.000 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
2026-08-30 19:52:49 | Epoch 009/060 | loss 3.2800 | cls 3.0978 | tal 0.0473 | dual_g 0.1680 | dual_d 0.8169 | train_acc 0.4861 | train_full n/a | val_acc 0.8649 | val_f1 0.8889 | adv/moduleC 0.05/0.21 | disc_steps 4 | grad(main/disc) 20.304/2.086 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.4s
2026-08-30 19:52:52 | Epoch 010/060 | loss 3.2274 | cls 3.0242 | tal -0.0202 | dual_g 0.2093 | dual_d 0.8547 | train_acc 0.5417 | train_full 0.8182 | val_acc 0.8108 | val_f1 0.8052 | adv/moduleC 0.10/0.29 | disc_steps 4 | grad(main/disc) 19.503/2.175 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.4s | 2.3s
2026-08-30 19:52:53 | Epoch 011/060 | loss 3.2482 | cls 2.9919 | tal -0.0331 | dual_g 0.2663 | dual_d 0.9101 | train_acc 0.5347 | train_full n/a | val_acc 0.8649 | val_f1 0.8701 | adv/moduleC 0.15/0.36 | disc_steps 4 | grad(main/disc) 20.432/2.223 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
