epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.884991725285848,5.909567356109619,3.2367215553919473,3.144524415334066,-0.08191886420051257,0.0,0.0,34.13938236236572,0.0,1.0,0.0,0.0,0.0,0.0,0.07291666666666667,0.08333333333333333,0.07291666666666667,0.07291666666666667,0.09375,0.0,0.0,0.0,0.0,1.1868369281291962,0.26996230830748874,0.3531000316143036,0.26901056865851086,1.6119448741277058,1.7639734148979187,6.444336811701457,0.0,0.0,0.0,0.0,0.0,2.489447593688965,0.19230769230769232,0.10227272727272728,0.16666666666666666,0.12037037037037039,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.500268578529358,0.19230769230769232,0.1259259259259259,0.1875,0.12904496387381068,-0.11458333333333333,0.12037037037037039,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.087424278259277,29.146484375,0.9439694881439209,0.32681870460510254,0.33695340156555176,0.38332104682922363,1.9914050102233887
2,4.857585986455281,4.945112943649292,2.621544361114502,2.7336101134618125,-0.2917561853925387,0.0,0.0,28.5000638961792,0.0,1.0,0.0,0.0,0.0,0.0,0.15625,0.1875,0.15625,0.15625,0.16666666666666666,0.0,0.0,0.0,0.0,1.1435251633326213,0.33198073009649914,0.354869748155276,0.2727562189102173,1.6348303357760112,1.81153404712677,5.546319087346395,0.0,0.0,0.0,0.0,0.0,2.13996422290802,0.23076923076923078,0.07282913165266107,0.19999999999999998,0.10353535353535354,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.10353535353535354,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.929032564163208,0.3273482322692871,0.0,0.0,1.2566249370574951
3,4.593979835510254,4.678984006245931,2.4817660649617515,2.5849624077479043,-0.28334694107373554,0.0,0.0,26.38412570953369,0.0,1.0,0.0,0.0,0.0,0.0,0.22916666666666666,0.2604166666666667,0.22916666666666666,0.2708333333333333,0.23958333333333334,0.0,0.0,0.0,0.0,1.059119572242101,0.29241038858890533,0.35661597549915314,0.27300697565078735,1.5978094339370728,1.7794050971666973,5.028101205825806,0.0,0.0,0.0,0.0,0.0,2.0547627210617065,0.2692307692307692,0.2601010101010101,0.2833333333333333,0.21450617283950615,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.21450617283950615,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.8366179466247559,0.3248107433319092,0.0,0.0,1.1616780757904053
4,4.1396790742874146,4.246561010678609,2.273613174756368,2.321114977200826,-0.3562728762626648,0.0,0.0,25.402182579040527,0.0,1.0,0.0,0.0,0.0,0.0,0.28125,0.3020833333333333,0.28125,0.2604166666666667,0.1875,0.0,0.0,0.0,0.0,1.0892402132352192,0.34834951162338257,0.3575700968503952,0.27146655817826587,1.5664690136909485,1.761027991771698,4.545511563618978,0.0,0.0,0.0,0.0,0.0,2.013344168663025,0.19230769230769232,0.032051282051282055,0.16666666666666666,0.05376344086021506,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.05376344086021506,0.05376344086021506,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.6711204051971436,0.4085094928741455,0.0,0.0,1.0798943042755127
5,4.044455607732137,4.152117133140564,2.234829068183899,2.255633076032003,-0.3588719392816226,0.0,0.0,24.38016986846924,0.0,1.0,0.0,0.0,0.0,0.0,0.3125,0.3229166666666667,0.3125,0.4375,0.3125,0.0,0.0,0.0,0.0,1.1186261971791585,0.3557519813378652,0.35446057220300037,0.27138882378737134,1.534889241059621,1.7737183968226116,4.389001846313477,0.0,0.0,0.0,0.0,0.0,1.8516178131103516,0.23076923076923078,0.20138888888888887,0.25,0.1685823754789272,0.23076923076923078,0.23076923076923078,0.23076923076923078,1.8090394735336304,0.23076923076923078,0.17521367521367517,0.2708333333333333,0.19421101774042948,0.16666666666666669,0.1685823754789272,0.05376344086021506,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.729820966720581,0.3332352638244629,0.32515430450439453,0.381868839263916,1.7703559398651123
6,3.846746563911438,3.7076668739318848,1.8906472722689311,2.137670079867045,-0.2566942572593689,0.21608801931142807,0.0,22.73628584543864,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.4583333333333333,0.3333333333333333,0.4270833333333333,0.3541666666666667,0.0,0.0,0.0,0.21608801931142807,1.0220510462919872,0.3019430786371231,0.3564883271853129,0.27022967239220935,1.5718910098075867,1.7391889095306396,4.1302279233932495,0.003564883217525979,0.0005629785203685363,0.003274773092319568,0.002173986091899375,0.20651139815648398,1.6356984376907349,0.2692307692307692,0.24166666666666667,0.2916666666666667,0.2148148148148148,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.2148148148148148,0.05376344086021506,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7051191329956055,0.32500267028808594,0.0,0.0,1.030423641204834
7,3.9045868714650473,3.5770627657572427,1.9404967625935872,1.9253717064857483,-0.28521595398585003,0.4130888382593791,0.0,22.8808380762736,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.46875,0.4479166666666667,0.46875,0.4375,0.34375,0.0,0.0,0.0,0.4130888382593791,0.9992615580558777,0.25702034185330075,0.35221270223458606,0.2704356610774994,1.4998303651809692,1.7200294534365337,3.9436839818954468,0.007044253948455055,0.0011268153320997953,0.006249293452128768,0.004300073565294345,0.3943684051434199,1.4498395919799805,0.4230769230769231,0.30952380952380953,0.5,0.36549707602339176,0.4230769230769231,0.4230769230769231,0.4230769230769231,,,,,,,0.36549707602339176,0.05376344086021506,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.958287239074707,0.31926679611206055,0.0,0.0,1.277777910232544
8,3.82535982131958,3.3146058320999146,1.876915693283081,1.6914002100626628,-0.2401688645283381,0.5828046103318533,0.0,21.670992215474445,0.0,1.0,0.0,0.0,0.0,0.25,0.5208333333333334,0.4583333333333333,0.5208333333333334,0.40625,0.4479166666666667,0.0,0.0,0.0,0.5828046103318533,1.0174718697865803,0.2780859371026357,0.3483312924702962,0.26938282946745556,1.4711871941884358,1.722543994585673,3.7001102368036904,0.010449938476085663,0.00168364269969364,0.009194920072332025,0.00645953983378907,0.5550165623426437,1.5199543237686157,0.46153846153846156,0.54004329004329,0.5625,0.4263888888888889,0.46153846153846156,0.46153846153846156,0.46153846153846156,,,,,,,0.4263888888888889,0.1685823754789272,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.5969448089599609,0.3280642032623291,0.0,0.0,0.9252495765686035
9,3.7138068675994873,3.038864254951477,1.6465317606925964,1.638038158416748,-0.28559162219365436,0.7606200873851776,0.8383685747782389,20.152180671691895,2.330321709314982,1.0,0.0,3.0,0.05,0.3333333333333333,0.5520833333333334,0.5104166666666666,0.5520833333333334,0.59375,0.46875,0.8383685747782389,0.7073676784833273,0.9693694909413656,0.7606200873851776,1.0443126559257507,0.3580409387747447,0.3459762285153071,0.2680127223332723,1.5122413237889607,1.6887979904810588,3.610496203104655,0.013839048954347769,0.002233439435561498,0.012602011828372875,0.008443989790976048,0.7220992545286814,1.7098944187164307,0.46153846153846156,0.38095238095238093,0.5833333333333334,0.4074074074074074,0.46153846153846156,0.46153846153846156,0.46153846153846156,,,,,,,0.4074074074074074,0.2148148148148148,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.085799694061279,29.146484375,0.7943277359008789,0.3247246742248535,0.0,0.0,1.1192803382873535
10,4.0200062195460005,3.191325028737386,1.795033613840739,1.6426957448323567,-0.26441923156380653,0.9080069859822592,0.9843875964482626,22.166181564331055,2.5317896207173667,1.0,0.0,3.0,0.1,0.4166666666666667,0.5520833333333334,0.5208333333333334,0.5520833333333334,0.5416666666666666,0.6041666666666666,0.9843875964482626,0.7561425765355428,1.2126326163609822,0.9080069859822592,1.0340456267197926,0.2811911428968112,0.3435097535451253,0.26709089676539105,1.4916105270385742,1.6696928938229878,3.437782605489095,0.017175487863520782,0.002782196931851407,0.015537609967092672,0.010435581052054962,0.8594456513722738,1.4804311990737915,0.5,0.49632034632034633,0.6166666666666667,0.48174603174603164,0.5,0.5,0.5,1.5033718347549438,0.5,0.47955747955747957,0.5520833333333334,0.5815059111526731,-0.01041666666666674,0.48174603174603164,0.36549707602339176,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.085799694061279,29.146484375,0.821488618850708,0.33260297775268555,0.32816267013549805,0.40329909324645996,1.8858177661895752
