epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.155675649642944,5.235932429631551,3.1389394203821817,3.2261430819829306,-0.2675226281086604,0.0,0.0,13.8266650835673,0.0,1.0,0.0,0.0,0.0,0.0,0.09420289855072464,0.1105072463768116,0.09420289855072464,0.09239130434782608,0.11231884057971014,0.0,0.0,0.0,0.0,0.49939824640750885,1.1962951024373372,0.3532255341609319,0.266361062725385,2.1592379808425903,2.187782645225525,6.505732933680217,0.0,0.0,0.0,0.0,0.0,2.9439321756362915,0.030303030303030304,0.031746031746031744,0.018518518518518517,0.023391812865497078,0.030303030303030304,0.030303030303030304,0.030303030303030304,2.968329429626465,0.030303030303030304,0.036706349206349215,0.04339250493096647,0.039700777778452774,0.04899879941685961,0.023391812865497078,-inf,4,False,45,False,6e-05,3e-05,0.5,21.775890350341797,29.146484375,3.8770713806152344,0.5759603977203369,0.5888814926147461,0.8284218311309814,5.870685815811157
2,4.564071178436279,4.629862626393636,2.750647862752279,2.891099731127421,-0.2193053588271141,0.0,0.0,11.647049109141031,0.0,1.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.16666666666666666,0.13043478260869565,0.125,0.2028985507246377,0.0,0.0,0.0,0.0,0.47209147612253827,1.0850701034069061,0.35413307944933575,0.2676711579163869,2.151572863260905,2.2016727129618325,5.696938435236613,0.0,0.0,0.0,0.0,0.0,2.5718435049057007,0.12121212121212122,0.0697940947940948,0.07914462081128747,0.06704312002797447,0.12121212121212122,0.12121212121212122,0.12121212121212122,,,,,,,0.06704312002797447,-inf,4,False,45,False,6e-05,3e-05,0.5,21.777645111083984,29.146484375,3.3840103149414062,0.5723755359649658,0.0,0.0,3.9566292762756348
3,4.160753051439921,4.192290226618449,2.441109776496887,2.694123903910319,-0.10512381605803967,0.0,0.0,10.144070943196615,0.0,1.0,0.0,0.0,0.0,0.0,0.2028985507246377,0.26811594202898553,0.2028985507246377,0.15760869565217392,0.26268115942028986,0.0,0.0,0.0,0.0,0.5161627332369486,1.0457003613313038,0.35634781420230865,0.2678246299425761,2.143617312113444,2.1909478108088174,5.195282379786174,0.0,0.0,0.0,0.0,0.0,2.2662923336029053,0.2878787878787879,0.22141706924315618,0.20002374169040837,0.1810146280734516,0.2878787878787879,0.2878787878787879,0.2878787878787879,,,,,,,0.1810146280734516,-inf,4,False,45,False,6e-05,3e-05,0.5,21.777454376220703,29.146484375,3.0836093425750732,0.5843601226806641,0.0,0.0,3.668203353881836
4,3.943490187327067,3.946888248125712,2.261519432067871,2.592875281969706,-0.011326972084740797,0.0,0.0,9.621500968933105,0.0,1.0,0.0,0.0,0.0,0.0,0.19927536231884058,0.3278985507246377,0.19927536231884058,0.22826086956521738,0.32608695652173914,0.0,0.0,0.0,0.0,0.520092378060023,1.01247438788414,0.3566740999619166,0.2670140365759532,2.1269628604253135,2.1694434881210327,4.867705424626668,0.0,0.0,0.0,0.0,0.0,2.1258682012557983,0.3939393939393939,0.32960852284719766,0.3160222493555827,0.2961111068753055,0.3939393939393939,0.3939393939393939,0.3939393939393939,,,,,,,0.2961111068753055,0.023391812865497078,4,False,45,False,6e-05,3e-05,0.5,21.77657699584961,29.146484375,3.168273448944092,0.5735790729522705,0.0,0.0,3.7420654296875
5,3.6114168961842856,3.617586135864258,2.0346906185150146,2.435224016507467,-0.02056421898305416,0.0,0.0,9.142136096954346,0.0,1.0,0.0,0.0,0.0,0.0,0.24456521739130435,0.4166666666666667,0.24456521739130435,0.25905797101449274,0.37681159420289856,0.0,0.0,0.0,0.0,0.5057744532823563,0.9563964704672495,0.3556293845176697,0.2662666340668996,2.0837879180908203,2.158580223719279,4.635436216990153,0.0,0.0,0.0,0.0,0.0,2.013082265853882,0.49242424242424243,0.368563773940118,0.3910663410663411,0.36115453707127565,0.49242424242424243,0.49242424242424243,0.49242424242424243,2.032046675682068,0.4772727272727273,0.4013719625909897,0.5009861932938856,0.4225268885200097,-0.24192822227939287,0.36115453707127565,0.06704312002797447,4,False,45,False,6e-05,3e-05,0.5,21.77785873413086,29.146484375,3.084237575531006,0.5623607635498047,0.584632158279419,0.8182692527770996,5.049779653549194
6,3.484655261039734,3.4892084995905557,1.9463799397150676,2.3735824823379517,-0.015177345427218825,0.0,0.0,9.178515275319418,0.0,1.0,0.0,0.0,0.0,0.0,0.2826086956521739,0.48007246376811596,0.2826086956521739,0.25905797101449274,0.427536231884058,0.0,0.0,0.0,0.0,0.5307387908299764,0.9985510011514028,0.35537386933962506,0.2659549464782079,2.0839086373647056,2.1243961652119956,4.404507080713908,0.0,0.0,0.0,0.0,0.0,1.8909410238265991,0.5681818181818182,0.5095694216383871,0.48459503459503467,0.45814591586531667,0.5681818181818182,0.5681818181818182,0.5681818181818182,,,,,,,0.45814591586531667,0.1810146280734516,4,False,45,False,6e-05,3e-05,0.5,21.777454376220703,29.146484375,3.1350579261779785,0.5723867416381836,0.0,0.0,3.7076804637908936
7,3.2792965173721313,3.2733210722605386,1.8205978473027546,2.2349589268366494,0.019918085696796577,0.0,0.0,8.885949929555258,0.0,1.0,0.0,0.0,0.0,0.0,0.3242753623188406,0.5144927536231884,0.3242753623188406,0.3007246376811594,0.5090579710144928,0.0,0.0,0.0,0.0,0.5302551686763763,0.9191977381706238,0.35613009333610535,0.2656039198239644,2.0551812251408896,2.1074779431025186,4.149680534998576,0.0,0.0,0.0,0.0,0.0,1.7769489884376526,0.6136363636363636,0.6515239904128793,0.5894824311490978,0.560756964875958,0.6136363636363636,0.6136363636363636,0.6136363636363636,,,,,,,0.560756964875958,0.2961111068753055,4,False,45,False,6e-05,3e-05,0.5,21.777645111083984,29.146484375,3.0924715995788574,0.5772502422332764,0.0,0.0,3.6699626445770264
8,3.437808116277059,3.2546549638112388,1.8338017066319783,2.185928225517273,0.04144533102711042,0.17071953415870667,0.7603330413500468,8.861884117126465,1.4510171016057332,1.0,0.0,3.0,0.041666666666666664,0.07142857142857142,0.3496376811594203,0.5217391304347826,0.3496376811594203,0.33695652173913043,0.5398550724637681,0.7603330413500468,0.7512072324752808,0.7694588502248129,0.17071953415870667,0.5522028803825378,0.9629109104474386,0.35280442734559375,0.26452110707759857,2.0499053398768106,2.087465484937032,4.051544427871704,0.008064101139704386,0.0009447182431661835,0.0058568723034113646,0.008946280305584272,0.1446980213125547,1.6955317258834839,0.696969696969697,0.7247898723871264,0.693996743996744,0.6531333076524328,0.696969696969697,0.696969696969697,0.696969696969697,,,,,,,0.6531333076524328,0.36115453707127565,4,False,45,False,6e-05,3e-05,0.5,21.778393268585205,29.146484375,3.311436653137207,0.5739009380340576,0.0,0.0,3.8855526447296143
9,3.424471378326416,3.0842185815175376,1.7182997862497966,2.101413607597351,0.02931432829548915,0.331458513935407,0.7324103911717733,9.209187825520834,1.4274239540100098,1.0,0.0,3.0,0.08333333333333333,0.14285714285714285,0.39855072463768115,0.5706521739130435,0.39855072463768115,0.391304347826087,0.5271739130434783,0.7324103911717733,0.7784380118052164,0.6863827506701151,0.331458513935407,0.555939515431722,0.9521820644537607,0.3464167018731435,0.2619776477416356,2.0446406404177346,2.0608338912328086,3.9200615882873535,0.015836191674073536,0.0018712689052335918,0.011683660714576641,0.01766429003328085,0.2800044119358063,1.6224331259727478,0.6590909090909091,0.7112547039017627,0.6636921720255053,0.6274348425134383,0.6590909090909091,0.6590909090909091,0.6590909090909091,,,,,,,0.6274348425134383,0.45814591586531667,4,False,45,False,6e-05,3e-05,0.5,21.778088092803955,29.146484375,3.059218406677246,0.5744106769561768,0.0,0.0,3.6338601112365723
10,3.375042676925659,2.9024143616358438,1.60749085744222,1.9921899835268657,0.020419866777956486,0.4665023783842723,0.728400468826294,8.521892388661703,1.398316224416097,1.0,0.0,3.0,0.125,0.21428571428571427,0.4583333333333333,0.6231884057971014,0.4583333333333333,0.44021739130434784,0.6014492753623188,0.728400468826294,0.7370335459709167,0.7197673916816711,0.4665023783842723,0.6082751353581747,0.9614074925581614,0.3385816464821498,0.2587091674407323,1.999584396680196,2.030358870824178,3.6437538464864097,0.023217026454706986,0.002771884008931617,0.017139294184744358,0.02610461413860321,0.3904021978378296,1.550786316394806,0.696969696969697,0.7778143153143153,0.7174908424908426,0.678337030091416,0.696969696969697,0.696969696969697,0.696969696969697,1.5407585501670837,0.7121212121212122,0.6797386771843293,0.6903353057199211,0.6647733821079131,-0.25011791441557324,0.678337030091416,0.560756964875958,4,False,45,False,6e-05,3e-05,0.5,21.778583526611328,29.146484375,3.1961238384246826,0.5687265396118164,0.5916104316711426,0.846665620803833,5.203402757644653
