epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.6239740583631725,5.68860658009847,3.420516782336765,3.2401283317142062,-0.21544139087200165,0.0,0.0,32.76298840840658,0.0,1.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.0763888888888889,0.08333333333333333,0.0,0.0,0.0,0.0,0.9242442515161302,1.8441061708662245,0.3548196156819661,0.27103402217229206,1.9652593930562336,2.191232124964396,7.07696353064643,0.0,0.0,0.0,0.0,0.0,2.75134269396464,0.21621621621621623,0.0748792270531401,0.2222222222222222,0.10699588477366256,0.21621621621621623,0.21621621621621623,0.21621621621621623,2.807013988494873,0.10810810810810811,0.05925925925925926,0.12878787878787878,0.07429854096520763,-0.05239898989898989,0.10699588477366256,-inf,5,False,45,False,5e-05,2e-05,0.4,4.087515830993652,5.126953125,1.4166371822357178,0.4321582317352295,0.4353029727935791,0.48091697692871094,2.765324831008911
2,5.175579071044922,5.1933225525750055,3.1411938667297363,2.9316125180986194,-0.059144827640718885,0.0,0.0,29.43327734205458,0.0,1.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.08333333333333333,0.10416666666666667,0.0763888888888889,0.11805555555555555,0.0,0.0,0.0,0.0,0.8973653581407335,1.845134973526001,0.3553949263360765,0.27059243122736615,1.9306754536098905,2.1867823865678577,6.303835868835449,0.0,0.0,0.0,0.0,0.0,2.444468100865682,0.1891891891891892,0.23655913978494622,0.2037037037037037,0.155026455026455,0.1891891891891892,0.1891891891891892,0.18918918918918917,,,,,,,0.155026455026455,-inf,5,False,45,False,5e-05,2e-05,0.4,4.086325645446777,5.126953125,1.2267420291900635,0.4139680862426758,0.0,0.0,1.6409497261047363
3,4.886414262983534,4.861517058478461,2.9120333194732666,2.784976853264703,0.08299067409502135,0.0,0.0,27.263820224338108,0.0,1.0,0.0,0.0,0.0,0.0,0.24305555555555555,0.1736111111111111,0.24305555555555555,0.2361111111111111,0.1736111111111111,0.0,0.0,0.0,0.0,0.8266191879908243,1.7752940787209406,0.35464432504442,0.2707483106189304,1.8682271771960788,2.175539837943183,5.706104225582546,0.0,0.0,0.0,0.0,0.0,2.121105194091797,0.32432432432432434,0.4177248677248677,0.5185185185185186,0.36640211640211645,0.32432432432432434,0.32432432432432434,0.32432432432432434,,,,,,,0.36640211640211645,-inf,5,False,45,False,5e-05,2e-05,0.4,4.088278770446777,5.126953125,1.0744948387145996,0.4350779056549072,0.0,0.0,1.5098521709442139
4,4.569823741912842,4.518245750003391,2.7017531394958496,2.5949894852108426,0.17192656464046902,0.0,0.0,25.80445014105903,0.0,1.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.2222222222222222,0.19444444444444445,0.1875,0.1875,0.0,0.0,0.0,0.0,0.9534341361787584,1.7053422530492146,0.35484626558091903,0.26894936958948773,1.8811518218782213,2.1463412973615856,5.358188894059923,0.0,0.0,0.0,0.0,0.0,1.9057317574818928,0.3783783783783784,0.5635734635734635,0.5462962962962963,0.4590828924162257,0.3783783783783784,0.3783783783783784,0.37837837837837834,,,,,,,0.4590828924162257,-inf,5,False,45,False,5e-05,2e-05,0.4,4.088217735290527,5.126953125,1.0989603996276855,0.4688601493835449,0.0,0.0,1.5680515766143799
5,4.357133997811212,4.328757127126058,2.617812712987264,2.444206370247735,0.09458937371770541,0.0,0.0,25.1013060675727,0.0,1.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.2847222222222222,0.2708333333333333,0.2708333333333333,0.24305555555555555,0.0,0.0,0.0,0.0,0.9218425883187188,1.7508816586600409,0.3543635110060374,0.26725494530465865,1.9270195828543768,2.137366851170858,5.1683765517340765,0.0,0.0,0.0,0.0,0.0,1.9310088555018108,0.4864864864864865,0.5509259259259259,0.6759259259259259,0.5358024691358024,0.4864864864864865,0.4864864864864865,0.4864864864864865,1.9040722052256267,0.5405405405405406,0.5794692961359629,0.5,0.5655451062347614,-0.22916666666666669,0.5358024691358024,0.10699588477366256,5,False,45,False,5e-05,2e-05,0.4,4.089285850524902,5.126953125,1.1333112716674805,0.4254579544067383,0.43793725967407227,0.4847240447998047,2.4817004203796387
6,4.094344112608168,4.053975661595662,2.392703559663561,2.3732458617952137,0.13456151137749353,0.0,0.0,24.81867027282715,0.0,1.0,0.0,0.0,0.0,0.0,0.3194444444444444,0.2777777777777778,0.3194444444444444,0.3402777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.8472402559386359,1.7559075752894084,0.3548499610688951,0.26823535561561584,1.801987608273824,2.09490696589152,4.973475827111138,0.0,0.0,0.0,0.0,0.0,1.846893350283305,0.4864864864864865,0.5661375661375662,0.662037037037037,0.5369729036395703,0.4864864864864865,0.4864864864864865,0.4864864864864865,,,,,,,0.5369729036395703,0.155026455026455,5,False,45,False,5e-05,2e-05,0.4,4.087821006774902,5.126953125,1.1386423110961914,0.4293198585510254,0.0,0.0,1.5681898593902588
7,3.9337375164031982,3.9099715285831027,2.383033447795444,2.1813400851355658,0.0792200184530682,0.0,0.0,24.050119823879665,0.0,1.0,0.0,0.0,0.0,0.0,0.3819444444444444,0.2847222222222222,0.3819444444444444,0.3402777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.8689110279083252,1.6288513474994235,0.353693425655365,0.2672549651728736,1.795224905014038,2.094770325554742,5.011482132805718,0.0,0.0,0.0,0.0,0.0,1.5372754335403442,0.6756756756756757,0.7296296296296297,0.763888888888889,0.6998556998556997,0.6756756756756757,0.6756756756756757,0.6756756756756757,,,,,,,0.6998556998556997,0.36640211640211645,5,False,45,False,5e-05,2e-05,0.4,4.088278770446777,5.126953125,1.1460635662078857,0.42595791816711426,0.0,0.0,1.572253704071045
8,3.7502344449361167,3.7041881614261203,2.23203354411655,2.1030779812071057,0.15348750890956986,0.0,0.0,22.93795331319173,0.0,1.0,0.0,0.0,0.0,0.0,0.3680555555555556,0.3333333333333333,0.3680555555555556,0.3333333333333333,0.2916666666666667,0.0,0.0,0.0,0.0,0.918737510840098,1.8365387784110174,0.3536910348468357,0.26682162947124904,1.7738847202724881,2.0642990271250405,4.427055199940999,0.0,0.0,0.0,0.0,0.0,1.6732797622680664,0.5945945945945946,0.7377104377104378,0.7268518518518517,0.6546737213403879,0.5945945945945946,0.5945945945945946,0.5945945945945946,,,,,,,0.6546737213403879,0.4590828924162257,5,False,45,False,5e-05,2e-05,0.4,4.08814811706543,5.126953125,1.109278678894043,0.4296715259552002,0.0,0.0,1.5392301082611084
9,3.7480778429243298,3.708353863822089,2.1440146499209933,2.2347703907224865,0.09441085325347053,0.011400765635901026,0.0,22.328887303670246,0.0,1.0,0.0,0.0,0.0,0.05555555555555555,0.3541666666666667,0.4444444444444444,0.3541666666666667,0.3541666666666667,0.3055555555555556,0.0,0.0,0.0,0.011400765635901026,0.8696039782630073,1.642608298195733,0.34034281969070435,0.26367004050148857,1.7161974244647555,2.035643153720432,4.363790803485447,0.0022689522140555913,0.00043945008009258244,0.0019068860629987386,0.006785477356364329,0.0,1.5212537050247192,0.7297297297297297,0.7925925925925926,0.8055555555555557,0.744179894179894,0.7297297297297297,0.7297297297297297,0.7297297297297297,,,,,,,0.744179894179894,0.5358024691358024,5,False,45,False,5e-05,2e-05,0.4,4.085410118103027,5.126953125,1.017470359802246,0.43390989303588867,0.0,0.0,1.4516077041625977
10,3.818415641784668,3.7518095705244274,2.2708661953608194,2.1156334479649863,0.14896175348096424,0.021917541821797688,0.0,22.92559263441298,0.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.4236111111111111,0.3333333333333333,0.4236111111111111,0.2708333333333333,0.2847222222222222,0.0,0.0,0.0,0.021917541821797688,0.9435265196694268,1.7546421156989203,0.3044439885351393,0.25373445120122695,1.672043310271369,1.994528267118666,4.547577116224501,0.004059253234623207,0.0008457815339271394,0.0037156518859167895,0.013296855406628715,0.0,1.5265864531199138,0.6756756756756757,0.7660493827160494,0.7824074074074074,0.7087881254547921,0.6756756756756757,0.6756756756756757,0.6756756756756757,1.470134973526001,0.7027027027027027,0.7156084656084656,0.696969696969697,0.7395125148748337,-0.4261363636363637,0.7087881254547921,0.5369729036395703,5,False,45,False,5e-05,2e-05,0.4,4.085410118103027,5.126953125,1.025885820388794,0.429614782333374,0.4190175533294678,0.4950549602508545,2.369837760925293
11,3.6371919049157038,3.550819847318861,2.124998344315423,2.036887870894538,0.17124162862698236,0.03499952248401112,0.751426488161087,22.500627093844944,2.12282258272171,1.0,0.0,4.0,0.041666666666666664,0.16666666666666666,0.4583333333333333,0.3680555555555556,0.4583333333333333,0.3958333333333333,0.375,0.751426488161087,0.7756563872098923,0.7271965891122818,0.03499952248401112,1.0050749248928494,1.724457687801785,0.2726023925675286,0.2465609477625953,1.7220368650224473,1.9731284644868639,4.131859064102173,0.005452047723035018,0.0012328047175995177,0.005740123024831216,0.019731284222669072,0.0,1.4614890416463215,0.7837837837837838,0.8074074074074074,0.8611111111111112,0.7935465768799104,0.7837837837837838,0.7837837837837838,0.7837837837837838,,,,,,,0.7935465768799104,0.6546737213403879,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,1.2259657382965088,0.43091869354248047,0.0,0.0,1.6571156978607178
12,3.4726492828792996,3.39813592698839,2.0336549282073975,1.9492585791481867,0.09351159052716361,0.04645988138185607,0.8682050108909607,21.753539191351997,2.3047603368759155,1.0,0.0,4.0,0.08333333333333333,0.2222222222222222,0.4722222222222222,0.4583333333333333,0.4722222222222222,0.4444444444444444,0.4583333333333333,0.8682050108909607,0.8481381982564926,0.8882718086242676,0.04645988138185607,0.8622931241989136,1.4743807448281183,0.2517475254005856,0.24174140559302437,1.694637868139479,1.9301407204733954,4.0596046977572975,0.006713267467502091,0.0016116093999395769,0.007531724042362637,0.025735210420356855,0.0,1.3361622889836628,0.7567567567567568,0.7851851851851852,0.837962962962963,0.7615199615199617,0.7567567567567568,0.7567567567567568,0.7567567567567567,,,,,,,0.7615199615199617,0.6546737213403879,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,1.038590431213379,0.42621302604675293,0.0,0.0,1.4650304317474365
13,3.3981435298919678,3.315510776307848,1.9931702084011502,1.889057993888855,0.08242930471897125,0.0579039781457848,0.8548226952552795,20.810779359605576,2.2280972003936768,1.0,0.0,4.0,0.125,0.2777777777777778,0.5138888888888888,0.4652777777777778,0.5138888888888888,0.3958333333333333,0.4166666666666667,0.8548226952552795,0.9036002457141876,0.8060451298952103,0.0579039781457848,0.8769240710470412,1.384381181663937,0.2361894879076216,0.23857486248016357,1.6793913708792791,1.8987802664438884,4.143839597702026,0.007872983451104827,0.0019881239471336207,0.009329952403075166,0.0316463400506311,0.0,1.3303252458572388,0.7837837837837838,0.8333333333333335,0.8518518518518519,0.7915343915343915,0.7837837837837838,0.7837837837837838,0.7837837837837838,,,,,,,0.7915343915343915,0.7087881254547921,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,1.2975561618804932,0.4283895492553711,0.0,0.0,1.7262160778045654
14,3.5016695393456354,3.4204490714603,2.04477768474155,1.965244902504815,0.03827943197555012,0.06973665455977122,0.7907373905181885,21.472858640882706,2.1364511251449585,1.0,0.0,4.0,0.16666666666666666,0.3333333333333333,0.4652777777777778,0.4305555555555556,0.4652777777777778,0.4722222222222222,0.4027777777777778,0.7907373905181885,0.8437271863222122,0.7377475649118423,0.06973665455977122,0.8380874594052633,1.2992811732821994,0.22790062427520752,0.2371798637840483,1.666720363828871,1.911582933531867,3.8268570370144315,0.00911602471023798,0.002371798605761594,0.011111469318469366,0.03823165719707807,0.0,1.3008750677108765,0.918918918918919,0.9470899470899471,0.949074074074074,0.9396011396011397,0.918918918918919,0.918918918918919,0.918918918918919,,,,,,,0.9396011396011397,0.7087881254547921,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,1.2640795707702637,0.42641448974609375,0.0,0.0,1.6907274723052979
15,3.278700828552246,3.1799254947238498,1.9031252993477716,1.824000318845113,0.06485999210013284,0.07931728081570731,0.8558558076620102,21.727508121066624,2.20986008644104,1.0,0.0,4.0,0.20833333333333334,0.3888888888888889,0.5138888888888888,0.4791666666666667,0.5138888888888888,0.5763888888888888,0.4444444444444444,0.8558558076620102,0.8205260932445526,0.8911855220794678,0.07931728081570731,0.6885993215772841,1.2106879552205403,0.21835988263289133,0.23726019925541347,1.6311591333813138,1.876294321484036,3.752489513821072,0.010190127934846614,0.002768035667637984,0.012686793381969133,0.04378020101123386,0.0,1.253360350926717,0.8648648648648649,0.9222222222222223,0.9120370370370369,0.903030303030303,0.8648648648648649,0.8648648648648649,0.8648648648648649,1.2359870274861653,0.8648648648648649,0.876046176046176,0.8560606060606061,0.8558269144476041,-0.27967171717171724,0.903030303030303,0.7615199615199617,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,1.047081708908081,0.43331050872802734,0.4304180145263672,0.486971378326416,2.398035764694214
16,3.2414502832624645,3.1208197010887995,1.898553689320882,1.7460942930645413,0.10253224190738466,0.08987092889017528,0.8095687925815582,21.40334023369683,2.162948966026306,1.0,0.0,4.0,0.25,0.4444444444444444,0.5486111111111112,0.5,0.5486111111111112,0.5694444444444444,0.3958333333333333,0.8095687925815582,0.8245720863342285,0.7945654988288879,0.08987092889017528,0.6586332652303908,1.1580556763543024,0.2102701034810808,0.2376482238372167,1.6294033527374268,1.861874606874254,3.687711583243476,0.011214405712154176,0.0031686430900461143,0.014483585643271605,0.04964999068114492,0.0,1.3220746914545696,0.8108108108108109,0.8462962962962963,0.8796296296296297,0.8166666666666667,0.8108108108108109,0.8108108108108109,0.8108108108108109,,,,,,,0.8166666666666667,0.7615199615199617,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,0.9672112464904785,0.4301941394805908,0.0,0.0,1.397662878036499
17,3.226452694998847,3.0809450414445667,1.846724311510722,1.7631725867589314,0.15848947275016043,0.09796082062853707,0.9818272590637207,20.87425422668457,2.3344706296920776,1.0,0.0,4.0,0.2916666666666667,0.5,0.5625,0.5347222222222222,0.5625,0.5069444444444444,0.4652777777777778,0.9818272590637207,1.030688762664795,0.9329657554626465,0.09796082062853707,0.6258402367432913,1.0774115920066833,0.20530698862340716,0.2398427857293023,1.5693878067864313,1.7977113591300116,3.7109944025675454,0.012318419085608589,0.003597641700050897,0.015693877409729693,0.053931339333454766,0.0,1.1986123323440552,0.8918918918918919,0.8851851851851852,0.9351851851851851,0.890299823633157,0.8918918918918919,0.8918918918918919,0.8918918918918919,,,,,,,0.890299823633157,0.7915343915343915,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,1.2450788021087646,0.4364197254180908,0.0,0.0,1.681764841079712
18,3.0785004827711315,2.951484070883857,1.7534256511264377,1.7115121020211115,0.06027553313308292,0.10893372943003972,0.9472410976886749,20.37798923916287,2.393414855003357,1.0,0.0,4.0,0.3333333333333333,0.5555555555555556,0.5486111111111112,0.5833333333333334,0.5486111111111112,0.5347222222222222,0.4722222222222222,0.9472410976886749,0.9450051486492157,0.9494770616292953,0.10893372943003972,0.6410098837481605,1.0185298124949138,0.1997075445122189,0.24115577671262953,1.5215743515226576,1.8259423706266615,3.630940225389269,0.013313836935493682,0.004019263148721721,0.016906381998625066,0.060864748226271734,0.0,1.1520627339680989,0.8918918918918919,0.9092592592592593,0.9212962962962964,0.911063011063011,0.8918918918918919,0.8918918918918919,0.8918918918918919,,,,,,,0.911063011063011,0.8166666666666667,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,1.2720320224761963,0.43348073959350586,0.0,0.0,1.7057406902313232
19,3.176433351304796,3.008074018690321,1.8281372918023004,1.685623910692003,0.1640320151216454,0.11914971222480138,0.922092005610466,20.683871587117512,2.203003704547882,1.0,0.0,4.0,0.375,0.6111111111111112,0.6180555555555556,0.5486111111111112,0.6180555555555556,0.5277777777777778,0.5694444444444444,0.922092005610466,0.928410142660141,0.915773868560791,0.11914971222480138,0.5453953809208341,0.9621344672309028,0.19402062396208444,0.24230525063143837,1.5656837754779391,1.8330013354619343,3.445183356602987,0.014228178498645624,0.004442262721972333,0.019136134948995378,0.06721004512574938,0.0,1.1338143348693848,0.918918918918919,0.9074074074074076,0.9351851851851853,0.9046657046657045,0.918918918918919,0.918918918918919,0.918918918918919,,,,,,,0.9046657046657045,0.8166666666666667,5,False,45,False,5e-05,2e-05,0.4,4.086349010467529,5.126953125,1.1262240409851074,0.43322205543518066,0.0,0.0,1.5596857070922852
