2026-08-30 23:49:31 | Starting Dual_D standalone training
2026-08-30 23:49:31 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_classification_feedback_雨天_20260830_232057
2026-08-30 23:49:31 | Device: cuda
2026-08-30 23:49:31 | Source train samples: 992
2026-08-30 23:49:31 | Target train samples: 96
2026-08-30 23:49:31 | Target val samples: 26
2026-08-30 23:49:31 | Classes: 14
2026-08-30 23:49:31 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=117/0
2026-08-30 23:49:31 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 23:49:31 | target_train classes: present 6/14 | absent 8 | counts [0:7, 2:19, 9:32, 10:12, 11:6, 13:20]
2026-08-30 23:49:31 | target_val classes: present 6/14 | absent 8 | counts [0:2, 2:5, 9:8, 10:4, 11:2, 13:5]
2026-08-30 23:49:31 | Paired training classes: 6/14 | class ids [0, 2, 9, 10, 11, 13]
2026-08-30 23:49:31 | Runtime profile: batch=16 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
2026-08-30 23:49:31 | Augmentation profile: base=0.650 | visible=0.700 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
2026-08-30 23:49:31 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 23:49:32 | Effective Dual-D loss weights: {"adv_auxiliary": 0.02, "adv_primary": 0.02, "classification": 0.0, "contrastive": 0.025, "cycle": 0.12, "identity": 0.025, "prototype_contrastive": 0.015}
2026-08-30 23:49:32 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 23:49:34 | Epoch 001/060 | loss 5.8850 | cls 5.9096 | tal -0.0819 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0729 | train_full 0.1875 | val_acc 0.1923 | val_f1 0.1204 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 34.139/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
2026-08-30 23:49:35 | Epoch 002/060 | loss 4.8576 | cls 4.9451 | tal -0.2918 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1562 | train_full n/a | val_acc 0.2308 | val_f1 0.1035 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 28.500/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-30 23:49:36 | Epoch 003/060 | loss 4.5940 | cls 4.6790 | tal -0.2833 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2292 | train_full n/a | val_acc 0.2692 | val_f1 0.2145 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 26.384/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 23:49:37 | Epoch 004/060 | loss 4.1397 | cls 4.2466 | tal -0.3563 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2812 | train_full n/a | val_acc 0.1923 | val_f1 0.0538 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.402/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 23:49:39 | Epoch 005/060 | loss 4.0445 | cls 4.1521 | tal -0.3589 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3125 | train_full 0.2708 | val_acc 0.2308 | val_f1 0.1686 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.380/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.4/0.4s | 1.9s
2026-08-30 23:49:40 | Epoch 006/060 | loss 3.6483 | cls 3.7195 | tal -0.2687 | dual_g 0.0095 | dual_d 0.0000 | train_acc 0.3333 | train_full n/a | val_acc 0.2692 | val_f1 0.2148 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 22.640/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 23:49:42 | Epoch 007/060 | loss 3.5123 | cls 3.5806 | tal -0.2877 | dual_g 0.0180 | dual_d 0.0000 | train_acc 0.4583 | train_full n/a | val_acc 0.4231 | val_f1 0.3756 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 22.531/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 23:49:43 | Epoch 008/060 | loss 3.2548 | cls 3.2965 | tal -0.2254 | dual_g 0.0259 | dual_d 0.0000 | train_acc 0.5104 | train_full n/a | val_acc 0.4231 | val_f1 0.3803 | adv/moduleC 0.00/0.25 | disc_steps 0 | grad(main/disc) 21.126/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.6/0.4/0.0/0.0s | 1.0s
2026-08-30 23:49:44 | Epoch 009/060 | loss 2.9841 | cls 3.0378 | tal -0.2960 | dual_g 0.0351 | dual_d 0.8543 | train_acc 0.5417 | train_full n/a | val_acc 0.4615 | val_f1 0.4152 | adv/moduleC 0.05/0.33 | disc_steps 3 | grad(main/disc) 19.268/2.338 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.3s
2026-08-30 23:49:46 | Epoch 010/060 | loss 3.1921 | cls 3.2314 | tal -0.2757 | dual_g 0.0434 | dual_d 1.0077 | train_acc 0.5104 | train_full 0.5417 | val_acc 0.5000 | val_f1 0.4728 | adv/moduleC 0.10/0.42 | disc_steps 3 | grad(main/disc) 21.186/2.509 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.4/0.4s | 2.0s
2026-08-30 23:49:47 | Epoch 011/060 | loss 2.8754 | cls 2.8916 | tal -0.2287 | dual_g 0.0524 | dual_d 0.9068 | train_acc 0.6042 | train_full n/a | val_acc 0.4615 | val_f1 0.4451 | adv/moduleC 0.15/0.50 | disc_steps 3 | grad(main/disc) 18.624/2.288 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
