epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.359975258509318,5.3660017649332685,3.218590180079142,3.3037103017171225,-0.020088160410523415,0.0,0.0,14.680643558502197,0.0,1.0,0.0,0.0,0.0,0.0,0.09239130434782608,0.09601449275362318,0.09239130434782608,0.1105072463768116,0.11956521739130435,0.0,0.0,0.0,0.0,1.8283708095550537,0.9285072088241577,0.3462163160244624,0.2605290114879608,2.1822460492451987,2.2088642517725625,6.553496917088826,0.0,0.0,0.0,0.0,0.0,2.642500638961792,0.15151515151515152,0.06610597500428009,0.16132478632478633,0.08784343724102761,0.15151515151515152,0.15151515151515152,0.15151515151515152,2.6808547973632812,0.11363636363636363,0.07262479871175524,0.09664694280078895,0.049841872232764074,0.01386030357602265,0.08784343724102761,-inf,4,False,45,False,6e-05,3e-05,0.5,21.774890899658203,29.14453125,3.799546241760254,0.6295340061187744,0.634164571762085,0.8587503433227539,5.922298431396484
2,4.542694171269734,4.531762361526489,2.649038036664327,2.8964990377426147,0.03643956407904625,0.0,0.0,12.161707242329916,0.0,1.0,0.0,0.0,0.0,0.0,0.11956521739130435,0.2210144927536232,0.11956521739130435,0.1539855072463768,0.19927536231884058,0.0,0.0,0.0,0.0,1.9100765983263652,0.88707235455513,0.3457532624403636,0.25996658205986023,2.1520944039026895,2.2085580825805664,5.656101147333781,0.0,0.0,0.0,0.0,0.0,2.4800095558166504,0.17424242424242425,0.11203471642068132,0.1633089133089133,0.10863117545887273,0.17424242424242425,0.17424242424242425,0.17424242424242425,,,,,,,0.10863117545887273,-inf,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.027029037475586,0.6339569091796875,0.0,0.0,3.661221504211426
3,4.131597479184468,4.13920783996582,2.36500612894694,2.7295411030451455,-0.025367803095529478,0.0,0.0,10.607769330342611,0.0,1.0,0.0,0.0,0.0,0.0,0.18840579710144928,0.29891304347826086,0.18840579710144928,0.19021739130434784,0.286231884057971,0.0,0.0,0.0,0.0,1.8281164566675823,0.9465628961722056,0.34499142070611316,0.2598588317632675,2.155453165372213,2.198205351829529,5.191579659779866,0.0,0.0,0.0,0.0,0.0,2.2522491216659546,0.21212121212121213,0.19694163860830527,0.19501085334418666,0.1400087819298542,0.21212121212121213,0.21212121212121213,0.21212121212121215,,,,,,,0.1400087819298542,-inf,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.027515411376953,0.6282956600189209,0.0,0.0,3.656028985977173
4,3.921163479487101,3.9290890296300254,2.221603751182556,2.626900553703308,-0.02641848831747969,0.0,0.0,9.974178949991861,0.0,1.0,0.0,0.0,0.0,0.0,0.21195652173913043,0.338768115942029,0.21195652173913043,0.23007246376811594,0.3278985507246377,0.0,0.0,0.0,0.0,1.7503745555877686,1.017112096150716,0.3474799394607544,0.25967320303122204,2.1308340231577554,2.1869231859842935,4.910443385442098,0.0,0.0,0.0,0.0,0.0,2.0445395708084106,0.3787878787878788,0.4616096866096866,0.3487179487179487,0.34021293009715464,0.3787878787878788,0.3787878787878788,0.3787878787878788,,,,,,,0.34021293009715464,0.08784343724102761,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.228788137435913,0.6296408176422119,0.0,0.0,3.858670473098755
5,3.6067742904027305,3.631186326344808,2.0620373686154685,2.414075414339701,-0.0813735422367851,0.0,0.0,9.233230113983154,0.0,1.0,0.0,0.0,0.0,0.0,0.2807971014492754,0.4003623188405797,0.2807971014492754,0.23007246376811594,0.36231884057971014,0.0,0.0,0.0,0.0,1.77402530113856,1.1098811825116475,0.3464248428742091,0.25948616365591687,2.141580581665039,2.183221697807312,4.571823040644328,0.0,0.0,0.0,0.0,0.0,2.0343732833862305,0.4015151515151515,0.3116318626273571,0.3686982770316104,0.31869283982926205,0.4015151515151515,0.4015151515151515,0.4015151515151515,2.040217399597168,0.3560606060606061,0.2728875268202653,0.4437869822485207,0.3721174037671848,-0.21371451848040476,0.31869283982926205,0.10863117545887273,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.2117245197296143,0.628699541091919,0.6342887878417969,0.8785915374755859,5.353584289550781
6,3.4655481576919556,3.479476968447367,1.9826031128565471,2.3028828303019204,-0.046429260013004146,0.0,0.0,8.909261067708334,0.0,1.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.4311594202898551,0.30434782608695654,0.26268115942028986,0.4311594202898551,0.0,0.0,0.0,0.0,1.7169516483942668,1.0485134621461232,0.34753455718358356,0.25898922979831696,2.1424471537272134,2.1710466543833413,4.414196491241455,0.0,0.0,0.0,0.0,0.0,1.986813724040985,0.4090909090909091,0.5148283558526966,0.42341609008275677,0.38922841400745256,0.4090909090909091,0.4090909090909091,0.4090909090909091,,,,,,,0.38922841400745256,0.1400087819298542,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,2.990299701690674,0.6295597553253174,0.0,0.0,3.6200950145721436
7,3.3604480425516763,3.383106748263041,1.9077231287956238,2.269820968310038,-0.0755290575325489,0.0,0.0,8.95411459604899,0.0,1.0,0.0,0.0,0.0,0.0,0.3115942028985507,0.4692028985507246,0.3115942028985507,0.302536231884058,0.45471014492753625,0.0,0.0,0.0,0.0,1.7215697169303894,1.0225524008274078,0.34712644418080646,0.2598293175299962,2.113696575164795,2.152953624725342,4.268828948338826,0.0,0.0,0.0,0.0,0.0,1.8842152953147888,0.4772727272727273,0.541537872458925,0.48689797856464534,0.45945084489870236,0.4772727272727273,0.4772727272727273,0.4772727272727273,,,,,,,0.45945084489870236,0.31869283982926205,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.096677541732788,0.6107132434844971,0.0,0.0,3.707613468170166
8,3.2301224072774253,3.2404423554738364,1.8317371209462483,2.1672388712565103,-0.12695445865392685,0.027766401569048565,1.0033939480781555,8.676100413004557,1.9819880723953247,1.0,0.0,3.0,0.041666666666666664,0.07142857142857142,0.36231884057971014,0.5380434782608695,0.36231884057971014,0.35688405797101447,0.46557971014492755,1.0033939480781555,1.1520969867706299,0.8546909093856812,0.027766401569048565,1.6893642942110698,1.0424735844135284,0.3396405726671219,0.25891319413979846,2.0972232818603516,2.1239172220230103,3.999920964241028,0.007763213012367487,0.0009246899765760949,0.005992066503191988,0.009102502061674992,0.0,1.767405927181244,0.5303030303030303,0.6724812711654817,0.6130375797042463,0.5852478701315911,0.5303030303030303,0.5303030303030303,0.5303030303030303,,,,,,,0.5852478701315911,0.31869283982926205,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.325033664703369,0.6373753547668457,0.0,0.0,3.962639331817627
9,3.0984843969345093,3.080024083455404,1.7659634749094646,2.0216317971547446,-0.1191541316608588,0.054206601033608116,0.962714155515035,8.702120065689087,1.895291765530904,1.0,0.0,3.0,0.08333333333333333,0.14285714285714285,0.4057971014492754,0.5742753623188406,0.4057971014492754,0.3804347826086957,0.5018115942028986,0.962714155515035,1.0769025087356567,0.8485258221626282,0.054206601033608116,1.7785354256629944,0.9995584090550741,0.3175858110189438,0.2529338225722313,2.0618762969970703,2.0996265014012656,3.88268780708313,0.014518208180864653,0.001806670178969701,0.011782150094707807,0.017996798269450665,0.0,1.7053025364875793,0.6515151515151515,0.7096900683857206,0.6829738163071497,0.6505578635685715,0.6515151515151515,0.6515151515151515,0.6515151515151515,,,,,,,0.6505578635685715,0.38922841400745256,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.218479633331299,0.795313835144043,0.0,0.0,4.013988971710205
10,3.0204612811406455,2.9696807861328125,1.6796848773956299,1.9846091469128926,-0.09277794882655144,0.07861389343937238,0.9723542133967081,8.93131685256958,1.9016294479370117,1.0,0.0,3.0,0.125,0.21428571428571427,0.4166666666666667,0.5905797101449275,0.4166666666666667,0.411231884057971,0.5471014492753623,0.9723542133967081,1.0960036913553874,0.8487047354380289,0.07861389343937238,1.693384091059367,0.9084318379561106,0.29487985869248706,0.2473585531115532,2.0447227557500205,2.0871006647745767,3.7575647036234536,0.02022033277899027,0.002650270277323822,0.017526194142798584,0.02683415139714877,0.0,1.6664060354232788,0.6439393939393939,0.7468434343434344,0.6948209198209199,0.6754656061419345,0.6439393939393939,0.6439393939393939,0.6439393939393939,1.6325793266296387,0.6060606060606061,0.608931303956799,0.6568047337278107,0.6718587402355867,-0.24557284966983967,0.6754656061419345,0.45945084489870236,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.2447338104248047,0.6231949329376221,0.6393017768859863,0.8812758922576904,5.388765335083008
