epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.915561962127685,4.8761245012283325,2.736786452929179,2.6741724809010825,0.13145813817779223,0.0,0.0,29.24887777964274,0.0,1.0,0.0,0.0,0.0,0.0,0.21041666666666667,0.19583333333333333,0.21041666666666667,0.19166666666666668,0.20208333333333334,0.0,0.0,0.0,0.0,0.41149796148141227,0.5775524119536082,0.3614908228317896,0.2685862332582474,1.8063695033391316,2.0707455555597942,5.372567462921142,0.0,0.0,0.0,0.0,0.0,2.1389851421117783,0.23333333333333334,0.3086715367965368,0.35957051961823966,0.22188539719848635,0.23333333333333334,0.23333333333333334,0.23333333333333334,2.209170922636986,0.15,0.18514703974520597,0.2,0.22803114563225785,-0.008333333333333331,0.22188539719848635,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.087332725524902,5.123046875,3.455862283706665,0.4179058074951172,0.39643001556396484,0.690338134765625,4.960833549499512
2,3.5939950942993164,3.5675864219665527,1.9737386624018352,1.9923096617062888,0.08802891684075197,0.0,0.0,23.03568630218506,0.0,1.0,0.0,0.0,0.0,0.0,0.4354166666666667,0.39791666666666664,0.4354166666666667,0.38333333333333336,0.3958333333333333,0.0,0.0,0.0,0.0,0.44242735803127287,0.6238992184400558,0.3605496654907862,0.26785810391108195,1.7425111254056296,1.9804803530375164,3.9954939206441242,0.0,0.0,0.0,0.0,0.0,1.7271566167473793,0.35,0.5108759577799825,0.5702307457477129,0.3888643790849673,0.35,0.35,0.35,,,,,,,0.3888643790849673,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.5120301246643066,0.4041597843170166,0.0,0.0,2.916438102722168
3,2.9634283065795897,2.937548812230428,1.6713411609331768,1.5827595273653665,0.0862649587293466,0.0,0.0,20.84294548034668,0.0,1.0,0.0,0.0,0.0,0.0,0.5708333333333333,0.5375,0.5708333333333333,0.5229166666666667,0.5270833333333333,0.0,0.0,0.0,0.0,0.5058588087558746,0.6165744215250015,0.3605736861626307,0.2662039707104365,1.7064900159835816,1.9024986704190572,3.3134079694747927,0.0,0.0,0.0,0.0,0.0,1.3704636842012405,0.6416666666666667,0.6788261475761476,0.7173621359199301,0.6067790025417145,0.6416666666666667,0.6416666666666667,0.6416666666666667,,,,,,,0.6067790025417145,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.5802083015441895,0.41260552406311035,0.0,0.0,2.9930384159088135
4,2.484294549624125,2.4568498690923053,1.3509012778600058,1.38243571917216,0.09148232415318489,0.0,0.0,18.99707736968994,0.0,1.0,0.0,0.0,0.0,0.0,0.68125,0.69375,0.68125,0.6458333333333334,0.6583333333333333,0.0,0.0,0.0,0.0,0.4489990144968033,0.6065207779407501,0.3588806539773941,0.2646699140469233,1.603417154153188,1.7897109548250834,2.8150795141855878,0.0,0.0,0.0,0.0,0.0,1.2774491235613823,0.7333333333333333,0.6980673533982358,0.8236631343206104,0.704729461834635,0.7333333333333333,0.7333333333333333,0.7333333333333333,,,,,,,0.704729461834635,0.22188539719848635,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.5057930946350098,0.3981449604034424,0.0,0.0,2.904151439666748
5,2.267218311627706,2.2381020188331604,1.2282575925191244,1.2623055140177408,0.09705431982874871,0.0,0.0,18.300065771738687,0.0,1.0,0.0,0.0,0.0,0.0,0.7208333333333333,0.75,0.7208333333333333,0.675,0.7,0.0,0.0,0.0,0.0,0.4512706826130549,0.6031950165828069,0.35926512877146405,0.2654047350088755,1.5098148584365845,1.7385180592536926,2.6499066670735676,0.0,0.0,0.0,0.0,0.0,1.0710626021027565,0.8,0.7464819902319902,0.8901020771381323,0.7838996390933011,0.8,0.8,0.8000000000000002,1.182449534535408,0.7,0.7096779591023012,0.8043010752688172,0.8039663457751531,-0.12930107526881718,0.7838996390933011,0.3888643790849673,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.483368396759033,0.3979620933532715,0.40608882904052734,0.6943449974060059,3.982015609741211
6,2.0384014089902243,1.9983515898386637,1.0811947762966156,1.1464459856351217,0.08871477972716094,0.013435366408278545,0.0,17.54653418858846,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.7625,0.8020833333333334,0.7625,0.8,0.7895833333333333,0.0,0.0,0.0,0.013435366408278545,0.45227395594120023,0.6229716122150422,0.28744805802901585,0.24507759859164555,1.451842693487803,1.6300936937332153,2.3004724462827046,0.0028744805060947937,0.0005105783571101104,0.006654278763259451,0.0033960287071143585,0.0,1.0139034986495972,0.8166666666666667,0.7468140111522465,0.8926818144739672,0.7763660029229082,0.8166666666666667,0.8166666666666667,0.8166666666666667,,,,,,,0.7763660029229082,0.6067790025417145,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.5468389987945557,0.404693603515625,0.0,0.0,2.951754570007324
7,1.9364777167638143,1.8860908468564352,1.0379699230194093,1.0601511319478354,0.08820027057081462,0.023926772301395734,0.0,15.740235010782877,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.8208333333333333,0.8395833333333333,0.8208333333333333,0.8395833333333333,0.84375,0.0,0.0,0.0,0.023926772301395734,0.3706635172168414,0.6886575549840928,0.21606764445702234,0.2312651167313258,1.3486759146054585,1.5069485584894815,2.0818748394648234,0.004321352811530232,0.0009636047063395381,0.012362862098962068,0.006278952692324916,0.0,0.9859544783830643,0.8166666666666667,0.7635218253968254,0.8844893176812583,0.7848190758516846,0.8166666666666667,0.8166666666666667,0.8166666666666667,,,,,,,0.7848190758516846,0.704729461834635,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.5702855587005615,0.41201138496398926,0.0,0.0,2.9825150966644287
8,1.7906766732533772,1.7498904506365458,0.9614177465438842,0.9855908672014873,0.02137079859773318,0.03437498845160007,0.9344971418380738,15.284463469187418,2.20400021870931,1.0,0.0,15.0,0.05,0.25,0.8395833333333333,0.86875,0.8395833333333333,0.8583333333333333,0.8604166666666667,0.9344971418380738,0.9675220012664795,0.901472266515096,0.03437498845160007,0.4401003777980804,0.6515400230884552,0.19134748329718906,0.2272276148200035,1.2399153669675191,1.4081607143084207,1.9882883350054423,0.005740424385294318,0.0014201726182363928,0.017048836313188077,0.00880100466310978,0.0,0.9580668658018112,0.8666666666666667,0.8071428571428572,0.8694408498888881,0.8032118507251598,0.8666666666666667,0.8666666666666667,0.8666666666666667,,,,,,,0.8032118507251598,0.7763660029229082,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.125,2.631343126296997,0.4042527675628662,0.0,0.0,3.0358145236968994
9,1.640206265449524,1.600408637523651,0.881649539868037,0.8984488805135091,-0.00839091707020998,0.042314878975351654,0.9335575381914775,13.047033500671386,2.110014820098877,1.0,0.0,15.0,0.1,0.3333333333333333,0.8875,0.8854166666666666,0.8875,0.8916666666666667,0.8729166666666667,0.9335575381914775,0.9056633790334065,0.9614516933759053,0.042314878975351654,0.3702877461910248,0.5605241944392522,0.18110272188981374,0.22238119741280873,1.11696035861969,1.2495548764864604,1.7876160780588786,0.0072441087725261845,0.0018531767496218284,0.020477605797350407,0.01041295782973369,0.0,0.8652856200933456,0.8916666666666667,0.7993817750677507,0.925519933406996,0.8368276172690277,0.8916666666666667,0.8916666666666667,0.8916666666666667,,,,,,,0.8368276172690277,0.7763660029229082,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.125,2.5758278369903564,0.40543437004089355,0.0,0.0,2.981480836868286
10,1.687356968720754,1.625021461645762,0.90563938220342,0.8992275873819987,0.03448333746443192,0.05199051027496656,0.986741324265798,14.370123640696209,2.16576464176178,1.0,0.0,15.0,0.15,0.4166666666666667,0.8875,0.8729166666666667,0.8875,0.90625,0.8791666666666667,0.986741324265798,0.9788484970728556,0.9946341514587402,0.05199051027496656,0.35357758204142253,0.4965406556924184,0.17292417387167613,0.2204949433604876,1.1082193692525228,1.1964327255884806,1.7773276766141255,0.008646208917101224,0.0022968224016949534,0.02539669442921877,0.012462841129551332,0.0,0.8502462059259415,0.9083333333333333,0.8181953463203463,0.9173290124509637,0.8456927430331687,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.8295006901025772,0.9333333333333333,0.8944501532497056,0.9591397849462365,0.9303603452418363,-0.05288978494623653,0.8456927430331687,0.7848190758516846,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.125,2.8049349784851074,0.4173288345336914,0.4219949245452881,0.7101044654846191,4.354616165161133
