2026-08-30 21:36:51 | Starting Dual_D standalone training
2026-08-30 21:36:51 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_cycle_雨天_20260830_210831
2026-08-30 21:36:51 | Device: cuda
2026-08-30 21:36:51 | Source train samples: 992
2026-08-30 21:36:51 | Target train samples: 96
2026-08-30 21:36:51 | Target val samples: 26
2026-08-30 21:36:51 | Classes: 14
2026-08-30 21:36:51 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=117/0
2026-08-30 21:36:51 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 21:36:51 | target_train classes: present 6/14 | absent 8 | counts [0:7, 2:19, 9:32, 10:12, 11:6, 13:20]
2026-08-30 21:36:51 | target_val classes: present 6/14 | absent 8 | counts [0:2, 2:5, 9:8, 10:4, 11:2, 13:5]
2026-08-30 21:36:51 | Paired training classes: 6/14 | class ids [0, 2, 9, 10, 11, 13]
2026-08-30 21:36:51 | Runtime profile: batch=16 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
2026-08-30 21:36:51 | Augmentation profile: base=0.650 | visible=0.700 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
2026-08-30 21:36:51 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 21:36:52 | Effective Dual-D loss weights: {"adv_auxiliary": 0.02, "adv_primary": 0.02, "classification": 0.6, "contrastive": 0.025, "cycle": 0.0, "identity": 0.025, "prototype_contrastive": 0.015}
2026-08-30 21:36:52 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 21:36:54 | Epoch 001/060 | loss 5.8850 | cls 5.9096 | tal -0.0819 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0729 | train_full 0.1875 | val_acc 0.1923 | val_f1 0.1204 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 34.139/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.1s
2026-08-30 21:36:55 | Epoch 002/060 | loss 4.8576 | cls 4.9451 | tal -0.2918 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1562 | train_full n/a | val_acc 0.2308 | val_f1 0.1035 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 28.500/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 1.0/0.3/0.0/0.0s | 1.3s
2026-08-30 21:36:56 | Epoch 003/060 | loss 4.5940 | cls 4.6790 | tal -0.2833 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2292 | train_full n/a | val_acc 0.2692 | val_f1 0.2145 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 26.384/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 21:36:57 | Epoch 004/060 | loss 4.1397 | cls 4.2466 | tal -0.3563 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2812 | train_full n/a | val_acc 0.1923 | val_f1 0.0538 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.402/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 21:36:59 | Epoch 005/060 | loss 4.0445 | cls 4.1521 | tal -0.3589 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3125 | train_full 0.2708 | val_acc 0.2308 | val_f1 0.1686 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.380/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.3/0.4/0.4s | 1.8s
2026-08-30 21:37:00 | Epoch 006/060 | loss 3.8430 | cls 3.7075 | tal -0.2567 | dual_g 0.2125 | dual_d 0.0000 | train_acc 0.3333 | train_full n/a | val_acc 0.2692 | val_f1 0.2148 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 22.736/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.0s
2026-08-30 21:37:02 | Epoch 007/060 | loss 3.8961 | cls 3.5756 | tal -0.2851 | dual_g 0.4060 | dual_d 0.0000 | train_acc 0.4688 | train_full n/a | val_acc 0.4231 | val_f1 0.3655 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 22.845/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.3s
2026-08-30 21:37:03 | Epoch 008/060 | loss 3.8149 | cls 3.3144 | tal -0.2403 | dual_g 0.5726 | dual_d 0.0000 | train_acc 0.5208 | train_full n/a | val_acc 0.4615 | val_f1 0.4264 | adv/moduleC 0.00/0.25 | disc_steps 0 | grad(main/disc) 21.635/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.6/0.4/0.0/0.0s | 0.9s
2026-08-30 21:37:04 | Epoch 009/060 | loss 3.6961 | cls 3.0398 | tal -0.2905 | dual_g 0.7435 | dual_d 0.8300 | train_acc 0.5417 | train_full n/a | val_acc 0.4615 | val_f1 0.4074 | adv/moduleC 0.05/0.33 | disc_steps 3 | grad(main/disc) 20.141/2.317 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 21:37:06 | Epoch 010/060 | loss 4.0033 | cls 3.2044 | tal -0.3031 | dual_g 0.8898 | dual_d 0.9820 | train_acc 0.5312 | train_full 0.5521 | val_acc 0.5000 | val_f1 0.4817 | adv/moduleC 0.10/0.42 | disc_steps 3 | grad(main/disc) 22.408/2.492 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.4/0.4s | 1.9s
2026-08-30 21:37:07 | Epoch 011/060 | loss 3.7734 | cls 2.8102 | tal -0.2457 | dual_g 1.0370 | dual_d 0.8729 | train_acc 0.6354 | train_full n/a | val_acc 0.4615 | val_f1 0.4431 | adv/moduleC 0.15/0.50 | disc_steps 3 | grad(main/disc) 19.468/2.279 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.1s
2026-08-30 21:37:08 | Epoch 012/060 | loss 4.0018 | cls 2.9110 | tal -0.1649 | dual_g 1.1403 | dual_d 0.9102 | train_acc 0.7083 | train_full n/a | val_acc 0.6154 | val_f1 0.6291 | adv/moduleC 0.20/0.58 | disc_steps 3 | grad(main/disc) 22.032/2.203 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.3/0.0/0.0s | 1.2s
