2026-08-30 21:38:20 | Starting Dual_D standalone training
2026-08-30 21:38:20 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_cycle_雨天_20260830_210831
2026-08-30 21:38:20 | Device: cuda
2026-08-30 21:38:20 | Source train samples: 992
2026-08-30 21:38:20 | Target train samples: 96
2026-08-30 21:38:20 | Target val samples: 26
2026-08-30 21:38:20 | Classes: 14
2026-08-30 21:38:20 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=117/0
2026-08-30 21:38:20 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 21:38:20 | target_train classes: present 6/14 | absent 8 | counts [0:7, 2:19, 9:32, 10:12, 11:6, 13:20]
2026-08-30 21:38:20 | target_val classes: present 6/14 | absent 8 | counts [0:2, 2:5, 9:8, 10:4, 11:2, 13:5]
2026-08-30 21:38:20 | Paired training classes: 6/14 | class ids [0, 2, 9, 10, 11, 13]
2026-08-30 21:38:20 | Runtime profile: batch=16 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
2026-08-30 21:38:20 | Augmentation profile: base=0.650 | visible=0.700 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
2026-08-30 21:38:20 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 21:38:21 | Effective Dual-D loss weights: {"adv_auxiliary": 0.02, "adv_primary": 0.02, "classification": 0.6, "contrastive": 0.025, "cycle": 0.0, "identity": 0.025, "prototype_contrastive": 0.015}
2026-08-30 21:38:21 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 21:38:24 | Epoch 001/060 | loss 5.4527 | cls 5.4484 | tal 0.0142 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1354 | train_full 0.3021 | val_acc 0.1538 | val_f1 0.0606 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 34.372/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
2026-08-30 21:38:25 | Epoch 002/060 | loss 4.8754 | cls 4.8379 | tal 0.1250 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2500 | train_full n/a | val_acc 0.1538 | val_f1 0.1349 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.452/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.1s
2026-08-30 21:38:26 | Epoch 003/060 | loss 4.5829 | cls 4.5251 | tal 0.1926 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2708 | train_full n/a | val_acc 0.2692 | val_f1 0.2797 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 26.725/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.1s
2026-08-30 21:38:27 | Epoch 004/060 | loss 4.0072 | cls 3.9518 | tal 0.1845 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3750 | train_full n/a | val_acc 0.2308 | val_f1 0.1810 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.015/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 21:38:29 | Epoch 005/060 | loss 3.7555 | cls 3.7167 | tal 0.1295 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4896 | train_full 0.3438 | val_acc 0.4615 | val_f1 0.4722 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.764/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.4/0.4s | 1.9s
2026-08-30 21:38:30 | Epoch 006/060 | loss 3.7551 | cls 3.5123 | tal 0.1102 | dual_g 0.2098 | dual_d 0.0000 | train_acc 0.4271 | train_full n/a | val_acc 0.4615 | val_f1 0.4656 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 22.497/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.3s
2026-08-30 21:38:31 | Epoch 007/060 | loss 4.0186 | cls 3.5428 | tal 0.2641 | dual_g 0.3965 | dual_d 0.0000 | train_acc 0.4792 | train_full n/a | val_acc 0.4615 | val_f1 0.4444 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 22.601/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.1s
2026-08-30 21:38:33 | Epoch 008/060 | loss 3.8671 | cls 3.2520 | tal 0.2141 | dual_g 0.5509 | dual_d 0.0000 | train_acc 0.5521 | train_full n/a | val_acc 0.5000 | val_f1 0.5278 | adv/moduleC 0.00/0.25 | disc_steps 0 | grad(main/disc) 22.038/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.3s
2026-08-30 21:38:34 | Epoch 009/060 | loss 4.0612 | cls 3.2665 | tal 0.2495 | dual_g 0.7198 | dual_d 1.0009 | train_acc 0.5938 | train_full n/a | val_acc 0.6923 | val_f1 0.6755 | adv/moduleC 0.05/0.33 | disc_steps 3 | grad(main/disc) 22.576/2.287 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 21:38:36 | Epoch 010/060 | loss 4.1154 | cls 3.1919 | tal 0.2034 | dual_g 0.8626 | dual_d 0.9308 | train_acc 0.6042 | train_full 0.5417 | val_acc 0.5000 | val_f1 0.4729 | adv/moduleC 0.10/0.42 | disc_steps 3 | grad(main/disc) 21.763/2.298 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.4/0.4s | 2.0s
2026-08-30 21:38:37 | Epoch 011/060 | loss 3.9921 | cls 2.9799 | tal 0.1198 | dual_g 0.9763 | dual_d 0.9431 | train_acc 0.7500 | train_full n/a | val_acc 0.4231 | val_f1 0.4132 | adv/moduleC 0.15/0.50 | disc_steps 3 | grad(main/disc) 21.337/2.323 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.2s
