epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.359975258509318,5.3660017649332685,3.218590180079142,3.3037103017171225,-0.020088160410523415,0.0,0.0,14.680643558502197,0.0,1.0,0.0,0.0,0.0,0.0,0.09239130434782608,0.09601449275362318,0.09239130434782608,0.1105072463768116,0.11956521739130435,0.0,0.0,0.0,0.0,1.8283708095550537,0.9285072088241577,0.3462163160244624,0.2605290114879608,2.1822460492451987,2.2088642517725625,6.553496917088826,0.0,0.0,0.0,0.0,0.0,2.642500638961792,0.15151515151515152,0.06610597500428009,0.16132478632478633,0.08784343724102761,0.15151515151515152,0.15151515151515152,0.15151515151515152,2.6808547973632812,0.11363636363636363,0.07262479871175524,0.09664694280078895,0.049841872232764074,0.01386030357602265,0.08784343724102761,-inf,4,False,45,False,6e-05,3e-05,0.5,21.774890899658203,29.14453125,3.7387712001800537,0.5785152912139893,0.6331307888031006,0.8868327140808105,5.837544918060303
2,4.542694171269734,4.531762361526489,2.649038036664327,2.8964990377426147,0.03643956407904625,0.0,0.0,12.161707242329916,0.0,1.0,0.0,0.0,0.0,0.0,0.11956521739130435,0.2210144927536232,0.11956521739130435,0.1539855072463768,0.19927536231884058,0.0,0.0,0.0,0.0,1.9100765983263652,0.88707235455513,0.3457532624403636,0.25996658205986023,2.1520944039026895,2.2085580825805664,5.656101147333781,0.0,0.0,0.0,0.0,0.0,2.4800095558166504,0.17424242424242425,0.11203471642068132,0.1633089133089133,0.10863117545887273,0.17424242424242425,0.17424242424242425,0.17424242424242425,,,,,,,0.10863117545887273,-inf,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.036855936050415,0.5920000076293945,0.0,0.0,3.629077434539795
3,4.131597479184468,4.13920783996582,2.36500612894694,2.7295411030451455,-0.025367803095529478,0.0,0.0,10.607769330342611,0.0,1.0,0.0,0.0,0.0,0.0,0.18840579710144928,0.29891304347826086,0.18840579710144928,0.19021739130434784,0.286231884057971,0.0,0.0,0.0,0.0,1.8281164566675823,0.9465628961722056,0.34499142070611316,0.2598588317632675,2.155453165372213,2.198205351829529,5.191579659779866,0.0,0.0,0.0,0.0,0.0,2.2522491216659546,0.21212121212121213,0.19694163860830527,0.19501085334418666,0.1400087819298542,0.21212121212121213,0.21212121212121213,0.21212121212121215,,,,,,,0.1400087819298542,-inf,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.0167429447174072,0.5959184169769287,0.0,0.0,3.612886667251587
4,3.921163479487101,3.9290890296300254,2.221603751182556,2.626900553703308,-0.02641848831747969,0.0,0.0,9.974178949991861,0.0,1.0,0.0,0.0,0.0,0.0,0.21195652173913043,0.338768115942029,0.21195652173913043,0.23007246376811594,0.3278985507246377,0.0,0.0,0.0,0.0,1.7503745555877686,1.017112096150716,0.3474799394607544,0.25967320303122204,2.1308340231577554,2.1869231859842935,4.910443385442098,0.0,0.0,0.0,0.0,0.0,2.0445395708084106,0.3787878787878788,0.4616096866096866,0.3487179487179487,0.34021293009715464,0.3787878787878788,0.3787878787878788,0.3787878787878788,,,,,,,0.34021293009715464,0.08784343724102761,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.202427387237549,0.5978765487670898,0.0,0.0,3.8005106449127197
5,3.6067742904027305,3.631186326344808,2.0620373686154685,2.414075414339701,-0.0813735422367851,0.0,0.0,9.233230113983154,0.0,1.0,0.0,0.0,0.0,0.0,0.2807971014492754,0.4003623188405797,0.2807971014492754,0.23007246376811594,0.36231884057971014,0.0,0.0,0.0,0.0,1.77402530113856,1.1098811825116475,0.3464248428742091,0.25948616365591687,2.141580581665039,2.183221697807312,4.571823040644328,0.0,0.0,0.0,0.0,0.0,2.0343732833862305,0.4015151515151515,0.3116318626273571,0.3686982770316104,0.31869283982926205,0.4015151515151515,0.4015151515151515,0.4015151515151515,2.040217399597168,0.3560606060606061,0.2728875268202653,0.4437869822485207,0.3721174037671848,-0.21371451848040476,0.31869283982926205,0.10863117545887273,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.1944291591644287,0.5898482799530029,0.6018671989440918,0.9047448635101318,5.291139602661133
6,3.4655481576919556,3.479476968447367,1.9826031128565471,2.3028828303019204,-0.046429260013004146,0.0,0.0,8.909261067708334,0.0,1.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.4311594202898551,0.30434782608695654,0.26268115942028986,0.4311594202898551,0.0,0.0,0.0,0.0,1.7169516483942668,1.0485134621461232,0.34753455718358356,0.25898922979831696,2.1424471537272134,2.1710466543833413,4.414196491241455,0.0,0.0,0.0,0.0,0.0,1.986813724040985,0.4090909090909091,0.5148283558526966,0.42341609008275677,0.38922841400745256,0.4090909090909091,0.4090909090909091,0.4090909090909091,,,,,,,0.38922841400745256,0.1400087819298542,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,2.9118833541870117,0.5986378192901611,0.0,0.0,3.5107600688934326
7,3.3604480425516763,3.383106748263041,1.9077231287956238,2.269820968310038,-0.0755290575325489,0.0,0.0,8.95411459604899,0.0,1.0,0.0,0.0,0.0,0.0,0.3115942028985507,0.4692028985507246,0.3115942028985507,0.302536231884058,0.45471014492753625,0.0,0.0,0.0,0.0,1.7215697169303894,1.0225524008274078,0.34712644418080646,0.2598293175299962,2.113696575164795,2.152953624725342,4.268828948338826,0.0,0.0,0.0,0.0,0.0,1.8842152953147888,0.4772727272727273,0.541537872458925,0.48689797856464534,0.45945084489870236,0.4772727272727273,0.4772727272727273,0.4772727272727273,,,,,,,0.45945084489870236,0.31869283982926205,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.085226535797119,0.5896339416503906,0.0,0.0,3.6750736236572266
8,3.364504019419352,3.2397895654042563,1.8313299616177876,2.1668609778086343,-0.1269568714002768,0.16280152897040048,0.9990153312683105,8.740070978800455,1.9761132796605427,1.0,0.0,3.0,0.041666666666666664,0.07142857142857142,0.36231884057971014,0.5380434782608695,0.36231884057971014,0.3532608695652174,0.463768115942029,0.9990153312683105,1.1487762530644734,0.8492544293403625,0.16280152897040048,1.707484285036723,1.0534754494826,0.3465139220158259,0.2607223093509674,2.0974536339441934,2.124313155810038,3.9969173669815063,0.0,0.0009311511045477042,0.005992724637811382,0.009104198620965084,0.1427470544974009,1.7588972449302673,0.5227272727272727,0.6699781699781701,0.6099952516619184,0.5809625497896479,0.5227272727272727,0.5227272727272727,0.5227272727272727,,,,,,,0.5809625497896479,0.31869283982926205,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.2871406078338623,0.5976524353027344,0.0,0.0,3.885009288787842
9,3.382177948951721,3.0980278650919595,1.7830065091451008,2.02310973405838,-0.11033534879485767,0.31725063423315686,0.9512152870496114,8.967189153035482,1.8756388425827026,1.0,0.0,3.0,0.08333333333333333,0.14285714285714285,0.4057971014492754,0.5434782608695652,0.4057971014492754,0.3894927536231884,0.49094202898550726,0.9512152870496114,1.0639275312423706,0.8385030428568522,0.31725063423315686,1.8719330430030823,1.0538687606652577,0.34511042137940723,0.25959502160549164,2.0627631346384683,2.100412209828695,3.879008491834005,0.0,0.0018542501493357122,0.011787217886497578,0.01800353266298771,0.2770720422267914,1.6937654614448547,0.6287878787878788,0.6943191671452541,0.6625729209062542,0.626459853137002,0.6287878787878788,0.6287878787878788,0.6287878787878788,,,,,,,0.626459853137002,0.38922841400745256,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.1709365844726562,0.5937378406524658,0.0,0.0,3.76488995552063
10,3.397941549619039,2.9668248891830444,1.681683599948883,1.9771406849225361,-0.09692811965942383,0.4601950744787852,0.9306321342786154,9.255508581797281,1.8454736471176147,1.0,0.0,3.0,0.125,0.21428571428571427,0.4166666666666667,0.5815217391304348,0.4166666666666667,0.41304347826086957,0.5416666666666666,0.9306321342786154,1.0559029579162598,0.8053613106409708,0.4601950744787852,1.8434341947237651,1.0088393092155457,0.34306536614894867,0.2580501784880956,2.045768082141876,2.0879604816436768,3.738664388656616,0.0,0.0027648234584679208,0.017535154707729816,0.026845206196109455,0.40057119230429333,1.6292226910591125,0.6515151515151515,0.7582557927385513,0.7001119251119251,0.6838547772967155,0.6515151515151515,0.6515151515151515,0.6515151515151515,1.6187191009521484,0.6136363636363636,0.6131611384169969,0.6627218934911243,0.6744643805925237,-0.24967841523025475,0.6838547772967155,0.45945084489870236,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.177250623703003,0.5928788185119629,0.6011745929718018,0.8464717864990234,5.218047380447388
