epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.877151115735372,4.814493290583292,2.6045289834340415,2.7624552528063457,0.20885934370259443,0.0,0.0,25.93967456817627,0.0,1.0,0.0,0.0,0.0,0.0,0.17291666666666666,0.23125,0.17291666666666666,0.18333333333333332,0.225,0.0,0.0,0.0,0.0,0.5374078681071599,0.501590762535731,0.3616318702697754,0.26988543967405954,1.7878745992978413,2.0650930245717367,5.4240552425384525,0.0,0.0,0.0,0.0,0.0,2.212333768606186,0.18333333333333332,0.3380240130240131,0.42481451475353915,0.214011727519792,0.18333333333333332,0.18333333333333332,0.18333333333333332,2.044190749526024,0.25833333333333336,0.2624669377226922,0.17849462365591398,0.175220987709383,0.0048387096774193394,0.214011727519792,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.088278770446777,5.126953125,2.8235082626342773,0.40169548988342285,0.40235280990600586,0.6784183979034424,4.306265830993652
2,3.6565203269322715,3.663624660174052,2.095259126027425,1.9604568958282471,-0.023681093379855155,0.0,0.0,21.318614069620768,0.0,1.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.3770833333333333,0.3958333333333333,0.39375,0.33958333333333335,0.0,0.0,0.0,0.0,0.5785487055778503,0.5173077126344044,0.3654227554798126,0.26872933804988863,1.7367745518684388,1.9630815664927164,3.9881702025731403,0.0,0.0,0.0,0.0,0.0,1.5156105309724808,0.575,0.5463503887416932,0.7330566967496979,0.5614732168699711,0.575,0.575,0.575,,,,,,,0.5614732168699711,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.089285850524902,5.126953125,2.5949184894561768,0.4021623134613037,0.0,0.0,2.9973130226135254
3,3.099005357424418,3.1021159092585244,1.7823938926060994,1.6496524930000305,-0.010368571896106005,0.0,0.0,20.188519223531088,0.0,1.0,0.0,0.0,0.0,0.0,0.54375,0.4875,0.54375,0.5145833333333333,0.5083333333333333,0.0,0.0,0.0,0.0,0.6364928801854451,0.5439193427562714,0.365279221534729,0.2687700271606445,1.6507225950558981,1.8794237931569417,3.431181875864665,0.0,0.0,0.0,0.0,0.0,1.609737068414688,0.5,0.7196859903381644,0.7176425112533279,0.5809895833333333,0.5,0.5,0.5,,,,,,,0.5809895833333333,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.088278770446777,5.126953125,2.6707847118377686,0.40491533279418945,0.0,0.0,3.075913667678833
4,2.600185497601827,2.598860255877177,1.4649807234605154,1.417349390188853,0.004417492200930914,0.0,0.0,19.116916942596436,0.0,1.0,0.0,0.0,0.0,0.0,0.6583333333333333,0.6395833333333333,0.6583333333333333,0.6479166666666667,0.5979166666666667,0.0,0.0,0.0,0.0,0.6588207483291626,0.5956515898307164,0.36352643072605134,0.2689360201358795,1.5462270379066467,1.792440156141917,3.0079590876897178,0.0,0.0,0.0,0.0,0.0,1.2967135161161423,0.7166666666666667,0.6808515988393833,0.8354692100052652,0.6974159598309888,0.7166666666666667,0.7166666666666667,0.7166666666666667,,,,,,,0.6974159598309888,0.214011727519792,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.126953125,2.6651103496551514,0.3954277038574219,0.0,0.0,3.0607550144195557
5,2.31765927473704,2.335686206817627,1.28870942791303,1.3087209463119507,-0.06008977132538954,0.0,0.0,17.86169376373291,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.6791666666666667,0.7,0.7020833333333333,0.68125,0.0,0.0,0.0,0.0,0.6709702759981155,0.6475043227275212,0.36504923502604164,0.2678669273853302,1.5261006633440652,1.7200220624605815,2.6555262645085653,0.0,0.0,0.0,0.0,0.0,1.1109977886080742,0.8083333333333333,0.7730672105672106,0.8564295758589238,0.7687691526439817,0.8083333333333333,0.8083333333333333,0.8083333333333333,1.1025529652833939,0.8166666666666667,0.7661367477352864,0.8,0.7656942512919942,-0.09791666666666676,0.7687691526439817,0.5614732168699711,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.126953125,2.6615474224090576,0.40845537185668945,0.4051847457885742,0.6763031482696533,4.151905059814453
6,2.175933031241099,2.0628695567448934,1.202153213818868,1.0758954087893169,-0.0721808360889554,0.13471771255135537,0.0,17.413878917694092,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.8166666666666667,0.7520833333333333,0.8166666666666667,0.7895833333333333,0.7833333333333333,0.0,0.0,0.0,0.13471771255135537,0.6902174671490987,0.6389794101317724,0.35929266214370725,0.26668247977892556,1.4369669834772745,1.603180189927419,2.2935888886451723,0.0,0.0005555885242453465,0.006586098422606786,0.0033399589126929643,0.12423606589436531,1.1544185131788254,0.7666666666666667,0.7171994766899008,0.8466038865694222,0.7254995705375971,0.7666666666666667,0.7666666666666667,0.7666666666666667,,,,,,,0.7254995705375971,0.5809895833333333,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.126953125,2.57690691947937,0.40213775634765625,0.0,0.0,2.9792706966400146
7,2.163764258225759,1.9292041977246603,1.1193932394186656,1.012263677517573,-0.06909982574482759,0.2552900051077207,0.0,16.67603483200073,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.8479166666666667,0.7875,0.8479166666666667,0.8354166666666667,0.7916666666666666,0.0,0.0,0.0,0.2552900051077207,0.7145274976889292,0.6149969081083934,0.35289040009180705,0.26091281970342,1.3818594177563985,1.5790141900380452,2.168830096721649,0.0,0.001087136803350101,0.012667044096936782,0.0065792261622846125,0.23495659728844961,1.0531946420669556,0.825,0.8047024297024297,0.8862839175670565,0.8110383577774881,0.825,0.825,0.825,,,,,,,0.8110383577774881,0.6974159598309888,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.126953125,2.5534608364105225,0.4004380702972412,0.0,0.0,2.9541163444519043
8,2.1445200045903525,1.8009222149848938,0.9975318968296051,1.0042378743489584,-0.08465415251751741,0.3689940184354782,0.8794234116872152,16.455370235443116,1.9534145752588907,1.0,0.0,15.0,0.05,0.25,0.8541666666666666,0.8520833333333333,0.8541666666666666,0.825,0.8416666666666667,0.8794234116872152,0.7815055966377258,0.9773412426312764,0.3689940184354782,0.6960320512453715,0.6986654897530874,0.35256431996822357,0.2583440711100896,1.3425540447235107,1.5291076978047689,2.077655192216237,0.0,0.0016146504747060438,0.018460117901364963,0.009556923278917868,0.33761895497639977,0.9121894389390945,0.9083333333333333,0.880625,0.9340034965034965,0.8947865418325405,0.9083333333333333,0.9083333333333333,0.9083333333333333,,,,,,,0.8947865418325405,0.7254995705375971,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.571056842803955,0.4007079601287842,0.0,0.0,2.971989154815674
9,2.0624529242515566,1.6494638641675314,0.9393815775712331,0.8876028180122375,-0.09045575285951296,0.4401257942120234,0.8328312993049621,13.702966022491456,1.8486316204071045,1.0,0.0,15.0,0.1,0.3333333333333333,0.89375,0.8770833333333333,0.89375,0.8895833333333333,0.90625,0.8328312993049621,0.7651774923006693,0.900485102335612,0.4401257942120234,0.7240411976973216,0.7177365650733312,0.3482559065024058,0.2543875296910604,1.3171795010566711,1.433691132068634,1.8383341511090596,0.0,0.0021198961883783342,0.024148289859294892,0.01194742675870657,0.398305735985438,0.8937924578785896,0.9083333333333333,0.8583243145743146,0.9333764062024932,0.878096421330528,0.9083333333333333,0.9083333333333333,0.9083333333333333,,,,,,,0.878096421330528,0.7254995705375971,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.6619656085968018,0.3983635902404785,0.0,0.0,3.0605530738830566
10,2.113137503465017,1.617941955725352,0.9161842862764994,0.8771970629692077,-0.14628877403835455,0.5390822072823842,0.7877998590469361,14.827434078852336,1.7404561758041381,1.0,0.0,15.0,0.15,0.4166666666666667,0.9041666666666667,0.8770833333333333,0.9041666666666667,0.9145833333333333,0.9083333333333333,0.7877998590469361,0.7319815953572592,0.843618122736613,0.5390822072823842,0.7312268674373626,0.7602071106433869,0.3462881277004878,0.2496346612771352,1.1674511830012004,1.3445838570594788,1.8097062269846598,0.0,0.0026003611274063587,0.026754090127845607,0.014006082123766342,0.4901287923256556,0.9195708408951759,0.8916666666666667,0.8751602564102564,0.9243881118881119,0.8815678284927131,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.9025196880102158,0.9,0.8877872369878184,0.9268817204301075,0.9041884273279208,-0.012298387096774221,0.8815678284927131,0.8110383577774881,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.5979361534118652,0.4078044891357422,0.41878628730773926,0.6782255172729492,4.10300612449646
11,2.1132673422495523,1.5540909846623738,0.877856026093165,0.8452936867872874,-0.14612532109022142,0.60301393866539,0.8001239617665609,14.668490314483643,1.7602415243784586,1.0,0.0,15.0,0.2,0.5,0.9270833333333334,0.9125,0.9270833333333334,0.9395833333333333,0.9291666666666667,0.8001239617665609,0.7217719395955403,0.8784759799639384,0.60301393866539,0.7025684158007304,0.684922856092453,0.34480894009272256,0.24793600489695866,1.172771728038788,1.2927579164505005,1.6755895495414734,0.0,0.0030992000984648863,0.032251221997042494,0.0161594744771719,0.5445665836334228,0.8054016008973122,0.9333333333333333,0.8975194013303769,0.9501854852464608,0.9064212043146267,0.9333333333333333,0.9333333333333333,0.9333333333333333,,,,,,,0.9064212043146267,0.878096421330528,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.677443265914917,0.40042567253112793,0.0,0.0,3.078089952468872
12,2.119203197956085,1.472820556163788,0.8409766435623169,0.789804869890213,-0.12554052745302519,0.6840448061625163,0.8001384456952413,12.802738746007284,1.750833757718404,1.0,0.0,15.0,0.25,0.5833333333333334,0.94375,0.9229166666666667,0.94375,0.9375,0.93125,0.8001384456952413,0.7056411703427633,0.8946357289950053,0.6840448061625163,0.8306574324766794,0.6941322813431422,0.3412812054157257,0.24793972174326578,1.0834972977638244,1.240136722723643,1.6300260782241822,0.0,0.003615787625312805,0.03476220406591892,0.018085327371954917,0.618051548798879,0.7665406093001366,0.9583333333333334,0.9330891330891331,0.9663674739894252,0.9460238903253608,0.9583333333333334,0.9583333333333334,0.9583333333333334,,,,,,,0.9460238903253608,0.878096421330528,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.704291820526123,0.41294145584106445,0.0,0.0,3.117445707321167
13,2.150551497936249,1.4387742042541505,0.8006897807121277,0.7976055085659027,-0.1329046379774809,0.7516486922899882,0.7515899221102397,12.556503327687581,1.6555370251337687,0.9,0.0,15.0,0.3,0.6666666666666666,0.9520833333333333,0.94375,0.9520833333333333,0.9604166666666667,0.9291666666666667,0.7515899221102397,0.7231167475382487,0.7800631006558736,0.7516486922899882,0.767044089237849,0.7581951101620992,0.34100085496902466,0.2456676334142685,1.0782118757565817,1.162195901075999,1.5627935965855917,0.0,0.004094460761795441,0.03953443362067143,0.019369932698706786,0.6772105673948924,0.7764775305986404,0.95,0.9080086580086579,0.9645979020979021,0.9308503423632418,0.95,0.95,0.9500000000000001,,,,,,,0.9308503423632418,0.8815678284927131,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.4999608993530273,0.39297056198120117,0.0,0.0,2.89314866065979
14,2.165127682685852,1.3939564029375713,0.7901878197987874,0.7547106921672821,-0.14965404433508714,0.8160675287246704,0.7512787580490112,12.628044859568279,1.639710799853007,1.0,0.0,15.0,0.35,0.75,0.9708333333333333,0.9416666666666667,0.9708333333333333,0.9791666666666666,0.9520833333333333,0.7512787580490112,0.7135019183158875,0.789055605729421,0.8160675287246704,0.7694237053394317,0.7374501417080561,0.3389746616284052,0.24369436552127202,1.023960401614507,1.1132436096668243,1.508105452855428,0.0,0.004569269561519225,0.04223836834232012,0.020873318240046502,0.7352014243602752,0.7835290729999542,0.95,0.9072596610706367,0.9598008698618454,0.9278804093699564,0.95,0.95,0.9500000000000001,,,,,,,0.9278804093699564,0.9064212043146267,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.793774127960205,0.40124940872192383,0.0,0.0,3.1952381134033203
15,2.1689863403638205,1.3262304266293843,0.7420297185579936,0.7302508632342021,-0.1397825817577541,0.8846907099088033,0.7907565196355184,10.092985677719117,1.663234527905782,0.9666666666666667,0.0,15.0,0.4,0.8333333333333334,0.9625,0.9666666666666667,0.9625,0.975,0.9583333333333334,0.7907565196355184,0.726609738667806,0.8549032886823018,0.8846907099088033,0.7746196866035462,0.6358354608217875,0.33721914887428284,0.24063245256741841,0.9470945497353872,1.0229954401652017,1.4784960945447285,0.0,0.005013176224504908,0.04340850114822388,0.021312405665715534,0.8008520781993866,0.7852979972958565,0.9416666666666667,0.8871527777777777,0.9609220313090939,0.9149017599731581,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.7755500003695488,0.95,0.9256781859281555,0.9741935483870968,0.9633619379429958,0.0008064516129031585,0.9149017599731581,0.9149017599731581,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.6029601097106934,0.3969266414642334,0.40866827964782715,0.6809220314025879,4.089728355407715
16,2.229798412322998,1.3331734220186868,0.7394806285699208,0.7421159704526266,-0.2158711265772581,0.9613863329092661,0.7674295624097188,11.101565885543824,1.6437030553817749,1.0,0.0,15.0,0.45,0.9166666666666666,0.9583333333333334,0.9666666666666667,0.9583333333333334,0.9583333333333334,0.9791666666666666,0.7674295624097188,0.7507270693778991,0.7841320315996806,0.9613863329092661,0.7463603814442953,0.7303191264470418,0.3348042448361715,0.23888792743285497,0.8680903494358063,0.9714196383953094,1.4656299948692322,0.0,0.005474515119567513,0.043766222335398196,0.022261700530846914,0.873271248737971,0.7689152806997299,0.9666666666666667,0.9492018398268398,0.9742132867132868,0.9592731966828353,0.9666666666666667,0.9666666666666667,0.9666666666666667,,,,,,,0.9592731966828353,0.9149017599731581,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.6336617469787598,0.40042543411254883,0.0,0.0,3.0343141555786133
17,2.257971668243408,1.2992598334948222,0.7418957034746806,0.6967051406701406,-0.19987741038203238,1.0186750829219817,0.7521122773488362,9.484709850947063,1.5722750822703044,1.0,0.0,15.0,0.5,1.0,0.9916666666666667,0.9708333333333333,0.9916666666666667,0.9791666666666666,0.9708333333333333,0.7521122773488362,0.7297269860903423,0.7744975805282592,1.0186750829219817,0.706954566637675,0.7168705642223359,0.33401450713475545,0.23592148472865423,0.8466702441374461,0.8842258433500926,1.425087332725525,0.0,0.005898037226870656,0.046566863109668094,0.022105646381775538,0.9263067305088043,0.7497622966766357,0.9666666666666667,0.9270833333333334,0.9759721985331742,0.9479316630765906,0.9666666666666667,0.9666666666666667,0.9666666666666667,,,,,,,0.9479316630765906,0.9149017599731581,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.50368332862854,0.3988978862762451,0.0,0.0,2.9028007984161377
