2026-08-30 21:53:28 | Starting Dual_D standalone training
2026-08-30 21:53:28 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_identity_逆光_20260830_214115
2026-08-30 21:53:28 | Device: cuda
2026-08-30 21:53:28 | Source train samples: 992
2026-08-30 21:53:28 | Target train samples: 132
2026-08-30 21:53:28 | Target val samples: 37
2026-08-30 21:53:28 | Classes: 14
2026-08-30 21:53:28 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=157/0
2026-08-30 21:53:28 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 21:53:28 | target_train classes: present 9/14 | absent 5 | counts [0:20, 2:12, 4:12, 5:2, 9:16, 10:16, 11:29, 12:4, 13:21]
2026-08-30 21:53:28 | target_val classes: present 9/14 | absent 5 | counts [0:6, 2:3, 4:4, 5:1, 9:4, 10:4, 11:8, 12:1, 13:6]
2026-08-30 21:53:28 | Paired training classes: 9/14 | class ids [0, 2, 4, 5, 9, 10, 11, 12, 13]
2026-08-30 21:53:28 | Runtime profile: batch=16 | paired_steps=9 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=5 | lr_scheduler_start=28 | checkpoint_select_from=45 | early_stop=15 after min_epoch=55
2026-08-30 21:53:28 | Augmentation profile: base=0.780 | visible=0.860 | infrared=0.600 | freeze_frozen_batch_norm_stats=True
2026-08-30 21:53:28 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/1 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 21:53:29 | Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.15, "contrastive": 0.02, "cycle": 0.12, "identity": 0.0, "prototype_contrastive": 0.06}
2026-08-30 21:53:29 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 21:53:32 | Epoch 001/060 | loss 5.6240 | cls 5.6886 | tal -0.2154 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0556 | train_full 0.1288 | val_acc 0.2162 | val_f1 0.1070 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 32.763/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.5/0.4/0.5/0.5s | 2.9s
2026-08-30 21:53:33 | Epoch 002/060 | loss 5.1756 | cls 5.1933 | tal -0.0591 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1042 | train_full n/a | val_acc 0.1892 | val_f1 0.1550 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.433/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.7s
2026-08-30 21:53:35 | Epoch 003/060 | loss 4.8864 | cls 4.8615 | tal 0.0830 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2431 | train_full n/a | val_acc 0.3243 | val_f1 0.3664 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 27.264/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 21:53:36 | Epoch 004/060 | loss 4.5698 | cls 4.5182 | tal 0.1719 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1944 | train_full n/a | val_acc 0.3784 | val_f1 0.4591 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.804/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 21:53:39 | Epoch 005/060 | loss 4.3571 | cls 4.3288 | tal 0.0946 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2708 | train_full 0.5000 | val_acc 0.4865 | val_f1 0.5358 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.101/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.5s | 2.4s
2026-08-30 21:53:40 | Epoch 006/060 | loss 4.0943 | cls 4.0540 | tal 0.1346 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3194 | train_full n/a | val_acc 0.4865 | val_f1 0.5370 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.819/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 21:53:42 | Epoch 007/060 | loss 3.9337 | cls 3.9100 | tal 0.0792 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3819 | train_full n/a | val_acc 0.6757 | val_f1 0.6999 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.050/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 21:53:43 | Epoch 008/060 | loss 3.7502 | cls 3.7042 | tal 0.1535 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3681 | train_full n/a | val_acc 0.5946 | val_f1 0.6547 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 22.938/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
2026-08-30 21:53:45 | Epoch 009/060 | loss 3.7840 | cls 3.7082 | tal 0.0944 | dual_g 0.0475 | dual_d 0.0000 | train_acc 0.3542 | train_full n/a | val_acc 0.7297 | val_f1 0.7442 | adv/moduleC 0.00/0.06 | disc_steps 0 | grad(main/disc) 22.344/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.5s
2026-08-30 21:53:47 | Epoch 010/060 | loss 3.8924 | cls 3.7499 | tal 0.1502 | dual_g 0.0975 | dual_d 0.0000 | train_acc 0.4306 | train_full 0.7045 | val_acc 0.7568 | val_f1 0.7780 | adv/moduleC 0.00/0.11 | disc_steps 0 | grad(main/disc) 22.919/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.5s | 2.3s
2026-08-30 21:53:49 | Epoch 011/060 | loss 3.7149 | cls 3.5241 | tal 0.1745 | dual_g 0.1384 | dual_d 0.7947 | train_acc 0.4583 | train_full n/a | val_acc 0.8108 | val_f1 0.8135 | adv/moduleC 0.04/0.17 | disc_steps 4 | grad(main/disc) 22.392/2.246 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.7s
2026-08-30 21:53:50 | Epoch 012/060 | loss 3.5997 | cls 3.3992 | tal 0.0576 | dual_g 0.1832 | dual_d 0.8490 | train_acc 0.4722 | train_full n/a | val_acc 0.7568 | val_f1 0.7615 | adv/moduleC 0.08/0.22 | disc_steps 4 | grad(main/disc) 21.885/2.289 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.5s
2026-08-30 21:53:52 | Epoch 013/060 | loss 3.6703 | cls 3.3845 | tal 0.1741 | dual_g 0.2336 | dual_d 0.8580 | train_acc 0.4722 | train_full n/a | val_acc 0.7838 | val_f1 0.7927 | adv/moduleC 0.12/0.28 | disc_steps 4 | grad(main/disc) 21.521/2.224 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
2026-08-30 21:53:54 | Epoch 014/060 | loss 3.7011 | cls 3.4066 | tal 0.1018 | dual_g 0.2639 | dual_d 0.7675 | train_acc 0.4583 | train_full n/a | val_acc 0.8919 | val_f1 0.9089 | adv/moduleC 0.17/0.33 | disc_steps 4 | grad(main/disc) 21.871/2.092 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
2026-08-30 21:53:56 | Epoch 015/060 | loss 3.5197 | cls 3.1770 | tal 0.1445 | dual_g 0.2993 | dual_d 0.7970 | train_acc 0.4583 | train_full 0.8636 | val_acc 0.8919 | val_f1 0.9215 | adv/moduleC 0.21/0.39 | disc_steps 4 | grad(main/disc) 21.389/2.109 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.5s | 2.3s
2026-08-30 21:53:57 | Epoch 016/060 | loss 3.5378 | cls 3.1677 | tal 0.0887 | dual_g 0.3435 | dual_d 0.7398 | train_acc 0.5417 | train_full n/a | val_acc 0.8649 | val_f1 0.8620 | adv/moduleC 0.25/0.44 | disc_steps 4 | grad(main/disc) 21.971/2.042 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 21:53:59 | Epoch 017/060 | loss 3.4979 | cls 3.0532 | tal 0.2187 | dual_g 0.3790 | dual_d 0.8860 | train_acc 0.5347 | train_full n/a | val_acc 0.8919 | val_f1 0.8903 | adv/moduleC 0.29/0.50 | disc_steps 4 | grad(main/disc) 20.784/2.190 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
2026-08-30 21:54:01 | Epoch 018/060 | loss 3.4521 | cls 3.0049 | tal 0.0985 | dual_g 0.4176 | dual_d 0.8306 | train_acc 0.5347 | train_full n/a | val_acc 0.8919 | val_f1 0.8848 | adv/moduleC 0.33/0.56 | disc_steps 4 | grad(main/disc) 20.787/2.198 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
2026-08-30 21:54:02 | Epoch 019/060 | loss 3.4489 | cls 2.9781 | tal 0.0959 | dual_g 0.4421 | dual_d 0.7970 | train_acc 0.6389 | train_full n/a | val_acc 0.8919 | val_f1 0.8674 | adv/moduleC 0.38/0.61 | disc_steps 4 | grad(main/disc) 20.740/2.062 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.6s
2026-08-30 21:54:05 | Epoch 020/060 | loss 3.6221 | cls 3.1267 | tal 0.0017 | dual_g 0.4949 | dual_d 0.8210 | train_acc 0.5278 | train_full 0.9621 | val_acc 0.9459 | val_f1 0.9462 | adv/moduleC 0.42/0.67 | disc_steps 4 | grad(main/disc) 22.915/2.242 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.5s | 2.4s
