2026-08-30 22:01:24 | Starting Dual_D standalone training
2026-08-30 22:01:24 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_identity_雾天_20260830_214115
2026-08-30 22:01:24 | Device: cuda
2026-08-30 22:01:24 | Source train samples: 992
2026-08-30 22:01:24 | Target train samples: 507
2026-08-30 22:01:24 | Target val samples: 132
2026-08-30 22:01:24 | Classes: 14
2026-08-30 22:01:24 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=630/0
2026-08-30 22:01:24 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 22:01:24 | target_train classes: present 9/14 | absent 5 | counts [0:35, 1:18, 2:119, 6:110, 8:25, 9:50, 10:48, 12:9, 13:93]
2026-08-30 22:01:24 | target_val classes: present 9/14 | absent 5 | counts [0:9, 1:5, 2:30, 6:28, 8:7, 9:13, 10:13, 12:3, 13:24]
2026-08-30 22:01:24 | Paired training classes: 9/14 | class ids [0, 1, 2, 6, 8, 9, 10, 12, 13]
2026-08-30 22:01:24 | Runtime profile: batch=92 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=45 | early_stop=15 after min_epoch=55
2026-08-30 22:01:24 | Augmentation profile: base=0.720 | visible=0.720 | infrared=0.720 | freeze_frozen_batch_norm_stats=True
2026-08-30 22:01:24 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/2 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 22:01:25 | Effective Dual-D loss weights: {"adv_auxiliary": 0.035, "adv_primary": 0.035, "classification": 0.5, "contrastive": 0.04, "cycle": 0.32, "identity": 0.0, "prototype_contrastive": 0.06}
2026-08-30 22:01:25 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 22:01:31 | Epoch 001/060 | loss 5.1557 | cls 5.2359 | tal -0.2675 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0942 | train_full 0.0434 | val_acc 0.0303 | val_f1 0.0234 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 13.827/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.9/0.6/0.6/0.9s | 6.0s
2026-08-30 22:01:35 | Epoch 002/060 | loss 4.5641 | cls 4.6299 | tal -0.2193 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1304 | train_full n/a | val_acc 0.1212 | val_f1 0.0670 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 11.647/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.3/0.6/0.0/0.0s | 4.0s
2026-08-30 22:01:38 | Epoch 003/060 | loss 4.1608 | cls 4.1923 | tal -0.1051 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2029 | train_full n/a | val_acc 0.2879 | val_f1 0.1810 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 10.144/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
2026-08-30 22:01:42 | Epoch 004/060 | loss 3.9435 | cls 3.9469 | tal -0.0113 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1993 | train_full n/a | val_acc 0.3939 | val_f1 0.2961 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 9.622/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.0/0.0s | 3.8s
2026-08-30 22:01:47 | Epoch 005/060 | loss 3.6114 | cls 3.6176 | tal -0.0206 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2446 | train_full 0.5010 | val_acc 0.4924 | val_f1 0.3612 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 9.142/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.1/0.6/0.6/0.9s | 5.2s
2026-08-30 22:01:51 | Epoch 006/060 | loss 3.4847 | cls 3.4892 | tal -0.0152 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2826 | train_full n/a | val_acc 0.5682 | val_f1 0.4581 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 9.179/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.0/0.0s | 3.8s
2026-08-30 22:01:55 | Epoch 007/060 | loss 3.2793 | cls 3.2733 | tal 0.0199 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3243 | train_full n/a | val_acc 0.6136 | val_f1 0.5608 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 8.886/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
2026-08-30 22:01:59 | Epoch 008/060 | loss 3.4368 | cls 3.2546 | tal 0.0414 | dual_g 0.1698 | dual_d 0.7604 | train_acc 0.3496 | train_full n/a | val_acc 0.6970 | val_f1 0.6531 | adv/moduleC 0.04/0.07 | disc_steps 3 | grad(main/disc) 8.864/1.451 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.3/0.6/0.0/0.0s | 3.9s
2026-08-30 22:02:02 | Epoch 009/060 | loss 3.4226 | cls 3.0842 | tal 0.0293 | dual_g 0.3296 | dual_d 0.7324 | train_acc 0.3967 | train_full n/a | val_acc 0.6591 | val_f1 0.6274 | adv/moduleC 0.08/0.14 | disc_steps 3 | grad(main/disc) 9.218/1.427 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.0/0.6/0.0/0.0s | 3.6s
2026-08-30 22:02:08 | Epoch 010/060 | loss 3.3711 | cls 2.9007 | tal 0.0237 | dual_g 0.4633 | dual_d 0.7277 | train_acc 0.4601 | train_full 0.6943 | val_acc 0.6970 | val_f1 0.6670 | adv/moduleC 0.12/0.21 | disc_steps 3 | grad(main/disc) 8.525/1.401 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.6/0.9s | 5.3s
2026-08-30 22:02:11 | Epoch 011/060 | loss 3.5107 | cls 2.8855 | tal 0.0395 | dual_g 0.6134 | dual_d 0.7129 | train_acc 0.4475 | train_full n/a | val_acc 0.6894 | val_f1 0.6195 | adv/moduleC 0.17/0.29 | disc_steps 3 | grad(main/disc) 9.697/1.347 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
