2026-08-31 00:23:15 | Starting Dual_D standalone training
2026-08-31 00:23:15 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_module_c_雨天_20260830_235352
2026-08-31 00:23:15 | Device: cuda
2026-08-31 00:23:15 | Source train samples: 992
2026-08-31 00:23:15 | Target train samples: 96
2026-08-31 00:23:15 | Target val samples: 26
2026-08-31 00:23:15 | Classes: 14
2026-08-31 00:23:15 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=117/0
2026-08-31 00:23:15 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-31 00:23:15 | target_train classes: present 6/14 | absent 8 | counts [0:7, 2:19, 9:32, 10:12, 11:6, 13:20]
2026-08-31 00:23:15 | target_val classes: present 6/14 | absent 8 | counts [0:2, 2:5, 9:8, 10:4, 11:2, 13:5]
2026-08-31 00:23:15 | Paired training classes: 6/14 | class ids [0, 2, 9, 10, 11, 13]
2026-08-31 00:23:15 | Runtime profile: batch=16 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
2026-08-31 00:23:15 | Augmentation profile: base=0.650 | visible=0.700 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
2026-08-31 00:23:15 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-31 00:23:16 | Effective Dual-D loss weights: {"adv_auxiliary": 0.02, "adv_primary": 0.02, "classification": 0.0, "contrastive": 0.0, "cycle": 0.0, "identity": 0.0, "prototype_contrastive": 0.0}
2026-08-31 00:23:16 | Model parameters: total=17277714 | trainable=17120210
2026-08-31 00:23:18 | Epoch 001/060 | loss 5.8850 | cls 5.9096 | tal -0.0819 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0729 | train_full 0.1875 | val_acc 0.1923 | val_f1 0.1204 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 34.139/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
2026-08-31 00:23:19 | Epoch 002/060 | loss 4.8576 | cls 4.9451 | tal -0.2918 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1562 | train_full n/a | val_acc 0.2308 | val_f1 0.1035 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 28.500/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-31 00:23:21 | Epoch 003/060 | loss 4.5940 | cls 4.6790 | tal -0.2833 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2292 | train_full n/a | val_acc 0.2692 | val_f1 0.2145 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 26.384/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-31 00:23:22 | Epoch 004/060 | loss 4.1397 | cls 4.2466 | tal -0.3563 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2812 | train_full n/a | val_acc 0.1923 | val_f1 0.0538 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.402/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.5/0.0/0.0s | 1.2s
2026-08-31 00:23:24 | Epoch 005/060 | loss 4.0445 | cls 4.1521 | tal -0.3589 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3125 | train_full 0.2708 | val_acc 0.2308 | val_f1 0.1686 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.380/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.4/0.4s | 1.9s
2026-08-31 00:23:25 | Epoch 006/060 | loss 3.6388 | cls 3.7194 | tal -0.2687 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3333 | train_full n/a | val_acc 0.2692 | val_f1 0.2148 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 22.641/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-31 00:23:26 | Epoch 007/060 | loss 3.5013 | cls 3.5893 | tal -0.2935 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4583 | train_full n/a | val_acc 0.4231 | val_f1 0.3833 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 22.525/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.3s
2026-08-31 00:23:27 | Epoch 008/060 | loss 3.2612 | cls 3.3293 | tal -0.2270 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.5208 | train_full n/a | val_acc 0.4615 | val_f1 0.4264 | adv/moduleC 0.00/0.25 | disc_steps 0 | grad(main/disc) 21.253/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.6/0.4/0.0/0.0s | 1.0s
2026-08-31 00:23:28 | Epoch 009/060 | loss 2.9686 | cls 3.0635 | tal -0.3210 | dual_g 0.0014 | dual_d 0.8283 | train_acc 0.5208 | train_full n/a | val_acc 0.4231 | val_f1 0.3681 | adv/moduleC 0.05/0.33 | disc_steps 3 | grad(main/disc) 19.351/2.308 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-31 00:23:30 | Epoch 010/060 | loss 3.1536 | cls 3.2502 | tal -0.3303 | dual_g 0.0025 | dual_d 1.0300 | train_acc 0.5417 | train_full 0.5729 | val_acc 0.5385 | val_f1 0.5081 | adv/moduleC 0.10/0.42 | disc_steps 3 | grad(main/disc) 21.163/2.524 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.4/0.4s | 2.0s
2026-08-31 00:23:31 | Epoch 011/060 | loss 2.8154 | cls 2.8696 | tal -0.1929 | dual_g 0.0037 | dual_d 0.9708 | train_acc 0.6042 | train_full n/a | val_acc 0.5000 | val_f1 0.4876 | adv/moduleC 0.15/0.50 | disc_steps 3 | grad(main/disc) 18.627/2.397 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
