epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.359975258509318,5.3660017649332685,3.218590180079142,3.3037103017171225,-0.020088160410523415,0.0,0.0,14.680643558502197,0.0,1.0,0.0,0.0,0.0,0.0,0.09239130434782608,0.09601449275362318,0.09239130434782608,0.1105072463768116,0.11956521739130435,0.0,0.0,0.0,0.0,1.8283708095550537,0.9285072088241577,0.3462163160244624,0.2605290114879608,2.1822460492451987,2.2088642517725625,6.553496917088826,0.0,0.0,0.0,0.0,0.0,2.642500638961792,0.15151515151515152,0.06610597500428009,0.16132478632478633,0.08784343724102761,0.15151515151515152,0.15151515151515152,0.15151515151515152,2.6808547973632812,0.11363636363636363,0.07262479871175524,0.09664694280078895,0.049841872232764074,0.01386030357602265,0.08784343724102761,-inf,4,False,45,False,6e-05,3e-05,0.5,21.774890899658203,29.14453125,3.813263416290283,0.6110455989837646,0.6293621063232422,0.9019989967346191,5.955983400344849
2,4.542694171269734,4.531762361526489,2.649038036664327,2.8964990377426147,0.03643956407904625,0.0,0.0,12.161707242329916,0.0,1.0,0.0,0.0,0.0,0.0,0.11956521739130435,0.2210144927536232,0.11956521739130435,0.1539855072463768,0.19927536231884058,0.0,0.0,0.0,0.0,1.9100765983263652,0.88707235455513,0.3457532624403636,0.25996658205986023,2.1520944039026895,2.2085580825805664,5.656101147333781,0.0,0.0,0.0,0.0,0.0,2.4800095558166504,0.17424242424242425,0.11203471642068132,0.1633089133089133,0.10863117545887273,0.17424242424242425,0.17424242424242425,0.17424242424242425,,,,,,,0.10863117545887273,-inf,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.081559896469116,0.6290688514709473,0.0,0.0,3.71085786819458
3,4.131597479184468,4.13920783996582,2.36500612894694,2.7295411030451455,-0.025367803095529478,0.0,0.0,10.607769330342611,0.0,1.0,0.0,0.0,0.0,0.0,0.18840579710144928,0.29891304347826086,0.18840579710144928,0.19021739130434784,0.286231884057971,0.0,0.0,0.0,0.0,1.8281164566675823,0.9465628961722056,0.34499142070611316,0.2598588317632675,2.155453165372213,2.198205351829529,5.191579659779866,0.0,0.0,0.0,0.0,0.0,2.2522491216659546,0.21212121212121213,0.19694163860830527,0.19501085334418666,0.1400087819298542,0.21212121212121213,0.21212121212121213,0.21212121212121215,,,,,,,0.1400087819298542,-inf,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.0084683895111084,0.6233625411987305,0.0,0.0,3.6320407390594482
4,3.921163479487101,3.9290890296300254,2.221603751182556,2.626900553703308,-0.02641848831747969,0.0,0.0,9.974178949991861,0.0,1.0,0.0,0.0,0.0,0.0,0.21195652173913043,0.338768115942029,0.21195652173913043,0.23007246376811594,0.3278985507246377,0.0,0.0,0.0,0.0,1.7503745555877686,1.017112096150716,0.3474799394607544,0.25967320303122204,2.1308340231577554,2.1869231859842935,4.910443385442098,0.0,0.0,0.0,0.0,0.0,2.0445395708084106,0.3787878787878788,0.4616096866096866,0.3487179487179487,0.34021293009715464,0.3787878787878788,0.3787878787878788,0.3787878787878788,,,,,,,0.34021293009715464,0.08784343724102761,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.1812422275543213,0.6239612102508545,0.0,0.0,3.8054087162017822
5,3.6067742904027305,3.631186326344808,2.0620373686154685,2.414075414339701,-0.0813735422367851,0.0,0.0,9.233230113983154,0.0,1.0,0.0,0.0,0.0,0.0,0.2807971014492754,0.4003623188405797,0.2807971014492754,0.23007246376811594,0.36231884057971014,0.0,0.0,0.0,0.0,1.77402530113856,1.1098811825116475,0.3464248428742091,0.25948616365591687,2.141580581665039,2.183221697807312,4.571823040644328,0.0,0.0,0.0,0.0,0.0,2.0343732833862305,0.4015151515151515,0.3116318626273571,0.3686982770316104,0.31869283982926205,0.4015151515151515,0.4015151515151515,0.4015151515151515,2.040217399597168,0.3560606060606061,0.2728875268202653,0.4437869822485207,0.3721174037671848,-0.21371451848040476,0.31869283982926205,0.10863117545887273,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.3427176475524902,0.6249957084655762,0.6282711029052734,0.88824462890625,5.484503984451294
6,3.4655481576919556,3.479476968447367,1.9826031128565471,2.3028828303019204,-0.046429260013004146,0.0,0.0,8.909261067708334,0.0,1.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.4311594202898551,0.30434782608695654,0.26268115942028986,0.4311594202898551,0.0,0.0,0.0,0.0,1.7169516483942668,1.0485134621461232,0.34753455718358356,0.25898922979831696,2.1424471537272134,2.1710466543833413,4.414196491241455,0.0,0.0,0.0,0.0,0.0,1.986813724040985,0.4090909090909091,0.5148283558526966,0.42341609008275677,0.38922841400745256,0.4090909090909091,0.4090909090909091,0.4090909090909091,,,,,,,0.38922841400745256,0.1400087819298542,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,2.918865919113159,0.6357498168945312,0.0,0.0,3.5548312664031982
7,3.3604480425516763,3.383106748263041,1.9077231287956238,2.269820968310038,-0.0755290575325489,0.0,0.0,8.95411459604899,0.0,1.0,0.0,0.0,0.0,0.0,0.3115942028985507,0.4692028985507246,0.3115942028985507,0.302536231884058,0.45471014492753625,0.0,0.0,0.0,0.0,1.7215697169303894,1.0225524008274078,0.34712644418080646,0.2598293175299962,2.113696575164795,2.152953624725342,4.268828948338826,0.0,0.0,0.0,0.0,0.0,1.8842152953147888,0.4772727272727273,0.541537872458925,0.48689797856464534,0.45945084489870236,0.4772727272727273,0.4772727272727273,0.4772727272727273,,,,,,,0.45945084489870236,0.31869283982926205,4,False,45,False,6e-05,3e-05,0.5,21.776615142822266,29.14453125,3.1181623935699463,0.6286115646362305,0.0,0.0,3.7469899654388428
8,3.2063140074412027,3.240453322728475,1.831748366355896,2.167238394419352,-0.12695236379901567,0.003946420775415997,1.0075716972351074,8.678419907887777,1.9837517738342285,1.0,0.0,3.0,0.041666666666666664,0.07142857142857142,0.36231884057971014,0.5380434782608695,0.36231884057971014,0.35688405797101447,0.46195652173913043,1.0075716972351074,1.1549473603566487,0.8601960142453512,0.003946420775415997,1.6757023930549622,1.0304147402445476,0.3464359889427821,0.26087919374306995,2.097771962483724,2.1245402892430625,4.000999450683594,0.0,0.0,0.0,0.0,0.0,1.7698400020599365,0.5303030303030303,0.6724812711654817,0.6130375797042463,0.5852478701315911,0.5303030303030303,0.5303030303030303,0.5303030303030303,,,,,,,0.5852478701315911,0.31869283982926205,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.278697967529297,0.6290442943572998,0.0,0.0,3.907960891723633
9,3.052485386530558,3.080083211263021,1.7660404046376545,2.0216044386227927,-0.11794767528772354,0.007786503837754329,0.9806419213612875,8.689492464065552,1.910544713338216,1.0,0.0,3.0,0.08333333333333333,0.14285714285714285,0.4076086956521739,0.572463768115942,0.4076086956521739,0.37318840579710144,0.5072463768115942,0.9806419213612875,1.089373270670573,0.8719106117884318,0.007786503837754329,1.72252357006073,0.9471349120140076,0.3453021893898646,0.26073499023914337,2.0641741355260215,2.102356235186259,3.8917692502339682,0.0,0.0,0.0,0.0,0.0,1.7486345171928406,0.6060606060606061,0.6829014785536525,0.657987382987383,0.6169617462902103,0.6060606060606061,0.6060606060606061,0.6060606060606061,,,,,,,0.6169617462902103,0.38922841400745256,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.350574016571045,0.627971887588501,0.0,0.0,3.978767156600952
10,2.9584343433380127,2.9690690437952676,1.6789827346801758,1.9847482442855835,-0.07082958146929741,0.010614104724178711,1.0052542090415955,8.903519789377848,1.9368797540664673,1.0,0.0,3.0,0.125,0.21428571428571427,0.42028985507246375,0.5887681159420289,0.42028985507246375,0.4057971014492754,0.5416666666666666,1.0052542090415955,1.1172797282536824,0.8932286500930786,0.010614104724178711,1.6080114444096882,0.8180695374806722,0.34497539699077606,0.2613070954879125,2.0507177909215293,2.0941696961720786,3.7806204160054526,0.0,0.0,0.0,0.0,0.0,1.6830206513404846,0.6363636363636364,0.6988407743925572,0.6908526658526659,0.6521707977451857,0.6363636363636364,0.6363636363636364,0.6363636363636364,1.6310551166534424,0.5909090909090909,0.598655067265468,0.6607495069033531,0.6746288883490841,-0.2549524054540777,0.6521707977451857,0.45945084489870236,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.2835941314697266,0.6192898750305176,0.6325640678405762,0.8700087070465088,5.405726671218872
11,2.863043228785197,2.8768752813339233,1.610429306825002,1.9483785231908162,-0.08982950262725353,0.013116816058754921,0.9958800276120504,9.154706001281738,1.9089407523473103,1.0,0.0,3.0,0.16666666666666666,0.2857142857142857,0.44021739130434784,0.6231884057971014,0.44021739130434784,0.4438405797101449,0.5887681159420289,0.9958800276120504,1.0819193124771118,0.9098407626152039,0.013116816058754921,1.4957710305849712,0.7528259754180908,0.3458709468444188,0.2631385326385498,2.035931865374247,2.070160746574402,3.6293371121088662,0.0,0.0,0.0,0.0,0.0,1.6353018879890442,0.6136363636363636,0.6820894126449681,0.6853649436982772,0.6329492487750201,0.6136363636363636,0.6136363636363636,0.6136363636363636,,,,,,,0.6329492487750201,0.5852478701315911,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.0349884033203125,0.6280965805053711,0.0,0.0,3.6633074283599854
12,2.7713555892308555,2.7792262633641562,1.568621079126994,1.8624696334203084,-0.07575611645976703,0.014856113120913506,1.0192175308863323,8.998890082041422,1.9212406873703003,1.0,0.0,3.0,0.20833333333333334,0.35714285714285715,0.4945652173913043,0.6539855072463768,0.4945652173913043,0.4384057971014493,0.5887681159420289,1.0192175308863323,1.0866044362386067,0.9518306056658427,0.014856113120913506,1.3329220016797383,0.7044878005981445,0.3491523861885071,0.2651343196630478,2.032354990641276,2.05130398273468,3.6016770203908286,0.0,0.0,0.0,0.0,0.0,1.5615914463996887,0.6893939393939394,0.7119132410799077,0.7331603581603582,0.6800500576131145,0.6893939393939394,0.6893939393939394,0.6893939393939394,,,,,,,0.6800500576131145,0.6169617462902103,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.4313602447509766,0.6363739967346191,0.0,0.0,4.067940950393677
13,2.6490511496861777,2.6627087593078613,1.5458162625630696,1.7182961702346802,-0.09985708445310593,0.016299570600191753,1.0648643573125203,8.700035095214844,1.9025510549545288,1.0,0.0,3.0,0.25,0.42857142857142855,0.5615942028985508,0.6467391304347826,0.5615942028985508,0.5090579710144928,0.625,1.0648643573125203,1.1425925095876057,0.9871362646420797,0.016299570600191753,1.2305675943692524,0.6322404940923055,0.3548993468284607,0.26961466670036316,2.0074989199638367,2.0417667229970298,3.3983901341756186,0.0,0.0,0.0,0.0,0.0,1.490814745426178,0.7424242424242424,0.7827428878153516,0.7696988196988198,0.7361853221502345,0.7424242424242424,0.7424242424242424,0.7424242424242424,,,,,,,0.7361853221502345,0.6329492487750201,4,False,45,False,6e-05,3e-05,0.5,21.777554035186768,29.146484375,3.3784432411193848,0.6260831356048584,0.0,0.0,4.004744291305542
