2026-08-31 00:18:53 | Starting Dual_D standalone training
2026-08-31 00:18:53 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_module_c_雾天_20260830_235352
2026-08-31 00:18:53 | Device: cuda
2026-08-31 00:18:53 | Source train samples: 992
2026-08-31 00:18:53 | Target train samples: 507
2026-08-31 00:18:53 | Target val samples: 132
2026-08-31 00:18:53 | Classes: 14
2026-08-31 00:18:53 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=630/0
2026-08-31 00:18:53 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-31 00:18:53 | target_train classes: present 9/14 | absent 5 | counts [0:35, 1:18, 2:119, 6:110, 8:25, 9:50, 10:48, 12:9, 13:93]
2026-08-31 00:18:53 | target_val classes: present 9/14 | absent 5 | counts [0:9, 1:5, 2:30, 6:28, 8:7, 9:13, 10:13, 12:3, 13:24]
2026-08-31 00:18:53 | Paired training classes: 9/14 | class ids [0, 1, 2, 6, 8, 9, 10, 12, 13]
2026-08-31 00:18:53 | Runtime profile: batch=92 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=45 | early_stop=15 after min_epoch=55
2026-08-31 00:18:53 | Augmentation profile: base=0.720 | visible=0.720 | infrared=0.720 | freeze_frozen_batch_norm_stats=True
2026-08-31 00:18:53 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/2 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-31 00:18:54 | Effective Dual-D loss weights: {"adv_auxiliary": 0.035, "adv_primary": 0.035, "classification": 0.0, "contrastive": 0.0, "cycle": 0.0, "identity": 0.0, "prototype_contrastive": 0.0}
2026-08-31 00:18:54 | Model parameters: total=17277714 | trainable=17120210
2026-08-31 00:19:00 | Epoch 001/060 | loss 5.5183 | cls 5.5321 | tal -0.0460 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0743 | train_full 0.0276 | val_acc 0.0303 | val_f1 0.0176 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 14.544/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.5/0.6/0.6/0.9s | 5.7s
2026-08-31 00:19:04 | Epoch 002/060 | loss 4.6003 | cls 4.6215 | tal -0.0705 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1486 | train_full n/a | val_acc 0.0682 | val_f1 0.0236 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 11.819/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
2026-08-31 00:19:07 | Epoch 003/060 | loss 4.2357 | cls 4.2562 | tal -0.0682 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1866 | train_full n/a | val_acc 0.1515 | val_f1 0.1161 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 10.338/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.0/0.7/0.0/0.0s | 3.7s
2026-08-31 00:19:11 | Epoch 004/060 | loss 3.8393 | cls 3.8685 | tal -0.0975 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2246 | train_full n/a | val_acc 0.2500 | val_f1 0.2129 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 9.405/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.0/0.0s | 3.9s
2026-08-31 00:19:17 | Epoch 005/060 | loss 3.6127 | cls 3.6517 | tal -0.1299 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2736 | train_full 0.2939 | val_acc 0.2879 | val_f1 0.2559 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 8.866/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.4/0.6/0.6/0.9s | 5.5s
2026-08-31 00:19:21 | Epoch 006/060 | loss 3.5764 | cls 3.6423 | tal -0.2198 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2500 | train_full n/a | val_acc 0.3409 | val_f1 0.3084 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 9.042/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.5/0.6/0.0/0.0s | 4.1s
2026-08-31 00:19:25 | Epoch 007/060 | loss 3.3415 | cls 3.4093 | tal -0.2262 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3261 | train_full n/a | val_acc 0.4091 | val_f1 0.3672 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 8.902/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
2026-08-31 00:19:28 | Epoch 008/060 | loss 3.1324 | cls 3.1901 | tal -0.2017 | dual_g 0.0028 | dual_d 0.8490 | train_acc 0.3768 | train_full n/a | val_acc 0.4773 | val_f1 0.4376 | adv/moduleC 0.04/0.07 | disc_steps 3 | grad(main/disc) 8.294/1.728 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.0/0.0s | 3.8s
2026-08-31 00:19:32 | Epoch 009/060 | loss 2.9416 | cls 2.9932 | tal -0.1907 | dual_g 0.0056 | dual_d 0.8203 | train_acc 0.4094 | train_full n/a | val_acc 0.5455 | val_f1 0.5110 | adv/moduleC 0.08/0.14 | disc_steps 3 | grad(main/disc) 8.260/1.663 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.3/0.6/0.0/0.0s | 4.0s
2026-08-31 00:19:38 | Epoch 010/060 | loss 2.9321 | cls 2.9812 | tal -0.1895 | dual_g 0.0078 | dual_d 0.8450 | train_acc 0.4330 | train_full 0.6529 | val_acc 0.5758 | val_f1 0.5778 | adv/moduleC 0.12/0.21 | disc_steps 3 | grad(main/disc) 8.454/1.637 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.6/0.9s | 5.4s
2026-08-31 00:19:42 | Epoch 011/060 | loss 2.8791 | cls 2.9275 | tal -0.1932 | dual_g 0.0096 | dual_d 0.8487 | train_acc 0.4366 | train_full n/a | val_acc 0.6591 | val_f1 0.6763 | adv/moduleC 0.17/0.29 | disc_steps 3 | grad(main/disc) 9.595/1.624 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.0/0.0s | 3.9s
2026-08-31 00:19:46 | Epoch 012/060 | loss 2.7013 | cls 2.7464 | tal -0.1878 | dual_g 0.0112 | dual_d 0.9051 | train_acc 0.5072 | train_full n/a | val_acc 0.7121 | val_f1 0.7196 | adv/moduleC 0.21/0.36 | disc_steps 3 | grad(main/disc) 8.932/1.665 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.3/0.6/0.0/0.0s | 3.9s
2026-08-31 00:19:49 | Epoch 013/060 | loss 2.5189 | cls 2.5649 | tal -0.1953 | dual_g 0.0125 | dual_d 0.8695 | train_acc 0.5489 | train_full n/a | val_acc 0.7652 | val_f1 0.7589 | adv/moduleC 0.25/0.43 | disc_steps 3 | grad(main/disc) 8.142/1.648 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
2026-08-31 00:19:53 | Epoch 014/060 | loss 2.4571 | cls 2.4943 | tal -0.1652 | dual_g 0.0124 | dual_d 0.9317 | train_acc 0.5471 | train_full n/a | val_acc 0.7197 | val_f1 0.7425 | adv/moduleC 0.29/0.50 | disc_steps 3 | grad(main/disc) 8.546/1.655 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.3/0.6/0.0/0.0s | 4.0s
2026-08-31 00:19:59 | Epoch 015/060 | loss 2.4267 | cls 2.4675 | tal -0.1822 | dual_g 0.0139 | dual_d 1.0049 | train_acc 0.5380 | train_full 0.7830 | val_acc 0.7652 | val_f1 0.7601 | adv/moduleC 0.33/0.57 | disc_steps 3 | grad(main/disc) 8.977/1.668 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.3/0.6/0.6/0.9s | 5.4s
2026-08-31 00:20:03 | Epoch 016/060 | loss 2.3871 | cls 2.4254 | tal -0.1747 | dual_g 0.0141 | dual_d 1.0107 | train_acc 0.5924 | train_full n/a | val_acc 0.8182 | val_f1 0.7764 | adv/moduleC 0.38/0.64 | disc_steps 3 | grad(main/disc) 9.252/1.711 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.0/0.0s | 3.8s
2026-08-31 00:20:07 | Epoch 017/060 | loss 2.3410 | cls 2.3958 | tal -0.2300 | dual_g 0.0141 | dual_d 1.0472 | train_acc 0.6522 | train_full n/a | val_acc 0.8712 | val_f1 0.8447 | adv/moduleC 0.42/0.71 | disc_steps 3 | grad(main/disc) 9.208/1.731 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.3/0.6/0.0/0.0s | 4.0s
2026-08-31 00:20:10 | Epoch 018/060 | loss 2.2677 | cls 2.3421 | tal -0.2949 | dual_g 0.0141 | dual_d 1.0967 | train_acc 0.6957 | train_full n/a | val_acc 0.8864 | val_f1 0.8713 | adv/moduleC 0.46/0.79 | disc_steps 3 | grad(main/disc) 9.373/1.690 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
2026-08-31 00:20:14 | Epoch 019/060 | loss 2.2409 | cls 2.3095 | tal -0.2793 | dual_g 0.0152 | dual_d 1.1196 | train_acc 0.6630 | train_full n/a | val_acc 0.8864 | val_f1 0.8823 | adv/moduleC 0.50/0.86 | disc_steps 3 | grad(main/disc) 8.948/1.663 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.7/0.0/0.0s | 3.9s
2026-08-31 00:20:20 | Epoch 020/060 | loss 2.1480 | cls 2.2047 | tal -0.2428 | dual_g 0.0162 | dual_d 1.1564 | train_acc 0.7011 | train_full 0.8955 | val_acc 0.8788 | val_f1 0.8564 | adv/moduleC 0.54/0.93 | disc_steps 3 | grad(main/disc) 9.016/1.695 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.6/0.9s | 5.3s
2026-08-31 00:20:23 | Epoch 021/060 | loss 2.0444 | cls 2.0929 | tal -0.2182 | dual_g 0.0169 | dual_d 1.1413 | train_acc 0.7572 | train_full n/a | val_acc 0.9091 | val_f1 0.9089 | adv/moduleC 0.58/1.00 | disc_steps 3 | grad(main/disc) 9.316/1.711 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.4/0.6/0.0/0.0s | 4.0s
