epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.877151115735372,4.814493290583292,2.6045289834340415,2.7624552528063457,0.20885934370259443,0.0,0.0,25.93967456817627,0.0,1.0,0.0,0.0,0.0,0.0,0.17291666666666666,0.23125,0.17291666666666666,0.18333333333333332,0.225,0.0,0.0,0.0,0.0,0.5374078681071599,0.501590762535731,0.3616318702697754,0.26988543967405954,1.7878745992978413,2.0650930245717367,5.4240552425384525,0.0,0.0,0.0,0.0,0.0,2.212333768606186,0.18333333333333332,0.3380240130240131,0.42481451475353915,0.214011727519792,0.18333333333333332,0.18333333333333332,0.18333333333333332,2.044190749526024,0.25833333333333336,0.2624669377226922,0.17849462365591398,0.175220987709383,0.0048387096774193394,0.214011727519792,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.088278770446777,5.126953125,2.884106397628784,0.43349552154541016,0.4297926425933838,0.7296006679534912,4.477273225784302
2,3.6565203269322715,3.663624660174052,2.095259126027425,1.9604568958282471,-0.023681093379855155,0.0,0.0,21.318614069620768,0.0,1.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.3770833333333333,0.3958333333333333,0.39375,0.33958333333333335,0.0,0.0,0.0,0.0,0.5785487055778503,0.5173077126344044,0.3654227554798126,0.26872933804988863,1.7367745518684388,1.9630815664927164,3.9881702025731403,0.0,0.0,0.0,0.0,0.0,1.5156105309724808,0.575,0.5463503887416932,0.7330566967496979,0.5614732168699711,0.575,0.575,0.575,,,,,,,0.5614732168699711,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.089285850524902,5.126953125,2.7306950092315674,0.4353349208831787,0.0,0.0,3.1662566661834717
3,3.099005357424418,3.1021159092585244,1.7823938926060994,1.6496524930000305,-0.010368571896106005,0.0,0.0,20.188519223531088,0.0,1.0,0.0,0.0,0.0,0.0,0.54375,0.4875,0.54375,0.5145833333333333,0.5083333333333333,0.0,0.0,0.0,0.0,0.6364928801854451,0.5439193427562714,0.365279221534729,0.2687700271606445,1.6507225950558981,1.8794237931569417,3.431181875864665,0.0,0.0,0.0,0.0,0.0,1.609737068414688,0.5,0.7196859903381644,0.7176425112533279,0.5809895833333333,0.5,0.5,0.5,,,,,,,0.5809895833333333,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.088278770446777,5.126953125,2.6874654293060303,0.4423203468322754,0.0,0.0,3.1300089359283447
4,2.600185497601827,2.598860255877177,1.4649807234605154,1.417349390188853,0.004417492200930914,0.0,0.0,19.116916942596436,0.0,1.0,0.0,0.0,0.0,0.0,0.6583333333333333,0.6395833333333333,0.6583333333333333,0.6479166666666667,0.5979166666666667,0.0,0.0,0.0,0.0,0.6588207483291626,0.5956515898307164,0.36352643072605134,0.2689360201358795,1.5462270379066467,1.792440156141917,3.0079590876897178,0.0,0.0,0.0,0.0,0.0,1.2967135161161423,0.7166666666666667,0.6808515988393833,0.8354692100052652,0.6974159598309888,0.7166666666666667,0.7166666666666667,0.7166666666666667,,,,,,,0.6974159598309888,0.214011727519792,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.126953125,2.6425681114196777,0.4397289752960205,0.0,0.0,3.082519292831421
5,2.31765927473704,2.335686206817627,1.28870942791303,1.3087209463119507,-0.06008977132538954,0.0,0.0,17.86169376373291,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.6791666666666667,0.7,0.7020833333333333,0.68125,0.0,0.0,0.0,0.0,0.6709702759981155,0.6475043227275212,0.36504923502604164,0.2678669273853302,1.5261006633440652,1.7200220624605815,2.6555262645085653,0.0,0.0,0.0,0.0,0.0,1.1109977886080742,0.8083333333333333,0.7730672105672106,0.8564295758589238,0.7687691526439817,0.8083333333333333,0.8083333333333333,0.8083333333333333,1.1025529652833939,0.8166666666666667,0.7661367477352864,0.8,0.7656942512919942,-0.09791666666666676,0.7687691526439817,0.5614732168699711,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.126953125,2.660754680633545,0.42711806297302246,0.44178128242492676,0.7663934230804443,4.2963151931762695
6,2.049732144673665,2.072471006711324,1.207363841931025,1.0813839435577393,-0.07579620126634837,0.0,0.0,17.19026870727539,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.8104166666666667,0.75,0.8104166666666667,0.7791666666666667,0.7770833333333333,0.0,0.0,0.0,0.0,0.6945496360460918,0.6377287149429322,0.36426541606585183,0.26886059443155924,1.4465227325757344,1.6136971712112427,2.3109100898106893,0.0,0.0,0.0,0.0,0.0,1.1427501291036606,0.7833333333333333,0.7381980375975175,0.8574734517868134,0.7409432446197152,0.7833333333333333,0.7833333333333333,0.7833333333333333,,,,,,,0.7409432446197152,0.5809895833333333,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.126953125,2.633413314819336,0.43091773986816406,0.0,0.0,3.064549207687378
7,1.910237697760264,1.918988565603892,1.0988358040650685,1.025190939505895,-0.029169588287671407,0.0,0.0,16.235263347625732,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.79375,0.8333333333333334,0.8208333333333333,0.79375,0.0,0.0,0.0,0.0,0.72456147869428,0.6002352943023046,0.36391801834106446,0.26821786562601724,1.387803582350413,1.5915401021639506,2.209490005175273,0.0,0.0,0.0,0.0,0.0,1.075796127319336,0.7833333333333333,0.7749007936507937,0.8657632796683699,0.7794261497787327,0.7833333333333333,0.7833333333333333,0.7833333333333333,,,,,,,0.7794261497787327,0.6974159598309888,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.126953125,2.5209836959838867,0.4387321472167969,0.0,0.0,2.9599320888519287
8,1.8139885584513347,1.825293533007304,1.020065681139628,1.0065347850322723,-0.04203658929715554,0.001306006172671914,1.0033859690030416,15.895749155680338,2.087241299947103,1.0,0.0,15.0,0.05,0.25,0.8520833333333333,0.8354166666666667,0.8520833333333333,0.8125,0.8041666666666667,1.0033859690030416,0.9254633545875549,1.0813085834185283,0.001306006172671914,0.5348579972982407,0.5099469810724259,0.3684320459763209,0.27534365057945254,1.3833198030789693,1.573158852259318,2.185441335042318,0.0,0.0,0.0,0.0,0.0,0.8499264717102051,0.9,0.8355550941306755,0.9285687138948009,0.8657679061879253,0.9,0.9,0.9,,,,,,,0.8657679061879253,0.7409432446197152,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.6243417263031006,0.44047021865844727,0.0,0.0,3.065034866333008
9,1.68701384862264,1.6929118752479553,0.9729799886544546,0.8999148368835449,-0.02505942036708196,0.001619781976720939,1.1967730442682902,13.368218119939169,2.2904890060424803,1.0,0.0,15.0,0.1,0.3333333333333333,0.8875,0.8708333333333333,0.8875,0.8458333333333333,0.86875,1.1967730442682902,1.1223850846290588,1.2711610317230224,0.001619781976720939,0.3401492570837339,0.30776354869206746,0.39906974136829376,0.3009653667608897,1.387481435139974,1.5179512778917947,1.9505300362904867,0.0,0.0,0.0,0.0,0.0,0.9397863149642944,0.875,0.8030429425395766,0.9020741486774095,0.8288059163059163,0.875,0.875,0.875,,,,,,,0.8288059163059163,0.7409432446197152,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.6821560859680176,0.44434213638305664,0.0,0.0,3.126715660095215
10,1.6257221817970275,1.648511238892873,0.938522340854009,0.8874860982100169,-0.08312524730960529,0.002148518688045442,1.223284331957499,13.383550643920898,2.262870995203654,1.0,0.0,15.0,0.15,0.4166666666666667,0.9020833333333333,0.88125,0.9020833333333333,0.8895833333333333,0.8479166666666667,1.223284331957499,1.185181482632955,1.2613871812820434,0.002148518688045442,0.30216078261534374,0.2707775503396988,0.43144502441088356,0.32992118994394937,1.2645745317141215,1.463585658868154,1.9577128370602925,0.0,0.0,0.0,0.0,0.0,0.9096390157938004,0.8916666666666667,0.8608333333333333,0.9135708041958042,0.8660610465116281,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8955278247594833,0.8916666666666667,0.8572800545255213,0.9182795698924732,0.8972875888146001,-0.028696236559139887,0.8660610465116281,0.7794261497787327,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.126953125,2.6099798679351807,0.43689560890197754,0.44200611114501953,0.7016808986663818,4.190814256668091
