epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.452697992324829,5.448438723882039,2.8923826615015664,3.0071247816085815,0.014197669923305511,0.0,0.0,34.37179756164551,0.0,1.0,0.0,0.0,0.0,0.0,0.13541666666666666,0.16666666666666666,0.13541666666666666,0.13541666666666666,0.10416666666666667,0.0,0.0,0.0,0.0,0.38526899615923565,0.6921700139840444,0.3463909427324931,0.2713510791460673,1.5307372013727825,1.838057557741801,6.536780595779419,0.0,0.0,0.0,0.0,0.0,2.8884319067001343,0.15384615384615385,0.047619047619047616,0.08333333333333333,0.06060606060606061,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.879068970680237,0.2692307692307692,0.15757575757575756,0.3020833333333333,0.15939233180612492,-0.16666666666666666,0.06060606060606061,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.087424278259277,29.146484375,1.04807448387146,0.36356639862060547,0.36313390731811523,0.41735339164733887,2.192443370819092
2,4.875444173812866,4.8379472096761065,2.624972701072693,2.603499412536621,0.12498977159460385,0.0,0.0,29.451778411865234,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.22916666666666666,0.25,0.22916666666666666,0.19791666666666666,0.0,0.0,0.0,0.0,0.3489401042461395,0.5075321594874064,0.3471437096595764,0.27128856380780536,1.6689935525258381,1.7930062611897786,5.319973627726237,0.0,0.0,0.0,0.0,0.0,2.4832946062088013,0.15384615384615385,0.09583333333333333,0.2333333333333333,0.1349206349206349,0.15384615384615385,0.15384615384615385,0.15384615384615385,,,,,,,0.1349206349206349,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7879254817962646,0.36474013328552246,0.0,0.0,1.1528918743133545
3,4.582927227020264,4.5251452922821045,2.486885945002238,2.3979521989822388,0.19260650873184204,0.0,0.0,26.725253740946453,0.0,1.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.20833333333333334,0.2708333333333333,0.22916666666666666,0.2604166666666667,0.0,0.0,0.0,0.0,0.3776057610909144,0.5797452578941981,0.3441099673509598,0.27014655868212384,1.6757858196894329,1.761435588200887,4.782650629679362,0.0,0.0,0.0,0.0,0.0,2.386583089828491,0.2692307692307692,0.3680555555555556,0.3333333333333333,0.2796934865900383,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.2796934865900383,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.789839506149292,0.36005687713623047,0.0,0.0,1.1501216888427734
4,4.00717560450236,3.951840122540792,2.2257123390833535,2.0307384729385376,0.1844515067835649,0.0,0.0,25.0145165125529,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.25,0.375,0.2708333333333333,0.3125,0.0,0.0,0.0,0.0,0.36405855417251587,0.5697863548994064,0.345010906457901,0.2704329739014308,1.459737499554952,1.7388275464375813,4.49886159102122,0.0,0.0,0.0,0.0,0.0,2.213631570339203,0.23076923076923078,0.1400966183574879,0.3,0.18095238095238098,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.18095238095238098,0.06060606060606061,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7214980125427246,0.3654968738555908,0.0,0.0,1.0872044563293457
5,3.7555088996887207,3.7166550556818643,2.140635152657827,1.8541409969329834,0.12951269870003065,0.0,0.0,23.764161745707195,0.0,1.0,0.0,0.0,0.0,0.0,0.4895833333333333,0.3333333333333333,0.4895833333333333,0.4479166666666667,0.3229166666666667,0.0,0.0,0.0,0.0,0.3064071436723073,0.492797131339709,0.3446062405904134,0.27047044535477954,1.4728961984316509,1.7380403280258179,4.354838768641154,0.0,0.0,0.0,0.0,0.0,1.9599571824073792,0.46153846153846156,0.47222222222222227,0.5833333333333334,0.47222222222222215,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.9585313200950623,0.5,0.5321637426900584,0.34375,0.37536237662819943,0.10416666666666669,0.47222222222222215,0.1349206349206349,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7615079879760742,0.360182523727417,0.37008047103881836,0.4099726676940918,1.9020087718963623
6,3.7553546031316123,3.512311339378357,1.9177044034004211,1.8760081728299458,0.11018144153058529,0.2099888970454534,0.0,22.497888565063477,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.4270833333333333,0.4166666666666667,0.4270833333333333,0.3958333333333333,0.2916666666666667,0.0,0.0,0.0,0.2099888970454534,0.30361105253299076,0.5245265911022822,0.34065703054269153,0.27023035784562427,1.5341851115226746,1.6943795283635457,4.078027447064717,0.0034065702153990665,0.0005629799367549518,0.0,0.0021179744120066366,0.2039013753334681,1.785250723361969,0.46153846153846156,0.46410256410256406,0.5833333333333334,0.4656084656084656,0.46153846153846156,0.46153846153846156,0.46153846153846156,,,,,,,0.4656084656084656,0.18095238095238098,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.932227373123169,0.36441731452941895,0.0,0.0,1.2968640327453613
7,4.018830855687459,3.5427677234013877,2.0299389958381653,1.7797984679539998,0.2641189123193423,0.396827499071757,0.0,22.61131985982259,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.4791666666666667,0.375,0.4791666666666667,0.4375,0.34375,0.0,0.0,0.0,0.396827499071757,0.3417414724826813,0.5492722243070602,0.3381164073944092,0.27216729521751404,1.5533538063367207,1.7057621280352275,3.846667249997457,0.0067623279367884,0.0011340304627083242,0.0,0.00426440523006022,0.3846667359272639,1.7343716025352478,0.46153846153846156,0.38888888888888884,0.5833333333333334,0.4444444444444444,0.46153846153846156,0.46153846153846156,0.46153846153846156,,,,,,,0.4444444444444444,0.18095238095238098,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7969515323638916,0.36615991592407227,0.0,0.0,1.1633493900299072
8,3.880669116973877,3.264077067375183,1.8905776937802632,1.615881621837616,0.20664936552445093,0.5545973281065623,0.0,22.187952995300293,0.0,1.0,0.0,0.0,0.0,0.25,0.5520833333333334,0.46875,0.5520833333333334,0.5104166666666666,0.4375,0.0,0.0,0.0,0.5545973281065623,0.3644840021928151,0.6307337880134583,0.33744824429353076,0.2713784823815028,1.500652591387431,1.6638731360435486,3.576921582221985,0.01012344720462958,0.001696115534286946,0.0,0.006239524111151695,0.5365382532278696,1.6197435855865479,0.5,0.4694444444444444,0.6666666666666666,0.5266106442577031,0.5,0.5,0.5,,,,,,,0.5266106442577031,0.4444444444444444,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.9680168628692627,0.36658239364624023,0.0,0.0,1.3348281383514404
9,4.074783484141032,3.2810111045837402,1.8796534538269043,1.6486559510231018,0.23676855117082596,0.7227418124675751,0.9976726770401001,22.571877479553223,2.3016721407572427,1.0,0.0,3.0,0.05,0.3333333333333333,0.5625,0.4270833333333333,0.5625,0.6145833333333334,0.4583333333333333,0.9976726770401001,1.0827155113220215,0.9126298824946085,0.7227418124675751,0.2979931930700938,0.6063289741675059,0.3330646852652232,0.2695491413275401,1.414963165918986,1.653932809829712,3.4899949630101523,0.01332258696978291,0.0022462429478764534,0.0,0.008269663900136948,0.6979990005493164,1.5447158813476562,0.6153846153846154,0.8141025641025642,0.65,0.6322751322751322,0.6153846153846154,0.6153846153846154,0.6153846153846154,,,,,,,0.6322751322751322,0.4444444444444444,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.085799694061279,29.146484375,0.8149721622467041,0.367095947265625,0.0,0.0,1.1822891235351562
10,4.1125514904658,3.196944832801819,1.8976992567380269,1.5285241802533467,0.18650732189416885,0.8596543967723846,0.9421643416086832,21.95608075459798,2.287745475769043,1.0,0.0,3.0,0.1,0.4166666666666667,0.5729166666666666,0.4583333333333333,0.5729166666666666,0.6979166666666666,0.4479166666666667,0.9421643416086832,1.0429897904396057,0.8413389126459757,0.8596543967723846,0.33659177521864575,0.6525821189085642,0.333693265914917,0.2685237228870392,1.5562787055969238,1.638986309369405,3.311802387237549,0.016684663482010365,0.00279712222982198,0.0,0.010243664495646954,0.8279505968093872,1.53120756149292,0.6153846153846154,0.6620370370370371,0.7041666666666666,0.5949735449735449,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.4993566870689392,0.6153846153846154,0.6039146039146039,0.59375,0.5745435495089367,0.10416666666666663,0.5949735449735449,0.4444444444444444,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.085799694061279,29.146484375,0.8786139488220215,0.36360836029052734,0.36483049392700195,0.4140746593475342,2.02138352394104
