epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.452697992324829,5.448438723882039,2.8923826615015664,3.0071247816085815,0.014197669923305511,0.0,0.0,34.37179756164551,0.0,1.0,0.0,0.0,0.0,0.0,0.13541666666666666,0.16666666666666666,0.13541666666666666,0.13541666666666666,0.10416666666666667,0.0,0.0,0.0,0.0,0.38526899615923565,0.6921700139840444,0.3463909427324931,0.2713510791460673,1.5307372013727825,1.838057557741801,6.536780595779419,0.0,0.0,0.0,0.0,0.0,2.8884319067001343,0.15384615384615385,0.047619047619047616,0.08333333333333333,0.06060606060606061,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.879068970680237,0.2692307692307692,0.15757575757575756,0.3020833333333333,0.15939233180612492,-0.16666666666666666,0.06060606060606061,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.087424278259277,29.146484375,1.0689201354980469,0.3743014335632324,0.3836371898651123,0.42020487785339355,2.247389554977417
2,4.875444173812866,4.8379472096761065,2.624972701072693,2.603499412536621,0.12498977159460385,0.0,0.0,29.451778411865234,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.22916666666666666,0.25,0.22916666666666666,0.19791666666666666,0.0,0.0,0.0,0.0,0.3489401042461395,0.5075321594874064,0.3471437096595764,0.27128856380780536,1.6689935525258381,1.7930062611897786,5.319973627726237,0.0,0.0,0.0,0.0,0.0,2.4832946062088013,0.15384615384615385,0.09583333333333333,0.2333333333333333,0.1349206349206349,0.15384615384615385,0.15384615384615385,0.15384615384615385,,,,,,,0.1349206349206349,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7849538326263428,0.37484240531921387,0.0,0.0,1.160050392150879
3,4.582927227020264,4.5251452922821045,2.486885945002238,2.3979521989822388,0.19260650873184204,0.0,0.0,26.725253740946453,0.0,1.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.20833333333333334,0.2708333333333333,0.22916666666666666,0.2604166666666667,0.0,0.0,0.0,0.0,0.3776057610909144,0.5797452578941981,0.3441099673509598,0.27014655868212384,1.6757858196894329,1.761435588200887,4.782650629679362,0.0,0.0,0.0,0.0,0.0,2.386583089828491,0.2692307692307692,0.3680555555555556,0.3333333333333333,0.2796934865900383,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.2796934865900383,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7874712944030762,0.3809173107147217,0.0,0.0,1.16861891746521
4,4.00717560450236,3.951840122540792,2.2257123390833535,2.0307384729385376,0.1844515067835649,0.0,0.0,25.0145165125529,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.25,0.375,0.2708333333333333,0.3125,0.0,0.0,0.0,0.0,0.36405855417251587,0.5697863548994064,0.345010906457901,0.2704329739014308,1.459737499554952,1.7388275464375813,4.49886159102122,0.0,0.0,0.0,0.0,0.0,2.213631570339203,0.23076923076923078,0.1400966183574879,0.3,0.18095238095238098,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.18095238095238098,0.06060606060606061,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7049243450164795,0.3740513324737549,0.0,0.0,1.0792105197906494
5,3.7555088996887207,3.7166550556818643,2.140635152657827,1.8541409969329834,0.12951269870003065,0.0,0.0,23.764161745707195,0.0,1.0,0.0,0.0,0.0,0.0,0.4895833333333333,0.3333333333333333,0.4895833333333333,0.4479166666666667,0.3229166666666667,0.0,0.0,0.0,0.0,0.3064071436723073,0.492797131339709,0.3446062405904134,0.27047044535477954,1.4728961984316509,1.7380403280258179,4.354838768641154,0.0,0.0,0.0,0.0,0.0,1.9599571824073792,0.46153846153846156,0.47222222222222227,0.5833333333333334,0.47222222222222215,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.9585313200950623,0.5,0.5321637426900584,0.34375,0.37536237662819943,0.10416666666666669,0.47222222222222215,0.1349206349206349,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7644038200378418,0.37451958656311035,0.3757760524749756,0.4226229190826416,1.9376065731048584
6,3.75642983118693,3.5123085180918374,1.9177077611287434,1.8760008215904236,0.11017841411133607,0.21106777091821036,0.0,22.506460189819336,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.4270833333333333,0.4166666666666667,0.4270833333333333,0.3958333333333333,0.2916666666666667,0.0,0.0,0.0,0.21106777091821036,0.3036113704244296,0.5245289504528046,0.3406573881705602,0.27023108303546906,1.5341842373212178,1.6943803230921428,4.07803996404012,0.003406573746663829,0.0005629814501541356,0.0031962173137192926,0.0,0.20390200118223825,1.7850806713104248,0.46153846153846156,0.46410256410256406,0.5833333333333334,0.4656084656084656,0.46153846153846156,0.46153846153846156,0.46153846153846156,,,,,,,0.4656084656084656,0.18095238095238098,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.9573700428009033,0.37486886978149414,0.0,0.0,1.3324897289276123
7,4.022143602371216,3.5437289476394653,2.030546009540558,1.7802151640256245,0.26414359112580615,0.3991716504096985,0.0,22.595359802246094,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.4791666666666667,0.375,0.4791666666666667,0.4375,0.3541666666666667,0.0,0.0,0.0,0.3991716504096985,0.34186264375845593,0.5493500878413519,0.3381371597448985,0.27218470474084216,1.5534322261810303,1.7058051427205403,3.848021626472473,0.00676274299621582,0.001134102950648715,0.006472634539629023,0.0,0.384802167614301,1.7334279417991638,0.46153846153846156,0.38888888888888884,0.5833333333333334,0.4444444444444444,0.46153846153846156,0.46153846153846156,0.46153846153846156,,,,,,,0.4444444444444444,0.18095238095238098,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7933475971221924,0.3740091323852539,0.0,0.0,1.1675760746002197
8,3.884191632270813,3.2645499308904014,1.8915842771530151,1.615253706773122,0.20544110735257468,0.5580094456672668,0.0,22.239084243774414,0.0,1.0,0.0,0.0,0.0,0.25,0.5520833333333334,0.4583333333333333,0.5520833333333334,0.5208333333333334,0.4375,0.0,0.0,0.0,0.5580094456672668,0.36454689999421436,0.631343404452006,0.33745887875556946,0.2714000642299652,1.5006277561187744,1.663765291372935,3.5787365436553955,0.010123765872170528,0.0016962504208398361,0.009378923568874598,0.0,0.5368105123440424,1.6159851551055908,0.5,0.4696969696969697,0.6666666666666666,0.5263888888888889,0.5,0.5,0.5,,,,,,,0.5263888888888889,0.4444444444444444,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.9540987014770508,0.3708007335662842,0.0,0.0,1.3251357078552246
9,4.081960638364156,3.2819882233937583,1.8782896399497986,1.6514100631078084,0.24204531063636145,0.7273588180541992,0.9958786368370056,22.57158660888672,2.297553380330404,1.0,0.0,3.0,0.05,0.3333333333333333,0.5729166666666666,0.4270833333333333,0.5729166666666666,0.6041666666666666,0.4583333333333333,0.9958786368370056,1.081251581509908,0.9105057319005331,0.7273588180541992,0.29690662026405334,0.6059319774309794,0.3331570525964101,0.2695753773053487,1.4155246019363403,1.654854675134023,3.495435913403829,0.013326281992097696,0.0022464615758508444,0.011796038908263048,0.0,0.6990872025489807,1.539458692073822,0.6153846153846154,0.8141025641025642,0.65,0.6322751322751322,0.6153846153846154,0.6153846153846154,0.6153846153846154,,,,,,,0.6322751322751322,0.4444444444444444,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.085799694061279,29.146484375,0.7848606109619141,0.3735530376434326,0.0,0.0,1.1586451530456543
10,4.102272868156433,3.1900395154953003,1.896111011505127,1.5222687721252441,0.15606598431865373,0.8654135465621948,0.9388615687688192,21.885456403096516,2.302958885828654,1.0,0.0,3.0,0.1,0.4166666666666667,0.5625,0.4583333333333333,0.5625,0.6979166666666666,0.46875,0.9388615687688192,1.0357046524683635,0.8420185049374899,0.8654135465621948,0.34156180918216705,0.6533458034197489,0.3333864212036133,0.2682830144961675,1.5531112551689148,1.6365352272987366,3.311126232147217,0.016669321494797867,0.0027946147990102568,0.01617824286222458,0.0,0.8277815580368042,1.66434907913208,0.5384615384615384,0.6631944444444444,0.5541666666666667,0.502020202020202,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.6303777694702148,0.46153846153846156,0.47156084656084657,0.5625,0.559080192198645,0.13541666666666663,0.502020202020202,0.4444444444444444,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.085799694061279,29.146484375,0.8695852756500244,0.3709712028503418,0.432769775390625,0.48822498321533203,2.1619036197662354
