epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.518296400705974,5.532098452250163,3.249183932940165,3.512176235516866,-0.04600645725925764,0.0,0.0,14.543567021687826,0.0,1.0,0.0,0.0,0.0,0.0,0.07427536231884058,0.10326086956521739,0.07427536231884058,0.059782608695652176,0.11956521739130435,0.0,0.0,0.0,0.0,1.0626167853673298,1.132701853911082,0.37032343447208405,0.2650968978802363,2.177690267562866,2.2031185229619346,6.906034549077352,0.0,0.0,0.0,0.0,0.0,3.232085347175598,0.030303030303030304,0.029020979020979023,0.09012345679012346,0.017582417582417586,0.030303030303030304,0.030303030303030304,0.030303030303030304,3.178900361061096,0.03787878787878788,0.024431995020230312,0.027613412228796843,0.01604806961756371,0.03216919646685533,0.017582417582417586,-inf,4,False,45,False,6e-05,3e-05,0.5,21.775890350341797,29.146484375,3.6091079711914062,0.6332395076751709,0.6308307647705078,0.9054124355316162,5.778918504714966
2,4.600324233373006,4.621470212936401,2.6748828093210855,2.9947500626246133,-0.07048687214652698,0.0,0.0,11.81880489985148,0.0,1.0,0.0,0.0,0.0,0.0,0.14855072463768115,0.22644927536231885,0.14855072463768115,0.11775362318840579,0.19927536231884058,0.0,0.0,0.0,0.0,1.0108881096045177,1.0826445718606312,0.36913340787092846,0.2643073797225952,2.149365544319153,2.204542398452759,5.792383114496867,0.0,0.0,0.0,0.0,0.0,2.806858539581299,0.06818181818181818,0.012924948408819378,0.13580246913580246,0.023602033405954972,0.06818181818181818,0.06818181818181818,0.06818181818181818,,,,,,,0.023602033405954972,-inf,4,False,45,False,6e-05,3e-05,0.5,21.777645111083984,29.146484375,2.9852683544158936,0.6348638534545898,0.0,0.0,3.620370864868164
3,4.235694408416748,4.2561562061309814,2.43385910987854,2.803533991177877,-0.06820603460073471,0.0,0.0,10.337909698486328,0.0,1.0,0.0,0.0,0.0,0.0,0.18659420289855072,0.27717391304347827,0.18659420289855072,0.1793478260869565,0.2717391304347826,0.0,0.0,0.0,0.0,1.0549194018046062,1.0341670513153076,0.3685277849435806,0.26366640130678815,2.1268458366394043,2.188523213068644,5.249236106872559,0.0,0.0,0.0,0.0,0.0,2.394178867340088,0.15151515151515152,0.20208527855586678,0.20712250712250713,0.11605774052582563,0.15151515151515152,0.15151515151515152,0.15151515151515152,,,,,,,0.11605774052582563,-inf,4,False,45,False,6e-05,3e-05,0.5,21.777454376220703,29.146484375,2.953152656555176,0.6345510482788086,0.0,0.0,3.587930917739868
4,3.839255213737488,3.8685022592544556,2.1661181251207986,2.619052529335022,-0.09749006107449532,0.0,0.0,9.405496756235758,0.0,1.0,0.0,0.0,0.0,0.0,0.2246376811594203,0.37318840579710144,0.2246376811594203,0.21557971014492755,0.31521739130434784,0.0,0.0,0.0,0.0,1.0769729514916737,0.9497506022453308,0.36798786123593646,0.26354889074961346,2.1295265754063926,2.1684369643529258,4.884412447611491,0.0,0.0,0.0,0.0,0.0,2.1948260068893433,0.25,0.27798481711525186,0.36538461538461536,0.21286719816131583,0.25,0.25,0.25,,,,,,,0.21286719816131583,0.017582417582417586,4,False,45,False,6e-05,3e-05,0.5,21.77657699584961,29.146484375,3.151273012161255,0.6292414665222168,0.0,0.0,3.7807459831237793
5,3.6126836935679116,3.651660164197286,2.0758809248606362,2.424275755882263,-0.12992142885923386,0.0,0.0,8.865543047587076,0.0,1.0,0.0,0.0,0.0,0.0,0.27355072463768115,0.411231884057971,0.27355072463768115,0.23550724637681159,0.3858695652173913,0.0,0.0,0.0,0.0,1.0659942825635274,0.886738121509552,0.3685893565416336,0.26288459201653797,2.133358875910441,2.1617308457692466,4.706887722015381,0.0,0.0,0.0,0.0,0.0,2.0792406797409058,0.2878787878787879,0.3741166439203906,0.3865486365486366,0.25592756622168383,0.2878787878787879,0.2878787878787879,0.2878787878787879,2.0064554810523987,0.3560606060606061,0.31290115484280956,0.2938856015779093,0.2752475315279039,-0.05837835520109769,0.25592756622168383,0.023602033405954972,4,False,45,False,6e-05,3e-05,0.5,21.77785873413086,29.146484375,3.251014232635498,0.631662130355835,0.6308801174163818,0.8736810684204102,5.387514114379883
6,3.576406399408976,3.6423367659250894,2.063781976699829,2.428545872370402,-0.2197678660353025,0.0,0.0,9.041851997375488,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.4148550724637681,0.25,0.2536231884057971,0.42934782608695654,0.0,0.0,0.0,0.0,1.0930835405985515,0.8369165857632955,0.36711816986401874,0.26271243393421173,2.0991920630137124,2.1412081321080527,4.555159330368042,0.0,0.0,0.0,0.0,0.0,2.038529634475708,0.3409090909090909,0.4109634997316156,0.42123524623524633,0.3084052150989271,0.3409090909090909,0.3409090909090909,0.3409090909090909,,,,,,,0.3084052150989271,0.11605774052582563,4,False,45,False,6e-05,3e-05,0.5,21.777454376220703,29.146484375,3.3922202587127686,0.6254251003265381,0.0,0.0,4.01787805557251
7,3.3414629697799683,3.4093329906463623,1.9075614213943481,2.310417890548706,-0.22623338053623834,0.0,0.0,8.902433077494303,0.0,1.0,0.0,0.0,0.0,0.0,0.32608695652173914,0.48188405797101447,0.32608695652173914,0.27355072463768115,0.4311594202898551,0.0,0.0,0.0,0.0,1.1393367052078247,0.8162752091884613,0.36649130284786224,0.2621615380048752,2.0931774775187173,2.129056135813395,4.300287803014119,0.0,0.0,0.0,0.0,0.0,1.927087426185608,0.4090909090909091,0.4267168613942808,0.4550976800976801,0.3672093174670656,0.4090909090909091,0.4090909090909091,0.4090909090909091,,,,,,,0.3672093174670656,0.21286719816131583,4,False,45,False,6e-05,3e-05,0.5,21.777645111083984,29.146484375,3.0926544666290283,0.6314935684204102,0.0,0.0,3.7243916988372803
8,3.2950276136398315,3.189868966738383,1.7863989273707073,2.159184694290161,-0.20191467056671777,0.16573302447795868,0.8374378283818563,8.363972187042236,1.7082966963450115,1.0,0.0,3.0,0.041666666666666664,0.07142857142857142,0.37681159420289856,0.5253623188405797,0.37681159420289856,0.3188405797101449,0.4927536231884058,0.8374378283818563,0.8371364871660868,0.8377391497294108,0.16573302447795868,1.1872395674387615,0.7727860112984976,0.3633681833744049,0.2602550933758418,2.0843267838160195,2.116750478744507,4.135162790616353,0.00830555846914649,0.0009294824849348515,0.005955219268798828,0.0,0.14768439282973608,1.8137186169624329,0.48484848484848486,0.5281333281333281,0.5123219373219373,0.4483130329850391,0.48484848484848486,0.48484848484848486,0.48484848484848486,,,,,,,0.4483130329850391,0.25592756622168383,4,False,45,False,6e-05,3e-05,0.5,21.778393268585205,29.146484375,3.0760955810546875,0.7080891132354736,0.0,0.0,3.7845218181610107
9,3.2485098441441855,2.9900617599487305,1.6791917483011882,2.0167230367660522,-0.19152497251828512,0.3159055362145106,0.7786420385042826,8.419102350870768,1.6124629179636638,1.0,0.0,3.0,0.08333333333333333,0.14285714285714285,0.40942028985507245,0.5833333333333334,0.40942028985507245,0.35507246376811596,0.5543478260869565,0.7786420385042826,0.7932229042053223,0.7640611926714579,0.3159055362145106,1.2006575067838032,0.8950767616430918,0.3547687580188115,0.2570391794045766,2.0449478228886924,2.094600796699524,3.92074986298879,0.016218000402053196,0.0018359941508000095,0.011685415947188934,0.0,0.2800535708665848,1.7737220525741577,0.5378787878787878,0.6225079948976384,0.5998371998371999,0.5262935477221191,0.5378787878787878,0.5378787878787878,0.5378787878787878,,,,,,,0.5262935477221191,0.3084052150989271,4,False,45,False,6e-05,3e-05,0.5,21.778088092803955,29.146484375,3.247471332550049,0.635772705078125,0.0,0.0,3.8834846019744873
10,3.3717933893203735,2.9740407864252725,1.6454906662305195,2.043923338254293,-0.18581701690951982,0.4534976879755656,0.7664997577667236,8.759052594502768,1.5394804080327351,1.0,0.0,3.0,0.125,0.21428571428571427,0.42934782608695654,0.5887681159420289,0.42934782608695654,0.3804347826086957,0.5760869565217391,0.7664997577667236,0.7281345327695211,0.8048649827639262,0.4534976879755656,1.231553355852763,0.8959683974583944,0.34418725470701855,0.25293778379758197,2.0405898888905845,2.0763027667999268,3.736950476964315,0.023601410910487175,0.0027100477212419114,0.01749077004690965,0.0,0.40038755039374035,1.7413817644119263,0.5606060606060606,0.6542399770469945,0.6142348392348393,0.5573957139120047,0.5606060606060606,0.5606060606060606,0.5606060606060606,1.6508049964904785,0.6287878787878788,0.6425892447518377,0.6548323471400395,0.677190765625088,-0.2743975645313438,0.5573957139120047,0.3672093174670656,4,False,45,False,6e-05,3e-05,0.5,21.778583526611328,29.146484375,3.194138288497925,0.631969690322876,0.6388194561004639,0.8931584358215332,5.358343839645386
11,3.4477378527323403,2.9111975034077964,1.634637137254079,1.963939090569814,-0.19085927307605743,0.5937981704870859,0.7393681406974792,10.190325419108072,1.485169768333435,1.0,0.0,3.0,0.16666666666666666,0.2857142857142857,0.4528985507246377,0.6213768115942029,0.4528985507246377,0.4221014492753623,0.644927536231884,0.7393681406974792,0.7236085732777914,0.7551276882489523,0.5937981704870859,1.1932620604832966,0.9340081810951233,0.335705225666364,0.2500278676549594,2.001264989376068,2.0491949717203775,3.6697680950164795,0.03069304892172416,0.0035718266929810247,0.022871599532663822,0.0,0.5242526233196259,1.6231255531311035,0.6666666666666666,0.7043150806308701,0.707977207977208,0.6719566441788664,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,0.6719566441788664,0.4483130329850391,4,False,45,False,6e-05,3e-05,0.5,21.778088092803955,29.146484375,3.141993999481201,0.6297144889831543,0.0,0.0,3.7719497680664062
12,3.3768793741861978,2.729535142580668,1.516850968201955,1.8656679789225261,-0.18429397170742354,0.7026325166225433,0.7545205950737,9.730761845906576,1.4888594547907512,1.0,0.0,3.0,0.20833333333333334,0.35714285714285715,0.519927536231884,0.6793478260869565,0.519927536231884,0.4927536231884058,0.6630434782608695,0.7545205950737,0.737569789091746,0.7714714010556539,0.7026325166225433,1.1489610473314922,0.9862833917140961,0.32710064947605133,0.24629532545804977,1.9863603711128235,2.0213841597239175,3.454670031865438,0.03738293113807837,0.0043981310445815325,0.028376576801141102,0.0,0.6169053912162781,1.5196101665496826,0.75,0.804632828637854,0.7603072853072853,0.7456858850414143,0.75,0.75,0.75,,,,,,,0.7456858850414143,0.5262935477221191,4,False,45,False,6e-05,3e-05,0.5,21.778584003448486,29.146484375,3.1850290298461914,0.634488582611084,0.0,0.0,3.819740056991577
