epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,4.915561962127685,4.8761245012283325,2.736786452929179,2.6741724809010825,0.13145813817779223,0.0,0.0,29.24887777964274,0.0,1.0,0.0,0.0,0.0,0.0,0.21041666666666667,0.19583333333333333,0.21041666666666667,0.19166666666666668,0.20208333333333334,0.0,0.0,0.0,0.0,0.41149796148141227,0.5775524119536082,0.3614908228317896,0.2685862332582474,1.8063695033391316,2.0707455555597942,5.372567462921142,0.0,0.0,0.0,0.0,0.0,2.1389851421117783,0.23333333333333334,0.3086715367965368,0.35957051961823966,0.22188539719848635,0.23333333333333334,0.23333333333333334,0.23333333333333334,2.209170922636986,0.15,0.18514703974520597,0.2,0.22803114563225785,-0.008333333333333331,0.22188539719848635,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.087332725524902,5.123046875,3.725594997406006,0.43224024772644043,0.424954891204834,0.6985652446746826,5.281646251678467
2,3.5939950942993164,3.5675864219665527,1.9737386624018352,1.9923096617062888,0.08802891684075197,0.0,0.0,23.03568630218506,0.0,1.0,0.0,0.0,0.0,0.0,0.4354166666666667,0.39791666666666664,0.4354166666666667,0.38333333333333336,0.3958333333333333,0.0,0.0,0.0,0.0,0.44242735803127287,0.6238992184400558,0.3605496654907862,0.26785810391108195,1.7425111254056296,1.9804803530375164,3.9954939206441242,0.0,0.0,0.0,0.0,0.0,1.7271566167473793,0.35,0.5108759577799825,0.5702307457477129,0.3888643790849673,0.35,0.35,0.35,,,,,,,0.3888643790849673,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.6404995918273926,0.4186520576477051,0.0,0.0,3.0593831539154053
3,2.9634283065795897,2.937548812230428,1.6713411609331768,1.5827595273653665,0.0862649587293466,0.0,0.0,20.84294548034668,0.0,1.0,0.0,0.0,0.0,0.0,0.5708333333333333,0.5375,0.5708333333333333,0.5229166666666667,0.5270833333333333,0.0,0.0,0.0,0.0,0.5058588087558746,0.6165744215250015,0.3605736861626307,0.2662039707104365,1.7064900159835816,1.9024986704190572,3.3134079694747927,0.0,0.0,0.0,0.0,0.0,1.3704636842012405,0.6416666666666667,0.6788261475761476,0.7173621359199301,0.6067790025417145,0.6416666666666667,0.6416666666666667,0.6416666666666667,,,,,,,0.6067790025417145,-inf,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.5624399185180664,0.42958927154541016,0.0,0.0,2.9922544956207275
4,2.484294549624125,2.4568498690923053,1.3509012778600058,1.38243571917216,0.09148232415318489,0.0,0.0,18.99707736968994,0.0,1.0,0.0,0.0,0.0,0.0,0.68125,0.69375,0.68125,0.6458333333333334,0.6583333333333333,0.0,0.0,0.0,0.0,0.4489990144968033,0.6065207779407501,0.3588806539773941,0.2646699140469233,1.603417154153188,1.7897109548250834,2.8150795141855878,0.0,0.0,0.0,0.0,0.0,1.2774491235613823,0.7333333333333333,0.6980673533982358,0.8236631343206104,0.704729461834635,0.7333333333333333,0.7333333333333333,0.7333333333333333,,,,,,,0.704729461834635,0.22188539719848635,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.611442804336548,0.41994309425354004,0.0,0.0,3.031609535217285
5,2.267218311627706,2.2381020188331604,1.2282575925191244,1.2623055140177408,0.09705431982874871,0.0,0.0,18.300065771738687,0.0,1.0,0.0,0.0,0.0,0.0,0.7208333333333333,0.75,0.7208333333333333,0.675,0.7,0.0,0.0,0.0,0.0,0.4512706826130549,0.6031950165828069,0.35926512877146405,0.2654047350088755,1.5098148584365845,1.7385180592536926,2.6499066670735676,0.0,0.0,0.0,0.0,0.0,1.0710626021027565,0.8,0.7464819902319902,0.8901020771381323,0.7838996390933011,0.8,0.8,0.8000000000000002,1.182449534535408,0.7,0.7096779591023012,0.8043010752688172,0.8039663457751531,-0.12930107526881718,0.7838996390933011,0.3888643790849673,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.4879729747772217,0.4246218204498291,0.42128539085388184,0.6944832801818848,4.028629541397095
6,2.1611009438832602,2.0025678714116415,1.0812239547570546,1.1516798734664917,0.07590439021587372,0.13576173633337021,0.0,17.84641148249308,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.7645833333333333,0.80625,0.7645833333333333,0.7875,0.7791666666666667,0.0,0.0,0.0,0.13576173633337021,0.45636135041713716,0.5996864825487137,0.3512656092643738,0.2610444396734238,1.4766836961110432,1.6600772857666015,2.3065311113993325,0.0035126560057202974,0.0005438426102045924,0.006768133351579308,0.0,0.12493710269530614,1.075032688677311,0.7833333333333333,0.7365750112460638,0.881113782823751,0.7563761062346108,0.7833333333333333,0.7833333333333333,0.7833333333333333,,,,,,,0.7563761062346108,0.6067790025417145,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.5542733669281006,0.4223754405975342,0.0,0.0,2.976875066757202
7,2.145667886734009,1.8698817491531372,1.0280197580655417,1.0523274580637614,0.10150254406034946,0.24533539811770122,0.0,15.900536441802979,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.8291666666666667,0.83125,0.8291666666666667,0.8291666666666667,0.8375,0.0,0.0,0.0,0.24533539811770122,0.3834458033243815,0.607200558980306,0.33715036809444426,0.25416715343793234,1.397414489587148,1.5706124226252238,2.0743728637695313,0.006743007246404887,0.001059029852816214,0.01280963234603405,0.0,0.22472372849782307,0.9911464676260948,0.8083333333333333,0.7784346612578878,0.8843312705322249,0.7910853965201792,0.8083333333333333,0.8083333333333333,0.8083333333333333,,,,,,,0.7910853965201792,0.704729461834635,4,False,40,False,8e-05,2.8e-05,0.35,4.085410118103027,5.123046875,2.5157835483551025,0.41739583015441895,0.0,0.0,2.933396339416504
8,2.0792344252268475,1.7243449091911316,0.9491474330425262,0.968996814886729,0.028409688733518124,0.346366619070371,0.9169312636057536,15.524009831746419,2.2267742077509562,1.0,0.0,15.0,0.05,0.25,0.8395833333333333,0.88125,0.8395833333333333,0.8770833333333333,0.8666666666666667,0.9169312636057536,0.9269697268803915,0.9068928082784017,0.346366619070371,0.4714084297418594,0.6484231948852539,0.3244820813337962,0.2492765446503957,1.308039629459381,1.4920998692512513,1.9427006761233012,0.009734462232639391,0.0015579784211392203,0.017985544819384813,0.0,0.3156888465086619,0.9725567251443863,0.8416666666666667,0.7795138888888888,0.8906225667227788,0.7986101210968582,0.8416666666666667,0.8416666666666667,0.8416666666666667,,,,,,,0.7986101210968582,0.7563761062346108,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.125,2.6276586055755615,0.4244401454925537,0.0,0.0,3.0523152351379395
9,2.0159602522850038,1.5872922619183858,0.8821874916553497,0.8813809275627136,0.0100211879859368,0.42566162745157876,0.8441776672999064,13.94551035563151,2.0093873898188273,1.0,0.0,15.0,0.1,0.3333333333333333,0.90625,0.8875,0.90625,0.8958333333333334,0.875,0.8441776672999064,0.8163287758827209,0.8720265746116638,0.42566162745157876,0.43057178060213724,0.6876497497161229,0.31328902443250023,0.24394857585430146,1.2226713180541993,1.3780086000760396,1.7810121655464173,0.012531560752540827,0.0020329049012313286,0.022415639832615852,0.0,0.3858859707911809,0.8651143535971642,0.8833333333333333,0.8004464285714286,0.9224711529191911,0.8334381600685948,0.8833333333333333,0.8833333333333333,0.8833333333333333,,,,,,,0.8334381600685948,0.7563761062346108,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.125,2.630366086959839,0.4214754104614258,0.0,0.0,3.0520567893981934
10,2.1152531226476032,1.5879337668418885,0.8733612815539042,0.8932155907154083,0.00809366013854742,0.5248912761608759,0.8164228916168212,15.044851271311442,1.9825292189915975,1.0,0.0,15.0,0.15,0.4166666666666667,0.8916666666666667,0.8979166666666667,0.8916666666666667,0.9041666666666667,0.88125,0.8164228916168212,0.8122984886169433,0.8205472946166992,0.5248912761608759,0.49030988812446596,0.7038242846727372,0.3021118919054667,0.23776327470938366,1.207798856496811,1.329287548859914,1.7544082482655843,0.015105594818790754,0.0024767008299628893,0.027678724378347397,0.0,0.47515225112438203,0.8872854560613632,0.9,0.8340086996336996,0.9125213201432714,0.8533786446020489,0.9,0.9,0.9,0.8712632730603218,0.9,0.8533786446020489,0.9268817204301075,0.8849841274711896,-0.02271505376344085,0.8533786446020489,0.7910853965201792,4,False,40,False,8e-05,2.8e-05,0.35,4.086349010467529,5.125,2.7093098163604736,0.4228687286376953,0.4227466583251953,0.6938066482543945,4.248996019363403
