2026-08-30 22:50:46 | Starting Dual_D standalone training
2026-08-30 22:50:46 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726
2026-08-30 22:50:46 | Device: cuda
2026-08-30 22:50:46 | Source train samples: 992
2026-08-30 22:50:46 | Target train samples: 465
2026-08-30 22:50:46 | Target val samples: 120
2026-08-30 22:50:46 | Classes: 14
2026-08-30 22:50:47 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=578/0
2026-08-30 22:50:47 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 22:50:47 | target_train classes: present 8/14 | absent 6 | counts [0:100, 2:11, 3:16, 6:89, 9:162, 10:12, 11:44, 13:31]
2026-08-30 22:50:47 | target_val classes: present 8/14 | absent 6 | counts [0:26, 2:3, 3:5, 6:23, 9:41, 10:3, 11:11, 13:8]
2026-08-30 22:50:47 | Paired training classes: 8/14 | class ids [0, 2, 3, 6, 9, 10, 11, 13]
2026-08-30 22:50:47 | Runtime profile: batch=16 | paired_steps=30 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=55
2026-08-30 22:50:47 | Augmentation profile: base=0.600 | visible=0.600 | infrared=0.550 | freeze_frozen_batch_norm_stats=True
2026-08-30 22:50:47 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 22:50:47 | Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.65, "contrastive": 0.055, "cycle": 0.12, "identity": 0.025, "prototype_contrastive": 0.0}
2026-08-30 22:50:47 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 22:50:52 | Epoch 001/060 | loss 4.9391 | cls 4.9129 | tal 0.0871 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1854 | train_full 0.1656 | val_acc 0.1667 | val_f1 0.1544 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 28.136/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 3.3/0.4/0.4/0.7s | 4.9s
2026-08-30 22:50:55 | Epoch 002/060 | loss 3.5254 | cls 3.5796 | tal -0.1809 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3396 | train_full n/a | val_acc 0.3083 | val_f1 0.3809 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 22.229/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 22:50:58 | Epoch 003/060 | loss 3.0653 | cls 3.0850 | tal -0.0657 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4979 | train_full n/a | val_acc 0.4500 | val_f1 0.5131 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 21.166/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 22:51:01 | Epoch 004/060 | loss 2.5954 | cls 2.6113 | tal -0.0530 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.6333 | train_full n/a | val_acc 0.7000 | val_f1 0.6580 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 19.621/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 22:51:06 | Epoch 005/060 | loss 2.2127 | cls 2.2287 | tal -0.0531 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.7125 | train_full 0.6559 | val_acc 0.6417 | val_f1 0.6825 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 17.652/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.4/0.7s | 4.3s
2026-08-30 22:51:09 | Epoch 006/060 | loss 2.1099 | cls 1.9851 | tal -0.0424 | dual_g 0.1376 | dual_d 0.0000 | train_acc 0.8167 | train_full n/a | val_acc 0.7000 | val_f1 0.6859 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 16.064/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 22:51:12 | Epoch 007/060 | loss 2.0889 | cls 1.8559 | tal -0.0501 | dual_g 0.2480 | dual_d 0.0000 | train_acc 0.8333 | train_full n/a | val_acc 0.7500 | val_f1 0.7302 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 16.159/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 22:51:15 | Epoch 008/060 | loss 2.1397 | cls 1.8051 | tal -0.0673 | dual_g 0.3547 | dual_d 0.8698 | train_acc 0.8625 | train_full n/a | val_acc 0.8417 | val_f1 0.8031 | adv/moduleC 0.05/0.25 | disc_steps 15 | grad(main/disc) 16.138/2.031 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.2s
2026-08-30 22:51:18 | Epoch 009/060 | loss 2.0870 | cls 1.6689 | tal -0.0900 | dual_g 0.4451 | dual_d 0.8344 | train_acc 0.8833 | train_full n/a | val_acc 0.8667 | val_f1 0.8580 | adv/moduleC 0.10/0.33 | disc_steps 15 | grad(main/disc) 15.067/1.978 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.8/0.4/0.0/0.0s | 3.2s
2026-08-30 22:51:22 | Epoch 010/060 | loss 2.0376 | cls 1.5226 | tal 0.0067 | dual_g 0.5130 | dual_d 0.7852 | train_acc 0.9271 | train_full 0.9398 | val_acc 0.9167 | val_f1 0.8814 | adv/moduleC 0.15/0.42 | disc_steps 15 | grad(main/disc) 13.131/1.821 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.4/0.7s | 4.3s
2026-08-30 22:51:25 | Epoch 011/060 | loss 2.0404 | cls 1.4601 | tal -0.0354 | dual_g 0.5909 | dual_d 0.8060 | train_acc 0.9313 | train_full n/a | val_acc 0.9083 | val_f1 0.9041 | adv/moduleC 0.20/0.50 | disc_steps 15 | grad(main/disc) 11.691/1.857 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.1s
2026-08-30 22:51:28 | Epoch 012/060 | loss 2.1213 | cls 1.4552 | tal -0.0294 | dual_g 0.6749 | dual_d 0.8368 | train_acc 0.9437 | train_full n/a | val_acc 0.9083 | val_f1 0.8808 | adv/moduleC 0.25/0.58 | disc_steps 15 | grad(main/disc) 12.795/1.876 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.1s
2026-08-30 22:51:31 | Epoch 013/060 | loss 2.0920 | cls 1.3775 | tal -0.0831 | dual_g 0.7394 | dual_d 0.7821 | train_acc 0.9667 | train_full n/a | val_acc 0.9167 | val_f1 0.9014 | adv/moduleC 0.30/0.67 | disc_steps 15 | grad(main/disc) 10.894/1.797 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 3.0s
2026-08-30 22:51:34 | Epoch 014/060 | loss 2.1855 | cls 1.3834 | tal -0.0572 | dual_g 0.8192 | dual_d 0.8008 | train_acc 0.9542 | train_full n/a | val_acc 0.9333 | val_f1 0.9281 | adv/moduleC 0.35/0.75 | disc_steps 15 | grad(main/disc) 11.201/1.740 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.1s
2026-08-30 22:51:39 | Epoch 015/060 | loss 2.2688 | cls 1.3751 | tal -0.0564 | dual_g 0.9106 | dual_d 0.8156 | train_acc 0.9583 | train_full 0.9742 | val_acc 0.9417 | val_f1 0.9184 | adv/moduleC 0.40/0.83 | disc_steps 15 | grad(main/disc) 12.419/1.752 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.4/0.7s | 4.2s
2026-08-30 22:51:42 | Epoch 016/060 | loss 2.3126 | cls 1.3314 | tal 0.0243 | dual_g 0.9739 | dual_d 0.8139 | train_acc 0.9729 | train_full n/a | val_acc 0.9417 | val_f1 0.9311 | adv/moduleC 0.45/0.92 | disc_steps 15 | grad(main/disc) 10.769/1.786 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.1s
2026-08-30 22:51:45 | Epoch 017/060 | loss 2.3932 | cls 1.3275 | tal 0.0448 | dual_g 1.0522 | dual_d 0.8378 | train_acc 0.9646 | train_full n/a | val_acc 0.9500 | val_f1 0.9342 | adv/moduleC 0.50/1.00 | disc_steps 15 | grad(main/disc) 10.687/1.797 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.9/0.4/0.0/0.0s | 3.3s
2026-08-30 22:51:48 | Epoch 018/060 | loss 2.3861 | cls 1.3584 | tal -0.1058 | dual_g 1.0594 | dual_d 0.8545 | train_acc 0.9521 | train_full n/a | val_acc 0.9417 | val_f1 0.9275 | adv/moduleC 0.55/1.00 | disc_steps 15 | grad(main/disc) 12.917/1.779 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.8/0.4/0.0/0.0s | 3.2s
2026-08-30 22:51:51 | Epoch 019/060 | loss 2.3338 | cls 1.3181 | tal -0.0136 | dual_g 1.0198 | dual_d 0.8626 | train_acc 0.9688 | train_full n/a | val_acc 0.9500 | val_f1 0.9266 | adv/moduleC 0.60/1.00 | disc_steps 15 | grad(main/disc) 10.769/1.775 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 22:51:56 | Epoch 020/060 | loss 2.2523 | cls 1.2725 | tal -0.0916 | dual_g 1.0073 | dual_d 0.8911 | train_acc 0.9854 | train_full 0.9806 | val_acc 0.9583 | val_f1 0.9447 | adv/moduleC 0.65/1.00 | disc_steps 15 | grad(main/disc) 8.565/1.751 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.4/0.7s | 4.3s
2026-08-30 22:51:59 | Epoch 021/060 | loss 2.2217 | cls 1.2544 | tal -0.0840 | dual_g 0.9924 | dual_d 0.9055 | train_acc 0.9875 | train_full n/a | val_acc 0.9500 | val_f1 0.9359 | adv/moduleC 0.70/1.00 | disc_steps 15 | grad(main/disc) 7.466/1.783 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.1s
